Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1939,,,0,
1940,15.971232,32.01493,1,"=""037010"""
1941,,,0,
1942,17.55427,33.88044,1,"=""037010"""
1943,,,0,
1944,16.018032,31.687431,1,"=""037010"""
1945,16.328571,32.737637,1,"=""037010"""
1946,14.848767,32.379395,1,"=""037010"""
1947,16.692055,32.534065,1,"=""037010"""
1948,15.853699,32.81885,1,"=""037010"""
1949,14.9542465,31.203014,1,"=""037010"""
1950,15.044384,30.233894,1,"=""037010"""
1951,14.7573,32.246067,1,"=""037010"""
1952,,,0,
1953,15.300822,32.02,1,"=""037010"""
1954,16.396143,32.265755,1,"=""037010"""
1955,17.326027,32.674522,1,"=""037010"""
1956,15.236066,30.838736,1,"=""037010"""
1957,15.75452,32.454544,1,"=""037010"""
1958,17.114601,32.86208,1,"=""037010"""
1959,,,0,
1960,,,0,
1961,16.248476,33.216022,1,"=""037010"""
1962,16.130386,32.97273,1,"=""037010"""
1963,16.629444,32.9275,1,"=""037010"""
1964,,,0,
1965,16.605572,33.121918,1,"=""037010"""
1966,16.61923,32.167492,1,"=""037010"""
1967,16.50055,32.75178,1,"=""037010"""
1968,17.014795,32.345478,1,"=""037010"""
1969,16.707182,33.138462,1,"=""037010"""
1970,16.576454,33.961643,1,"=""037010"""
1971,,,0,
1972,,,0,
1973,,,0,
1974,,,0,
1975,,,0,
1976,,,0,
1977,,,0,
1978,,,0,
1979,16.572145,32.707264,1,"=""037010"""
1980,17.837814,34.27507,1,"=""037010"""
1981,17.18809,33.291668,1,"=""037010"""
1982,16.028177,33.05221,1,"=""037010"""
1983,17.736538,33.273426,1,"=""037010"""
1984,16.79672,32.01339,1,"=""037010"""
1985,17.324791,33.49805,1,"=""037010"""
1986,18.426123,33.98767,1,"=""037010"""
1987,17.562466,33.38082,1,"=""037010"""
1988,,,0,
1989,,,0,
1990,,,0,
1991,17.258873,33.06518,1,"=""037010"""
1992,17.60168,33.215385,1,"=""037010"""
1993,,,0,
1994,,,0,
1995,,,0,
1996,,,0,
1997,,,0,
1998,,,0,
1999,,,0,
2000,17.433804,31.521349,1,"=""037010"""
2001,,,0,
2002,,,0,
2003,,,0,
2004,17.849316,33.17288,1,"=""037010"""
2005,19.00551,34.0562,1,"=""037010"""
2006,17.611813,32.636265,1,"=""037010"""
2007,18.062088,33.007416,1,"=""037010"""
2008,18.431955,34.2137,1,"=""037010"""
2009,17.45,32.67438,1,"=""037010"""
2010,18.077961,32.06391,1,"=""037010"""
2011,16.282093,31.442034,1,"=""037010"""
2012,16.790438,33.434425,1,"=""037010"""
2013,19.358356,35.121918,1,"=""037010"""
2014,18.607397,33.739178,1,"=""037010"""
2015,18.244383,33.76137,1,"=""037010"""
2016,18.73452,33.517212,1,"=""037010"""
2017,18.179726,34.580166,1,"=""037010"""
2018,18.338903,34.58219,1,"=""037010"""
2019,18.358904,34.303013,1,"=""037010"""
2020,18.895355,34.180874,1,"=""037010"""
2021,,,0,
