Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1894,17.96923076923078,30.506611570247944,1,"=""030018"""
1895,17.83977900552487,31.54530386740333,1,"=""030018"""
1896,17.53879781420766,31.37486338797816,1,"=""030018"""
1897,19.084657534246585,32.64602739726027,1,"=""030018"""
1898,18.081643835616454,31.952328767123287,1,"=""030018"""
1899,17.596143250688698,31.611845730027536,1,"=""030018"""
1900,19.164931506849324,33.558630136986274,1,"=""030018"""
1901,18.08916666666668,32.70082872928174,1,"=""030018"""
1902,17.439452054794504,32.96923076923078,1,"=""030018"""
1903,17.620000000000005,32.18712328767121,1,"=""030018"""
1904,18.43104395604397,31.936986301369867,1,"=""030018"""
1905,19.06528925619833,33.36121883656513,1,"=""030018"""
1906,18.921369863013734,32.255342465753436,1,"=""030018"""
1907,18.011944444444445,32.12727272727277,1,"=""030018"""
1908,18.598360655737704,32.11775956284153,1,"=""030018"""
1909,18.406868131868137,32.574861878453035,1,"=""030018"""
1910,18.636712328767114,31.94,1,"=""030018"""
1911,17.45856353591159,31.61287671232878,1,"=""030018"""
1912,18.866939890710377,32.80986301369864,1,"=""030018"""
1913,17.67369863013698,31.649589041095858,1,"=""030018"""
1914,18.03671232876713,31.363561643835624,1,"=""030018"""
1915,19.156749311294767,33.55287671232876,1,"=""030018"""
1916,18.92054794520547,31.916164383561654,1,"=""030018"""
1917,18.29068493150685,31.453698630137,1,"=""030018"""
1918,17.238904109589043,31.608767123287663,1,"=""030018"""
1919,18.16410958904108,32.19890410958907,1,"=""030018"""
1920,18.898087431693988,31.64672131147542,1,"=""030018"""
1921,18.65835616438356,31.90136986301372,1,"=""030018"""
1922,17.66955307262571,31.79445983379504,1,"=""030018"""
1923,17.44159779614325,32.90495867768593,1,"=""030018"""
1924,18.748087431694017,31.877868852459013,1,"=""030018"""
1925,17.641095890410966,31.732054794520536,1,"=""030018"""
1926,19.031232876712334,33.51917808219178,1,"=""030018"""
1927,19.39525139664806,32.03835616438358,1,"=""030018"""
1928,18.161917808219165,33.241256830601074,1,"=""030018"""
1929,16.84175824175824,31.979999999999976,1,"=""030018"""
1930,17.44602739726028,31.92314049586778,1,"=""030018"""
1931,19.52027397260273,33.47561643835616,1,"=""030018"""
1932,18.482786885245915,32.878688524590174,1,"=""030018"""
1933,,,0,
1934,,,0,
1935,18.97493112947658,33.10604395604394,1,"=""030018"""
1936,19.16785714285715,32.33825136612021,1,"=""030018"""
1937,17.609890109890113,32.080219780219785,1,"=""030018"""
1938,,,0,
1939,17.1478021978022,31.772054794520574,1,"=""030018"""
1940,17.74972677595628,32.027868852459,1,"=""030018"""
1941,17.42904109589042,31.946301369862987,1,"=""030018"""
1942,19.25315068493149,33.177534246575384,1,"=""030018"""
1943,18.299726027397245,33.436619718309856,1,"=""030018"""
1944,18.310989010988994,32.18821917808223,1,"=""030018"""
1945,18.101648351648347,32.639726027397266,1,"=""030018"""
1946,,,0,
1947,18.703835616438344,32.61369863013697,1,"=""030018"""
1948,17.203278688524584,32.85245901639344,1,"=""030018"""
1949,17.282417582417576,31.421763085399455,1,"=""030018"""
1950,18.490250696378826,31.129999999999974,1,"=""030018"""
1951,16.904407713498607,32.79230769230765,1,"=""030018"""
1952,18.92597765363129,33.97068493150681,1,"=""030018"""
1953,17.215068493150675,32.74602739726033,1,"=""030018"""
1954,17.596153846153864,31.801369863013704,1,"=""030018"""
1955,18.53581267217632,32.433057851239674,1,"=""030018"""
1956,,,0,
1957,,,0,
1958,,,0,
1959,,,0,
1960,17.882548476454303,32.57611111111119,1,"=""030018"""
1961,17.00359116022098,33.08033240997219,1,"=""030018"""
1962,,,0,
1963,,,0,
1964,,,0,
1965,16.700835654596098,32.425280898876416,1,"=""030018"""
1966,18.61759776536313,32.952777777777804,1,"=""030018"""
1967,18.021883656509697,32.84265927977838,1,"=""030018"""
1968,18.824089635854314,33.04357541899441,1,"=""030018"""
1969,,,0,
1970,,,0,
1971,18.689944134078214,32.96935933147629,1,"=""030018"""
1972,,,0,
1973,,,0,
1974,17.58591160220995,31.928176795580114,1,"=""030018"""
1975,19.135342465753418,32.27390109890115,1,"=""030018"""
1976,17.47205479452054,31.97890410958904,1,"=""030018"""
1977,18.435068493150677,31.870410958904117,1,"=""030018"""
1978,18.751923076923084,32.559890109890105,1,"=""030018"""
1979,18.171428571428574,32.281043956043945,1,"=""030018"""
1980,18.334426229508203,32.73524590163934,1,"=""030018"""
1981,18.37575757575758,32.07506849315067,1,"=""030018"""
1982,17.295054945054943,32.389863013698616,1,"=""030018"""
1983,19.583149171270744,32.68011049723758,1,"=""030018"""
1984,18.18219178082193,32.577260273972605,1,"=""030018"""
1985,19.34027397260273,33.099178082191784,1,"=""030018"""
1986,19.47232876712329,33.539495798319344,1,"=""030018"""
1987,19.255342465753422,33.53506849315069,1,"=""030018"""
1988,19.94234972677597,33.9882513661202,1,"=""030018"""
1989,18.833698630136983,32.71616438356167,1,"=""030018"""
1990,18.672054794520545,33.530684931506855,1,"=""030018"""
1991,18.18493150684931,33.14794520547946,1,"=""030018"""
1992,19.281147540983607,33.90546448087431,1,"=""030018"""
1993,19.477472527472514,33.54356164383562,1,"=""030018"""
1994,19.265564738292007,34.071506849315064,1,"=""030018"""
1995,19.300273972602735,33.85095890410962,1,"=""030018"""
1996,19.290983606557376,34.049180327868875,1,"=""030018"""
1997,19.118309859154937,32.981643835616445,1,"=""030018"""
1998,,,0,
1999,19.185989010989,32.59120879120882,1,"=""030018"""
2000,18.735245901639345,31.919398907103837,1,"=""030018"""
2001,18.74972527472527,33.21671232876712,1,"=""030018"""
2002,17.89835616438355,33.7142465753425,1,"=""030018"""
2003,19.305494505494497,34.06978021978022,1,"=""030018"""
2004,18.6330601092896,33.576775956284145,1,"=""030018"""
2005,19.68724249288316,33.87285496241462,2,"=""030018;030124"""
2006,18.855890410958903,32.64287671232877,2,"=""030018;030124"""
2007,,,0,
2008,18.63314763231198,32.269637883008336,1,"=""030124"""
2009,17.99387186629526,32.909944751381225,1,"=""030124"""
2010,,,0,
2011,17.445555555555565,31.77277777777776,1,"=""030124"""
2012,18.129781420765013,32.516438356164386,1,"=""030124"""
2013,19.54602739726026,33.627123287671225,1,"=""030124"""
2014,18.833333333333346,33.009641873278255,1,"=""030124"""
2015,19.614049586776844,33.1263736263736,1,"=""030124"""
2016,20.592602739726054,33.612328767123294,1,"=""030124"""
