Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Tauranga Aero,1612,B76621,-37.67242,176.19635,0,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(UTC),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1612,19410131:2100,-,-,13.1,24,-,-,-,-,-,D
1612,19410201:2100,25.6,24,11.8,24,-,-,-,-,-,D
1612,19410202:2100,25.8,24,14.4,24,-,-,-,-,-,D
1612,19410203:2100,24.7,24,14.1,24,-,-,-,-,-,D
1612,19410204:2100,26.8,24,17.3,24,-,-,-,-,-,D
1612,19410205:2100,23.0,24,9.1,24,-,-,-,-,-,D
1612,19410206:2100,23.6,24,11.2,24,-,-,-,-,-,D
1612,19410207:2100,22.3,24,15.7,24,-,-,-,-,-,D
1612,19410208:2100,23.5,24,17.4,24,-,-,-,-,-,D
1612,19410209:2100,22.9,24,14.6,24,-,-,-,-,-,D
1612,19410210:2100,30.7,24,13.9,24,-,-,-,-,-,D
1612,19410211:2100,28.0,24,15.8,24,-,-,-,-,-,D
1612,19410212:2100,26.2,24,15.2,24,-,-,-,-,-,D
1612,19410213:2100,23.6,24,18.9,24,-,-,-,-,-,D
1612,19410214:2100,24.1,24,15.6,24,-,-,-,-,-,D
1612,19410215:2100,24.7,24,11.7,24,-,-,-,-,-,D
1612,19410216:2100,24.7,24,9.4,24,-,-,-,-,-,D
1612,19410217:2100,23.9,24,14.6,24,-,-,-,-,-,D
1612,19410218:2100,22.3,24,14.0,24,-,-,-,-,-,D
1612,19410219:2100,22.9,24,12.8,24,-,-,-,-,-,D
1612,19410220:2100,25.0,24,11.3,24,-,-,-,-,-,D
1612,19410221:2100,26.8,24,12.4,24,-,-,-,-,-,D
1612,19410222:2100,22.8,24,14.6,24,-,-,-,-,-,D
1612,19410223:2100,23.4,24,12.9,24,-,-,-,-,-,D
1612,19410224:2100,24.0,24,11.2,24,-,-,-,-,-,D
1612,19410225:2100,23.4,24,12.3,24,-,-,-,-,-,D
1612,19410226:2100,22.9,24,16.3,24,-,-,-,-,-,D
1612,19410227:2100,21.2,24,11.2,24,-,-,-,-,-,D
1612,19410228:2100,24.5,24,9.7,24,-,-,-,-,-,D
1612,19410301:2100,21.1,24,9.0,24,-,-,-,-,-,D
1612,19410302:2100,21.8,24,12.3,24,-,-,-,-,-,D
1612,19410303:2100,25.1,24,13.4,24,-,-,-,-,-,D
1612,19410304:2100,23.4,24,11.2,24,-,-,-,-,-,D
1612,19410305:2100,22.4,24,10.1,24,-,-,-,-,-,D
1612,19410306:2100,23.0,24,13.4,24,-,-,-,-,-,D
1612,19410307:2100,23.4,24,15.7,24,-,-,-,-,-,D
1612,19410308:2100,23.6,24,14.6,24,-,-,-,-,-,D
1612,19410309:2100,23.6,24,14.0,24,-,-,-,-,-,D
1612,19410310:2100,23.4,24,15.1,24,-,-,-,-,-,D
1612,19410311:2100,23.6,24,14.6,24,-,-,-,-,-,D
1612,19410312:2100,22.9,24,17.4,24,-,-,-,-,-,D
1612,19410313:2100,24.4,24,19.1,24,-,-,-,-,-,D
1612,19410314:2100,23.6,24,18.6,24,-,-,-,-,-,D
1612,19410315:2100,24.6,24,13.6,24,-,-,-,-,-,D
1612,19410316:2100,23.9,24,15.8,24,-,-,-,-,-,D
1612,19410317:2100,21.9,24,16.3,24,-,-,-,-,-,D
1612,19410318:2100,22.8,24,12.8,24,-,-,-,-,-,D
