Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1962,15.862466,30.41644,1,"=""036007"""
1963,15.535617,29.538904,1,"=""036007"""
1964,16.053825,30.737158,1,"=""036007"""
1965,16.392603,31.133972,1,"=""036007"""
1966,,,0,
1967,16.328098,30.247383,1,"=""036007"""
1968,16.325825,29.711538,1,"=""036007"""
1969,17.004986,30.686464,1,"=""036007"""
1970,15.862363,30.430027,1,"=""036007"""
1971,16.009668,29.84876,1,"=""036007"""
1972,,,0,
1973,17.592602,30.274445,1,"=""036007"""
1974,,,0,
1975,16.366575,29.914248,1,"=""036007"""
1976,15.13224,29.565575,1,"=""036007"""
1977,15.917857,29.57535,1,"=""036007"""
1978,15.614795,28.932692,1,"=""036007"""
1979,16.425753,30.654795,1,"=""036007"""
1980,16.501661,30.930054,1,"=""036007"""
1981,16.525896,30.018509,1,"=""036007"""
1982,16.198893,30.797522,1,"=""036007"""
1983,17.420275,29.921644,1,"=""036007"""
1984,16.075699,29.25266,1,"=""036007"""
1985,,,0,
1986,,,0,
1987,17.49945,30.390934,1,"=""036007"""
1988,18.04543,30.887705,1,"=""036007"""
1989,,,0,
1990,,,0,
1991,16.449041,30.987398,1,"=""036007"""
1992,16.619946,30.71202,1,"=""036007"""
1993,17.909065,30.77589,1,"=""036007"""
1994,16.738905,30.605206,1,"=""036007"""
1995,17.782192,30.941917,1,"=""036007"""
1996,17.48825,30.530054,1,"=""036007"""
1997,17.095617,30.06137,1,"=""036007"""
1998,17.94822,30.470411,1,"=""036007"""
1999,17.173973,29.956985,1,"=""036007"""
2000,16.854795,29.083836,1,"=""036007"""
2001,16.458357,30.199726,1,"=""036007"""
2002,16.955372,31.53719,1,"=""036007"""
2003,17.790934,31.09478,1,"=""036007"""
2004,17.153973,30.814482,1,"=""036007"""
2005,17.909918,31.278297,1,"=""036007"""
2006,17.506868,30.453022,1,"=""036007"""
2007,17.279451,30.064657,1,"=""036007"""
2008,16.638525,29.886612,1,"=""036007"""
2009,17.279451,30.919178,1,"=""036007"""
2010,16.786264,28.554121,1,"=""036007"""
2011,15.761389,29.483103,1,"=""036007"""
2012,16.052513,29.93844,1,"=""036007"""
2013,17.708124,31.819328,1,"=""036007"""
2014,17.689636,31.069553,1,"=""036007"""
2015,17.806984,31.325905,1,"=""036007"""
2016,,,0,
