Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1908,,,0,
1909,,,0,
1910,10.24876,16.774656,1,"=""092045"""
1911,9.630494,16.473425,1,"=""092045"""
1912,,,0,
1913,9.603014,17.054794,1,"=""092045"""
1914,9.881319,17.769041,1,"=""092045"""
1915,9.334616,17.051233,1,"=""092045"""
1916,9.762022,16.63716,1,"=""092045"""
1917,9.677808,16.762466,1,"=""092045"""
1918,9.948767,17.692055,1,"=""092045"""
1919,9.910685,17.343561,1,"=""092045"""
1920,9.786066,17.188797,1,"=""092045"""
1921,10.28411,17.355616,1,"=""092045"""
1922,10.05863,17.097809,1,"=""092045"""
1923,9.73022,16.808517,1,"=""092045"""
1924,,,0,
1925,9.487293,16.431507,1,"=""092045"""
1926,10.142135,16.94137,1,"=""092045"""
1927,9.504167,16.216438,1,"=""092045"""
1928,10.342896,17.080055,1,"=""092045"""
1929,9.295605,16.021645,1,"=""092045"""
1930,10.076986,16.931507,1,"=""092045"""
1931,9.483835,16.202192,1,"=""092045"""
1932,9.94317,16.367123,1,"=""092045"""
1933,9.615342,16.260822,1,"=""092045"""
1934,10.656986,16.710411,1,"=""092045"""
1935,,,0,
1936,9.840437,16.412569,1,"=""092045"""
1937,10.088767,16.634521,1,"=""092045"""
1938,9.973425,17.161644,1,"=""092045"""
1939,10.060439,16.787363,1,"=""092045"""
1940,9.369125,16.80246,1,"=""092045"""
1941,9.5501375,16.63863,1,"=""092045"""
1942,10.078082,16.572329,1,"=""092045"""
1943,9.269863,16.043133,1,"=""092045"""
1944,9.344536,16.291256,1,"=""092045"""
1945,9.287671,15.853425,1,"=""092045"""
1946,9.540947,15.47589,1,"=""092045"""
1947,9.207123,16.144384,1,"=""092045"""
1948,9.512637,15.777198,1,"=""092045"""
1949,9.003562,15.596165,1,"=""092045"""
1950,9.792603,16.349176,1,"=""092045"""
1951,9.720274,16.55452,1,"=""092045"""
1952,9.391293,16.255617,1,"=""092045"""
1953,9.464109,16.592329,1,"=""092045"""
1954,9.485753,16.454794,1,"=""092045"""
1955,9.731233,16.400822,1,"=""092045"""
1956,9.967759,16.40847,1,"=""092045"""
1957,,,0,
1958,,,0,
1959,10.134247,17.202192,1,"=""092045"""
1960,9.864481,17.3,1,"=""092045"""
1961,10.519009,17.523014,1,"=""092045"""
1962,10.052472,16.615385,1,"=""092045"""
1963,10.027747,16.737808,1,"=""092045"""
1964,9.368767,16.216806,1,"=""092045"""
1965,9.431044,16.151234,1,"=""092045"""
1966,9.848901,16.363186,1,"=""092045"""
1967,,,0,
1968,,,0,
1969,,,0,
1970,,,0,
1971,10.74274,16.492054,1,"=""092045"""
1972,10.452329,17.116438,1,"=""092045"""
1973,10.8290415,16.857534,1,"=""092045"""
1974,11.295868,16.747803,1,"=""092045"""
1975,10.523288,16.667946,1,"=""092045"""
1976,10.639891,16.575684,1,"=""092045"""
1977,10.152603,16.662466,1,"=""092045"""
1978,10.333151,16.287672,1,"=""092045"""
1979,10.64137,16.819178,1,"=""092045"""
1980,10.468219,16.940165,1,"=""092045"""
1981,11.047671,17.027122,1,"=""092045"""
1982,10.455342,17.015512,1,"=""092045"""
1983,10.51589,16.598082,1,"=""092045"""
1984,10.382787,16.548746,1,"=""092045"""
1985,10.797534,16.385479,1,"=""092045"""
1986,10.19779,16.488674,1,"=""092045"""
1987,9.996399,17.01233,1,"=""092045"""
1988,11.422039,17.753279,1,"=""092045"""
1989,,,0,
1990,,,0,
1991,10.155211,17.436666,1,"=""092045"""
1992,,,0,
1993,10.369577,17.385555,1,"=""092045"""
1994,,,0,
1995,,,0,
1996,,,0,
1997,,,0,
1998,,,0,
1999,,,0,
2000,10.852055,17.808767,1,"=""092045"""
2001,11.001945,18.114525,1,"=""092045"""
2002,10.682584,18.0309,1,"=""092045"""
2003,10.611781,17.997803,1,"=""092045"""
2004,,,0,
2005,10.709859,18.099436,1,"=""092045"""
2006,9.95427,17.804684,1,"=""092045"""
2007,11.18489,18.510714,1,"=""092045"""
2008,10.399727,17.994535,1,"=""092045"""
2009,10.727198,18.204384,1,"=""092045"""
2010,10.713462,18.739012,1,"=""092045"""
2011,10.478273,18.142458,1,"=""092045"""
2012,10.438781,18.600554,1,"=""092045"""
2013,10.888494,18.433151,1,"=""092045"""
2014,11.123287,18.397808,1,"=""092045"""
2015,10.617808,17.872602,1,"=""092045"""
2016,11.219945,18.32904,1,"=""092045"""
