Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1876,11.168493,23.910744,1,"=""069018"""
1877,10.540496,21.029202,1,"=""069018"""
1878,10.829315,21.505205,1,"=""069018"""
1879,10.177534,19.792055,1,"=""069018"""
1880,10.284384,20.56767,1,"=""069018"""
1881,10.268767,20.73507,1,"=""069018"""
1882,10.497507,20.66288,1,"=""069018"""
1883,,,0,
1884,,,0,
1885,11.131868,21.336813,1,"=""069018"""
1886,10.5643835,21.255371,1,"=""069018"""
1887,11.335891,20.860882,1,"=""069018"""
1888,10.433425,21.291803,1,"=""069018"""
1889,11.374931,21.061813,1,"=""069018"""
1890,11.075482,21.397533,1,"=""069018"""
1891,10.594751,21.263159,1,"=""069018"""
1892,10.368595,20.97178,1,"=""069018"""
1893,10.727549,21.345205,1,"=""069018"""
1894,10.688705,22.300821,1,"=""069018"""
1895,10.281593,22.429945,1,"=""069018"""
1896,10.742424,21.939451,1,"=""069018"""
1897,,,0,
1898,10.187363,22.15589,1,"=""069018"""
1899,10.130959,21.463015,1,"=""069018"""
1900,10.072528,20.881868,1,"=""069018"""
1901,9.112912,21.339725,1,"=""069018"""
1902,,,0,
1903,,,0,
1904,8.835616,21.75989,1,"=""069018"""
1905,8.767858,21.749035,1,"=""069018"""
1906,9.94821,21.843288,1,"=""069018"""
1907,9.579005,21.928926,1,"=""069018"""
1908,10.465027,20.672329,1,"=""069018"""
1909,10.453719,20.156353,1,"=""069018"""
1910,11.042061,19.998901,1,"=""069018"""
1911,11.2260275,19.891506,1,"=""069018"""
1912,,,0,
1913,11.073151,19.845879,1,"=""069018"""
1914,11.889863,20.419178,1,"=""069018"""
1915,10.903835,20.301096,1,"=""069018"""
1916,11.028142,19.6653,1,"=""069018"""
1917,10.706027,19.590685,1,"=""069018"""
1918,,,0,
1919,11.615151,20.345604,1,"=""069018"""
1920,10.706557,19.398361,1,"=""069018"""
1921,11.286575,19.683561,1,"=""069018"""
1922,11.280822,20.024658,1,"=""069018"""
1923,11.032044,20.076374,1,"=""069018"""
1924,10.800819,19.287704,1,"=""069018"""
1925,10.918356,19.212877,1,"=""069018"""
1926,11.301643,20.092876,1,"=""069018"""
1927,10.713698,19.269316,1,"=""069018"""
1928,11.702192,20.491257,1,"=""069018"""
1929,,,0,
1930,11.500551,19.782417,1,"=""069018"""
1931,11.489944,19.352602,1,"=""069018"""
1932,11.22411,19.429316,1,"=""069018"""
1933,,,0,
1934,11.923287,19.487398,1,"=""069018"""
1935,11.02445,19.55726,1,"=""069018"""
1936,10.736339,19.403006,1,"=""069018"""
1937,11.159945,19.60822,1,"=""069018"""
1938,11.593352,20.271704,1,"=""069018"""
1939,11.761157,20.159065,1,"=""069018"""
1940,,,0,
1941,,,0,
1942,11.986575,20.135616,1,"=""069018"""
1943,10.993956,18.958357,1,"=""069018"""
1944,10.800547,19.805738,1,"=""069018"""
1945,11.108493,19.336164,1,"=""069018"""
1946,11.515068,19.785479,1,"=""069018"""
1947,11.59589,19.91589,1,"=""069018"""
1948,10.62507,19.462954,1,"=""069018"""
1949,11.111814,19.511847,1,"=""069018"""
1950,,,0,
1951,11.143836,20.176165,1,"=""069018"""
