Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1895,,,0,
1896,18.279509,32.125206,1,"=""028004"""
1897,19.109589,33.28959,1,"=""028004"""
1898,18.592758,32.289387,1,"=""028004"""
1899,17.983835,31.762466,1,"=""028004"""
1900,19.224932,33.932034,1,"=""028004"""
1901,18.755342,33.76154,1,"=""028004"""
1902,,,0,
1903,,,0,
1904,,,0,
1905,,,0,
1906,,,0,
1907,,,0,
1908,,,0,
1909,,,0,
1910,,,0,
1911,,,0,
1912,,,0,
1913,,,0,
1914,18.568169,31.466116,1,"=""028004"""
1915,19.49452,33.561916,1,"=""028004"""
1916,19.868032,32.77541,1,"=""028004"""
1917,19.367945,32.046303,1,"=""028004"""
1918,19.40904,32.377808,1,"=""028004"""
1919,19.738186,32.809864,1,"=""028004"""
1920,21.214754,32.6663,1,"=""028004"""
1921,20.160164,31.958357,1,"=""028004"""
1922,18.680822,32.484657,1,"=""028004"""
1923,18.587603,32.726646,1,"=""028004"""
1924,19.623224,32.651638,1,"=""028004"""
1925,18.237911,32.132877,1,"=""028004"""
1926,19.000822,33.543835,1,"=""028004"""
1927,19.360548,32.27589,1,"=""028004"""
1928,19.07459,32.996174,1,"=""028004"""
1929,,,0,
1930,18.527122,31.852055,1,"=""028004"""
1931,19.209864,33.437534,1,"=""028004"""
1932,,,0,
1933,19.587124,32.51315,1,"=""028004"""
1934,,,0,
1935,16.013699,33.66904,1,"=""028004"""
1936,16.065754,32.95507,1,"=""028004"""
1937,15.394521,33.357693,1,"=""028004"""
1938,16.330412,33.567673,1,"=""028004"""
1939,,,0,
1940,18.548634,32.60874,1,"=""028004"""
1941,18.273973,32.37452,1,"=""028004"""
1942,19.503288,33.85178,1,"=""028004"""
1943,18.449589,33.77918,1,"=""028004"""
1944,17.807714,32.02623,1,"=""028004"""
1945,,,0,
1946,16.37521,33.054443,1,"=""028004"""
1947,19.19452,32.96767,1,"=""028004"""
1948,18.698633,33.2888,1,"=""028004"""
1949,18.580822,32.056164,1,"=""028004"""
1950,,,0,
1951,,,0,
1952,19.835793,33.82705,1,"=""028004"""
1953,18.576164,32.81041,1,"=""028004"""
1954,19.092329,32.10959,1,"=""028004"""
1955,19.527122,32.680275,1,"=""028004"""
1956,19.875137,31.988798,1,"=""028004"""
1957,18.68273,32.418663,1,"=""028004"""
1958,19.556164,33.28055,1,"=""028004"""
1959,18.759504,32.576584,1,"=""028004"""
1960,18.92865,32.63978,1,"=""028004"""
1961,18.772022,33.415554,1,"=""028004"""
1962,19.772877,33.241096,1,"=""028004"""
1963,18.49589,32.501095,1,"=""028004"""
1964,19.894262,32.66749,1,"=""028004"""
1965,18.035069,32.089043,1,"=""028004"""
1966,19.173151,33.097534,1,"=""028004"""
1967,19.182192,32.33178,1,"=""028004"""
1968,,,0,
1969,,,0,
1970,19.521917,32.86082,1,"=""028004"""
1971,19.686302,32.556988,1,"=""028004"""
1972,,,0,
1973,20.541855,32.677246,1,"=""028004"""
1974,18.886301,32.557533,1,"=""028004"""
1975,19.723288,32.60548,1,"=""028004"""
1976,,,0,
1977,,,0,
1978,19.18544,32.986263,1,"=""028004"""
1979,19.112911,31.972527,1,"=""028004"""
1980,,,0,
1981,19.717033,32.53434,1,"=""028004"""
1982,18.26033,32.61295,1,"=""028004"""
1983,20.267221,33.199722,1,"=""028004"""
1984,19.286339,32.85874,1,"=""028004"""
1985,,,0,
1986,,,0,
1987,,,0,
1988,,,0,
1989,19.98174,33.022755,1,"=""028004"""
1990,,,0,
1991,19.089863,32.864384,1,"=""028004"""
1992,19.913973,33.400276,1,"=""028004"""
1993,19.279778,32.666206,1,"=""028004"""
1994,19.201101,33.28292,1,"=""028004"""
1995,,,0,
1996,19.524931,33.02216,1,"=""028004"""
1997,18.913187,32.843563,1,"=""028004"""
1998,,,0,
1999,,,0,
2000,,,0,
2001,,,0,
2002,18.594973,33.436813,1,"=""028004"""
2003,19.679495,33.64648,1,"=""028004"""
2004,19.07933,32.36983,1,"=""028004"""
2005,18.970278,33.285637,1,"=""028004"""
2006,,,0,
2007,,,0,
2008,18.668493,32.473972,1,"=""028004"""
2009,,,0,
2010,20.356197,32.537636,1,"=""028004"""
2011,,,0,
2012,18.618837,32.919727,1,"=""028004"""
2013,19.09041,32.940933,1,"=""028004"""
2014,18.745506,32.854084,1,"=""028004"""
2015,19.176712,33.62493,1,"=""028004"""
2016,20.250555,33.77867,1,"=""028004"""
