Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1939,,,0,
1940,,,0,
1941,,,0,
1942,,,0,
1943,9.17961432506887,22.75140449438201,1,"=""018012"""
1944,9.562637362637366,23.519505494505484,1,"=""018012"""
1945,10.105205479452053,23.057967032967035,1,"=""018012"""
1946,10.412087912087904,22.616253443526176,1,"=""018012"""
1947,10.513424657534255,23.367123287671244,1,"=""018012"""
1948,9.297267759562844,23.100819672131117,1,"=""018012"""
1949,9.583561643835612,22.141917808219162,1,"=""018012"""
1950,10.02356164383561,23.2227397260274,1,"=""018012"""
1951,10.915068493150685,23.473150684931507,1,"=""018012"""
1952,9.422404371584703,22.428961748633863,1,"=""018012"""
1953,9.803835616438354,23.331506849315087,1,"=""018012"""
1954,9.854794520547953,23.283287671232866,1,"=""018012"""
1955,10.563287671232878,23.165479452054814,1,"=""018012"""
1956,9.999726775956276,22.063661202185802,1,"=""018012"""
1957,9.731506849315057,23.84712328767124,1,"=""018012"""
1958,9.907945205479452,22.218630136986288,1,"=""018012"""
1959,9.952602739726032,23.603013698630132,1,"=""018012"""
1960,10.008743169398905,22.540163934426225,1,"=""018012"""
1961,10.762191780821924,24.13945205479453,1,"=""018012"""
1962,10.441643835616437,23.37917808219179,1,"=""018012"""
1963,11.069589041095892,23.515342465753427,1,"=""018012"""
1964,10.47759562841529,23.05928961748632,1,"=""018012"""
1965,11.269315068493153,24.3550684931507,1,"=""018012"""
1966,10.984931506849316,22.943835616438385,1,"=""018012"""
1967,10.505753424657543,23.65342465753424,1,"=""018012"""
1968,11.409836065573764,23.197814207650282,1,"=""018012"""
1969,9.650684931506847,22.97890410958904,1,"=""018012"""
1970,9.698356164383563,23.464109589041115,1,"=""018012"""
1971,10.058082191780828,22.991780821917825,1,"=""018012"""
1972,9.87568306010929,23.768306010928963,1,"=""018012"""
1973,11.173901098901096,23.804407713498616,1,"=""018012"""
1974,10.878082191780816,23.056712328767116,1,"=""018012"""
1975,10.739452054794514,23.66246575342464,1,"=""018012"""
1976,9.746448087431691,23.027049180327857,1,"=""018012"""
1977,10.299452054794516,24.061643835616437,1,"=""018012"""
1978,10.100273972602727,22.557534246575333,1,"=""018012"""
1979,10.485205479452041,23.60794520547942,1,"=""018012"""
1980,10.289344262295073,24.28251366120221,1,"=""018012"""
1981,10.777534246575332,23.804109589041087,1,"=""018012"""
1982,10.594520547945201,24.25260273972603,1,"=""018012"""
1983,10.405753424657519,23.434246575342456,1,"=""018012"""
1984,9.999999999999995,23.015846994535526,1,"=""018012"""
1985,10.255342465753419,23.464109589041087,1,"=""018012"""
1986,10.124109589041096,22.94328767123289,1,"=""018012"""
1987,9.998904109589033,22.97315068493149,1,"=""018012"""
1988,10.76483516483517,23.65218579234973,1,"=""018012"""
1989,10.660989010989011,22.913698630136995,1,"=""018012"""
1990,11.03698630136986,23.511232876712313,1,"=""018012"""
1991,10.819452054794525,23.85780821917807,1,"=""018012"""
1992,10.566393442622955,22.241256830601092,1,"=""018012"""
1993,10.402739726027391,23.71808219178082,1,"=""018012"""
1994,10.110684931506842,24.11616438356165,1,"=""018012"""
1995,10.671506849315069,23.1531506849315,1,"=""018012"""
1996,9.973972602739721,23.675683060109282,1,"=""018012"""
1997,10.277260273972605,23.195068493150696,1,"=""018012"""
1998,10.389041095890398,23.475068493150665,1,"=""018012"""
1999,10.764560439560436,23.946575342465742,1,"=""018012"""
2000,11.25945205479452,23.864207650273233,1,"=""018012"""
2001,10.618630136986297,23.458082191780807,1,"=""018012"""
2002,10.330410958904105,23.892054794520554,1,"=""018012"""
2003,10.747945205479452,23.574520547945202,1,"=""018012"""
2004,10.751639344262294,23.525409836065577,1,"=""018012"""
2005,10.72136986301369,24.328767123287676,1,"=""018012"""
2006,10.394246575342464,23.797808219178073,1,"=""018012"""
2007,10.537808219178087,25.14712328767126,1,"=""018012"""
2008,10.79234972677595,24.369398907103818,1,"=""018012"""
2009,11.251232876712333,24.604657534246563,1,"=""018012"""
2010,11.021643835616437,23.460273972602746,1,"=""018012"""
2011,11.283013698630137,23.778356164383563,1,"=""018012"""
2012,10.471311475409834,24.121584699453543,1,"=""018012"""
2013,11.83698630136987,25.007967032967024,1,"=""018012"""
2014,11.089835164835167,24.553846153846166,1,"=""018012"""
2015,10.61408839779005,23.96408839779003,1,"=""018012"""
2016,10.833698630137,23.45819672131149,1,"=""018012"""
