Year,YearAverageMin,YearAverageMax,NumberOfSites,Sites
1941,,,0,
1942,24.21142,33.892242,1,"=""001021"""
1943,,,0,
1944,,,0,
1945,,,0,
1946,19.001644,34.162464,1,"=""001021"""
1947,20.243288,33.971508,1,"=""001021"""
1948,19.462841,34.0694,1,"=""001021"""
1949,18.984657,33.289864,1,"=""001021"""
1950,19.941645,33.340275,1,"=""001021"""
1951,20.47315,34.153152,1,"=""001021"""
1952,20.647814,34.959564,1,"=""001021"""
1953,20.055069,34.109314,1,"=""001021"""
1954,20.352877,34.008766,1,"=""001021"""
1955,21.635342,33.357807,1,"=""001021"""
1956,21.249035,33.915615,1,"=""001021"""
1957,20.663187,33.246704,1,"=""001021"""
1958,20.723288,35.07123,1,"=""001021"""
1959,20.740274,34.174793,1,"=""001021"""
1960,19.864931,33.53315,1,"=""001021"""
1961,19.392603,33.99589,1,"=""001021"""
1962,20.11573,34.612877,1,"=""001021"""
1963,19.823013,33.66959,1,"=""001021"""
1964,20.968033,34.414207,1,"=""001021"""
1965,20.016758,34.401375,1,"=""001021"""
1966,20.875624,34.604656,1,"=""001021"""
1967,19.37863,34.15589,1,"=""001021"""
1968,21.358744,33.626503,1,"=""001021"""
1969,20.232328,34.947124,1,"=""001021"""
1970,20.428219,35.484932,1,"=""001021"""
1971,,,0,
1972,20.432514,35.40492,1,"=""001021"""
1973,21.958357,34.61644,1,"=""001021"""
1974,20.61589,33.35096,1,"=""001021"""
1975,21.143562,34.227673,1,"=""001021"""
1976,19.360382,33.868034,1,"=""001021"""
1977,19.824932,33.733425,1,"=""001021"""
1978,20.833242,34.84959,1,"=""001021"""
1979,,,0,
1980,,,0,
1981,21.330685,35.19315,1,"=""001021"""
1982,19.382778,34.228333,1,"=""001021"""
1983,20.383196,34.734074,1,"=""001021"""
1984,,,0,
1985,19.921568,35.059776,1,"=""001021"""
1986,,,0,
1987,,,0,
1988,,,0,
1989,,,0,
1990,20.775343,34.64822,1,"=""001021"""
1991,20.969973,34.31602,1,"=""001021"""
1992,21.594809,34.627594,1,"=""001021"""
1993,21.58685,33.983013,1,"=""001021"""
1994,19.914846,33.85686,1,"=""001021"""
1995,21.477472,33.753166,1,"=""001021"""
1996,20.895277,34.10889,1,"=""001021"""
1997,,,0,
1998,,,0,
1999,,,0,
2000,21.687052,33.267216,1,"=""001021"""
2001,21.618156,34.02853,1,"=""001021"""
2002,20.011538,35.362637,1,"=""001019"""
2003,20.531216,34.927425,1,"=""001019"""
2004,20.8827015,33.941365000000005,2,"=""001019;001021"""
2005,21.156199,35.122192,1,"=""001019"""
2006,19.736872,33.157894,1,"=""001019"""
2007,20.631092,34.33844,1,"=""001019"""
2008,,,0,
2009,,,0,
2010,21.650137,33.993114,1,"=""001019"""
2011,19.118458,32.718956,1,"=""001019"""
2012,,,0,
2013,20.66338,34.68154,1,"=""001019"""
2014,20.43096,34.247528,1,"=""001019"""
2015,20.010084,34.67871,1,"=""001019"""
2016,21.724176,36.025204,1,"=""001019"""
