Date,Precipitation,TMax,TMin
19840808,0,414,279
19930510,0,317,186
19940308,0,355,200
19940612,0,435,248
19940926,0,383,220
19960224,500,244,94
19960225,0,250,126
19961219,0,254,110
19961221,0,251,114
19961222,0,291,142
19961224,0,244,146
19961225,0,244,147
19961226,0,246,134
19961227,0,264,128
19961228,0,262,133
19961229,0,254,118
19970101,0,260,134
19970102,0,242,121
19970104,0,234,136
19970105,0,231,140
19970106,0,236,128
19970107,0,243,116
19970108,0,258,105
19970109,0,244,52
19970110,0,240,97
19970112,0,234,103
19970115,0,278,130
19970117,0,281,182
19970119,0,236,139
19970123,0,222,126
19970124,0,251,114
19970126,0,197,124
19970128,0,201,106
19970129,0,212,96
19970130,0,235,113
19970203,0,222,128
19970207,0,216,159
19970208,0,215,156
19970211,0,261,124
19970212,0,240,156
19970215,0,232,142
19970216,0,225,156
19970217,0,224,118
19970218,0,242,112
19970219,0,308,131
19970220,0,333,142
19970221,0,352,207
19970222,0,344,213
19970226,0,283,125
19970227,0,247,140
19970302,0,241,119
19970305,0,350,200
19970307,0,299,147
19970310,0,324,191
19970311,0,336,200
19970312,0,330,210
19970318,0,251,152
19970321,0,240,145
19970322,0,250,144
19970324,0,313,192
19970325,0,314,202
19970327,0,301,164
19970403,0,265,146
19970404,0,316,159
19970405,0,353,181
19970409,0,364,189
19970410,0,401,195
19970413,0,263,182
19970414,0,266,162
19970415,0,302,125
19970416,0,348,160
19970417,0,355,193
19970418,0,373,198
19970422,0,313,174
19970426,0,330,173
19970427,0,336,186
19970428,0,374,194
19970501,0,372,200
19970502,0,344,200
19970504,0,348,179
19970505,0,426,198
19970508,0,306,206
19970509,0,321,211
19970510,0,343,193
19970511,0,342,189
19970512,0,392,200
19970514,0,402,198
19970515,0,400,202
19970516,0,382,216
19970517,0,386,228
19970518,0,397,234
19970519,0,393,235
19970520,0,397,233
19970521,0,380,227
19970524,0,408,255
19970525,0,395,250
19970526,0,424,244
19970527,0,398,239
19970528,0,440,258
19970530,0,426,238
19970601,0,434,273
19970602,0,400,249
19970604,0,336,205
19970605,0,375,239
19970606,0,433,263
19970608,0,418,234
19970609,0,402,240
19970611,0,452,253
19970612,0,457,275
19970614,0,436,254
19970615,0,414,247
19970617,0,457,278
19970618,0,426,286
19970619,0,405,298
19970621,0,387,231
19970625,0,382,257
19970626,0,403,265
