Date,Precipitation,TMax,TMin
19540518,30,328,250
19540522,41,306,256
19540526,310,311,239
19540605,10,333,250
19540609,51,306,239
19540612,330,306,233
19540615,399,328,244
19540616,541,317,239
19540628,20,339,267
19540705,51,300,244
19540706,279,300,244
19540708,5,328,250
19540714,30,278,239
19540723,30,311,250
19540724,10,317,267
19540727,599,317,233
19540730,109,328,250
19540731,71,322,261
19540803,61,311,250
19540806,41,306,250
19540811,429,294,239
19540814,221,267,239
19540815,10,289,233
19540820,140,306,239
19540821,30,306,256
19540826,79,311,239
19540829,10,294,250
19540912,30,317,244
19540919,150,289,250
19540929,3,328,261
19541004,191,278,239
19541005,150,317,239
19541010,10,328,239
19541017,61,328,250
19541027,140,311,250
19541102,10,311,250
19541110,89,339,233
19541111,0,322,261
19541117,20,322,228
19550508,109,372,239
19550522,409,289,228
19550523,320,300,239
19550526,89,328,250
19550602,899,250,222
19550611,89,300,250
19550620,79,328,261
19550627,61,289,239
19550628,419,261,239
19550701,191,311,228
19550709,99,278,250
19550710,61,322,239
19550714,320,311,250
19550718,41,289,239
19550721,30,289,261
19550722,41,311,261
19550728,89,300,239
19550731,71,311,250
19550802,5,311,239
19550804,41,328,261
19550817,20,289,228
19550819,20,289,239
19550830,310,278,239
19550901,320,300,228
19550909,180,278,250
19550911,41,311,261
19550915,51,311,239
19550922,290,328,239
19550925,5,322,250
19550927,0,311,272
19551005,330,322,222
19551010,119,322,239
19551025,61,311,261
19560513,0,300,250
19560519,0,289,261
19560614,160,322,261
19560615,10,322,261
19560616,61,311,261
19560620,0,289,239
19560623,20,339,239
19560627,231,322,261
19560628,0,311,261
19560702,0,300,228
19560706,521,239,228
19560714,130,322,239
19560715,0,328,272
19560717,170,272,261
19560719,340,272,222
19560722,51,272,239
19560723,701,300,239
19560727,160,311,239
19560728,119,300,239
19560729,239,311,239
19560731,259,278,228
19560804,701,272,228
19560805,51,272,239
19560808,71,311,261
19560810,450,311,261
19560812,41,322,239
19560813,0,289,261
19560814,191,372,239
19560816,0,278,239
19560818,0,289,261
19560824,99,311,250
19560825,99,300,261
19560826,51,328,239
19560904,10,311,250
19560905,10,322,261
19560913,0,322,239
