Date,Precipitation,TMax,TMin
19650607,0,189,100
19650813,10,161,111
19660611,10,172,61
19660612,0,172,61
19660614,330,172,72
19660616,20,172,111
19660617,0,172,78
19660623,0,161,61
19661109,0,189,100
19670418,10,172,122
19670419,0,161,122
19670719,71,122,50
19670828,0,172,61
19680522,5,178,72
19680617,279,178,111
19680618,0,178,78
19681219,10,211,122
19681220,0,211,128
19730115,0,280,120
19730326,0,190,130
19730330,0,200,120
19730412,0,190,130
19730422,0,180,130
19730507,0,150,120
19730512,0,140,90
19730517,0,190,90
19730527,0,220,90
19730808,0,150,70
19730821,511,170,50
19740304,0,190,110
19740310,0,190,100
19740319,0,190,100
19740320,0,190,110
19740328,0,170,110
19740404,0,210,90
19740408,0,180,130
19740414,0,160,120
19740423,0,160,80
19740426,0,150,70
19740511,0,150,60
19740514,511,200,100
19740515,0,170,110
19740518,511,180,80
19740527,0,170,80
19740605,0,170,50
19740606,0,160,80
19740610,0,160,50
19740620,0,160,60
19740622,0,150,60
19740628,0,160,100
19740719,0,160,40
19740720,0,140,50
19740721,0,130,90
19740803,0,150,50
19740804,0,140,50
19740810,0,150,70
19740817,0,130,100
19740820,0,140,70
19740825,0,150,80
19740903,0,140,50
19740905,0,150,40
19740911,0,160,70
19740919,0,170,100
19740929,0,180,70
19741003,0,140,100
19741013,3,150,110
19741016,0,180,70
19741026,0,170,60
19741030,0,190,100
19741109,0,180,90
19741110,0,170,90
19741115,511,180,90
19741119,0,200,90
19741120,0,190,100
19741122,0,170,110
19741126,0,200,100
19741127,0,170,100
19741203,0,190,110
19741205,0,280,120
19741206,0,180,110
19741208,0,200,100
19741210,0,200,130
19741219,0,190,130
19741220,0,190,120
19741223,0,190,130
19741231,0,190,120
19750103,511,220,120
19750110,0,210,110
19750112,0,200,140
19750113,511,200,140
19750115,0,210,140
19750123,0,230,140
19750126,511,210,140
19750202,511,240,170
19750206,511,250,140
19750331,0,190,110
19750703,511,150,70
19750707,0,170,70
19750723,511,160,40
19750801,511,140,90
19750805,511,170,60
19750809,511,150,70
19750810,0,150,50
19751001,0,170,60
19751028,511,190,80
19751104,511,180,80
19760114,511,210,120
19760117,711,220,140
19760120,511,220,120
19760210,511,210,120
19760211,0,210,120
19760408,0,170,80
19760521,0,140,50
19760922,0,170,80
19760926,0,170,110
19760928,0,180,110
19761001,0,180,70
19761002,0,170,120
19761008,0,180,110
19761012,0,200,80
19761014,0,200,90
19761015,0,200,90
19761018,0,190,90
19761019,0,200,80
19761024,0,170,130
19761025,0,170,110
19761026,0,180,120
19761028,0,170,90
19761101,0,210,90
19761104,0,220,130
19761107,0,200,140
19761108,0,200,100
19761111,0,200,110
19761112,0,190,140
19761114,0,210,140
19761119,0,210,110
19761120,0,200,120
19761121,0,180,140
19761123,0,200,110
19761125,0,180,120
19761127,0,200,110
19761128,0,200,120
19761129,0,180,120
19761203,0,240,120
19761204,0,200,120
19761205,0,200,140
19761207,0,210,130
19761211,0,220,140
19761216,0,220,140
19761217,0,230,150
19761219,0,230,140
19761220,0,240,140
19761221,0,220,140
19761223,0,210,130
19761225,0,220,120
19761226,0,220,140
19761227,0,220,130
19761228,0,220,140
19761231,0,240,140
19770101,0,230,150
19770103,0,210,140
19770105,0,230,150
19770108,0,240,150
19770110,0,240,140
19770111,0,240,140
19770112,0,220,130
19770114,0,230,130
19770117,0,220,150
19770119,0,230,140
19770120,0,230,150
19770121,0,230,150
19770122,0,230,160
19770123,1999,230,150
19770126,0,220,130
19770127,0,220,150
19770129,0,240,150
19770130,0,240,120
19770131,0,240,140
19770202,0,230,150
19770204,0,230,140
19770205,0,220,140
19770209,0,230,140
19770210,0,220,140
19770212,0,230,130
19770213,0,220,120
19770214,0,210,150
19770215,0,210,150
19770216,0,200,110
19770218,0,230,140
19770219,0,210,130
19770220,0,220,140
19770222,0,210,140
19770223,0,220,130
19770226,0,210,140
19770227,0,220,140
19770228,0,210,130
