Date,Precipitation,TMax,TMin
19730705,0,270,180
19730706,0,280,190
19730710,0,270,180
19730720,79,270,100
19730728,79,260,180
19730805,140,240,180
19730807,0,270,180
19730811,51,240,180
19730820,130,240,180
19730827,0,250,190
19730829,20,260,190
19730901,10,300,180
19730902,89,230,190
19730904,0,250,190
19730905,5,260,180
19730907,0,260,190
19730908,0,240,180
19730909,3099,230,170
19730910,20,360,170
19730917,0,280,170
19730918,109,280,180
19730920,41,280,190
19730921,0,290,180
19730922,89,260,190
19730924,20,250,180
19730925,0,280,180
19730928,30,280,190
19730929,0,270,180
19731004,0,310,190
19731016,71,280,180
19731019,0,280,170
19731109,0,290,170
19731111,0,300,170
19731119,0,300,170
19731125,0,300,160
19731202,0,260,200
19731218,0,320,170
19731222,0,310,170
19740102,0,290,180
19740107,0,290,160
19740226,0,250,200
19740311,0,330,200
19740324,30,270,170
19740327,0,300,210
19740328,30,300,190
19740424,249,270,180
19740507,5,240,190
19740615,51,280,160
19740630,0,260,180
19740704,0,270,170
19740713,30,230,180
19740720,160,260,180
19740721,61,280,170
19740730,41,260,180
19740809,89,280,180
19740821,61,250,170
19740824,51,270,190
19740828,99,260,170
19740831,5,260,180
19740901,41,250,170
19740907,259,280,170
19740912,41,240,170
19740914,71,250,180
19740929,249,270,170
19741104,0,290,170
19741108,0,290,180
19741207,0,280,140
19741209,0,290,170
19741212,0,300,170
19761003,20,270,170
19761006,201,280,170
19761009,0,270,170
19761027,0,280,180
19761106,361,280,180
19761109,0,290,170
19761113,0,290,180
19761114,0,300,170
19761124,0,300,170
19761126,0,300,190
19761127,0,290,170
19761129,0,280,150
19761201,0,300,160
19761202,0,300,160
19761204,0,310,170
19761218,0,320,190
19770103,0,300,170
19770122,0,310,170
19770126,0,320,190
19770127,0,270,180
19770129,0,300,110
19770130,0,310,190
19770131,0,320,200
19770201,0,320,170
19770202,0,320,190
19770203,0,310,190
19770206,0,290,160
19770207,0,290,160
19770208,0,300,170
19770212,0,330,210
19770215,0,330,190
19770216,0,340,190
19770218,0,320,200
19770219,0,280,190
19770220,0,320,210
19770221,0,320,200
19770227,0,330,210
19770301,0,330,200
19770302,0,320,200
19770303,0,310,200
19770305,0,300,180
19770319,0,320,210
19770321,0,340,200
19770322,0,340,220
19770324,0,310,200
19770331,5,320,190
19770401,0,340,210
19770404,0,310,200
19770407,0,320,220
19770408,0,300,200
19770411,0,320,210
19770414,0,330,200
19770415,109,320,190
19770416,391,270,180
19770418,0,320,220
19770419,0,330,210
19770420,0,340,220
19770421,0,330,210
19770422,0,310,220
19770424,361,310,180
19770425,0,310,200
19770426,0,300,220
19770428,89,290,180
19770430,61,280,200
19770505,0,290,200
19770506,0,300,190
19770507,130,300,190
19770508,0,290,200
19770509,0,300,200
19770511,0,260,180
19770513,0,330,190
19770514,150,300,190
19770515,0,310,200
19770516,140,290,180
19770517,0,290,210
19770520,0,290,210
19770523,0,280,190
19770529,10,250,200
19770605,99,270,180
19770608,0,300,190
19770610,160,260,170
19770611,0,280,180
19770612,0,280,180
19770613,269,250,180
19770615,201,250,170
19770619,41,260,180
19770620,41,270,190
19770622,79,260,120
19770624,0,280,190
19770627,0,250,200
19770628,0,240,180
19770629,0,270,190
19770630,371,250,170
19770701,439,240,180
19770702,10,260,160
19770703,140,230,170
19770704,10,200,180
19770705,259,240,170
19770706,0,270,180
19770708,89,270,170
19770710,0,270,170
19770711,41,230,180
19770712,0,270,140
19770713,0,270,180
19770714,119,260,180
19770717,109,260,180
19770718,79,260,190
19770719,419,250,180
19770720,3,260,180
19770722,201,250,170
19770723,0,240,190
19770728,71,270,180
19770729,0,250,190
19770731,0,250,200
19770802,0,260,190
19770803,0,230,180
19770808,20,230,180
19770809,0,260,180
19770813,330,250,170
19770820,0,290,180
19770821,20,220,190
19770822,20,250,180
19770823,320,260,170
19770824,191,240,190
19770826,150,250,180
19770827,0,270,180
19770828,221,260,170
19770830,211,260,180
19770901,10,280,190
19770902,211,240,180
19770903,20,250,190
19770904,160,260,190
19770910,221,250,180
19770912,71,260,170
19770913,20,260,180
19770914,0,280,180
19770915,490,250,170
19770916,99,300,170
19770921,5,250,160
19770922,0,260,170
19770923,0,290,180
19770925,10,250,190
19770927,0,280,180
19770928,20,270,180
19771002,99,250,160
19771007,89,240,190
19771008,10,240,190
19771010,0,290,180
19771012,340,270,170
19771014,0,280,190
19771017,10,270,170
19771018,5,290,180
19771020,61,270,180
19771021,0,290,180
19771022,0,290,170
19771023,0,290,190
19771025,0,290,180
19771026,0,290,170
19771028,0,300,170
19771030,0,300,160
19771102,0,300,180
19771105,0,300,190
19771107,0,300,200
19771117,0,290,210
19771118,0,300,190
19771119,0,310,170
19771122,0,320,200
19771125,0,320,170
19771204,0,290,190
19771206,0,260,170
19771211,0,310,180
19771212,0,290,170
19771213,0,290,160
19771219,0,310,180
19771220,0,310,180
19771223,0,290,110
19771224,0,280,160
19771226,0,260,140
19771227,0,270,130
19771229,0,300,160
19771230,0,310,180
19771231,0,310,180
19780101,0,300,180
19780102,0,320,180
19780104,0,320,170
19780106,0,300,160
19780109,0,270,160
19780110,0,270,150
19780112,0,290,160
19780116,0,320,170
19780117,0,320,180
19780118,0,320,190
19780120,0,310,170
19780121,0,320,180
19780122,0,320,190
19780123,0,320,180
19780128,0,330,190
19780129,0,330,180
19780131,0,330,190
19780207,0,330,190
19780208,0,320,180
19780215,0,330,210
19780218,0,320,200
19780219,0,330,220
19780220,0,330,200
19780221,0,340,200
19780227,79,310,220
19780302,0,310,200
19780303,0,300,190
19780308,391,270,170
19780311,20,320,200
19780313,0,310,190
19780315,0,310,190
19780319,30,310,210
19780320,0,320,210
19780321,0,310,200
19780323,0,330,200
19780326,231,300,210
19780327,20,320,210
19780331,61,280,210
19780403,20,300,180
19780404,0,300,200
19780406,79,280,200
19780414,10,280,180
19780416,99,290,190
19780426,0,300,200
19780428,79,290,100
19780502,191,280,180
19780503,0,300,200
19780504,0,310,200
19780506,119,260,190
19780509,30,270,180
19780512,340,270,180
19780513,0,250,190
19780514,20,280,180
19780515,41,290,200
19780516,0,290,190
19780517,0,290,200
19780518,0,300,210
19780519,201,250,190
19780520,0,280,190
19780522,0,280,190
19780524,0,280,190
19780529,201,280,180
19780531,0,290,200
19780602,10,280,200
19780603,140,260,110
19780605,249,250,170
19780606,239,250,180
19780608,0,270,180
19780614,10,270,170
19780619,71,270,180
19780709,0,240,180
19780711,0,260,180
19780720,41,250,180
19780729,0,260,160
19780731,249,250,180
19780801,269,250,180
19780802,99,240,190
19780804,71,250,170
19780805,0,250,180
19780807,0,270,180
19780808,20,230,180
19780809,30,260,170
19780810,0,280,190
19780811,290,260,170
19780812,130,280,190
19780813,89,280,180
19780819,470,250,180
19780820,0,250,190
19780821,10,250,180
19780823,10,260,200
19780824,79,240,190
19780825,30,240,190
19780827,0,270,180
19780831,0,260,180
19780901,201,260,180
19780904,51,260,180
19780906,259,240,170
19780909,150,260,170
19780915,150,290,180
19780916,279,240,180
19780917,0,250,180
19780921,0,280,160
19780922,300,280,170
19780923,0,260,180
19780925,0,290,180
19780928,340,230,180
19780930,0,280,180
19781011,249,280,170
19781016,0,280,190
19781017,130,240,180
19781018,10,270,180
19781024,99,270,180
19781028,61,250,180
19781030,30,280,170
19781102,0,290,180
19781104,0,300,180
19781106,0,310,190
19781107,0,300,180
19781111,0,290,160
19781112,0,290,170
19781113,0,290,150
19781115,0,300,170
19781118,0,300,180
19781120,0,300,170
19781122,0,300,170
19781124,0,290,160
19781125,0,300,170
19781126,0,300,170
19781129,0,310,170
19781201,0,310,200
19781204,0,300,200
19781205,0,310,190
19781206,0,310,180
19781208,0,310,190
19781209,0,320,180
19781210,0,310,170
19781211,0,290,190
19781216,0,300,170
19781220,0,320,170
19781222,0,310,160
19781224,0,310,160
19781226,0,320,170
19781228,0,300,190
19781230,0,310,130
19790101,0,310,170
19790104,0,320,190
19790105,0,310,180
19790107,0,310,180
19790109,0,320,200
19790111,0,300,200
19790112,0,310,170
19790122,0,330,190
19790205,0,320,190
19790206,0,330,200
19790207,0,320,200
19790209,0,320,200
19790220,0,330,190
19790221,0,320,200
19790223,0,320,210
19790224,0,310,210
19790225,0,330,190
19790226,0,330,220
19790301,0,240,180
19790302,0,310,180
19790304,20,330,210
19790307,0,320,210
19790308,0,330,210
19790309,0,320,230
19790310,0,310,210
19790322,0,330,220
19790325,0,330,200
19790327,0,290,180
19790328,0,320,190
19790329,0,310,200
19790401,381,270,170
19790403,0,320,210
19790405,0,320,200
19790406,0,280,220
19790407,0,290,210
19790408,0,290,210
19790412,10,300,210
19790413,191,300,190
19790414,99,310,210
19790415,20,310,210
19790417,0,300,200
19790418,0,320,210
19790420,71,280,200
19790421,0,290,200
19790422,41,270,190
19790423,0,290,200
19790424,221,290,200
19790425,0,290,200
19790427,0,300,220
19790428,0,260,210
19790430,0,270,200
19790504,221,280,200
19790506,61,240,180
19790507,0,270,190
19790511,150,290,190
19790513,0,310,190
19790515,180,290,190
19790517,231,290,180
19790522,41,270,190
19790730,20,250,190
19790801,20,260,170
19790803,211,240,170
19790804,20,260,180
19790809,0,250,200
19790811,0,230,190
19790815,89,250,190
19790824,0,290,190
19790828,30,240,180
19790829,20,250,180
19790831,0,290,180
19790901,0,220,190
19790902,130,270,170
19790903,0,240,190
19790910,79,280,170
19790912,150,230,170
19790913,0,270,170
19791011,71,340,180
19791028,99,260,170
19791108,0,270,180
19791202,0,290,170
19791209,0,300,160
19791214,0,310,170
19791231,0,300,170
19800103,0,320,170
19800104,0,320,180
19800106,0,320,170
19800107,0,310,170
19800229,0,340,210
19800604,79,280,190
19800605,180,290,190
19800621,0,260,190
19800623,30,290,180
19800624,0,220,200
19800627,0,270,190
19800629,0,260,190
19800706,0,250,180
19800707,0,270,190
19800708,109,210,190
19800709,79,270,190
19800725,0,270,200
19800727,5,250,180
19800811,0,280,180
19800814,0,270,190
19800819,79,230,180
19800827,41,270,180
19800828,0,280,190
19800830,0,270,170
19800917,351,280,170
19800922,71,270,180
19800923,0,310,190
19801212,0,270,160
19801214,0,290,150
19801216,0,300,150
19801218,0,300,180
19801220,0,300,170
19801221,0,310,170
19801224,0,300,170
19801227,0,270,120
19801229,0,290,160
19801230,0,320,180
19810104,0,310,150
19810109,10,300,170
19810117,0,320,180
19810211,0,300,160
19810212,0,310,160
19810213,0,330,140
19810214,0,330,190
19810226,0,330,200
19810227,1999,330,220
19810307,0,330,210
19810314,0,320,210
19810318,0,330,210
19810420,79,280,190
19810421,551,330,190
19810505,0,280,210
19810506,0,280,200
19810515,0,280,200
19810528,20,270,180
19810529,0,230,190
19810601,30,300,190
19810603,0,280,200
19810604,0,280,200
19810605,20,290,180
19810607,160,290,190
19810608,89,270,190
19810609,0,210,180
19810611,0,270,190
19810612,0,290,190
19810613,0,280,190
19810614,0,270,190
19810615,10,270,180
19810616,41,280,180
19810617,20,290,190
19810619,191,230,190
19810620,0,270,190
19810622,0,280,190
19810623,41,280,180
19810624,20,260,180
19810626,290,240,170
19810627,0,270,180
19810628,0,270,190
19810629,0,260,190
19810630,10,270,180
19810701,51,270,180
19810703,191,260,190
19810706,599,270,160
19810708,51,250,190
19810712,99,230,170
19810713,0,240,180
19810714,0,250,180
19810715,0,260,180
19810720,160,240,170
19810721,0,250,190
19810723,89,230,190
19810724,51,240,180
19810725,71,250,180
19810726,20,240,180
19810727,0,210,190
19810802,51,240,180
19810815,71,260,190
19810817,0,210,190
19810818,20,240,180
19810819,3,220,190
19810822,130,270,170
19810829,140,280,180
19810830,0,280,180
19810831,511,240,170
19810901,0,270,170
19810902,5,260,190
19810903,170,260,180
19810904,51,240,170
19810906,231,240,170
19810908,0,260,190
19810910,140,240,180
19810911,51,260,170
19810912,79,270,190
19810913,61,270,170
19810914,0,290,190
19810916,290,260,170
19810920,10,240,180
19810927,0,280,190
19811007,71,300,200
19811021,0,270,180
19811201,0,300,150
19811202,0,310,180
19811204,0,320,190
19811206,0,300,170
19811211,0,320,180
19811214,0,310,180
19811218,0,310,180
19811219,0,310,190
19811220,0,310,180
19811221,0,320,190
19811222,0,310,200
19811223,0,310,190
19820301,5,243,180
19820302,0,316,194
19820313,719,312,204
19820314,71,310,178
19820319,99,265,178
19820320,0,310,192
19820410,41,300,184
19820504,180,285,170
19820509,0,270,184
19820523,41,280,180
19820526,0,272,180
19820601,79,258,180
19820606,10,260,178
19820607,0,292,192
19820617,30,270,190
19820620,330,258,170
19820621,0,280,198
19820705,371,255,170
19820727,259,265,186
19820816,79,230,180
19820820,589,272,175
19820824,450,230,175
19820825,10,238,180
19820827,51,270,168
19820908,150,252,174
19820909,20,255,180
19820910,0,275,180
19820911,10,290,185
19820912,201,265,186
19820913,239,255,172
19820915,79,282,176
19820917,0,295,195
19820918,20,280,175
19820919,300,242,176
19820921,20,266,173
19820922,51,280,180
19820923,5,260,175
19820930,41,262,178
19821005,0,276,168
19821017,79,275,180
19821021,61,267,167
19821022,0,270,175
19821023,5,250,172
19821103,79,278,166
19830401,249,298,185
19830429,10,312,188
19830430,0,335,205
19830513,5,306,192
19830514,0,320,206
19830530,0,280,190
19830617,0,286,194
19830622,71,242,163
19830814,61,250,172
19830816,170,260,185
19831010,3,275,185
19831012,221,275,174
19831111,3,274,186
19831112,0,280,185
19831115,20,290,194
19831116,0,275,175
19831208,71,290,175
19840311,279,320,172
19840312,0,330,180
19840416,211,260,183
19840421,170,277,177
19840430,0,290,182
19840502,30,250,184
19840512,30,295,198
19840513,30,270,200
19840514,0,295,190
19840729,20,270,180
19840803,10,255,175
19840808,130,262,168
19840820,10,260,163
19840821,71,260,165
19840822,119,240,177
19840831,89,236,178
19840902,89,265,180
19840903,109,280,164
19840906,231,258,170
19840907,0,280,187
19840916,61,250,170
19840917,10,304,185
19841005,30,275,172
19841008,5,270,180
19841017,170,290,180
19841018,0,245,182
19850322,5,295,194
19850325,119,280,186
19850327,99,285,180
19850331,10,315,195
19850402,41,280,186
19850410,119,277,186
19850418,30,291,190
19850419,0,250,196
19850421,0,305,190
19850508,5,295,195
19850512,0,295,195
19850513,0,285,204
19850515,5,255,180
19850516,0,290,185
19850519,320,275,185
19850520,150,260,170
19850521,119,285,187
19850524,140,250,190
19850525,10,260,190
19850622,79,260,175
19850623,0,265,175
19850627,119,255,184
19850702,150,265,180
19850703,450,252,168
19850704,0,262,178
19850705,3,235,182
19850708,99,265,176
19850710,20,255,177
19850712,119,254,180
19850714,89,255,174
19850715,10,245,190
19850716,5,255,185
19850717,371,235,176
19850718,5,265,166
19850729,41,260,174
19850730,0,260,178
19850731,10,270,185
19850801,160,275,180
19850803,490,255,175
19850804,10,281,172
19850805,130,244,186
19850806,201,258,182
19850812,79,252,175
19850813,130,264,175
19850814,201,220,175
19850819,0,270,178
19850820,61,275,175
