Date,Precipitation,TMax,TMin
19570701,0,411,239
19570702,0,411,228
19570703,0,400,250
19570704,0,411,250
19570705,0,422,239
19570706,0,428,250
19570707,0,422,261
19570708,0,428,261
19570710,0,439,261
19570711,0,439,278
19570712,0,439,250
19570713,0,422,250
19570714,0,411,261
19570715,0,422,261
19570716,0,411,261
19570717,0,422,261
19570718,0,428,272
19570719,0,439,250
19570720,0,422,261
19570721,0,422,261
19570722,0,428,250
19570723,0,439,250
19570724,0,461,278
19570725,0,461,272
19570726,0,439,272
19570727,0,411,289
19570728,0,422,250
19570729,0,411,250
19570730,0,422,250
19570731,0,461,239
19570801,0,461,272
19570802,0,461,278
19570803,0,478,300
19570804,0,461,300
19570805,0,450,289
19570806,0,461,300
19570807,0,450,289
19570808,0,400,278
19570809,0,411,261
19570810,0,422,261
19570811,0,439,272
19570812,0,439,261
19570813,0,428,261
19570814,0,450,272
19570815,0,439,250
19570816,0,450,239
19570817,0,439,250
19570818,0,428,250
19570819,0,428,239
19570820,0,450,278
19570821,0,461,261
19570822,0,450,278
19570823,0,450,278
19570824,0,461,261
19570825,0,450,272
19570826,0,439,261
19570827,0,411,272
19570828,0,411,250
19570829,0,411,261
19570830,0,411,261
19570831,0,411,261
19570901,0,400,272
19570903,0,389,228
19570904,0,400,222
19570905,0,411,228
19570906,0,439,222
19570907,0,461,239
19570908,0,472,278
19570909,0,472,278
19570910,0,472,278
19570912,0,422,272
19570913,0,439,278
19570914,0,450,272
19570915,0,439,250
19570916,0,428,261
19570917,0,422,250
19570918,0,422,272
19570919,0,411,261
19570920,0,411,261
19570921,0,422,261
19570922,0,450,261
19570923,0,461,289
19570924,0,472,261
19570925,0,478,278
19570926,0,461,261
19570927,0,439,272
19570929,0,400,250
19570930,0,422,239
19571001,0,422,250
19571002,0,411,239
19571003,0,411,250
19571004,0,422,261
19571005,0,428,261
19571008,0,450,272
19571009,0,439,239
19571010,0,422,272
19571011,0,389,250
19571012,0,378,250
19571013,0,378,239
19571014,0,372,222
19571015,0,361,222
19571016,0,339,200
19571017,0,328,189
19571018,0,372,200
19571019,0,389,211
19571020,0,411,200
19571021,0,361,222
