Date,Precipitation,TMax,TMin
19540501,432,278,228
19540502,38,311,256
19540503,973,306,233
19540504,3,311,272
19540505,10,317,267
19540506,38,317,250
19540507,0,322,267
19540508,51,328,261
19540509,391,317,244
19540510,292,311,239
19540511,508,306,239
19540512,33,306,256
19540513,94,294,261
19540514,508,289,233
19540515,28,306,244
19540516,130,311,267
19540519,424,317,239
19540520,0,306,244
19540523,0,322,256
19540528,0,306,244
19540529,38,311,256
19540531,25,306,250
19540601,0,300,250
19540602,0,311,250
19540605,30,289,244
19540606,5,306,261
19540607,0,306,272
19540608,76,322,250
19540609,668,300,228
19540610,135,306,228
19540611,86,317,244
19540612,18,317,244
19540613,3,306,250
19540614,51,300,250
19540615,28,306,261
19540616,470,306,244
19540617,307,300,239
19540618,69,300,233
19540619,0,306,233
19540620,0,311,244
19540621,13,311,244
19540622,25,306,239
19540623,58,300,250
19540624,5,317,261
19540625,259,317,233
19540626,130,283,239
19540627,38,283,244
19540628,30,300,250
19540629,145,300,228
19540630,551,283,228
19540701,76,283,239
19540702,140,283,239
19540703,284,267,233
19540704,13,289,228
19540705,13,294,233
19540706,10,294,239
19540707,86,294,239
19540708,287,289,233
19540709,0,306,239
19540710,58,306,244
19540711,279,278,228
19540712,25,294,233
19540715,196,272,228
19540716,86,294,228
19540717,18,306,244
19540718,30,306,250
19540719,15,294,239
19540720,259,294,228
19540721,76,300,244
19540722,328,294,233
19540723,635,272,222
19540724,206,272,217
19540725,0,294,233
19540726,36,311,244
19540727,333,311,233
19540728,102,300,244
19540729,64,300,239
19540730,13,306,228
19540731,81,306,239
19540801,792,300,222
19540802,704,272,217
19540803,0,317,222
19540804,0,322,233
19540805,0,328,239
19540806,211,322,222
19540807,3,333,239
19540808,97,311,239
19540809,137,322,228
19540810,86,322,233
19540811,0,306,261
19540812,0,322,261
19540813,8,361,244
19540814,8,306,244
19540815,0,300,228
19540816,0,328,250
19540817,0,322,239
19540818,3,333,244
19540819,13,328,239
19540820,33,322,233
19540821,0,339,244
19540822,213,344,239
19540823,173,289,228
19540824,0,311,233
19540825,10,322,239
19540827,36,306,244
19540828,0,322,244
19540829,0,333,244
19540830,114,311,239
19540831,13,311,256
19540901,455,317,228
19540902,104,289,228
19540903,102,306,222
19540904,124,322,239
