Date,Precipitation,TMax,TMin
18970930,0,40,-4
18971001,0,74,-11
18971002,189,63,25
18971003,0,71,20
18971004,0,87,11
18971005,0,29,-11
18971006,56,41,-18
18971007,0,18,-2
18971008,139,36,-7
18971009,0,44,-4
18971010,0,53,-40
18971011,0,33,-57
18971012,0,18,-49
18971013,3,-20,-30
18971014,0,21,-66
18971015,0,-13,-77
18971016,0,-3,-88
18971017,0,-22,-85
18971018,0,-2,-76
18971019,1,45,-75
18971020,37,49,-37
18971021,270,51,9
18971022,162,14,3
18971023,34,50,1
18971024,18,18,-12
18971025,504,73,-41
18971026,142,61,-39
18971027,14,15,6
18971028,44,10,-19
18971029,38,0,-25
18971030,275,22,-71
18971031,22,51,-20
18971101,15,38,-6
18971102,0,-14,-30
18971103,0,-42,-96
18971104,1,20,-103
18971105,266,60,-68
18971106,184,72,-11
18971107,23,36,33
18971108,0,16,3
18971109,0,-3,-15
18971110,0,-28,-74
18971111,0,-67,-76
18971112,0,-78,-115
18971113,0,-61,-101
18971114,0,-3,-102
18971115,0,31,-66
18971116,0,29,-12
18971117,9,-7,-81
18971118,1,0,-76
18971119,0,-40,-66
18971120,1,-32,-71
18971121,0,-34,-87
18971122,0,-37,-107
18971123,20,40,-101
18971124,176,40,-43
18971125,0,28,-1
18971126,0,-20,-25
18971127,0,-28,-56
18971128,0,-8,-79
18971129,0,-1,-60
18971130,0,-80,-112
18971201,6,3,-137
18971202,0,-12,-89
18971203,0,-42,-117
18971204,26,-39,-121
18971205,0,-23,-56
18971206,0,-27,-105
18971207,0,-40,-71
18971208,0,-64,-97
18971209,0,-42,-99
18971210,0,-81,-117
18971211,0,-14,-140
18971212,0,-2,-97
18971213,0,-32,-87
18971214,0,9,-115
18971215,0,30,-66
18971216,6,-11,-40
18971217,40,0,-37
18971218,128,28,-27
18971219,62,28,-10
18971220,20,-5,-23
18971221,0,30,-29
18971222,33,56,-38
18971223,0,68,-3
18971224,12,62,32
18971225,0,3,-1
18971226,0,-50,-61
18971227,0,-42,-90
18971228,0,-42,-57
18971229,0,-65,-75
18971230,0,-123,-125
18971231,0,-160,-206
18980101,14,-70,-221
18980102,3,-5,-211
18980103,25,-5,-151
18980104,0,-50,-86
18980105,8,-12,-86
18980106,8,-27,-53
18980107,33,-61,-85
18980108,0,-83,-112
18980109,0,-12,-181
18980110,40,18,-95
18980111,0,20,-67
18980112,1,-24,-32
18980113,17,-78,-102
18980114,0,-25,-123
18980115,68,-42,-105
18980116,0,-70,-111
18980117,0,-112,-181
18980118,199,-97,-180
18980119,5,-98,-141
18980120,0,-78,-141
18980121,0,-74,-165
18980122,0,-45,-130
18980123,0,-45,-146
18980124,0,-125,-133
18980125,0,-166,-208
18980126,0,-136,-215
18980127,62,-32,-209
18980128,5,-49,-141
18980129,0,-50,-75
18980130,0,-112,-180
18980131,0,-113,-169
18980201,0,-130,-168
18980202,0,-126,-180
18980203,1,-67,-186
18980204,6,-33,-136
18980205,0,-31,-113
18980206,0,-74,-101
18980207,1,-93,-141
18980208,58,-84,-186
18980209,4,-83,-170
18980210,0,-81,-162
18980211,0,-83,-157
18980212,0,-92,-137
18980213,0,-122,-161
18980214,0,-160,-221
18980215,0,-90,-201
18980216,0,-42,-189
18980217,0,8,-105
18980218,0,-11,-110
18980219,0,-20,-98
18980220,0,-36,-101
18980221,26,-22,-91
18980222,0,-88,-104
18980223,7,-66,-127
18980224,0,-42,-121
18980225,0,-56,-128
18980226,0,-100,-158
18980227,0,-96,-171
18980228,12,-28,-146
18980301,0,-8,-109
18980302,15,-32,-147
18980303,69,22,-89
18980304,0,-29,-47
18980305,0,-12,-108
18980306,0,-10,-113
18980307,0,-8,-61
18980308,0,-106,-111
18980309,0,-98,-155
18980310,62,-73,-147
18980311,0,-41,-107
18980312,1,-55,-107
18980313,0,-52,-137
18980314,0,-43,-142
18980315,0,-93,-189
18980316,0,-42,-180
18980317,0,-40,-145
18980318,0,8,-122
18980319,11,-34,-140
18980320,137,-20,-106
18980321,15,23,-51
18980322,18,20,-61
18980323,69,41,-60
18980324,86,51,-6
18980325,69,58,4
18980326,50,48,27
18980327,0,95,1
18980328,0,26,-25
18980329,0,53,-71
18980330,0,63,-67
18980331,24,-32,-66
18980401,0,-53,-104
18980402,0,-15,-161
18980403,2,7,-134
18980404,0,-11,-86
18980405,0,-35,-141
18980406,0,-15,-141
18980407,0,-23,-152
18980408,37,0,-127
18980409,9,58,-87
18980410,12,56,-50
18980411,0,75,-39
18980412,0,109,-51
18980413,2,80,-16
18980414,0,70,-43
18980415,22,30,-67
18980416,0,70,-26
18980417,0,47,-86
18980418,0,44,-80
18980419,0,53,-67
18980420,0,48,-40
18980421,0,80,-31
18980422,24,22,-18
18980423,11,84,-40
18980424,23,45,8
18980425,47,58,-7
18980426,22,78,-16
18980427,66,78,-20
18980428,50,78,-13
18980429,5,97,-4
18980430,0,90,11
18980501,0,88,-6
18980502,0,55,-6
18980503,0,58,-53
18980504,0,38,-56
18980505,0,46,-35
18980506,0,59,-26
18980507,0,67,-57
18980508,0,60,-47
18980509,1,52,-21
18980510,1,14,-15
18980511,1,24,-55
18980512,18,20,-48
18980513,0,4,-65
18980514,0,18,-88
18980515,8,23,-80
18980516,0,47,-71
18980517,81,70,-51
18980518,14,78,-10
18980519,0,89,-20
18980520,0,84,-11
18980521,0,74,-24
18980522,264,49,3
18980523,0,55,19
18980524,102,64,-14
18980525,7,132,-12
18980526,0,45,-21
18980527,0,73,-55
18980528,0,63,-51
18980529,1,50,-15
18980530,59,78,-29
18980531,0,87,-9
18980601,0,83,3
18980602,0,99,-20
18980603,0,123,-11
18980604,0,117,2
18980605,0,100,-11
18980606,0,116,10
18980607,74,121,-5
18980608,25,73,22
18980609,0,122,22
18980610,0,109,2
18980611,17,127,33
18980612,17,120,62
18980613,16,127,82
18980614,15,107,65
18980615,0,111,20
18980616,0,87,-5
18980617,0,118,-1
18980618,0,140,1
18980619,0,105,5
18980620,0,75,9
18980621,0,62,14
18980622,0,63,-1
18980623,10,92,13
18980624,0,138,30
18980625,12,99,4
18980626,225,92,-1
18980627,124,70,32
18980628,13,78,1
18980629,0,128,14
18980630,0,130,13
18980701,0,115,32
18980702,0,138,11
18980703,4,143,44
18980704,0,105,0
18980705,99,120,2
18980706,83,103,30
18980707,65,143,26
18980708,100,90,19
18980709,0,96,9
18980710,0,121,11
18980711,0,173,17
18980712,12,207,95
18980713,7,100,55
18980714,0,160,39
18980715,0,123,23
18980716,0,105,-1
18980717,0,60,11
18980718,0,94,-6
18980719,3,84,-5
18980720,39,105,9
18980721,0,152,16
18980722,1,194,87
18980723,27,94,36
18980724,1,107,27
18980725,0,112,33
18980726,0,122,27
18980727,0,104,19
18980728,0,103,25
18980729,456,130,34
18980730,0,107,25
18980731,105,100,9
18980801,81,73,24
18980802,11,124,38
18980803,0,90,37
18980804,0,117,-13
18980805,0,98,-11
18980806,0,95,-5
18980807,0,83,-26
18980808,0,87,-35
18980809,0,117,-6
18980810,1,117,3
18980811,0,93,-5
18980812,0,140,20
18980813,0,130,3
18980814,0,134,17
18980815,46,90,14
18980816,25,77,34
18980817,0,116,25
18980818,99,106,-6
18980819,37,93,39
18980820,5,89,48
18980821,33,90,55
18980822,0,90,39
18980823,32,74,14
18980824,39,60,25
18980825,11,81,19
18980826,0,68,16
18980827,0,92,-3
18980828,0,128,38
18980829,0,110,-8
18980830,0,79,-7
18980831,0,97,1
18980901,0,78,-7
18980902,0,60,-1
18980903,60,68,23
18980904,21,72,29
18980905,32,76,20
18980906,72,79,11
18980907,137,100,14
18980908,1,100,10
18980909,0,93,5
18980910,0,78,-5
18980911,0,70,-7
18980912,1,70,-30
18980913,0,70,-6
18980914,0,80,-27
18980915,1,58,-6
18980916,0,88,-16
18980917,0,39,-21
18980918,1,43,-26
18980919,0,62,-13
18980920,0,68,-17
18980921,22,47,-6
18980922,37,70,13
18980923,97,88,38
18980924,392,92,32
18980925,480,77,17
18980926,283,105,29
18980927,31,88,13
18980928,0,75,44
18980929,0,54,23
18980930,1,75,5
18981001,0,68,3
18981002,0,28,-42
18981003,0,18,-36
18981004,0,30,-31
18981005,37,90,-36
18981006,306,96,13
18981007,730,99,74
18981008,344,110,82
18981009,157,90,76
18981010,62,74,42
18981011,418,78,34
18981012,700,60,3
18981013,58,58,9
18981014,29,80,9
18981015,0,52,27
18981016,0,11,-21
18981017,0,10,-11
18981018,0,12,-19
18981019,1,-2,-21
18981020,0,-7,-35
18981021,1,-15,-35
18981022,23,-10,-46
18981023,2,-5,-41
18981024,0,17,-36
18981025,0,29,-34
18981026,21,10,-30
18981027,0,-8,-41
18981028,25,-17,-65
18981029,138,8,-63
18981030,47,12,-65
18981031,0,29,-53
18981101,0,24,-1
18981102,0,23,-36
18981103,27,30,-59
18981104,15,12,-42
18981105,0,-30,-42
18981106,16,-18,-85
18981107,173,-8,-59
18981108,0,26,-44
18981109,0,-11,-51
18981110,25,-32,-68
18981111,0,-35,-73
18981112,0,-40,-94
18981113,0,-14,-93
18981114,0,-54,-89
18981115,0,-132,-159
18981116,0,-93,-163
18981117,0,-43,-173
18981118,0,-37,-106
18981119,17,-53,-61
18981120,0,-90,-123
18981121,22,-57,-141
18981122,0,-21,-111
18981123,0,80,-106
18981124,0,15,-57
18981125,0,89,-51
18981126,0,20,-88
18981127,0,-12,-35
18981128,0,7,-34
18981129,0,-45,-57
18981130,0,-70,-84
18981201,6,-56,-113
18981202,15,-72,-92
18981203,0,-62,-113
18981204,52,-30,-129
18981205,3,-19,-70
18981206,10,-51,-63
18981207,84,-70,-102
18981208,23,-90,-106
18981209,0,-96,-139
18981210,0,-80,-149
18981211,0,-94,-110
18981212,0,-30,-156
18981213,0,-17,-149
18981214,0,-20,-64
18981215,23,-26,-50
18981216,0,-42,-67
18981217,0,-23,-78
18981218,22,-32,-82
18981219,114,-20,-96
18981220,525,28,-57
18981221,4,21,-29
18981222,0,-32,-85
18981223,0,-92,-116
18981224,1,-10,-138
18981225,46,12,-139
18981226,1,-19,-46
18981227,6,-85,-98
18981228,0,-110,-125
18981229,0,-21,-161
18981230,8,-8,-155
18981231,14,-24,-41
18990101,11,-11,-70
18990102,17,-7,-44
18990103,142,-22,-39
18990104,16,-13,-55
18990105,50,-7,-53
18990106,0,-14,-39
18990107,0,-3,-121
18990108,0,-12,-115
18990109,0,-55,-65
18990110,0,-26,-153
18990111,0,-54,-89
18990112,0,-123,-196
18990113,0,-127,-202
18990114,0,-120,-203
18990115,0,-96,-185
18990116,0,-140,-163
18990117,0,-151,-173
18990118,0,-162,-199
18990119,0,-129,-215
18990120,22,-68,-203
18990121,103,-41,-163
18990122,1,-58,-77
18990123,0,-80,-167
18990124,125,-47,-169
18990125,0,-57,-110
18990126,0,-73,-139
18990127,14,18,-123
18990128,12,-1,-108
18990129,24,24,-129
18990130,27,-30,-66
18990131,0,9,-152
18990201,0,13,-138
18990202,16,20,-29
18990203,0,-92,-100
18990204,0,-145,-169
18990205,0,-100,-242
18990206,4,-96,-233
18990207,0,-186,-255
18990208,0,-170,-237
18990209,0,-242,-288
18990210,15,-162,-307
18990211,60,-3,-291
18990212,14,16,-169
18990213,0,4,-30
18990214,0,-16,-34
18990215,0,2,-63
18990216,316,10,-52
18990217,0,-8,-22
18990218,22,-10,-29
18990219,47,-26,-80
18990220,0,-20,-99
18990221,0,-63,-151
18990222,0,-100,-165
18990223,0,-104,-159
18990224,0,-109,-167
18990225,0,-72,-168
18990226,0,-79,-138
18990227,0,-114,-177
18990228,0,-137,-198
18990301,0,-123,-210
18990302,0,-112,-194
18990303,0,-165,-206
18990304,0,-156,-237
18990305,0,-114,-215
18990306,0,-81,-198
18990307,27,-64,-185
18990308,40,-62,-162
18990309,120,-62,-165
18990310,28,-42,-142
18990311,0,-13,-129
18990312,0,-133,-151
18990313,98,-68,-227
18990314,2,-75,-163
18990315,0,-64,-186
18990316,0,-95,-188
18990317,0,-83,-187
18990318,0,10,-172
18990319,20,66,-106
18990320,2,-34,-100
18990321,0,-46,-140
18990322,0,-102,-160
18990323,15,-24,-178
18990324,45,-35,-174
18990325,0,-74,-162
18990326,0,-45,-171
18990327,0,-97,-182
18990328,0,-87,-201
18990329,0,-48,-181
18990330,0,-12,-128
18990331,0,-57,-155
18990401,0,-74,-172
18990402,0,-56,-180
18990403,7,7,-142
18990404,0,15,-111
18990405,0,-11,-114
18990406,0,55,-69
18990407,0,22,-100
18990408,0,20,-100
18990409,5,32,-91
18990410,46,-9,-126
18990411,100,47,-117
18990412,0,15,-97
18990413,0,-25,-131
18990414,0,-78,-161
18990415,0,-53,-181
18990416,0,-12,-148
18990417,0,-23,-119
18990418,0,-21,-130
18990419,0,-32,-115
18990420,1,-28,-111
18990421,14,-35,-122
18990422,0,-3,-120
18990423,0,-62,-155
18990424,0,-44,-155
18990425,0,-3,-130
18990426,0,-34,-135
18990427,0,-10,-140
18990428,0,-34,-134
18990429,0,-14,-126
18990430,1,40,-102
18990501,0,45,-32
18990502,0,54,-14
18990503,0,36,-51
18990504,150,63,-44
18990505,133,55,2
18990506,65,62,13
18990507,0,62,23
18990508,210,77,13
18990509,0,65,6
18990510,23,66,0
18990511,50,58,18
18990512,1,50,-5
18990513,0,38,-12
18990514,0,46,-40
18990515,0,20,-47
18990516,0,36,-41
18990517,1,55,-15
18990518,0,9,-21
18990519,0,46,-40
18990520,0,35,-71
18990521,30,45,-61
18990522,67,51,-18
18990523,0,75,18
18990524,0,68,-5
18990525,14,64,-16
18990526,1,50,0
18990527,0,78,10
18990528,26,58,-6
18990529,0,82,25
18990530,0,78,51
18990531,0,106,6
18990601,0,65,9
18990602,0,63,0
18990603,0,96,-9
18990604,0,99,25
18990605,0,72,-1
18990606,65,84,-18
18990607,0,90,14
18990608,311,88,23
18990609,20,56,32
18990610,44,120,-7
18990611,51,80,8
18990612,18,77,39
18990613,0,87,12
18990614,6,81,6
18990615,166,81,16
18990616,0,75,15
18990617,0,76,6
18990618,0,84,-10
18990619,2,86,10
18990620,0,82,14
18990621,0,96,24
18990622,0,121,25
18990623,2,121,34
18990624,6,89,30
18990625,1,101,16
18990626,0,120,29
18990627,0,90,32
18990628,0,87,4
18990629,0,98,19
18990630,0,126,1
18990701,0,121,38
18990702,0,126,34
18990703,16,110,40
18990704,42,82,34
18990705,127,60,18
18990706,23,95,21
18990707,5,124,39
18990708,0,105,35
18990709,0,129,25
18990710,0,133,29
18990711,0,91,1
18990712,0,106,39
18990713,0,138,6
18990714,0,101,25
18990715,0,141,1
18990716,0,136,18
18990717,0,70,-1
18990718,0,70,-16
18990719,147,79,-2
18990720,47,103,11
18990721,0,110,6
18990722,16,91,11
18990723,0,92,-8
18990724,0,117,6
18990725,0,86,11
18990726,0,101,-4
18990727,41,60,-1
18990728,0,116,15
18990729,0,126,24
18990730,0,143,-1
18990731,0,138,17
18990801,0,236,46
18990802,0,252,100
18990803,0,170,50
18990804,0,102,28
18990805,0,108,0
18990806,0,112,15
18990807,0,93,28
18990808,111,116,35
18990809,0,125,35
18990810,50,144,45
18990811,9,84,39
18990812,0,105,26
18990813,0,104,24
18990814,0,115,6
18990815,0,108,6
18990816,0,163,10
18990817,0,125,14
18990818,5,120,22
18990819,43,118,34
18990820,76,108,51
18990821,19,112,36
18990822,0,108,26
18990823,40,131,31
18990824,5,86,39
18990825,8,132,21
18990826,3,80,30
18990827,47,98,-1
18990828,7,123,8
18990829,16,80,38
18990830,13,79,39
18990831,0,83,35
18990901,10,99,36
18990902,0,88,53
18990903,0,87,23
18990904,0,92,-6
18990905,0,90,15
18990906,99,84,20
18990907,0,62,40
18990908,0,90,8
18990909,203,84,-6
18990910,76,68,11
18990911,0,78,15
18990912,0,102,11
18990913,0,93,0
18990914,0,53,-15
18990915,13,86,-20
18990916,1,28,-8
18990917,0,53,-8
18990918,0,82,0
18990919,0,68,10
18990920,0,47,-34
18990921,2,26,-32
18990922,0,15,-40
18990923,33,17,-49
18990924,0,17,-14
18990925,0,34,-35
18990926,0,28,-66
18990927,0,31,-70
18990928,0,27,-74
18990929,17,17,-54
18990930,0,84,-20
18991001,32,60,-12
18991002,0,10,-20
18991003,0,100,-29
18991004,0,134,-4
18991005,0,99,28
18991006,19,65,-15
18991007,43,51,-16
18991008,0,75,-14
18991009,0,12,-24
18991010,0,18,-49
18991011,1,-30,-50
18991012,10,-7,-56
18991013,31,-3,-51
18991014,0,12,-54
18991015,0,-28,-96
18991016,0,-5,-95
18991017,0,-7,-90
18991018,0,4,-63
18991019,45,-22,-60
18991020,0,-2,-92
18991021,0,12,-94
18991022,0,-12,-78
18991023,0,-40,-86
18991024,0,-27,-86
18991025,0,-40,-76
18991026,0,-22,-70
18991027,0,-7,-50
18991028,0,-15,-35
18991029,0,-44,-86
18991030,0,-60,-112
18991031,0,-45,-116
18991101,0,-73,-126
18991102,0,-99,-116
18991103,1,-40,-129
18991104,0,-16,-126
18991105,0,-71,-98
18991106,0,-12,-110
18991107,0,-12,-105
18991108,2,8,-90
18991109,7,-13,-36
18991110,0,-35,-63
18991111,0,-73,-94
18991112,0,-76,-121
18991113,0,-70,-117
18991114,103,17,-101
18991115,0,14,-92
18991116,0,-35,-104
18991117,0,-29,-96
18991118,0,-61,-96
18991119,0,-57,-118
18991120,0,22,-109
18991121,33,-17,-67
18991122,7,-36,-54
18991123,0,-63,-73
18991124,0,-77,-112
18991125,42,-81,-147
18991126,0,-93,-121
18991127,0,-100,-191
18991128,0,-98,-198
18991129,0,-132,-171
18991130,0,-133,-168
18991201,0,-111,-192
18991202,0,-76,-156
18991203,0,-85,-162
18991204,76,32,-162
18991205,412,33,-93
18991206,72,32,-3
18991207,0,-23,-29
18991208,0,-47,-92
18991209,0,-72,-118
18991210,0,-66,-126
18991211,0,-82,-111
18991212,41,-55,-172
18991213,0,-55,-125
18991214,0,-46,-127
18991215,0,-26,-103
18991216,0,-63,-73
18991217,1,-11,-143
18991218,64,0,-132
18991219,5,-17,-64
18991220,0,-10,-71
18991221,27,-8,-58
18991222,0,-22,-91
18991223,0,-64,-104
18991224,0,-56,-119
18991225,0,-3,-154
18991226,0,-19,-125
18991227,0,-19,-132
18991228,0,-21,-78
18991229,6,-96,-108
18991230,6,-75,-178
18991231,0,-53,-142
19000101,0,-25,-134
19000102,0,-57,-70
19000103,0,3,-150
19000104,13,-4,-100
19000105,70,33,-51
19000106,25,22,-13
19000107,44,17,-10
19000108,0,-14,-20
