Date,Precipitation,TMax,TMin
19620102,0,278,172
19620103,0,272,178
19620104,0,272,178
19620107,0,278,172
19620109,0,289,178
19620110,0,278,189
19620112,0,278,161
19620114,0,300,172
19620116,0,289,189
19620117,0,278,178
19620119,0,278,178
19620121,0,289,178
19620125,0,289,200
19620126,0,289,211
19620129,0,289,222
19620131,0,289,189
19620202,0,289,189
19620203,0,289,200
19620204,0,289,211
19620205,0,289,189
19620207,0,300,211
19620208,0,300,178
19620210,0,311,211
19620214,0,328,189
19620215,0,311,200
19620216,0,311,200
19620223,0,322,211
19620224,0,311,222
19620225,0,328,228
19620226,0,328,222
19620228,0,328,228
19620304,0,311,211
19620306,0,322,228
19620309,0,328,228
19620312,0,322,211
19620315,0,328,222
19620318,0,322,211
19620320,0,339,239
19620321,0,361,250
19620322,0,350,272
19620324,0,339,228
19620326,0,339,228
19620330,0,361,250
19620331,0,372,239
19620402,0,361,228
19620404,0,350,250
19620409,0,361,261
19620410,0,361,250
19620411,0,361,250
19620418,0,328,250
19620419,0,378,250
19620420,0,361,250
19620421,0,361,250
19620423,0,361,250
19620424,0,372,250
19620425,0,372,261
19620429,0,422,289
19620501,0,411,289
19620502,0,400,278
19620503,0,389,278
19620505,0,372,272
19620508,0,372,272
19620509,0,378,272
19620512,0,372,272
19620517,192,311,250
19620518,9,328,261
19620520,93,328,272
19620521,0,328,272
19620522,126,378,261
19620523,0,339,272
19620525,0,400,278
19620527,0,389,278
19620531,366,328,228
19620603,78,339,250
19620604,0,350,261
19620605,0,311,272
19620606,0,328,261
19620607,0,328,278
19620608,0,350,278
19620609,0,350,278
19620612,0,378,272
19620613,0,378,272
19620614,0,389,272
19620615,0,389,272
19620616,0,389,278
19620620,0,389,278
19620622,0,350,278
19620624,0,389,250
19620627,0,350,272
19620628,0,339,272
19620706,86,372,239
19620709,0,350,261
19620711,0,350,278
19620714,0,350,278
19620715,2,361,272
19620716,21,361,272
19620720,0,350,278
19620722,0,339,272
19620804,0,350,272
19620808,23,328,250
19620809,11,350,261
19620810,0,372,261
19620823,0,278,250
19620825,0,350,250
19620830,0,339,272
19620904,308,339,228
19620907,0,311,261
19620908,72,272,250
19620909,13,350,250
