Date,Precipitation,TMax,TMin
19440101,0,304,235
19440102,64,298,248
19440103,354,304,229
19440104,0,297,238
19440105,0,299,238
19440106,574,287,230
19440107,4,292,221
19440108,0,298,234
19440109,0,308,226
19440110,0,309,223
19440111,0,305,221
19440112,0,308,234
19440113,0,296,242
19440114,0,294,218
19440115,0,298,234
19440116,0,298,226
19440117,0,308,222
19440118,0,302,224
19440119,90,288,234
19440120,5,314,225
19440121,10,323,246
19440122,0,304,235
19440123,0,302,186
19440124,0,313,171
19440125,0,325,183
19440126,0,323,200
19440127,0,309,203
19440128,0,325,220
19440129,0,314,218
19440130,0,304,225
19440131,0,309,224
19440201,0,311,234
19440202,0,316,234
19440203,0,311,226
19440204,0,318,234
19440205,0,320,227
19440206,0,312,227
19440207,0,316,229
19440208,0,316,234
19440209,0,324,243
19440210,0,314,258
19440211,0,317,242
19440212,0,317,246
19440213,0,324,248
19440214,0,320,243
19440215,559,322,248
19440216,30,267,211
19440217,0,315,204
19440218,0,303,240
19440219,0,313,228
19440220,0,314,242
19440221,0,318,259
19440222,0,286,245
19440223,0,307,252
19440224,18,310,236
19440225,122,304,228
19440226,0,304,220
19440227,0,307,251
19440228,0,305,243
19440229,0,311,236
19440301,0,316,254
19440302,0,319,258
19440303,229,302,220
19440304,0,326,240
19440305,0,306,242
19440306,4,312,248
19440307,0,312,248
19440308,192,266,214
19440309,0,309,236
19440310,0,305,245
19440311,0,316,246
19440312,0,313,240
19440313,0,319,249
19440314,0,311,263
19440315,0,315,250
19440316,29,314,226
19440317,0,304,223
19440318,0,310,250
19440319,0,316,246
19440320,0,318,250
19440321,5,324,252
19440322,0,322,243
19440323,34,299,252
19440324,91,307,230
19440325,0,299,252
19440326,46,296,250
19440327,0,298,228
19440328,0,310,238
19440329,0,316,246
19440330,3,318,234
19440331,7,317,244
19440401,420,278,232
19440402,0,311,223
19440403,0,315,243
19440404,0,318,243
19440405,0,322,233
19440406,110,304,244
19440407,0,312,233
19440408,0,319,240
19440409,0,322,245
19440410,0,323,244
19440411,0,324,264
19440412,0,324,259
19440413,0,326,254
19440414,0,333,246
19440415,0,320,235
19440416,75,332,243
19440417,94,317,224
19440418,0,326,252
19440419,94,317,224
19440420,0,318,243
19440421,0,326,250
19440422,7,326,237
19440423,5,326,257
19440424,271,276,230
19440425,0,317,240
19440426,0,305,244
19440427,0,325,226
19440428,0,324,246
19440429,101,326,230
19440430,0,305,246
19440501,60,315,237
19440502,78,316,230
19440503,0,318,259
19440504,0,311,260
19440505,0,324,246
19440506,0,317,245
19440507,0,326,252
19440508,0,324,261
19440509,0,325,255
19440510,0,330,268
19440511,0,330,247
19440512,0,324,254
19440513,0,328,253
19440514,0,328,238
19440515,4,322,239
19440516,3,325,242
19440517,0,332,241
19440518,0,329,254
19440519,0,326,254
19440520,46,305,228
19440521,0,308,246
19440522,11,324,226
19440523,0,326,240
19440524,0,324,252
19440525,11,323,248
19440526,114,327,250
19440527,0,323,236
19440528,0,318,270
19440529,192,296,229
19440530,84,257,242
19440531,214,297,235
19440601,0,308,204
19440602,3,304,236
19440603,46,313,242
19440604,32,308,250
19440605,0,317,238
19440606,23,302,252
19440607,69,306,246
19440608,0,316,249
19440609,6,314,249
19440610,74,304,262
19440611,431,288,236
19440612,30,279,236
19440613,127,288,216
19440614,0,290,236
19440615,215,303,226
19440616,93,298,245
19440617,1006,258,230
19440618,99,304,220
19440619,136,290,239
19440620,13,290,232
19440621,816,262,230
19440622,462,258,225
19440623,306,278,225
19440624,6,302,208
19440625,18,299,237
19440626,199,290,237
19440627,1183,271,230
19440628,2430,246,228
19440629,80,268,221
19440630,47,291,235
19440701,3,280,230
19440702,56,283,228
19440703,1808,248,223
19440704,2135,246,227
19440705,12,287,208
19440706,35,269,233
19440707,193,262,236
19440708,4,284,240
19440709,0,290,250
19440710,334,260,239
19440711,385,249,206
19440712,451,255,204
19440713,696,273,223
19440714,0,284,237
19440715,0,285,242
19440716,0,282,217
19440717,0,292,213
19440718,0,297,251
19440719,0,280,243
19440720,0,285,210
19440721,0,286,216
19440722,8,280,233
19440723,36,286,236
19440724,0,290,228
19440725,0,290,236
19440726,47,274,240
19440727,157,246,228
19440728,70,278,226
19440729,3,270,226
19440730,0,266,234
19440731,174,260,226
19440801,22,276,230
19440802,2,282,224
19440803,0,273,216
19440804,4,274,226
19440805,0,273,217
19440806,3,280,238
19440807,0,280,239
19440808,0,287,218
19440809,0,266,219
19440810,0,272,216
19440811,74,280,232
19440812,0,286,230
19440813,0,284,216
19440814,21,273,239
19440815,10,275,226
19440816,4,279,220
19440817,0,275,207
19440818,36,255,228
19440819,0,273,230
19440820,0,282,227
19440821,3,273,236
19440822,0,283,238
19440823,0,272,214
19440824,0,283,217
19440825,0,277,230
19440826,0,278,204
19440827,6,284,220
19440828,0,275,232
19440829,0,284,222
19440830,10,290,231
19440901,90,255,224
19440902,3,281,226
19440903,0,280,220
19440904,0,283,229
19440905,105,283,210
19440906,8,276,230
19440907,0,275,232
19440908,0,265,230
19440909,22,268,225
19440910,3,265,225
19440911,20,257,221
19440912,10,283,220
19440913,13,276,225
19440914,0,290,234
19440915,0,282,227
19440916,4,267,231
19440917,17,282,232
19440918,32,294,231
19440919,0,292,235
19440920,0,290,241
19440921,0,288,235
19440922,0,286,234
19440923,0,289,234
19440924,0,284,232
19440925,0,288,236
19440927,0,288,238
19440928,0,294,239
19440929,0,294,236
19440930,0,289,243
19441001,0,290,242
19441002,15,272,240
19441003,13,286,235
19441004,0,285,227
19441005,2,302,232
19441006,0,298,228
19441007,0,306,230
19441008,6,296,246
19441009,0,300,245
19441010,15,302,243
19441011,15,285,246
19441012,0,304,234
19441013,0,307,244
19441014,0,305,241
19441015,0,306,226
19441016,2,302,249
19441017,0,315,232
19441018,2,310,243
19441019,0,308,236
19441020,0,315,252
19441021,24,310,246
19441022,104,288,248
19441023,67,306,218
19441024,407,295,235
19441025,0,311,229
19441026,105,297,247
19441027,35,302,235
19441028,0,310,242
19441029,20,311,244
19441030,0,314,238
19441031,87,306,250
19441101,0,313,222
19441102,0,307,235
19441103,5,314,244
19441104,10,313,245
19441105,0,308,245
19441106,0,313,232
19441107,175,315,241
19441108,18,310,232
19441109,0,309,235
19441110,73,289,226
19441111,65,312,232
19441112,231,308,222
19441113,73,306,230
19441114,0,312,232
19441115,18,313,229
19441116,0,315,235
19441117,0,310,248
19441118,0,312,229
19441119,0,308,235
19441120,0,315,232
19441121,38,318,232
19441122,0,309,226
19441123,0,315,230
19441124,0,316,227
19441125,13,311,228
19441126,31,310,235
19441127,0,313,230
19441128,0,318,240
19441129,35,306,242
19441130,18,306,236
19441201,0,315,240
19441202,0,334,228
19441203,117,304,238
19441204,17,318,240
19441205,0,315,227
19441206,0,313,230
19441207,0,314,238
19441208,0,320,241
19441209,0,314,248
19441210,323,295,240
19441211,0,318,238
19441212,116,315,237
19441213,0,316,208
19441214,0,320,243
19441215,0,317,240
19441216,38,300,230
19441217,52,303,248
19441218,12,268,243
19441220,0,328,199
19441221,0,326,210
19441222,0,308,235
19441223,0,310,230
19441224,0,320,239
19441225,0,305,246
19441226,0,312,236
19441227,0,312,242
19441228,0,320,245
19441229,106,276,224
19441230,10,284,225
19441231,0,310,208
19450101,0,315,232
19450102,0,324,232
19450103,0,322,230
19450104,0,312,206
19450105,0,306,187
19450106,0,316,195
19450107,0,318,223
19450108,0,315,230
19450109,0,316,230
19450110,0,315,233
19450111,0,315,235
19450112,0,334,232
19450113,0,320,238
19450114,0,314,231
19450115,0,315,235
19450116,0,320,236
19450117,0,320,240
19450118,0,325,240
19450119,11,308,247
19450120,0,316,226
19450121,7,318,245
19450122,216,320,242
19450123,12,294,234
19450124,0,310,227
19450125,0,316,238
19450126,243,298,219
19450127,0,306,225
19450128,11,286,228
19450129,0,308,214
19450130,0,314,228
19450131,0,320,240
19450201,2,309,248
19450202,0,320,243
19450203,0,326,236
19450204,0,325,228
19450205,7000,30,225
19450206,0,315,224
19450207,0,329,227
19450208,0,323,218
19450209,0,320,205
19450210,0,315,196
19450211,0,316,228
19450212,0,319,233
19450213,0,315,235
19450214,0,335,214
19450215,0,324,250
19450216,0,330,245
19450217,15,322,238
19450218,0,325,210
19450219,1,322,245
19450220,12,325,248
19450221,0,321,234
19450222,0,328,236
19450223,0,308,252
19450224,0,313,240
19450225,0,325,240
19450226,0,328,257
19450227,4,332,255
19450228,160,307,236
19450301,0,314,237
