Date,Precipitation,TMax,TMin
19550117,119,22,-39
19550216,5,-50,-189
19551108,13,39,28
19551112,13,72,61
19551114,15,39,0
19561212,15,39,-22
19561216,36,72,39
19570128,46,11,0
19590102,51,39,11
19590110,61,11,0
19590114,13,-39,-100
19590116,3,-61,-161
19590118,20,11,-139
19590120,51,22,-78
19690101,0,-89,-122
19690106,0,-128,-161
19690110,0,-161,-200
19690111,0,-61,-200
19690112,2,-72,-122
19690116,0,22,-39
19690123,0,-61,-100
19690126,0,-111,-211
19690921,109,100,0
19691005,0,100,39
19691008,0,150,28
19691009,0,161,122
19691011,41,122,72
19691012,0,122,50
19691013,0,100,50
19691014,0,161,11
19691015,0,111,39
19691018,0,111,89
19691029,64,100,11
19691030,75,50,11
19691107,80,61,-50
19691112,26,100,50
19691115,16,78,61
19691121,36,39,22
19691202,18,-22,-50
19691203,2,-11,-50
19691206,24,-39,-100
19691207,14,-11,-61
19691212,0,-39,-139
19691223,0,-161,-200
19691226,0,-78,-139
19691228,0,11,-39
19691231,0,-139,-239
19700101,0,-139,-222
19700102,10,-61,-161
19700107,4,-50,-78
19700108,0,-72,-139
19700109,0,-50,-100
19700111,5,-50,-122
19700112,11,-22,-50
19700117,0,-111,-161
19700122,0,-89,-211
19700123,10,-61,-161
19700125,0,-72,-139
19700126,0,-50,-122
19700130,0,-172,-311
19700201,2,-39,-89
19700206,0,-61,-139
19700209,22,0,-50
19700216,0,-72,-222
19700221,0,-72,-139
19700226,2,-28,-122
19700303,26,-22,-39
19700308,21,22,-11
19700311,20,0,-28
19700403,0,39,-28
19700415,0,100,-22
19700419,39,61,50
19700420,0,122,28
19700425,0,122,0
19700501,4,122,11
19700504,0,139,22
19700530,41,178,100
19700604,0,200,50
19700605,0,239,128
19700606,0,222,139
19700608,0,278,128
19700619,0,250,78
19700621,0,261,122
19700704,41,178,100
19700712,4,172,111
19700717,0,161,122
19700718,10,161,122
19700728,0,211,111
19700909,52,172,0
19700913,5,178,78
19700920,1,172,100
19700923,22,111,39
19701001,0,139,28
19701005,0,100,28
19701007,0,150,72
19701013,0,122,28
19701015,0,78,-11
19701016,0,89,-22
19701025,9,89,11
19701030,61,72,-22
19701107,6,22,-89
19701108,26,0,-50
19701111,4,0,-11
19701121,68,39,28
19701124,13,28,0
19701125,3,78,28
19701210,0,39,0
19701214,51,39,22
19701217,3,22,0
19701224,4,-39,-139
19710106,5,-78,-172
19710111,0,50,22
19710113,0,-11,-39
19710115,0,0,-39
19710116,4,11,0
19710124,11,28,0
19710402,0,128,11
19710407,0,139,50
19710411,0,89,-22
19710422,0,111,-11
19730117,0,-60,-100
19730201,0,-40,-110
19730211,8,10,-40
19731013,0,60,-30
19731021,0,30,-10
19731121,3,0,-20
19731129,0,-50,-100
19731209,7,-100,-180
19731221,0,-60,-130
19731227,26,30,10
19740107,0,-50,-80
19740109,0,-70,-100
19740110,0,-60,-110
19740111,0,-80,-130
19740116,118,30,-50
19740117,25,10,0
19740119,3,30,-10
19740121,0,10,-50
19740122,3,30,0
19740207,56,10,0
19740211,11,50,0
19740213,0,70,20
19740224,0,0,-20
19740226,0,10,-100
19740301,0,20,-70
19740303,0,30,-40
19740312,0,90,-50
19740319,86,30,10
19740321,4,140,10
19740323,0,60,-10
19740324,0,70,-30
19740328,0,110,-30
19740329,0,130,-20
19740403,0,120,0
19740407,0,120,10
19740420,15,80,10
19740427,0,110,-20
19740428,0,140,-30
19740429,0,160,0
19740430,0,180,60
19740503,139,180,50
19740515,0,130,10
19740517,0,190,40
19740522,0,160,-10
19740529,77,130,40
19740603,10,130,80
19740609,33,160,60
19740611,0,160,0
19740621,14,170,120
19740711,63,170,130
19740722,0,220,120
19740809,0,200,70
19740817,0,240,150
19740825,0,220,100
19740827,0,240,120
19740901,0,240,100
19740922,7,150,80
19740926,82,120,90
19740928,0,160,10
19741015,0,90,50
19741027,16,60,0
19741102,1,50,0
19741107,71,60,10
19741117,1,90,60
19741124,0,-10,-30
19741212,53,10,0
19750101,4,-10,-40
19750110,146,40,-40
19750125,55,40,20
19750129,0,-10,-20
19750208,6,-20,-70
19750209,0,20,-30
19750213,35,0,-10
19750219,0,30,-10
19750323,0,90,-40
19750326,7,40,-10
19750327,10,40,-30
19750331,0,40,-10
19750422,0,130,60
19750510,10,230,110
19751031,0,30,-40
19760119,23,10,-60
19761106,0,70,40
20010813,300,179,142
20010814,28,195,151
20010911,91,147,98
20010913,61,160,104
20010914,20,173,108
20010920,79,159,111
20010928,81,107,76
20011002,140,152,91
20011003,18,145,110
20011012,13,136,58
20011028,71,109,72
20011030,109,115,46
20011031,61,125,49
20011103,3,97,14
20011106,71,35,1
20011108,61,41,0
20011111,61,79,40
20011115,61,73,-35
20011122,132,56,-1
20011211,13,6,-6
20011217,10,23,-24
20011221,71,-21,-96
20011225,64,3,-121
20011227,18,-23,-41
20011229,61,-26,-37
20011231,13,-61,-121
20020113,15,22,5
20020119,10,20,-21
20020120,25,24,-2
20020122,10,38,4
20020123,51,42,30
20020131,109,33,-15
20020202,41,69,25
20020205,13,69,37
20020206,20,71,52
20020219,61,24,0
20020223,41,21,-42
20020225,20,-7,-50
20020227,150,35,-22
20020228,91,38,2
20020302,3,22,-38
20020304,13,43,-45
20020308,5,25,-18
20020309,61,54,-18
20020311,28,58,2
20020322,130,32,-2
20020404,20,20,-26
20020414,51,76,56
20020428,13,103,26
20020602,15,196,107
20020611,15,223,113
20020612,0,205,117
20020616,10,174,113
20020626,13,175,113
20020630,28,176,90
20020701,279,154,102
20020702,5,196,122
20020723,15,174,139
20020729,25,291,119
20020730,0,291,155
20020906,43,232,124
20020915,20,140,72
20020925,119,137,70
20021006,10,46,15
20021015,30,17,1
20021024,112,89,2
20021030,28,60,11
20021101,61,75,18
20021102,10,44,15
20021105,8,17,-23
20021108,61,2,-21
20021113,51,34,-39
20021114,48,47,28
20021117,20,96,38
20021120,36,3,-24
20021202,41,-56,-70
20021218,5,-15,-90
20021220,30,19,-6
20021229,38,15,-67
20030101,5,-23,-118
20030108,8,-34,-111
20030112,10,3,-91
20030127,10,24,3
20030214,5,-4,-29
20030220,0,51,-69
20030301,0,-43,-111
20030310,3,31,8
20030404,5,52,-22
20030405,20,13,-22
20030409,46,23,-26
20030410,51,13,-18
20030411,91,47,-7
20030428,13,91,32
20030429,51,129,43
20030613,0,176,103
20030615,3,163,33
20030621,81,155,97
20030624,99,135,111
20030625,5,187,119
20030704,38,230,111
20030723,30,237,176
20030810,5,195,117
20030815,61,176,124
20030816,130,184,127
20030817,15,203,136
20030821,0,183,138
20030822,41,182,134
20030824,25,205,100
20030828,41,155,93
20030901,10,151,63
20030930,81,110,85
20031007,64,84,32
20031011,86,120,78
20031012,15,101,49
20031013,10,75,41
20031025,61,39,-9
20031027,5,33,-42
20031028,25,90,1
20031104,81,88,69
20031119,41,77,19
20031122,20,76,55
20031123,51,82,56
20031127,61,69,55
20031202,5,35,23
20031214,51,45,-10
20031223,0,-27,-74
20031226,28,52,-5
20040112,20,12,-91
20040117,8,-20,-46
20040118,0,-21,-44
20040131,0,-6,-73
20040201,61,30,-17
20040204,51,55,-15
20040206,30,46,27
20040208,15,29,-2
20040210,25,-20,-79
20040214,5,18,-8
20040215,10,10,-12
20040216,5,5,-21
20040220,5,14,-137
20040225,20,-10,-29
20040226,28,2,-19
20040303,8,-22,-68
20040315,18,54,1
20040320,25,51,20
20040325,91,14,2
20040328,51,51,3
20040503,91,168,92
20040510,3,154,96
20040524,20,103,36
20040525,10,134,47
20040621,119,126,83
20040625,3,210,104
20040707,20,181,98
20040711,10,179,115
20040722,229,220,158
20040802,61,215,115
20040817,3,233,146
20040828,33,182,122
20040830,46,232,141
20040903,15,165,126
20040912,41,193,139
20040927,33,133,93
20041006,71,163,119
20041008,140,125,70
20041022,61,126,42
20041023,71,113,87
20041024,30,114,105
20041029,64,63,46
20041031,150,66,43
20041117,5,30,-17
20041118,91,21,-15
20041123,81,-1,-43
20041125,13,26,-54
20041205,30,58,33
20041207,3,69,11
20041208,0,58,44
20041210,10,53,18
20041222,5,-1,-59
20041223,28,15,-30
20041228,20,0,-4
20050102,30,20,-7
20050105,71,37,-2
20050113,5,48,35
20050120,13,3,-25
20050121,41,18,-8
20050130,5,-18,-171
20050201,10,7,-31
20050215,3,-35,-93
20050217,30,-19,-35
20050221,3,-32,-110
20050227,8,-75,-141
20050307,5,-41,-60
20050308,13,-14,-63
20050309,3,-61,-105
20050317,36,34,-16
20050319,0,-21,-101
20050322,5,23,-50
20050510,30,63,32
20050511,71,92,42
20050605,0,137,95
20050612,10,158,73
20050629,81,154,81
20050723,8,180,118
20050725,0,223,132
20050801,5,229,122
20050808,51,173,98
20050809,361,192,130
20050811,178,154,119
20050814,0,184,125
20050930,28,125,62
20051002,41,137,107
20051016,8,91,34
20051022,41,138,76
20051026,135,121,27
20051106,41,96,58
20051111,15,95,59
20051112,0,91,67
20051120,20,-4,-20
20051130,5,4,-24
20051206,15,5,0
20051211,51,52,14
20051215,91,42,8
20051219,0,-32,-91
20051221,8,-33,-58
20051222,8,-17,-34
20051224,30,5,-25
20051226,25,-17,-48
20051228,0,-84,-125
20051229,0,-15,-121
20051231,48,18,-50
20060103,48,-1,-30
20060109,0,-14,-23
20060124,0,-60,-133
20060131,51,18,9
20060209,8,-33,-90
20060210,3,-21,-39
20060220,41,5,-19
20060223,30,-7,-33
20060225,0,-17,-51
20060302,13,-55,-89
20060303,10,-8,-105
20060305,10,-18,-104
20060306,15,-29,-112
20060308,0,-15,-180
20060313,0,-21,-91
20060324,25,21,-130
20060328,51,49,8
20060402,20,55,-14
20060404,66,63,1
20060406,8,27,-20
20060410,25,58,6
20060414,25,85,21
20060519,71,128,87
20060520,10,138,77
20060521,130,113,80
20060527,20,146,59
20060608,8,135,67
20060729,5,226,134
20060803,41,226,139
20060813,23,222,154
20060816,51,202,133
20060821,140,183,136
20060830,5,215,127
20060903,74,224,138
20060907,41,180,108
20061003,30,167,100
20061021,33,120,64
20061022,18,144,105
20061112,61,37,0
20061113,8,37,0
20061120,36,77,1
20061123,61,66,50
20061126,5,98,67
20061214,36,88,53
20061219,0,13,-16
20061220,20,38,-17
20061231,97,54,10
20070101,71,63,37
20070102,104,52,30
20070106,25,60,4
20070107,23,46,30
20070108,15,51,35
20070112,71,47,8
20070113,140,66,13
20070114,41,67,3
20070120,13,0,-16
20070121,71,51,-20
20070122,0,3,-30
20070131,28,16,-97
20070202,5,21,-58
20070213,3,-37,-83
20070227,51,2,-45
20070228,13,25,-20
20070301,8,30,-3
20070303,3,21,5
20070306,20,22,-3
20070307,5,50,7
20070317,23,44,11
20070421,10,38,3
20070503,13,76,16
20070508,20,135,46
20070512,64,129,51
20070529,160,229,158
20070611,30,225,104
20070627,48,154,105
20070628,61,156,95
20070709,61,145,126
20070723,132,190,136
20070725,130,152,129
20070727,3,234,133
20070731,30,183,95
20070821,81,253,152
20070823,241,251,167
20070827,15,173,96
20070829,61,151,73
20070830,104,132,67
20070901,180,149,78
20070902,25,139,74
20070911,8,156,85
20070916,10,135,46
20070920,0,150,56
20070921,3,139,101
20071003,3,141,81
20071011,13,84,22
20071015,5,106,54
20071017,0,137,89
20071026,0,56,30
20071029,0,101,73
20071101,53,105,11
20071103,74,71,8
20071107,8,60,-11
20071108,41,33,7
20071109,38,46,24
20071113,8,-22,-40
20071120,30,22,-11
20071129,41,51,-26
20071202,41,40,-2
20071203,51,54,26
20071211,51,53,31
20071224,5,-18,-27
20080415,91,156,27
20080418,51,52,21
20080502,5,156,84
20080516,81,141,32
20080616,20,199,75
20080623,41,189,113
20080803,20,231,157
20080805,28,164,131
20080811,61,215,139
20080816,71,232,154
20080819,20,202,140
20080820,130,183,142
20080821,30,196,145
20080823,160,146,120
20080824,28,169,137
20080827,30,188,143
20080904,81,181,120
20080905,15,192,118
20080929,5,131,47
20080930,30,123,19
20081002,112,102,81
20081011,8,130,96
20081027,130,76,69
20081030,102,140,48
20081110,48,114,75
20081114,25,75,32
20081115,51,103,43
20081121,5,26,-18
20081123,18,-7,-33
20081124,99,-10,-19
20081201,51,63,46
20081207,36,12,1
20081209,13,26,-14
20081218,28,4,-1
20081220,51,16,-9
20081221,15,29,2
20081222,28,50,9
20090102,30,-41,-77
20090122,71,8,-6
20090125,30,13,3
20090126,41,18,8
20210428,0,97,-25
20210429,0,132,1
20210504,0,96,-5
20210505,23,125,57
20210506,51,67,22
20210511,0,256,131
20211104,5,77,47
20211105,79,93,51
20211106,58,90,50
20211107,150,84,68
20211108,20,77,-1
20211109,0,27,-29
20211110,18,92,20
20211111,23,87,74
20211113,0,42,-5
20211114,0,42,0
20211115,0,16,-16
20211116,5,36,-2
20211117,3,44,30
20211118,23,67,33
20211119,28,103,35
20211120,8,93,42
20211121,41,47,2
20211122,0,8,-35
20211123,10,25,-8
20211124,0,65,9
20211125,18,61,25
20211126,41,38,7
20211127,20,15,-4
20211128,25,-3,-21
20211129,10,-3,-27
20211130,5,-14,-60
20211201,0,-14,-49
20211202,41,11,-28
20211203,5,-3,-100
