Date,Precipitation,TMax,TMin
19550102,541,267,228
19550103,589,261,228
19550104,3,294,222
19550105,0,283,233
19550107,20,322,211
19550108,5,322,228
19550109,371,294,228
19550110,5,294,233
19550111,559,300,228
19550112,511,283,228
19550113,490,289,228
19550114,940,283,228
19550115,89,278,222
19550116,99,294,244
19550117,231,289,233
19550118,170,294,233
19550119,10,289,222
19550120,191,289,239
19550121,130,278,239
19550122,51,283,239
19550123,79,294,239
19550124,221,283,228
19550126,579,283,222
19550127,10,300,233
19550128,5,294,250
19550129,30,300,239
19550131,160,294,233
19550201,30,300,233
19550202,5,300,222
19550203,0,300,222
19550204,140,300,233
19550205,41,300,233
19550206,30,300,222
19550207,140,300,239
19550208,0,300,228
19550209,10,300,239
19550210,0,300,233
19550211,51,289,233
19550212,0,300,239
19550213,5,289,256
19550215,0,300,239
19550218,239,294,233
19550219,5,300,233
19550220,0,294,250
19550221,300,294,239
19550222,71,278,239
19550223,150,272,239
19550224,10,300,228
19550225,51,294,222
19550308,79,306,222
19550309,10,306,222
19550310,30,306,233
19550311,0,306,239
19550316,79,311,233
19550317,239,294,233
19550318,61,306,233
19550319,201,311,228
19550320,0,311,228
19550324,5,311,228
19550325,119,311,228
19550326,71,306,233
19550327,0,306,222
19550401,5,317,228
19550402,0,317,228
19550404,140,306,233
19550405,559,289,228
19550406,20,300,228
19550407,30,306,233
19550408,0,300,222
19550418,140,333,233
19550419,10,317,239
19550420,41,317,233
19550423,5,317,222
19550424,0,317,233
19550427,5,328,233
19550430,20,311,228
19550501,0,317,233
19550503,391,317,222
19550504,99,289,228
19550505,0,306,233
19550506,150,322,228
19550507,0,322,239
19550508,5,322,228
19550509,0,333,239
19550510,5,328,233
19550512,0,317,222
19550517,41,317,239
19550518,0,311,239
19550520,0,306,217
19550522,180,328,228
19550523,41,317,239
19550524,0,300,239
19550526,0,317,222
19550530,30,333,233
19550531,10,328,222
19550601,0,333,228
19550602,79,339,228
19550603,0,311,222
19550606,310,328,233
19550607,71,300,228
19550608,5,317,222
19550609,160,322,233
19550610,201,339,233
19550611,0,322,239
19550612,10,328,233
19550613,0,328,222
19550615,5,328,233
19550616,5,322,228
19550617,30,317,228
19550618,0,333,228
19550619,30,311,228
19550620,259,283,228
19550621,130,317,217
19550622,0,300,228
19550623,3,317,228
19550625,150,300,211
19550626,20,289,233
19550627,20,306,228
19550629,140,317,211
19550630,10,328,217
19550802,20,328,217
19550803,0,333,217
19550805,330,339,228
19550806,279,328,217
19550807,5,311,222
19550808,0,322,228
19550810,41,317,222
19550811,0,322,217
19550813,61,311,222
19550814,211,311,222
19550815,5,306,217
19550816,5,322,222
19550817,0,317,228
19550818,119,317,222
19550819,99,317,222
19550820,20,317,222
19550821,211,333,228
19550822,5,306,228
19550823,79,322,222
19550824,5,311,217
19550825,691,333,222
19550826,0,328,211
19550828,10,333,222
19550829,351,317,222
19550830,30,311,217
19550831,89,300,222
19550901,201,311,222
19550902,79,306,222
19550903,109,294,222
19550904,30,300,222
19550905,41,311,222
19550906,0,311,222
19550907,10,289,228
19550908,0,311,233
19550909,10,328,222
19550910,30,317,217
19550911,3,311,228
19550912,5,322,228
19550913,0,322,217
19550914,5,311,217
19550915,51,311,217
19550916,0,311,222
19550918,5,328,222
19550920,0,328,211
19550924,5,333,228
19550925,0,317,222
19550926,71,300,233
19550927,5,300,222
19550928,0,322,222
19550930,30,339,233
19551001,51,317,233
19551002,20,317,222
19551003,0,317,228
19551005,0,328,222
19551010,5,317,222
19551011,51,306,228
19551013,0,300,222
19551015,0,317,217
19551018,5,322,222
19551019,41,317,222
19551020,0,317,228
19551024,79,322,222
19551025,41,317,233
19551026,79,311,228
19551027,0,322,222
19551028,640,328,228
19551029,0,328,228
19551030,5,311,228
19551031,150,311,228
19551101,5,311,217
19551102,239,300,222
19551103,0,317,228
19551104,30,311,228
19551105,0,306,228
19551106,221,311,217
19551107,211,311,228
19551108,20,294,228
19551109,5,300,228
19551110,10,322,233
19551111,0,311,228
19551113,0,317,222
19551115,0,311,211
19551117,160,311,222
19551118,0,328,222
19551119,51,311,239
19551120,5,294,233
19551121,660,294,228
19551123,5,300,217
19551124,0,311,228
19551125,89,306,228
19551126,460,267,233
19551127,5,311,228
19551128,5,294,228
19551130,20,306,217
19551201,5,283,222
19551202,5,289,217
19551203,30,306,228
19551204,0,294,217
19551205,330,272,222
19551206,41,294,222
19551208,239,278,222
19551209,20,289,222
19551210,5,294,222
19551211,20,306,228
19551212,30,322,233
19551213,71,306,228
19551214,5,300,228
19551215,109,306,228
19551216,130,311,222
19551217,0,294,228
19551218,729,283,228
19551219,249,294,222
19551220,0,289,228
19551222,119,294,211
19551223,231,294,211
19551224,61,294,228
19551225,79,294,228
19551226,119,300,222
19551228,211,294,222
19551229,20,294,228
19551230,5,300,228
19551231,5,300,233
19560101,89,300,233
19560102,399,294,233
19560103,10,289,233
19560105,5,300,211
19560106,160,306,222
19560107,231,294,222
19560108,409,267,222
19560109,470,250,217
19560110,460,261,217
19560111,71,300,211
19560112,450,283,222
19560113,351,283,217
19560114,960,250,217
19560115,89,261,211
19560116,89,300,228
19560117,1090,306,211
19560118,541,311,222
19560119,71,289,217
19560120,41,294,228
19560121,0,300,217
19560122,130,300,233
19560123,71,300,233
19560124,119,283,228
19560126,20,294,211
19560127,0,300,222
19560128,310,300,217
19560129,290,267,222
19560130,211,289,222
19560131,170,283,228
19560201,399,272,222
19560202,41,289,217
19560203,0,294,233
19560204,201,278,228
19560205,10,294,233
19560206,5,294,233
19560207,5,300,228
19560209,460,278,217
19560210,201,250,222
19560211,249,294,211
19560212,559,300,222
19560213,201,306,217
19560214,0,300,222
19560215,41,306,233
19560216,0,306,222
19560217,10,306,222
19560218,20,300,222
19560219,30,306,233
19560220,0,311,228
19560223,10,311,222
19560224,0,311,228
19560228,51,306,217
19560229,5,306,233
19560301,0,306,217
19560302,429,294,222
19560303,0,306,217
19560304,10,306,211
19560306,0,300,222
19560307,3,306,217
19560308,30,306,228
19560310,1080,311,211
19560311,71,300,228
19560312,109,289,228
19560313,20,300,233
19560314,0,311,222
19560315,51,311,222
19560316,0,306,228
19560317,5,311,222
19560318,10,311,233
19560320,79,311,228
19560322,20,306,228
19560323,51,311,228
19560324,5,306,222
19560325,109,311,228
19560326,10,306,239
19560327,0,306,228
19560329,5,306,239
19560330,0,311,239
19560401,30,317,228
19560402,239,317,228
19560403,3,300,217
19560404,0,306,233
19560408,0,322,228
19560411,130,328,233
19560412,41,311,222
19560413,5,311,233
19560415,0,317,222
19560416,201,311,228
19560418,0,311,222
19560419,719,317,233
19560420,381,311,228
19560421,320,317,222
19560422,0,311,222
19560423,61,317,233
19560424,5,311,228
19560425,0,317,233
19560428,0,311,233
19560430,399,311,228
19560501,5,294,217
