Date,Precipitation,TMax,TMin
19801009,0,310,220
20060802,99,290,208
20060805,2609,281,207
20060806,0,271,217
20070207,1806,376,182
20070215,0,360,195
20080512,10,360,221
20080515,0,363,210
20090329,0,370,232
20090617,0,325,220
20090929,89,315,215
20091002,0,302,226
20100701,30,290,220
20100721,0,265,218
20100813,480,270,215
20100814,0,282,219
20101107,0,315,219
20110722,0,285,225
20120420,41,325,225
20120526,160,308,206
20120527,0,330,228
20120901,249,285,207
20120908,71,291,225
20120928,0,319,219
20140714,0,303,225
20180728,89,310,206
20200612,20,290,202
20200910,3,302,217
20200911,0,288,234
20210602,89,326,235
20210809,0,298,228
20210819,711,288,208
20210908,231,302,205
20220514,0,336,222
20220605,71,286,195
20220705,61,298,208
20220816,10,298,212
20220817,0,292,210
20220820,0,294,212
20220823,99,268,212
20220915,10,298,210
20230430,170,320,205
20230616,30,304,221
20230811,0,272,213
20230903,0,300,212
20231007,20,300,223
