Date,Precipitation,TMax,TMin
19540825,10,97,40
19540826,12,87,50
19540827,10,137,10
19540828,12,156,60
19540829,13,154,20
19540830,42,107,42
19540831,4,152,78
19540901,0,91,58
19540902,4,86,55
19540903,104,89,55
19540904,0,131,30
19540905,4,126,60
19540906,0,101,7
19540907,0,96,-10
19540908,3,71,-32
19540909,13,66,18
19540910,32,80,50
19540911,66,108,70
19540912,21,100,63
19540913,6,68,28
19540914,0,71,0
19540915,12,91,32
19540916,14,80,40
19540917,35,81,50
19540918,8,78,55
19540919,8,66,28
19540920,0,66,10
19540921,0,71,0
19540922,18,41,-22
19540923,0,54,10
19540924,25,61,-20
19540925,38,51,18
19540926,82,91,25
19540927,14,58,10
19540928,12,59,20
19540929,127,63,29
19540930,37,36,9
19541001,0,51,6
19541002,0,35,-9
19541003,0,29,-19
19541004,0,49,-24
19541005,0,40,8
19541006,0,14,-14
19541007,0,24,-7
19541008,3,14,-59
19541009,10,35,-29
19541010,19,4,-27
19541011,0,-16,-44
19541012,23,2,-34
19541013,16,14,-9
19541014,7,21,-9
19541015,15,12,-49
19541016,0,4,-49
19541017,0,-16,-89
19541018,0,-41,-139
19541019,0,-69,-159
19541020,17,-63,-108
19541021,10,-29,-69
19541022,10,-15,-39
19541023,12,-35,-134
19541024,0,-76,-191
19541025,0,-71,-174
19541026,0,-82,-159
19541027,0,-84,-185
19541028,0,-50,-181
19541029,0,-33,-154
19541030,12,-16,-99
19541031,35,-10,-39
19541101,12,-20,-85
19541102,0,-52,-195
19541103,0,-64,-200
19541104,10,-37,-125
19541105,32,-12,-59
19541106,0,-16,-200
19541107,0,-121,-210
19541108,0,-80,-220
19541109,0,-92,-155
19541110,12,-76,-120
19541111,30,-77,-169
19541112,0,-92,-172
19541113,10,-37,-115
19541114,0,-52,-260
19541115,0,-88,-225
19541116,10,-64,-225
19541117,0,-68,-155
19541118,0,-67,-110
19541119,0,-62,-115
19541120,2,-78,-116
19541121,16,-77,-105
19541122,22,-50,-80
19541123,10,-38,-62
19541124,7,-50,-94
19541125,0,-65,-95
19541126,0,-44,-70
19541127,0,-20,-49
19541128,0,-27,-55
19541129,0,-20,-35
19541130,5,-20,-36
19541201,0,-23,-45
19541202,30,-40,-70
19541203,15,-8,-45
19541204,23,5,-36
19541205,0,-15,-65
19541206,32,-40,-70
19541207,17,-32,-95
19541208,16,-17,-92
19541209,10,-50,-90
19541210,5,-61,-95
19541211,0,-2,-65
19541212,0,3,-173
19541213,28,-43,-209
19541214,23,-7,-45
19541215,10,-12,-32
19541216,0,-8,-36
19541217,34,-25,-112
19541218,15,-14,-62
19541219,4,-2,-35
19541220,0,-10,-86
19541221,0,-72,-120
19541222,0,-113,-211
19541223,30,-128,-191
19541224,12,-84,-137
19541225,29,-55,-105
19541226,6,-56,-176
19541227,26,-115,-145
19541228,21,-57,-115
19541229,0,-72,-110
19541230,6,-86,-115
19541231,0,-76,-116
19550101,0,10,-77
19550102,0,-40,-141
19550103,0,7,-113
19550104,32,2,-61
19550105,0,-32,-191
19550106,3,-72,-246
19550107,0,-72,-221
19550108,0,-125,-261
19550109,4,-177,-263
19550110,16,-202,-267
19550111,33,-99,-256
19550112,8,-137,-279
19550113,0,-102,-269
19550114,3,-92,-261
19550115,26,-92,-231
19550116,13,-101,-171
19550117,19,-64,-119
19550118,54,-77,-141
19550119,0,-77,-111
19550120,0,-101,-256
19550121,0,-160,-296
19550122,0,-69,-201
19550123,0,-67,-106
19550124,4,-62,-106
19550125,0,-82,-196
19550126,0,-97,-196
19550127,0,-100,-191
19550128,0,-127,-236
19550129,0,-145,-265
19550130,0,-180,-277
19550131,8,-242,-305
19550201,7,-108,-327
19550202,10,-188,-303
19550203,21,-163,-227
19550204,46,-138,-187
19550205,10,-115,-147
19550206,3,-40,-147
19550207,16,-18,-63
19550208,16,-12,-97
19550209,18,-63,-137
19550210,7,-83,-137
19550211,0,-88,-217
19550212,10,-150,-262
19550213,0,-148,-292
19550214,0,-148,-277
19550215,8,-183,-237
19550216,0,-183,-292
19550217,0,-277,-388
19550218,26,-210,-297
19550219,0,-144,-269
19550220,8,-188,-284
19550221,0,-185,-287
19550222,0,-278,-358
19550223,0,-233,-357
19550224,0,-183,-233
19550225,12,-168,-257
19550226,0,-68,-217
19550227,0,-98,-272
19550228,0,-95,-228
19550301,22,-109,-226
19550302,17,-97,-141
19550303,0,-58,-230
