Date,Precipitation
20030101,9999
20030102,9999
20030104,9999
20030105,9999
20030106,0
20030107,9999
20030108,9999
20030109,0
20030111,9999
20030112,0
20030114,9999
20030115,0
20030116,9999
20030117,9999
20030118,0
20030120,9999
20030121,0
20030122,0
20030123,9999
20030125,0
20030126,18
20030127,28
20030128,0
20030129,9999
20030130,9999
20030201,0
20030203,9999
20030204,9999
20030205,9999
20030206,9999
20030207,9999
20030208,9999
20030209,0
20030210,0
20030211,0
20030212,0
20030213,5
20030214,0
20030215,25
20030216,150
20030217,94
20030218,79
20030219,0
20030220,0
20030221,0
20030222,0
20030224,0
20030225,0
20030226,0
20030227,10
20030228,0
20030301,10
20030302,13
20030303,0
20030304,9999
20030305,0
20030306,0
20030307,0
20030308,0
20030309,99
20030310,0
20030311,0
20030312,0
20030313,0
20030314,36
20030315,163
20030316,0
20030317,0
20030318,9999
20030319,0
20030320,0
20030321,0
20030322,142
20030323,58
20030324,0
20030325,89
20030326,0
20030327,0
20030328,284
20030329,109
20030330,15
20030331,0
20030401,0
20030402,9999
20030403,9999
20030404,0
20030405,0
20030406,0
20030407,9999
20030408,0
20030410,0
20030411,0
20030412,0
20030413,0
20030414,0
20030415,13
20030416,104
20030417,0
20030418,15
20030419,183
20030420,3
20030421,0
20030422,0
20030423,0
20030424,0
20030425,0
20030427,0
20030428,0
20030429,0
20030430,0
20030501,0
20030502,0
20030503,0
20030505,0
20030506,0
20030507,0
20030508,0
20030509,0
20030510,3
20030511,0
20030512,0
20030513,9999
20030514,0
20030515,0
20030516,0
20030517,0
20030518,0
20030519,0
20030520,0
20030521,0
20030522,3
20030523,0
20030524,9999
20030525,36
20030526,20
20030527,3
20030528,0
20030529,0
20030530,0
20030531,15
20030601,0
20030602,0
20030603,0
20030604,0
20030605,0
20030606,0
20030607,0
20030608,0
20030609,0
20030610,0
20030611,0
20030612,0
20030613,0
20030614,0
20030615,0
20030616,0
20030617,0
20030618,0
20030619,0
20030620,0
20030621,0
20030622,0
20030623,0
20030624,9999
20030626,0
20030627,13
20030628,0
20030629,9999
20030630,9999
20030701,9999
20030702,0
20030703,0
20030704,9999
20030705,0
20030706,25
20030707,0
20030708,0
20030709,0
20030710,0
20030711,9999
20030712,3
20030713,0
20030714,0
20030715,0
20030716,0
20030717,9999
20030718,0
20030719,0
20030720,0
20030721,0
20030722,0
20030723,0
20030724,0
20030725,0
20030726,0
20030727,0
20030728,0
20030729,0
20030730,0
20030731,0
20030801,0
20030802,0
20030803,0
20030804,0
20030805,0
20030806,0
20030807,0
20030808,0
20030809,0
20030810,0
20030811,0
20030812,0
20030813,0
20030814,0
20030815,5
20030816,0
20030817,0
20030818,0
20030819,0
20030820,0
20030821,0
20030822,9999
20030823,0
20030824,0
20030825,0
20030826,0
20030827,0
20030828,0
20030829,9999
20030830,9999
20030831,0
20030901,0
20030902,0
20030903,0
20030904,0
20030905,9999
20030906,0
20030907,9999
20030908,9999
20030909,9999
20030910,0
20030911,0
20030912,0
20030913,0
20030914,0
20030915,0
20030916,0
20030917,0
20030918,0
20030919,0
20030920,0
20030921,9999
20030922,0
20030923,0
20030924,0
20030925,0
20030926,0
20030927,0
20030928,0
20030929,0
20030930,10
20031001,0
20031002,0
20031003,0
20031004,0
20031005,0
20031006,0
20031007,0
20031008,0
20031009,0
20031010,0
20031011,0
20031012,0
20031013,0
20031014,0
20031015,0
20031017,0
20031019,0
20031020,0
20031021,0
20031022,0
20031023,0
20031024,0
20031025,0
20031026,0
20031027,0
20031028,0
20031029,0
20031030,0
20031031,0
20031101,0
20031102,0
20031103,0
20031104,0
20031105,5
20031106,0
20031107,0
20031108,0
20031109,9999
20031110,9999
20031111,0
20031112,0
20031113,0
20031114,10
20031115,178
20031116,109
20031117,51
20031118,0
20031119,0
20031120,0
20031121,0
20031122,0
20031123,0
20031124,0
20031125,0
20031126,0
20031127,0
20031128,0
20031129,0
20031130,0
20031201,0
20031202,0
20031203,0
20031204,0
20031205,0
20031206,0
20031207,0
20031208,0
20031209,152
20031210,0
20031211,0
20031212,0
20031213,0
20031215,0
20031216,0
20031217,0
20031218,0
20031219,0
20031220,0
20031221,0
20031222,0
20031223,23
20031224,0
20031225,0
20031226,0
20031227,0
20031228,0
20031229,0
20031230,0
20031231,10
