Date,Precipitation
18880101,0
18880102,0
18880103,0
18880104,0
18880105,0
18880106,0
18880107,0
18880108,9999
18880109,10
18880110,9999
18880111,0
18880112,0
18880113,0
18880114,0
18880115,0
18880116,0
18880117,0
18880118,0
18880119,0
18880120,0
18880121,0
18880122,0
18880123,0
18880124,0
18880125,0
18880126,0
18880127,0
18880128,0
18880129,0
18880130,0
18880131,0
18880201,0
18880202,0
18880203,9999
18880204,124
18880205,159
18880206,0
18880207,0
18880208,0
18880209,0
18880210,0
18880211,0
18880212,0
18880213,0
18880214,0
18880215,0
18880216,9999
18880222,0
18880223,0
18880224,0
18880225,0
18880226,0
18880227,0
18880228,0
18880229,0
18880301,24
18880302,0
18880303,0
18880304,0
18880305,0
18880306,0
18880307,6
18880308,0
18880309,0
18880310,0
18880311,0
18880312,0
18880313,0
18880314,0
18880315,0
18880316,0
18880317,0
18880318,0
18880319,0
18880320,0
18880321,0
18880322,0
18880323,0
18880324,0
18880325,9999
18880326,0
18880327,0
18880328,0
18880329,0
18880330,0
18880331,0
18880401,18
18880402,27
18880403,33
18880404,5
18880405,0
18880406,0
18880407,0
18880408,0
18880409,0
18880410,0
18880411,0
18880412,0
18880413,0
18880414,131
18880415,0
18880416,0
18880417,0
18880418,0
18880419,0
18880420,0
18880421,0
18880422,0
18880423,0
18880424,0
18880425,0
18880426,0
18880427,0
18880428,0
18880429,0
18880430,0
18880501,0
18880502,0
18880503,0
18880504,0
18880505,0
18880506,0
18880507,0
18880508,0
18880509,0
18880510,0
18880511,0
18880512,0
18880513,48
18880514,248
18880515,38
18880516,0
18880517,0
18880518,0
18880519,0
18880520,0
18880521,0
18880522,0
18880523,0
18880524,0
18880525,42
18880526,0
18880527,0
18880528,0
18880529,0
18880530,0
18880531,0
18880601,0
18880602,0
18880603,0
18880604,0
18880605,0
18880606,0
18880607,0
18880608,0
18880609,0
18880610,0
18880611,0
18880612,0
18880613,0
18880614,0
18880615,0
18880616,8
18880617,0
18880618,86
18880619,0
18880620,0
18880621,0
18880622,0
18880623,0
18880624,0
18880625,0
18880626,0
18880627,0
18880628,0
18880629,0
18880630,0
18880701,21
18880702,0
18880703,0
18880704,0
18880705,0
18880706,0
18880707,0
18880708,0
18880709,0
18880710,0
18880711,0
18880712,0
18880713,0
18880714,0
18880715,0
18880716,0
18880717,0
18880718,0
18880719,0
18880720,0
18880721,0
18880722,0
18880723,0
18880724,0
18880725,0
18880726,0
18880727,71
18880728,0
18880729,9999
18880730,0
18880731,0
18880801,0
18880802,0
18880803,0
18880804,0
18880805,0
18880806,0
18880807,0
18880808,0
18880809,0
18880810,0
18880811,0
18880812,0
18880813,0
18880814,0
18880815,0
18880816,0
18880817,0
18880818,0
18880819,0
18880820,0
18880821,0
18880822,0
18880823,0
18880824,0
18880825,0
18880826,0
18880827,0
18880828,0
18880829,0
18880830,0
18880831,0
18880901,0
18880902,9999
18880903,0
18880904,62
18880905,0
18880906,48
18880907,10
18880908,0
18880909,0
18880910,0
18880911,9999
18880912,0
18880913,0
18880914,0
18880915,0
18880916,0
18880917,0
18880918,0
18880919,0
18880920,3
18880921,0
18880922,0
18880923,0
18880924,0
18880925,0
18880926,0
18880927,0
18880928,0
18880929,0
18880930,0
18881001,0
18881002,0
18881003,0
18881004,0
18881005,12
18881006,0
18881007,0
18881008,0
18881009,0
18881010,0
18881011,0
18881012,0
18881013,0
