Date,Precipitation
19070101,89
19070102,0
19070103,0
19070104,0
19070105,0
19070106,15
19070107,5
19070108,0
19070109,0
19070110,0
19070111,0
19070112,0
19070113,0
19070114,0
19070115,0
19070116,38
19070117,0
19070118,0
19070119,0
19070120,0
19070121,0
19070122,0
19070123,0
19070124,0
19070125,0
19070126,0
19070127,0
19070128,0
19070129,0
19070130,0
19070131,0
19070201,0
19070202,0
19070203,0
19070204,0
19070205,0
19070206,0
19070207,122
19070208,8
19070209,0
19070210,0
19070211,0
19070212,5
19070213,0
19070214,0
19070215,0
19070216,0
19070217,0
19070218,0
19070219,0
19070220,0
19070221,0
19070222,0
19070223,0
19070224,0
19070225,0
19070226,0
19070227,18
19070228,0
19070301,0
19070302,0
19070303,0
19070304,0
19070305,0
19070306,0
19070307,0
19070308,0
19070309,0
19070310,0
19070311,0
19070312,0
19070313,0
19070314,0
19070315,0
19070316,0
19070317,0
19070318,147
19070319,53
19070320,0
19070321,0
19070322,0
19070323,0
19070324,0
19070325,0
19070326,0
19070327,102
19070328,0
19070329,5
19070330,0
19070331,0
19070401,0
19070402,0
19070403,0
19070404,0
19070405,0
19070406,0
19070407,0
19070408,0
19070409,0
19070410,0
19070411,0
19070412,0
19070413,0
19070414,0
19070415,0
19070416,13
19070417,0
19070418,0
19070419,0
19070420,15
19070421,0
19070422,0
19070423,0
19070424,0
19070425,0
19070426,81
19070427,84
19070428,5
19070429,0
19070430,0
19070501,0
19070502,0
19070503,0
19070504,28
19070505,61
19070506,5
19070507,0
19070508,0
19070509,0
19070510,0
19070511,0
19070512,0
19070513,53
19070514,36
19070515,0
19070516,25
19070517,376
19070518,0
19070519,20
19070520,97
19070521,0
19070522,0
19070523,0
19070524,0
19070525,0
19070526,318
19070527,86
19070528,23
19070529,13
19070530,8
19070531,132
19070601,74
19070602,23
19070603,64
19070604,0
19070605,0
19070606,0
19070607,36
19070608,203
19070609,386
19070610,284
19070611,28
19070612,79
19070613,51
19070614,33
19070615,23
19070616,8
19070617,0
19070618,0
19070619,183
19070620,114
19070621,0
19070622,13
19070623,5
19070624,0
19070625,0
19070626,0
19070627,0
19070628,0
19070629,53
19070630,0
19070701,0
19070702,0
19070703,23
19070704,20
19070705,10
19070706,218
19070707,81
19070708,86
19070709,13
19070710,0
19070711,795
19070712,648
19070713,10
19070714,13
19070715,10
19070716,3
19070717,48
19070718,119
19070719,137
19070720,41
19070721,25
19070722,20
19070723,69
