Date,Precipitation
19790102,0
19790103,0
19790104,0
19790105,0
19790106,0
19790107,0
19790108,0
19790109,0
19790110,3
19790113,0
19790114,5
19790115,0
19790116,79
19790117,0
19790118,0
19790119,0
19790120,0
19790121,10
19790122,0
19790123,0
19790124,0
19790125,9999
19790126,0
19790127,0
19790128,0
19790129,0
19790130,0
19790131,10
19790201,0
19790202,0
19790203,0
19790204,0
19790205,0
19790206,0
19790207,0
19790208,0
19790209,0
19790210,0
19790211,0
19790212,0
19790213,0
19790214,0
19790215,9999
19790216,0
19790217,0
19790218,9999
19790219,0
19790220,0
19790221,79
19790222,30
19790223,20
19790224,0
19790225,0
19790226,0
19790227,0
19790228,0
19790301,0
19790303,0
19790304,0
19790305,0
19790307,0
19790308,0
19790309,0
19790310,0
19790311,0
19790313,10
19790314,0
19790315,9999
19790316,0
19790317,51
19790318,51
19790319,0
19790320,0
19790321,30
19790322,5
19790323,0
19790324,0
19790325,0
19790326,71
19790327,0
19790328,41
19790329,0
19790330,0
19790331,0
19790401,0
19790402,0
19790403,0
19790404,0
19790405,0
19790406,0
19790407,0
19790408,0
19790409,0
19790410,0
19790411,9999
19790412,9999
19790413,9999
19790414,0
19790415,9999
19790416,0
19790417,20
19790418,0
19790419,0
19790420,9999
19790421,5
19790422,10
19790423,0
19790424,0
19790425,5
19790426,30
19790427,5
19790428,0
19790429,0
19790430,10
19790501,0
19790503,0
19790504,0
19790505,0
19790506,0
19790507,0
19790508,9999
19790509,51
19790510,180
19790511,0
19790512,3
19790513,61
19790514,20
19790515,10
19790516,221
19790517,41
19790518,0
19790519,0
19790520,130
19790521,99
19790522,0
19790523,0
19790524,0
19790525,0
19790526,0
19790527,0
19790528,5
19790529,5
19790530,10
19790531,9999
19790601,30
19790602,0
19790603,0
19790604,109
19790605,140
19790606,20
19790607,0
19790608,41
19790609,61
19790610,180
19790611,231
19790612,30
19790613,3
19790614,3
19790615,0
19790616,0
19790617,0
19790618,20
19790619,0
19790620,0
19790621,0
19790622,0
19790623,0
19790624,10
19790625,30
19790626,0
19790628,20
19790629,9999
19790630,79
19790701,221
19790702,3
19790703,0
19790704,0
19790705,10
19790706,30
19790707,0
19790708,5
19790709,30
19790710,30
19790711,0
19790712,0
19790713,0
19790714,0
19790715,20
19790716,119
19790717,61
19790718,79
19790719,711
19790720,249
19790721,5
19790722,3
19790723,9999
19790724,9999
19790725,0
19790726,0
19790727,0
19790728,0
19790729,0
19790730,0
19790731,20
19790802,20
19790803,0
19790804,0
19790805,5
19790806,0
19790807,9999
19790808,3
19790809,0
19790810,0
19790811,61
19790812,0
19790813,0
19790814,79
19790815,20
19790816,0
19790817,0
19790818,5
19790819,99
19790820,20
19790821,10
19790822,30
19790823,211
19790824,109
19790825,20
19790826,0
19790827,10
19790828,3
19790829,10
19790830,0
19790902,79
19790903,0
19790904,61
19790905,201
19790906,211
19790907,419
19790908,211
19790909,340
19790910,79
19790911,51
19790912,0
19790913,0
19790914,20
19790915,5
19790916,0
19790917,10
19790918,0
19790919,0
19790921,0
19790922,10
19790923,170
19790924,0
19790925,0
19790927,0
19790928,0
19790930,20
19791001,3
19791002,20
19791003,0
19791004,0
19791005,79
19791006,0
19791007,0
19791008,0
19791009,0
19791010,61
19791011,10
19791012,3
19791013,51
19791014,0
19791015,3
19791016,0
19791017,10
19791018,3
19791019,0
19791020,0
19791021,0
19791022,0
19791023,5
19791024,0
19791025,0
19791026,0
19791027,10
19791028,20
19791029,0
19791030,30
19791031,130
19791101,0
19791102,0
19791103,9999
19791104,9999
19791105,0
19791106,10
19791108,41
19791109,30
19791110,51
19791111,10
19791112,0
19791113,30
19791114,0
19791115,0
19791116,0
19791117,0
19791118,0
19791119,71
19791120,239
19791121,0
19791122,0
19791123,0
19791124,41
19791125,150
19791126,10
19791127,51
19791128,20
19791129,3
19791130,0
19791201,0
19791202,0
19791203,5
19791204,0
19791205,0
19791206,0
19791207,0
19791208,0
19791209,0
19791210,0
19791211,10
19791212,10
19791213,61
19791214,20
19791215,0
19791216,0
19791217,0
19791218,0
19791219,0
19791220,20
19791221,0
19791222,0
19791223,0
19791224,10
19791225,0
19791226,0
19791227,0
19791228,0
19791229,0
19791230,0
19791231,0
19800106,5
19800107,41
19800108,89
19800109,51
19800110,0
19800111,5
19800112,10
19800113,9999
19800114,9999
19800115,0
19800116,0
19800117,0
19800118,0
19800119,0
19800120,0
19800121,0
19800122,0
19800123,0
19800124,30
19800125,20
19800126,0
19800127,0
19800128,0
19800129,0
19800130,0
19800131,0
19800201,0
19800202,0
19800203,0
19800204,0
19800205,0
19800206,0
19800207,9999
19800208,3
19800209,5
19800210,0
19800211,0
19800212,0
19800213,0
19800214,10
19800215,0
19800216,0
19800217,0
19800218,0
19800219,0
19800220,0
19800221,9999
19800222,20
19800223,20
19800224,9999
19800225,0
19800226,0
19800227,0
19800228,0
19800229,0
19800301,0
19800302,0
19800303,0
19800304,51
19800305,0
19800306,20
19800307,3
19800308,51
19800309,5
19800310,0
19800311,0
19800312,0
19800314,0
19800315,0
19800316,0
19800317,0
19800318,41
19800319,5
19800320,0
19800321,0
19800322,0
19800323,0
19800324,9999
19800325,0
19800326,0
19800327,0
19800328,0
19800329,0
19800330,0
19800331,0
19800401,0
19800402,0
19800403,0
19800404,0
19800405,0
19800406,0
19800407,0
19800408,9999
19800409,0
19800410,0
19800411,5
19800412,41
19800413,30
19800414,3
19800415,0
19800416,0
19800417,0
19800418,0
19800419,0
19800420,0
19800421,9999
19800422,9999
19800423,9999
19800424,0
19800425,0
19800426,20
19800427,9999
19800428,0
19800429,61
19800430,10
19800501,61
19800502,180
19800503,0
19800504,0
19800505,0
19800506,0
19800507,0
19800508,0
19800509,0
19800510,5
19800511,0
19800512,0
19800513,0
19800514,5
19800515,5
19800516,0
19800517,0
19800518,0
19800519,10
19800520,3
19800521,0
19800522,0
19800523,0
19800524,0
19800525,150
19800526,150
19800527,30
19800528,191
19800529,589
19800530,3
19800531,0
19800601,0
19800602,0
19800603,0
19800604,0
19800605,0
19800606,0
19800607,0
19800608,0
19800610,10
19800611,71
19800612,9999
19800613,71
19800614,0
19800615,0
19800616,0
19800617,0
19800618,0
19800619,0
19800620,0
19800621,0
19800622,0
19800623,0
19800624,0
19800625,20
19800626,10
19800627,0
19800628,0
19800629,0
19800630,0
19800701,0
19800702,0
19800703,20
19800704,10
19800705,41
19800706,51
19800707,10
19800708,3
19800709,9999
19800710,0
19800711,0
19800712,0
19800713,0
19800714,20
19800715,20
19800716,0
19800717,10
19800718,130
19800719,30
19800720,140
19800721,0
19800722,0
19800723,0
19800724,5
19800725,10
19800726,3
19800727,3
19800728,9999
19800729,9999
19800730,0
19800731,0
19800801,0
19800802,109
19800803,0
19800804,0
19800805,20
19800806,20
19800807,0
19800808,0
19800809,61
19800810,51
19800811,10
19800812,20
19800813,20
19800814,10
19800815,20
19800816,0
19800817,0
19800818,0
19800819,0
19800820,0
19800821,0
19800822,0
19800823,0
19800824,0
19800825,0
19800826,0
19800827,0
19800828,0
19800829,5
19800830,20
19800831,0
19800901,0
19800902,9999
19800903,0
19800904,0
19800905,5
19800906,0
19800907,20
19800908,0
19800909,0
19800910,119
19800911,0
19800912,3
19800913,30
19800914,20
19800915,30
19800916,0
19800917,0
19800918,0
19800919,10
