Date,Precipitation
18850101,0
18850102,15
18850103,5
18850104,20
18850105,46
18850106,30
18850107,81
18850108,107
18850109,36
18850110,30
18850111,3
18850112,0
18850113,0
18850114,0
18850115,0
18850116,0
18850117,5
18850118,0
18850119,0
18850120,0
18850121,0
18850122,0
18850123,13
18850124,0
18850125,13
18850126,3
18850127,64
18850128,8
18850129,3
18850130,0
18850131,23
18850201,0
18850202,48
18850203,0
18850204,33
18850205,15
18850206,10
18850207,61
18850208,28
18850209,8
18850210,18
18850211,28
18850212,206
18850213,76
18850214,0
18850215,5
18850216,0
18850217,38
18850218,18
18850219,3
18850220,0
18850221,53
18850222,13
18850223,5
18850224,0
18850225,18
18850226,91
18850227,23
18850228,0
18850301,15
18850302,5
18850303,10
18850304,0
18850305,0
18850306,3
18850307,30
18850308,10
18850309,0
18850310,0
18850311,3
18850312,0
18850313,0
18850314,0
18850315,3
18850316,15
18850317,8
18850318,5
18850319,10
18850320,3
18850321,5
18850322,3
18850323,3
18850324,13
18850325,5
18850326,13
18850327,0
18850328,23
18850329,8
18850330,0
18850331,155
18850401,3
18850402,3
18850403,0
18850404,0
18850405,5
18850406,3
18850407,0
18850408,0
18850409,5
18850410,23
18850411,3
18850412,0
18850413,0
18850414,0
18850415,0
18850416,0
18850417,5
18850418,0
18850419,5
18850420,69
18850421,13
18850422,3
18850423,3
18850424,41
18850425,20
18850426,3
18850427,8
18850428,15
18850429,0
18850430,13
18850501,25
18850502,0
18850503,20
18850504,0
18850505,3
18850506,0
18850507,3
18850508,0
18850509,23
18850510,3
18850511,0
18850512,28
18850513,20
18850514,8
18850515,30
18850516,3
18850517,3
18850518,0
18850519,38
18850520,3
18850521,41
18850522,10
18850523,18
18850524,0
18850525,0
18850526,18
18850527,0
18850528,13
18850529,46
18850530,5
18850531,0
18850601,0
18850602,18
18850603,43
18850604,8
18850605,0
18850606,0
18850607,0
18850608,0
18850609,0
18850610,0
18850611,0
18850612,0
18850613,8
18850614,0
18850615,0
18850616,0
18850617,15
18850618,23
18850619,20
18850620,5
18850621,3
18850622,3
18850623,3
18850624,0
18850625,0
18850626,0
18850627,3
18850628,8
18850629,3
18850630,5
18850701,0
18850702,0
18850703,0
18850704,0
18850705,28
18850706,28
18850707,5
18850708,0
18850709,3
18850710,119
18850711,51
18850712,36
18850713,0
18850714,81
18850715,10
18850716,5
18850717,28
18850718,5
18850719,5
18850720,0
18850721,0
18850722,3
18850723,0
18850724,0
18850725,10
18850726,23
18850727,0
18850728,0
18850729,0
18850730,0
18850731,0
18850801,0
18850802,8
18850803,8
18850804,0
18850805,18
18850806,8
18850807,3
18850808,33
18850809,0
18850810,18
18850811,33
18850812,244
18850813,23
18850814,0
18850815,0
18850816,5
18850817,8
18850818,0
18850819,0
18850820,0
18850821,0
18850822,0
18850823,0
18850824,0
18850825,0
18850826,0
18850827,0
18850828,0
18850829,0
18850830,0
18850831,0
18850901,0
18850902,18
18850903,69
18850904,114
18850905,10
18850906,28
18850907,13
18850908,69
18850909,74
18850910,23
18850911,155
18850912,61
18850913,3
18850914,91
18850915,56
18850916,3
18850917,0
18850918,64
18850919,3
18850920,41
18850921,0
18850922,46
18850923,20
18850924,3
18850925,10
18850926,33
18850927,13
18850928,104
18850929,23
18850930,43
18851001,10
18851002,53
18851003,84
18851004,114
18851005,25
18851006,74
18851007,43
18851008,28
18851009,48
18851010,25
18851011,23
18851012,3
18851013,0
18851014,0
18851015,0
18851016,10
18851017,10
18851018,0
18851019,0
18851020,0
18851021,5
18851022,18
18851023,0
18851024,0
18851025,122
18851026,25
18851027,15
18851028,13
18851029,20
18851030,46
18851031,3
18851101,13
18851102,46
18851103,66
18851104,107
18851105,28
18851106,13
18851107,0
18851108,0
18851109,0
18851110,0
18851111,0
18851112,15
18851113,8
18851114,3
18851115,0
18851116,0
18851117,0
18851118,0
18851119,41
18851120,13
18851121,0
18851122,0
18851123,0
18851124,0
18851125,0
18851126,33
18851127,51
18851128,20
18851129,33
18851130,28
18851201,0
18851202,76
18851203,56
18851204,18
18851205,3
18851206,0
18851207,8
18851208,0
18851209,13
18851210,3
18851211,0
18851212,0
18851213,0
18851214,0
18851215,0
18851216,0
18851217,0
18851218,0
18851219,5
18851220,3
18851221,51
18851222,0
18851223,0
18851224,15
18851225,8
18851226,3
18851227,5
18851228,28
18851229,28
18851230,94
18851231,33
18860101,38
18860102,41
18860103,53
18860104,33
18860105,0
18860106,0
18860107,25
18860108,3
18860109,30
18860110,81
18860111,18
18860112,178
18860113,0
18860114,33
18860115,20
18860116,43
18860117,46
18860118,15
18860119,10
18860120,3
18860121,0
18860122,15
18860123,5
18860124,23
18860125,66
18860126,23
18860127,0
18860128,20
18860129,15
18860130,61
18860131,10
18860201,15
18860202,33
18860203,5
18860204,0
18860205,76
18860206,86
18860207,18
18860208,0
18860209,76
18860210,0
18860211,13
18860212,30
18860213,38
18860214,8
18860215,5
18860216,0
18860217,0
18860218,18
18860219,13
18860220,18
18860221,56
18860222,20
18860223,0
18860224,0
18860225,0
18860226,3
18860227,3
18860228,0
18860301,8
18860302,3
18860303,8
18860304,3
18860305,5
18860306,0
18860307,0
18860308,0
18860309,0
18860310,0
18860311,0
18860312,0
18860313,0
18860314,0
18860315,0
18860316,0
18860317,8
18860318,3
18860319,61
18860320,109
18860321,13
18860322,30
18860323,10
18860324,18
18860325,5
18860326,127
18860327,28
18860328,5
18860329,41
18860330,51
18860331,30
18860401,10
18860402,3
18860403,15
18860404,84
18860405,28
18860406,18
18860407,74
18860408,64
18860409,20
18860410,0
18860411,0
18860412,3
18860413,84
18860414,0
18860415,0
18860416,0
18860417,0
18860418,5
18860419,0
18860420,0
18860421,0
18860422,0
18860423,10
18860424,0
18860425,3
18860426,0
18860427,8
18860428,3
18860429,0
18860430,0
18860501,0
18860502,3
18860503,5
18860504,23
18860505,53
18860506,0
18860507,0
18860508,15
18860509,36
18860510,33
18860511,20
18860512,13
18860513,0
18860514,15
18860515,64
18860516,3
18860517,76
18860518,5
18860519,0
18860520,0
18860521,0
18860522,0
18860523,20
18860524,28
18860525,3
18860526,0
18860527,13
18860528,5
18860529,0
18860530,0
18860531,0
18860601,0
18860602,0
18860603,0
18860604,0
18860605,3
18860606,25
18860607,94
18860608,33
18860609,122
18860610,5
18860611,43
18860612,58
18860613,8
18860614,48
18860615,8
18860616,0
18860617,15
18860618,0
18860619,0
18860620,0
18860621,30
18860622,15
18860623,5
18860624,36
18860625,3
18860626,0
18860627,0
18860628,0
18860629,3
18860630,3
18860701,0
18860702,0
18860703,0
18860704,3
18860705,43
18860706,5
18860707,10
18860708,0
18860709,0
18860710,25
18860711,38
18860712,28
18860713,163
18860714,10
18860715,107
18860716,0
18860717,112
18860718,28
18860719,3
18860720,3
18860721,5
18860722,86
18860723,18
18860724,15
18860725,0
18860726,0
18860727,0
18860728,10
18860729,117
18860730,33
18860731,3
18860801,0
18860802,0
18860803,0
18860804,0
18860805,5
18860806,41
18860807,10
18860808,0
18860809,5
18860810,99
18860811,23
18860812,43
18860813,0
18860814,0
18860815,25
18860816,10
18860817,30
18860818,10
18860819,0
18860820,5
18860821,0
18860822,0
18860823,3
18860824,8
18860825,18
18860826,43
18860827,10
18860828,3
18860829,0
18860830,81
18860831,3
18860901,33
18860902,0
18860903,0
18860904,5
18860905,8
18860906,43
18860907,142
18860908,23
18860909,15
18860910,51
18860911,102
18860912,36
18860913,97
18860914,0
18860915,0
18860916,0
18860917,0
18860918,0
18860919,0
18860920,0
18860921,0
18860922,0
18860923,13
18860924,3
18860925,10
18860926,25
18860927,71
18860928,152
18860929,239
18860930,5
18861001,0
18861002,23
18861003,41
18861004,3
18861005,74
18861006,5
18861007,3
18861008,0
18861009,97
18861010,51
18861011,226
18861012,41
18861013,25
18861014,30
18861015,112
18861016,18
18861017,0
18861018,0
18861019,0
18861020,0
18861021,3
18861022,10
18861023,0
18861024,0
18861025,0
18861026,0
18861027,0
18861028,3
18861029,0
18861030,36
18861031,3
18861101,30
18861102,28
18861103,157
18861104,104
18861105,10
18861106,3
18861107,43
18861108,89
18861109,10
18861110,0
18861111,168
18861112,18
18861113,10
18861114,193
18861115,46
18861116,56
18861117,13
18861118,28
18861119,0
18861120,30
18861121,0
18861122,38
18861123,3
18861124,5
18861125,0
18861126,0
18861127,0
18861128,46
18861129,28
18861130,10
18861201,8
18861202,5
18861203,135
18861204,33
18861205,46
18861206,18
18861207,43
18861208,10
18861209,8
18861210,33
18861211,94
18861212,46
18861213,0
18861214,25
18861215,25
18861216,5
18861217,8
18861218,8
18861219,8
18861220,5
18861221,15
18861222,13
18861223,208
18861224,18
18861225,64
18861226,20
18861227,74
18861228,51
18861229,10
18861230,8
18861231,25
18870101,18
18870102,25
18870103,13
18870104,38
18870105,30
18870106,3
18870107,8
18870108,20
18870109,5
18870110,46
18870111,20
18870112,0
18870113,13
18870114,0
18870115,0
18870116,10
18870117,25
18870118,107
18870119,5
18870120,13
18870121,5
18870122,3
18870123,0
18870124,0
18870125,0
18870126,0
18870127,53
18870128,0
18870129,0
18870130,46
18870131,20
18870201,10
18870202,127
