Date,Precipitation
19590101,32
19590102,36
19590103,85
19590104,4
19590105,53
19590106,42
19590107,38
19590108,2
19590109,25
19590110,20
19590111,4
19590112,58
19590113,51
19590114,6
19590115,5
19590116,0
19590117,1
19590118,0
19590119,0
19590120,10
19590121,113
19590122,18
19590123,39
19590124,6
19590125,8
19590126,0
19590127,3
19590128,1
19590129,0
19590130,9
19590131,0
19590201,0
19590202,0
19590203,0
19590204,0
19590205,0
19590206,0
19590207,0
19590208,0
19590209,0
19590210,0
19590211,0
19590212,1
19590213,0
19590214,7
19590215,13
19590216,0
19590217,0
19590218,4
19590219,10
19590220,0
19590221,3
19590222,1
19590223,35
19590224,29
19590225,15
19590226,65
19590227,0
19590228,1
19590301,0
19590302,0
19590303,1
19590304,0
19590305,66
19590306,83
19590307,64
19590308,3
19590309,0
19590310,0
19590311,0
19590312,0
19590313,0
19590314,0
19590315,0
19590316,0
19590317,0
19590318,0
19590319,0
19590320,0
19590321,0
19590322,0
19590323,2
19590324,0
19590325,0
19590326,3
19590327,22
19590328,0
19590329,0
19590330,0
19590331,0
19590401,73
19590402,24
19590403,0
19590404,0
19590405,0
19590406,0
19590407,16
19590408,157
19590409,51
19590410,34
19590411,115
19590412,0
19590413,2
19590414,2
19590415,0
19590416,0
19590417,0
19590418,0
19590419,0
19590420,0
19590421,91
19590422,0
19590423,0
19590424,2
19590425,0
19590426,0
19590427,0
19590428,0
19590429,0
19590430,0
19590501,0
19590502,0
19590503,0
19590504,92
19590505,115
19590506,44
19590507,6
19590508,0
19590509,0
19590510,0
19590511,12
19590512,0
19590513,0
19590514,0
19590515,0
19590516,0
19590517,0
19590518,0
19590519,0
19590520,0
19590521,0
19590522,0
19590523,1
19590524,5
19590525,59
19590526,33
19590527,0
19590528,0
19590529,0
19590530,51
19590531,30
19590601,38
19590602,54
19590603,0
19590604,0
19590605,0
19590606,0
19590607,33
19590608,0
19590609,1
19590610,2
19590611,15
19590612,0
19590613,4
19590614,1
19590615,143
19590616,24
19590617,16
19590618,1
19590619,20
19590620,0
19590621,0
19590622,0
19590623,0
19590624,0
19590625,0
19590626,56
19590627,38
19590628,24
19590629,0
19590630,0
19590701,65
19590702,10
19590703,1
19590704,0
19590705,0
19590706,0
19590707,106
19590708,0
19590709,0
19590710,10
19590711,0
19590712,0
19590713,0
19590714,41
19590715,2
19590716,0
19590717,0
19590718,0
19590719,0
19590720,0
19590721,2
19590722,0
19590723,0
19590724,0
19590725,0
19590726,0
19590727,0
19590728,1
19590729,57
19590730,0
19590731,0
19590801,0
19590802,1
19590803,0
19590804,310
19590805,25
19590806,0
19590807,4
19590808,0
19590809,18
19590810,0
19590811,0
19590812,0
19590813,0
19590814,0
19590815,0
19590816,0
19590817,0
19590818,0
19590819,0
19590820,0
19590821,0
19590822,0
19590823,0
19590824,80
19590825,142
19590826,45
19590827,198
19590828,103
19590829,14
19590830,2
19590831,1
19590901,0
19590902,18
19590903,0
19590904,0
19590905,0
19590906,0
19590907,0
19590908,0
19590909,0
19590910,0
19590911,0
19590912,2
19590913,31
19590914,1
19590915,19
19590916,27
19590917,41
19590918,1
19590919,30
19590920,6
19590921,50
19590922,4
19590923,2
19590924,3
19590925,0
19590926,1
19590927,0
19590928,1
19590929,3
19590930,0
19591001,0
19591002,0
19591003,0
19591004,0
19591005,0
19591006,0
19591007,1
19591008,0
19591009,12
19591010,1
19591011,1
19591012,3
19591013,0
19591014,0
19591015,0
19591016,0
19591017,0
19591018,1
19591019,52
19591020,87
19591021,85
19591022,40
19591023,0
19591024,94
19591025,142
19591026,63
19591027,32
19591028,0
19591029,5
19591030,12
19591031,8
19591101,6
19591102,8
19591103,0
19591104,12
19591105,40
19591106,16
19591107,10
19591108,4
19591109,16
19591110,21
19591111,17
19591112,7
19591113,6
19591114,1
19591115,0
19591116,0
19591117,10
19591118,104
19591119,32
19591120,0
19591121,24
19591122,134
