Date,Precipitation
19800101,0
19800102,0
19800103,0
19800104,0
19800105,3
19800106,0
19800107,0
19800108,0
19800109,0
19800110,0
19800111,0
19800112,5
19800113,61
19800115,33
19800116,3
19800117,61
19800118,89
19800119,3
19800120,0
19800121,0
19800122,0
19800123,8
19800124,3
19800126,30
19800127,30
19800128,20
19800129,0
19800130,3
19800131,10
19800201,9999
19800202,10
19800203,0
19800204,0
19800205,3
19800206,0
19800207,0
19800208,0
19800209,0
19800210,0
19800211,9999
19800212,0
19800213,0
19800214,5
19800215,0
19800216,10
19800217,3
19800218,20
19800219,0
19800220,0
19800221,0
19800222,0
19800223,20
19800224,5
19800225,0
19800226,9999
19800227,130
19800228,5
19800229,8
19800301,9999
19800302,0
19800303,0
19800304,0
19800305,0
19800306,23
19800307,5
19800308,0
19800309,0
19800310,0
19800311,0
19800312,0
19800313,0
19800314,0
19800315,0
19800316,0
19800317,9999
19800318,0
19800319,0
19800320,0
19800321,0
19800322,3
19800323,10
19800324,0
19800325,0
19800326,0
19800327,0
19800328,0
19800329,15
19800330,8
19800331,30
19800401,10
19800402,0
19800403,9999
19800404,3
19800405,20
19800406,23
19800407,51
19800408,10
19800409,5
19800410,9999
19800411,10
19800412,9999
19800413,0
19800414,0
19800415,3
19800416,0
19800417,10
19800418,0
19800419,5
19800420,0
19800421,0
19800422,0
19800423,0
19800424,3
19800425,0
19800426,0
19800427,9999
19800428,0
19800429,0
19800430,3
19800501,0
19800502,0
19800503,0
19800504,0
19800505,0
19800506,3
19800507,9999
19800508,0
19800509,30
19800510,23
19800511,201
19800512,0
19800513,0
19800514,0
19800515,0
19800516,0
19800517,0
19800518,41
19800519,0
19800520,0
19800521,0
19800522,0
19800523,20
19800524,0
19800525,0
19800526,0
19800527,30
19800528,51
19800529,20
19800530,0
19800531,0
19800601,0
19800602,10
19800603,119
19800604,71
19800605,3
19800606,0
19800607,9999
19800608,0
19800609,9999
19800610,10
19800611,10
19800612,3
19800613,10
19800614,0
19800615,9999
19800616,0
19800617,0
19800618,0
19800619,0
19800620,0
19800621,0
19800622,20
19800623,9999
19800624,109
19800625,310
19800626,10
19800627,30
19800628,9999
19800629,0
19800630,9999
19800701,0
19800702,0
19800703,0
19800704,0
19800705,0
19800706,9999
19800707,0
19800708,0
19800709,0
19800710,0
19800711,0
19800712,0
19800713,0
19800714,20
19800715,0
19800716,0
19800717,0
19800718,0
19800719,9999
19800720,0
19800721,0
19800722,0
19800723,3
19800724,5
19800725,61
19800726,0
19800727,0
19800728,0
19800729,0
19800730,0
19800731,0
19800801,0
19800802,0
19800803,0
19800804,150
19800805,30
19800806,89
19800807,9999
19800808,0
19800809,43
19800810,0
19800811,0
19800812,0
19800813,0
19800814,0
19800815,0
19800816,0
19800817,0
19800818,0
19800819,0
19800820,20
19800821,10
19800822,5
19800824,51
19800825,3
19800826,10
19800827,0
19800828,3
19800829,0
19800830,20
19800831,0
19800901,10
19800902,0
19800903,30
19800904,0
19800905,0
19800906,36
19800907,71
19800908,9999
19800909,10
19800910,0
19800911,0
19800912,0
19800913,0
19800914,5
19800915,0
19800916,292
19800917,10
19800918,3
19800919,3
19800920,0
19800921,0
19800922,0
19800923,9999
19800924,0
19800925,0
19800926,5
19800927,0
19800928,0
19800929,9999
19800930,5
19801001,0
19801002,0
19801003,0
19801004,5
19801005,10
19801006,0
