Date,Precipitation
19310101,9
19310102,0
19310103,40
19310104,24
19310105,0
19310106,0
19310107,0
19310108,0
19310109,0
19310110,0
19310111,110
19310112,37
19310113,0
19310114,6
19310115,44
19310116,71
19310117,23
19310118,12
19310119,0
19310120,14
19310121,0
19310122,0
19310123,78
19310124,33
19310125,67
19310126,3
19310127,14
19310128,7
19310129,0
19310130,0
19310131,0
19310201,0
19310202,23
19310203,0
19310204,3
19310205,0
19310206,0
19310207,0
19310208,0
19310209,46
19310210,37
19310211,102
19310212,41
19310213,0
19310214,0
19310215,16
19310216,30
19310217,16
19310218,0
19310219,0
19310220,48
19310221,37
19310222,0
19310223,17
19310224,0
19310225,55
19310226,31
19310227,14
19310228,0
19310301,2
19310302,20
19310303,0
19310304,0
19310305,0
19310306,15
19310307,4
19310308,0
19310309,0
19310310,54
19310311,19
19310312,0
19310313,18
19310314,9
19310315,0
19310316,0
19310317,0
19310318,0
19310319,0
19310320,0
19310321,0
19310322,0
19310323,0
19310324,0
19310325,0
19310326,0
19310327,0
19310328,0
19310329,0
19310330,0
19310331,0
19310401,0
19310402,0
19310403,0
19310404,40
19310405,6
19310406,0
19310407,0
19310408,0
19310409,90
19310410,0
19310411,57
19310412,24
19310413,28
19310414,0
19310415,0
19310416,36
19310417,72
19310418,0
19310419,0
19310420,0
19310421,16
19310422,5
19310423,0
19310424,0
19310425,52
19310426,0
19310427,43
19310428,88
19310429,4
19310430,0
19310501,0
19310502,0
19310503,0
19310504,80
19310505,0
19310506,0
19310507,25
19310508,1
19310509,0
19310510,0
19310511,0
19310512,0
19310513,19
19310514,0
19310515,128
19310516,83
19310517,8
19310518,2
19310519,0
19310520,0
19310521,0
19310522,75
19310523,0
19310524,0
19310525,0
19310526,25
19310527,110
19310528,0
19310529,57
19310530,0
19310531,0
19310601,0
19310602,1
19310603,0
19310604,0
19310605,0
19310606,30
19310607,1
19310608,0
19310609,0
19310610,200
19310611,0
19310612,0
19310613,0
19310614,0
19310615,1
19310616,0
19310617,36
19310618,0
19310619,3
19310620,0
19310621,0
19310622,0
19310623,52
19310624,16
19310625,0
19310626,0
19310627,0
19310628,0
19310629,0
19310630,0
19310701,0
19310702,0
19310703,0
19310704,0
19310705,0
19310706,135
19310707,303
19310708,1042
19310709,37
19310710,18
19310711,0
19310712,5
19310713,0
19310714,0
19310715,246
19310716,35
19310717,47
19310718,75
19310719,38
19310720,123
19310721,21
19310722,46
19310723,0
19310724,0
19310725,57
19310726,59
19310727,24
19310728,104
19310729,18
19310730,98
19310731,0
19310801,0
19310802,0
19310803,0
19310804,0
19310805,0
19310806,0
19310807,0
19310808,49
19310809,4
19310810,12
19310811,54
19310812,53
19310813,11
19310814,0
19310815,90
19310816,91
19310817,62
19310818,95
19310819,146
19310820,0
19310821,31
19310822,0
19310823,40
19310824,8
19310825,4
19310826,0
19310827,0
19310828,0
19310829,0
19310830,0
19310831,0
19310901,0
19310902,133
19310903,0
19310904,65
19310905,82
19310906,92
19310907,13
19310908,56
19310909,27
19310910,5
19310911,20
19310912,24
19310913,20
19310914,0
19310915,1
19310916,0
19310917,0
19310918,0
19310919,0
19310920,26
19310921,0
19310922,0
19310923,0
19310924,0
19310925,0
19310926,0
19310927,35
19310928,0
19310929,0
19310930,0
19311001,0
19311002,10
19311003,10
19311004,15
19311005,7
19311006,0
19311007,132
19311008,83
19311009,0
19311010,0
19311011,0
19311012,0
19311013,22
19311014,0
19311015,0
19311016,0
19311017,0
19311018,0
19311019,31
19311020,19
19311021,0
19311022,13
19311023,0
19311024,33
19311025,2
19311026,32
19311027,0
19311028,57
19311029,43
19311030,3
19311031,5
19311101,1
19311102,1
19311103,0
19311104,0
19311105,0
19311106,0
19311107,0
19311108,33
19311109,21
19311110,28
19311111,15
19311112,27
19311113,10
19311114,0
19311115,0
19311116,0
19311117,0
19311118,0
19311119,0
19311120,0
19311121,0
19311122,0
19311123,0
19311124,2
19311125,2
19311126,27
19311127,32
19311128,0
19311129,0
19311130,0
19311201,4
19311202,0
19311203,95
19311204,84
19311205,43
19311206,21
19311207,29
19311208,15
19311209,17
19311210,0
19311211,0
19311212,0
19311213,0
19311214,8
19311215,0
19311216,0
19311217,0
19311218,0
19311219,0
19311220,0
19311221,0
19311222,0
19311223,50
19311224,0
19311225,0
19311226,0
19311227,8
19311228,48
19311229,23
19311230,0
19311231,46
19320101,36
19320102,84
19320103,124
19320104,18
19320105,98
19320106,123
19320107,50
19320108,19
19320109,0
19320110,5
19320111,37
19320112,1
19320113,75
19320114,0
19320115,5
19320116,0
19320117,17
19320118,1
19320119,0
19320120,0
19320121,0
19320122,0
19320123,0
19320124,0
19320125,0
19320126,0
19320127,0
19320128,0
19320129,0
19320130,3
19320131,0
19320201,0
19320202,0
19320203,5
19320204,0
19320205,0
19320206,0
19320207,2
19320208,0
19320209,0
19320210,0
19320211,0
19320212,0
19320213,0
19320214,0
19320215,0
19320216,0
19320217,0
19320218,0
19320219,0
19320220,0
19320221,0
19320222,0
19320223,0
19320224,0
19320225,0
19320226,0
19320227,0
19320228,0
19320229,0
19320301,0
19320302,0
19320303,0
19320304,0
19320305,0
19320306,21
19320307,4
19320308,2
19320309,0
19320310,3
19320311,0
19320312,19
19320313,0
19320314,0
19320315,0
19320316,0
19320317,0
19320318,0
19320319,0
19320320,0
19320321,0
19320322,0
19320323,0
19320324,0
19320325,0
19320326,0
19320327,0
19320328,20
19320329,41
19320330,2
19320331,0
19320401,0
19320402,0
19320403,17
19320404,51
19320405,12
19320406,9
19320407,37
19320408,18
19320409,64
19320410,62
19320411,2
19320412,0
19320413,0
19320414,0
19320415,0
19320416,0
19320417,0
19320418,0
19320419,0
19320420,5
19320421,26
19320422,0
19320423,32
19320424,1
19320425,0
19320426,23
19320427,0
19320428,2
19320429,3
19320430,0
19320501,0
19320502,0
19320503,0
19320504,0
19320505,3
19320506,0
19320507,0
19320508,0
19320509,0
19320510,0
19320511,0
19320512,31
19320513,55
19320514,0
19320515,0
19320516,0
19320517,68
19320518,0
19320519,0
19320520,0
19320521,0
19320522,0
19320523,0
19320524,92
19320525,72
19320526,53
19320527,0
19320528,0
19320529,0
19320530,71
19320531,15
19320601,0
19320602,0
19320603,0
19320604,0
19320605,0
19320606,0
19320607,2
19320608,0
19320609,0
19320610,0
19320611,0
19320612,0
19320613,0
19320614,0
19320615,0
19320616,0
19320617,0
19320618,0
19320619,0
19320620,50
19320621,21
19320622,55
19320623,0
19320624,0
19320625,6
19320626,0
19320627,0
19320628,0
19320629,0
19320630,0
19320701,20
19320702,0
19320703,0
19320704,0
19320705,0
19320706,117
19320707,0
19320708,0
19320709,0
19320710,0
19320711,0
19320712,3
19320713,71
19320714,0
19320715,0
19320716,38
19320717,68
19320718,14
19320719,0
19320720,0
19320721,0
19320722,0
19320723,0
19320724,0
19320725,0
19320726,95
19320727,100
19320728,0
19320729,0
19320730,49
19320731,12
19320801,90
19320802,0
19320803,32
19320804,0
19320805,12
19320806,0
19320807,0
19320808,0
19320809,0
19320810,0
19320811,0
19320812,29
19320813,0
19320814,110
19320815,0
19320816,33
19320817,0
19320818,0
19320819,85
19320820,0
19320821,45
19320822,0
19320823,0
19320824,0
19320825,0
19320826,0
19320827,0
19320828,0
19320829,0
19320830,43
19320831,4
19320901,120
19320902,172
19320903,80
19320904,24
19320905,10
19320906,260
19320907,2
19320908,0
19320909,17
19320910,103
19320911,195
19320912,28
19320913,0
19320914,0
19320915,0
19320916,0
19320917,0
19320918,7
19320919,9
19320920,11
19320921,6
19320922,17
19320923,27
19320924,40
19320925,151
19320926,8
19320927,51
19320928,0
19320929,0
19320930,65
19321001,114
19321002,129
19321003,0
19321004,40
19321005,53
19321006,0
19321007,58
19321008,39
19321009,0
19321010,0
19321011,0
19321012,0
19321013,337
19321014,132
19321015,23
19321016,85
19321017,103
19321018,88
19321019,37
19321020,64
19321021,33
19321022,0
19321023,58
19321024,2
19321025,119
19321026,43
