Date,Precipitation
19470101,0
19470102,0
19470103,2
19470104,0
19470105,0
19470106,5
19470107,14
19470108,24
19470109,38
19470110,14
19470111,70
19470112,37
19470113,39
19470114,16
19470115,0
19470116,0
19470117,7
19470118,0
19470119,10
19470120,0
19470121,23
19470122,25
19470123,2
19470124,0
19470125,0
19470126,18
19470127,2
19470128,0
19470129,0
19470130,0
19470131,0
19470201,0
19470202,2
19470203,0
19470204,21
19470205,21
19470206,12
19470207,0
19470208,3
19470209,0
19470210,0
19470211,0
19470212,0
19470213,0
19470214,0
19470215,0
19470216,3
19470217,0
19470218,0
19470219,0
19470220,19
19470221,45
19470222,45
19470223,3
19470224,28
19470225,58
19470226,0
19470227,5
19470228,8
19470301,11
19470302,0
19470303,44
19470304,49
19470305,40
19470306,0
19470307,1
19470308,0
19470309,1
19470310,74
19470311,49
19470312,0
19470313,5
19470314,42
19470315,5
19470316,0
19470317,0
19470318,33
19470319,32
19470320,54
19470321,0
19470322,161
19470323,45
19470324,15
19470325,0
19470326,0
19470327,0
19470328,0
19470329,11
19470330,1
19470331,14
19470401,6
19470402,36
19470403,8
19470404,9
19470405,0
19470406,0
19470407,0
19470408,9
19470409,44
19470410,0
19470411,0
19470412,0
19470413,0
19470414,0
19470415,0
19470416,0
19470417,0
19470418,0
19470419,21
19470420,0
19470421,13
19470422,65
19470423,4
19470424,6
19470425,0
19470426,10
19470427,0
19470428,45
19470429,0
19470430,0
19470501,11
19470502,0
19470503,0
19470504,144
19470505,230
19470506,0
19470507,0
19470508,0
19470509,0
19470510,31
19470511,0
19470512,0
19470513,0
19470514,47
19470515,136
19470516,52
19470517,30
19470518,20
19470519,19
19470520,0
19470521,43
19470522,20
19470523,1
19470524,0
19470525,0
19470526,0
19470527,80
19470528,0
19470529,0
19470530,0
19470531,0
19470601,125
19470602,0
19470603,0
19470604,152
19470605,0
19470606,143
19470607,15
19470608,0
19470609,12
19470610,0
19470611,0
19470612,0
19470613,253
19470614,11
19470615,87
19470616,0
19470617,0
19470618,0
19470619,2
19470620,0
19470621,3
19470622,45
19470623,0
19470624,0
19470625,0
19470626,0
19470627,0
19470628,0
19470629,0
19470630,25
19470701,15
19470702,0
19470703,0
19470704,7
19470705,11
19470706,0
19470707,55
19470708,78
19470709,4
19470710,11
19470711,337
19470712,62
19470713,0
19470714,0
19470715,0
19470716,0
19470717,0
19470718,1
19470719,28
19470720,0
19470721,0
19470722,0
19470723,0
19470724,0
19470725,0
19470726,0
19470727,0
19470728,0
19470729,0
19470730,0
19470731,0
19470801,0
19470802,0
19470803,0
19470804,117
19470805,136
19470806,0
19470807,3
19470808,0
19470809,0
19470810,51
19470811,0
19470812,0
19470813,0
19470814,0
19470815,0
19470816,0
19470817,0
19470818,0
19470819,0
19470820,0
19470821,77
19470822,20
19470823,0
19470824,0
19470825,0
19470826,0
19470827,0
19470828,0
19470829,0
19470830,0
19470831,0
19470901,0
19470902,0
19470903,0
19470904,0
19470905,0
19470906,0
19470907,0
19470908,147
19470909,14
19470910,0
19470911,0
19470912,0
19470913,0
19470914,0
19470915,0
19470916,0
19470917,0
19470918,0
19470919,0
19470920,0
19470921,19
19470922,0
19470923,185
19470924,153
19470925,2
19470926,0
19470927,0
19470928,0
19470929,0
19470930,28
19471001,0
19471002,0
19471003,0
19471004,0
19471005,0
19471006,0
19471007,0
19471008,0
19471009,6
19471010,64
19471011,0
19471012,0
19471013,0
19471014,0
19471015,67
19471016,1
19471017,44
19471018,0
19471019,0
19471020,0
19471021,0
19471022,0
19471023,27
19471024,0
19471025,0
19471026,0
19471027,0
19471028,0
19471029,0
19471030,0
19471031,15
19471101,0
19471102,0
19471103,56
19471104,11
19471105,134
19471106,0
19471107,0
19471108,0
19471109,3
19471110,94
19471111,8
19471112,0
19471113,36
19471114,61
19471115,174
19471116,0
19471117,18
19471118,69
19471119,39
19471120,2
19471121,0
19471122,15
19471123,59
19471124,3
19471125,34
19471126,3
19471127,11
19471128,0
19471129,0
19471130,0
19471201,0
19471202,0
19471203,4
19471204,0
19471205,0
19471206,7
19471207,47
19471208,14
19471209,0
19471210,0
19471211,0
19471212,23
19471213,4
19471214,1
19471215,107
19471216,12
19471217,92
19471218,0
19471219,117
19471220,10
19471221,75
19471222,44
19471223,2
19471224,0
19471225,42
19471226,74
19471227,61
19471228,202
19471229,155
19471230,18
19471231,6
19480101,37
19480102,32
19480103,8
19480104,0
19480105,9
19480106,23
19480107,26
19480108,26
19480109,1
19480110,2
19480111,0
19480112,5
19480113,1
19480114,186
19480115,135
19480116,1
19480117,0
19480118,19
19480119,0
19480120,0
19480121,0
19480122,16
19480123,42
19480124,14
19480125,0
19480126,0
19480127,90
19480128,24
19480129,0
19480130,4
19480131,78
19480201,7
19480202,8
19480203,90
19480204,4
19480205,0
19480206,12
19480207,26
19480208,25
19480209,0
19480210,47
19480211,30
19480212,15
19480213,14
19480214,2
19480215,49
19480216,2
19480217,3
19480218,1
19480219,13
19480220,1
19480221,0
19480222,61
19480223,5
19480224,0
19480225,0
19480226,0
19480227,0
19480228,0
19480229,0
19480301,0
19480302,0
19480303,0
19480304,0
19480305,0
19480306,0
19480307,0
19480308,5
19480309,0
19480310,0
19480311,0
19480312,0
19480313,0
19480314,0
19480315,2
19480316,133
19480317,57
19480318,24
