Date,Precipitation
19400101,0
19400102,0
19400103,0
19400104,0
19400105,0
19400106,0
19400107,0
19400108,0
19400109,0
19400110,0
19400111,0
19400112,0
19400113,0
19400114,0
19400115,0
19400116,0
19400117,0
19400118,0
19400119,0
19400120,0
19400121,0
19400122,0
19400123,0
19400124,0
19400125,0
19400126,0
19400127,0
19400128,0
19400129,0
19400130,0
19400131,0
19400201,0
19400202,0
19400203,0
19400204,0
19400205,0
19400206,0
19400207,0
19400208,0
19400209,0
19400210,0
19400211,0
19400212,0
19400213,0
19400214,0
19400215,0
19400216,0
19400217,0
19400218,0
19400219,0
19400220,0
19400221,0
19400222,0
19400223,0
19400224,0
19400225,0
19400226,0
19400227,0
19400228,0
19400229,0
19400301,0
19400302,0
19400303,0
19400304,0
19400305,0
19400306,0
19400307,0
19400308,0
19400309,0
19400310,0
19400311,0
19400312,0
19400313,0
19400314,0
19400315,0
19400316,0
19400317,0
19400318,0
19400319,0
19400320,0
19400321,0
19400322,0
19400323,0
19400324,0
19400325,0
19400326,0
19400327,0
19400328,0
19400330,0
19400331,0
19400401,0
19400402,0
19400403,0
19400404,0
19400405,0
19400406,0
19400407,0
19400408,0
19400409,0
19400410,0
19400411,0
19400412,0
19400413,0
19400414,0
19400415,0
19400416,0
19400417,0
19400418,0
19400419,0
19400420,0
19400421,0
19400422,0
19400423,0
19400424,0
19400425,0
19400426,0
19400427,0
19400428,0
19400429,33
19400430,0
19400501,0
19400502,0
19400503,0
19400504,1
19400505,0
19400506,0
19400507,0
19400508,0
19400509,0
19400510,0
19400511,0
19400512,0
19400513,141
19400514,65
19400515,0
19400516,0
19400517,0
19400518,155
19400519,123
19400520,0
19400521,688
19400522,8
19400523,0
19400524,0
19400525,17
19400527,0
19400528,105
19400529,0
19400530,11
19400531,60
19400601,0
19400602,11
19400603,38
19400604,0
19400605,75
19400606,353
19400607,28
19400608,42
19400609,212
19400610,39
19400611,683
19400612,64
19400613,0
19400614,298
19400615,134
19400616,39
19400617,17
19400618,15
19400619,3
19400620,537
19400621,5
19400622,61
19400623,551
19400624,2
19400625,23
19400626,12
19400627,206
19400628,533
19400629,143
19400630,85
19400701,0
19400702,27
19400703,352
19400704,139
19400705,1567
19400706,1971
19400707,227
19400708,635
19400709,416
19400710,479
19400711,210
19400712,352
19400713,0
19400714,563
19400715,829
19400716,88
19400717,813
19400718,44
19400719,275
19400720,87
19400721,91
19400722,87
19400723,47
19400724,37
19400725,14
19400726,803
19400727,92
19400728,142
19400729,10
19400730,353
19400731,1139
19400801,373
19400802,316
19400803,650
19400804,149
19400805,161
19400806,1078
19400807,18
19400808,489
19400809,480
19400810,0
19400811,107
19400812,47
19400813,840
19400814,101
19400815,400
19400816,0
19400817,46
19400818,28
19400819,982
19400820,12
19400821,253
19400822,381
19400823,210
19400824,42
19400825,62
19400826,104
