Date,Precipitation
19850102,0
19850103,0
19850104,0
19850105,20
19850106,0
19850107,0
19850108,0
19850109,0
19850110,0
19850111,0
19850112,46
19850113,0
19850114,0
19850115,0
19850116,0
19850117,0
19850118,0
19850119,0
19850120,0
19850121,0
19850122,84
19850123,226
19850124,0
19850125,0
19850126,0
19850127,0
19850128,0
19850129,9999
19850130,0
19850131,0
19850201,0
19850202,0
19850203,0
19850204,0
19850205,0
19850206,0
19850207,0
19850208,0
19850209,18
19850210,0
19850211,0
19850212,0
19850213,127
19850215,3
19850216,20
19850217,18
19850218,0
19850219,0
19850220,0
19850221,9999
19850222,0
19850223,0
19850224,0
19850225,0
19850226,9999
19850227,0
19850228,9999
19850301,0
19850302,0
19850303,3
19850304,0
19850305,3
19850306,3
19850307,58
19850308,18
19850309,0
19850310,3
19850311,10
19850312,0
19850313,0
19850314,0
19850315,0
19850316,0
19850317,9999
19850318,0
19850319,0
19850320,0
19850321,0
19850322,0
19850323,800
19850324,0
19850325,0
19850326,0
19850327,0
19850328,5
19850329,0
19850330,0
19850331,0
19850401,9999
19850402,0
19850403,411
19850404,8
19850405,0
19850406,0
19850408,9999
19850409,0
19850410,0
19850411,0
19850412,0
19850413,0
19850414,0
19850415,0
19850416,43
19850417,0
19850419,9999
19850421,9999
19850423,9999
19850425,9999
19850426,0
19850428,0
19850430,0
19850501,9999
19850502,0
19850503,9999
19850504,0
19850506,0
19850507,9999
19850508,505
19850509,0
19850510,0
19850512,0
19850513,0
19850514,0
19850515,0
19850516,0
19850517,0
19850518,0
19850519,0
19850520,0
19850521,0
19850522,0
19850523,0
19850524,0
19850525,0
19850526,0
19850527,0
19850528,0
19850531,2560
19850601,0
19850602,0
19850603,9999
19850604,5
19850605,9999
19850606,9999
19850607,0
19850608,0
19850610,0
19850611,9999
19850612,114
19850613,0
19850614,41
19850615,399
19850616,0
19850617,0
19850618,0
19850619,0
19850620,0
19850621,0
19850622,0
19850623,0
19850624,0
19850626,91
19850627,0
19850628,0
19850629,0
19850630,9999
19850701,9999
19850702,0
19850703,0
19850704,15
19850705,345
19850706,36
19850707,0
19850708,175
19850709,0
19850710,9999
19850711,142
19850712,0
19850713,99
19850714,5
19850715,0
19850716,5
19850717,0
19850718,36
19850719,5
19850720,0
19850721,64
19850722,0
19850723,0
19850724,0
19850725,0
19850726,0
19850727,0
19850728,51
19850729,79
19850730,15
19850731,0
19850801,25
19850802,0
19850803,94
19850804,0
19850805,86
19850806,0
19850807,0
19850808,0
19850809,0
19850810,0
19850811,0
19850812,0
19850813,0
19850814,0
19850815,0
19850816,0
19850817,0
19850818,577
19850819,0
19850820,0
19850821,36
19850822,0
19850823,28
