Date,Precipitation
20020101,8
20020102,0
20020103,9999
20020104,8
20020105,0
20020106,0
20020107,9999
20020108,9999
20020109,0
20020110,0
20020111,9999
20020112,9999
20020113,9999
20020114,0
20020115,0
20020116,0
20020117,0
20020118,0
20020119,8
20020120,0
20020121,0
20020122,0
20020123,9999
20020125,9999
20020126,0
20020127,0
20020128,0
20020129,23
20020130,9999
20020131,0
20020201,0
20020202,0
20020203,0
20020204,0
20020205,9999
20020206,0
20020207,0
20020208,0
20020209,0
20020210,0
20020211,0
20020212,5
20020213,0
20020214,5
20020215,0
20020216,0
20020217,28
20020218,0
20020219,0
20020220,0
20020221,0
20020222,0
20020223,0
20020224,0
20020225,5
20020226,0
20020227,18
20020228,0
20020301,0
20020302,0
20020303,0
20020304,0
20020305,0
20020306,0
20020307,0
20020308,0
20020309,0
20020310,0
20020311,0
20020312,0
20020313,0
20020314,0
20020315,0
20020316,0
20020317,0
20020318,9999
20020319,9999
20020320,9999
20020321,9999
20020322,9999
20020323,9999
20020324,0
20020325,9999
20020326,0
20020327,9999
20020328,9999
20020329,0
20020330,30
20020331,9999
20020401,0
20020402,221
20020403,9999
20020404,30
20020405,9999
20020406,9999
20020407,0
20020408,30
20020409,0
20020410,9999
20020411,9999
20020412,9999
20020413,9999
20020414,0
20020415,3
20020416,0
20020417,15
20020418,0
20020419,127
20020420,9999
20020421,9999
20020422,9999
20020423,9999
20020424,9999
20020425,0
20020426,0
20020427,0
20020428,0
20020429,0
20020430,0
20020501,0
20020502,9999
20020503,56
20020504,9999
20020505,9999
20020506,9999
20020507,0
20020508,0
20020509,9999
20020510,9999
20020511,0
20020512,0
20020513,0
20020514,18
20020515,8
20020516,0
20020517,0
20020518,0
20020519,0
20020520,0
20020521,9999
20020522,0
20020523,9999
20020524,0
20020525,0
20020526,8
20020527,0
20020528,0
20020529,0
20020530,0
20020531,0
20020601,0
20020602,0
20020603,0
20020604,0
20020607,0
20020608,0
20020609,0
20020610,9999
20020611,20
20020612,0
20020613,0
20020614,0
20020615,0
20020616,0
20020617,0
20020618,0
20020619,0
20020620,0
20020622,0
20020623,0
20020624,0
20020625,0
20020626,0
20020627,0
20020628,0
20020629,0
20020630,9999
20020701,9999
20020702,0
20020703,0
20020704,20
20020705,0
20020706,0
20020707,0
20020708,0
20020709,0
20020710,69
20020711,25
20020712,0
20020713,0
20020714,0
20020715,0
20020716,0
20020717,0
20020718,0
20020719,0
20020720,0
20020721,13
20020722,41
20020723,89
20020724,51
20020725,0
20020726,9999
20020727,0
20020728,0
20020729,8
20020730,0
20020731,0
20020801,0
20020802,3
20020803,0
20020804,0
20020805,0
20020806,0
20020807,0
20020808,0
20020809,0
20020810,0
20020811,0
20020812,0
20020813,0
20020814,0
20020815,20
20020816,0
20020817,0
20020818,0
20020819,0
20020820,0
20020821,0
20020822,0
20020823,0
20020824,0
20020825,0
20020826,9999
20020827,0
20020828,0
20020829,0
20020830,0
20020831,9999
20020901,0
20020902,0
20020903,0
20020904,0
20020905,0
20020906,0
20020907,0
20020908,0
20020909,0
20020910,0
20020911,0
20020912,0
20020913,0
20020914,0
20020915,0
20020916,0
20020917,0
20020918,0
20020919,0
20020920,0
20020921,0
20020922,5
20020923,0
20020924,0
20020925,0
20020926,0
20020927,0
20020928,0
20020929,0
20020930,0
20021001,0
20021002,0
20021003,0
20021004,0
20021005,0
20021006,0
20021007,0
20021008,0
20021009,0
20021010,0
20021011,0
20021012,0
20021013,0
20021014,0
20021015,0
20021016,0
20021017,9999
20021018,0
20021019,0
20021020,9999
20021021,0
20021022,9999
20021023,3
20021024,0
20021025,0
20021026,9999
20021027,0
20021028,0
