Date,Precipitation
20040101,20
20040102,0
20040103,0
20040104,0
20040105,0
20040106,0
20040107,0
20040108,0
20040109,10
20040110,0
20040111,0
20040112,0
20040113,0
20040114,0
20040115,41
20040116,0
20040117,0
20040118,109
20040119,20
20040120,0
20040121,0
20040123,0
20040124,0
20040125,5
20040126,0
20040127,61
20040128,30
20040129,0
20040130,0
20040131,0
20040201,0
20040202,0
20040203,0
20040204,0
20040205,0
20040206,9999
20040207,0
20040208,0
20040209,0
20040210,0
20040211,0
20040212,0
20040213,0
20040214,0
20040215,0
20040216,0
20040217,0
20040218,0
20040219,51
20040220,140
20040221,51
20040222,20
20040223,20
20040224,5
20040225,0
20040226,36
20040227,10
20040228,89
20040229,0
20040301,20
20040302,0
20040303,0
20040304,0
20040305,0
20040306,0
20040307,191
20040308,81
20040309,0
20040310,0
20040311,30
20040312,30
20040313,0
20040314,0
20040315,0
20040316,0
20040317,0
20040318,0
20040319,0
20040320,0
20040321,0
20040322,0
20040323,20
20040324,5
20040325,0
20040326,0
20040327,5
20040328,0
20040329,0
20040330,0
20040331,30
20040401,0
20040402,0
20040403,0
20040404,0
20040405,0
20040406,0
20040407,30
20040408,0
20040409,99
20040410,0
20040411,0
20040412,9999
20040413,51
20040414,0
20040415,0
20040416,41
20040417,30
20040418,0
20040419,41
20040420,30
20040421,0
20040422,0
20040423,0
20040424,0
20040425,160
20040426,0
20040427,0
20040428,0
20040429,10
20040430,25
20040501,0
20040502,0
20040503,5
20040504,10
20040505,10
20040506,30
20040507,0
20040508,8
20040509,0
20040510,5
20040511,0
20040512,8
20040513,0
20040514,0
20040515,0
20040516,0
20040517,0
20040518,0
20040519,0
20040520,0
20040521,0
20040522,0
20040523,10
20040524,0
20040525,0
20040526,0
20040527,0
20040528,20
20040529,51
20040530,0
20040531,0
20040601,28
20040602,20
20040603,10
20040604,0
20040605,0
20040606,89
20040607,0
20040608,0
20040609,0
20040610,0
20040611,0
20040612,0
20040613,10
20040614,0
20040615,0
20040616,0
20040617,0
20040618,0
20040619,0
20040620,36
20040621,0
20040622,0
20040623,0
20040624,0
20040625,0
20040626,0
20040627,0
20040628,0
20040629,0
20040630,0
20040701,0
20040702,9999
20040703,0
20040704,0
20040705,0
20040706,0
20040707,0
20040708,9999
20040709,0
20040710,0
20040711,0
20040712,0
20040713,0
20040714,0
20040715,0
20040716,0
20040717,0
20040718,0
20040719,0
20040720,0
