Date,Precipitation
19510101,0
19510102,260
19510103,0
19510104,11
19510105,0
19510106,2
19510107,0
19510108,3
19510109,0
19510110,0
19510111,0
19510112,0
19510113,1
19510114,24
19510115,2
19510116,0
19510117,7
19510118,3
19510119,9
19510120,33
19510121,41
19510122,3
19510123,13
19510124,0
19510125,31
19510126,0
19510127,18
19510128,0
19510129,0
19510130,0
19510131,1
19510201,0
19510202,0
19510203,0
19510204,3
19510205,6
19510206,0
19510207,0
19510208,0
19510209,0
19510210,0
19510211,0
19510212,0
19510213,0
19510214,18
19510215,0
19510216,0
19510217,0
19510218,3
19510219,0
19510220,0
19510221,52
19510222,0
19510223,2
19510224,23
19510225,17
19510226,96
19510227,9
19510228,3
19510301,0
19510302,0
19510303,46
19510304,1
19510305,4
19510306,50
19510307,20
19510308,21
19510309,65
19510310,4
19510311,1
19510312,2
19510313,0
19510314,43
19510315,1
19510316,0
19510317,11
19510318,4
19510319,117
19510320,1
19510321,0
19510322,0
19510323,0
19510324,4
19510325,45
19510326,6
19510327,5
19510328,23
19510329,144
19510330,0
19510331,33
19510401,145
19510402,0
19510403,0
19510404,0
19510405,0
19510406,0
19510407,0
19510408,0
19510409,21
19510410,12
19510411,0
19510412,0
19510413,0
19510414,1
19510415,0
19510416,0
19510417,0
19510418,0
19510419,1
19510420,5
19510421,17
19510422,1
19510423,0
19510424,0
19510425,0
19510426,0
19510427,60
19510428,15
19510429,3
19510430,109
19510501,1
19510502,0
19510503,21
19510504,35
19510505,50
19510506,0
19510507,0
19510508,63
19510509,31
19510510,371
19510511,14
19510512,0
19510513,1
19510514,26
19510515,8
19510516,89
19510517,11
19510518,109
19510519,1
19510520,0
19510521,1
19510522,2
19510523,11
19510524,0
19510525,0
19510526,6
19510527,0
19510528,29
19510529,0
19510530,7
19510531,0
19510601,0
19510602,0
19510603,61
19510604,20
19510605,2
19510606,67
19510607,82
19510608,17
19510609,18
19510610,0
19510611,0
19510612,0
19510613,2
19510614,0
19510615,0
19510616,67
19510617,6
19510618,0
19510619,156
19510620,6
19510621,0
19510622,0
19510623,0
19510624,225
19510625,48
19510626,0
19510627,0
19510628,0
19510629,27
19510630,0
19510701,0
19510702,0
19510703,1
19510704,22
19510705,0
19510706,0
19510707,0
19510708,0
19510709,0
19510710,3
19510711,0
19510712,1
19510713,7
19510714,0
19510715,16
19510716,181
19510717,4
19510718,0
19510719,0
19510720,3
19510721,0
19510722,0
19510723,0
19510724,111
19510725,0
19510726,0
19510727,0
19510728,0
19510729,0
19510730,7
19510731,0
19510801,0
19510802,0
19510803,227
19510804,0
19510805,161
19510806,0
19510807,0
19510808,0
19510809,0
19510810,5
19510811,3
19510812,0
19510813,0
19510814,9
19510815,0
19510816,1
19510817,39
19510818,9
19510819,1
19510820,1
19510821,0
19510822,230
19510823,269
19510824,164
19510825,1
19510826,82
19510827,15
19510828,1
19510829,1
19510830,1
19510831,1
19510901,62
19510902,1
19510903,1
19510904,1
19510905,1
19510906,1
19510907,1
19510908,1
19510909,5
19510910,1
19510911,1
19510912,1
19510913,0
19510914,1
19510915,1
19510916,0
19510917,63
19510918,65
19510919,1
19510920,14
19510921,2
19510922,0
19510923,1
19510924,1
19510925,0
19510926,38
19510927,115
19510928,73
19510929,8
19510930,0
19511001,0
19511002,0
19511003,0
19511004,1
19511005,6
19511006,0
19511007,0
19511008,0
19511009,0
19511010,0
19511011,0
19511012,0
19511013,0
19511014,0
19511015,0
19511016,0
19511017,0
19511018,0
19511019,0
19511020,0
19511021,3
19511022,0
19511023,0
19511024,1
19511025,0
19511026,0
19511027,0
19511028,0
19511029,0
19511030,0
19511031,0
19511101,21
19511102,16
19511103,0
19511104,0
19511105,0
19511106,0
19511107,0
19511108,0
19511109,0
19511110,0
19511111,0
19511112,5
19511113,122
19511114,2
19511115,0
19511116,0
19511117,0
19511118,0
19511119,0
19511120,0
19511121,10
19511122,30
19511123,62
19511124,1
19511125,6
19511126,0
19511127,4
19511128,0
19511129,1
19511130,40
19511201,0
19511202,0
19511203,15
19511204,16
19511205,0
19511206,0
19511207,2
19511208,0
19511209,7
19511210,10
19511211,11
19511212,2
19511213,17
19511214,0
19511215,0
19511216,0
19511217,0
19511218,0
19511219,0
19511220,0
19511221,0
19511222,0
19511223,0
19511224,0
19511225,0
19511226,0
19511227,3
19511228,63
19511229,44
19511230,44
19511231,0
19520101,10
19520102,0
19520103,40
19520104,66
19520105,12
19520106,2
19520107,2
19520108,0
19520109,0
19520110,2
19520111,10
19520112,0
19520113,0
19520114,3
19520115,0
19520116,0
19520117,1
19520118,66
19520119,121
19520120,77
19520121,0
19520122,0
19520123,0
19520124,0
19520125,5
19520126,61
19520127,65
19520128,1
19520129,0
19520130,0
19520131,0
19520201,40
19520202,42
19520203,0
19520204,0
19520205,0
19520206,0
19520207,0
19520208,3
19520209,2
19520210,0
19520211,3
19520212,65
19520213,0
19520214,126
19520215,26
19520216,76
19520217,21
19520218,27
19520219,13
19520220,1
19520221,21
19520222,25
19520223,0
19520224,4
19520225,5
19520226,13
19520227,3
19520228,37
19520229,17
19520301,6
19520302,2
19520303,0
19520304,2
19520305,22
19520306,0
19520307,4
19520308,0
19520309,0
19520310,0
19520311,0
19520312,0
19520313,4
19520314,1
19520315,0
19520316,0
19520317,0
19520318,0
19520319,0
19520320,0
19520321,0
19520322,17
19520323,0
19520324,14
19520325,0
19520326,120
19520327,8
19520328,4
19520329,2
19520330,190
19520331,1
19520401,91
19520402,53
19520403,0
19520404,0
19520405,23
19520406,15
19520407,0
19520408,0
19520409,0
19520410,4
19520411,0
19520412,0
19520413,0
19520414,0
19520415,0
19520416,14
19520417,0
19520418,0
19520419,0
19520420,0
19520421,0
19520422,0
19520423,0
19520424,0
19520425,6
19520426,0
19520427,0
19520428,0
19520429,18
19520430,17
19520501,0
19520502,0
19520503,42
19520504,0
19520505,3
19520506,1
19520507,67
19520508,0
19520509,16
19520510,10
19520511,43
19520512,16
19520513,23
19520514,0
19520515,23
19520516,26
19520517,14
19520518,0
19520519,14
19520520,0
19520521,6
19520522,0
19520523,3
19520524,89
19520525,5
19520526,0
19520527,53
19520528,2
19520529,0
19520530,0
19520531,0
19520601,0
19520602,41
19520603,46
19520604,74
19520605,0
19520606,0
19520607,18
19520608,0
19520609,17
19520610,0
19520611,15
19520612,0
19520613,0
19520614,19
19520615,0
19520616,38
19520617,0
19520618,0
19520619,63
19520620,101
19520621,0
19520622,0
19520623,1
19520624,0
19520625,0
19520626,23
19520627,0
19520628,0
19520629,0
19520630,0
19520701,0
19520702,0
19520703,0
19520704,0
19520705,0
19520706,0
19520707,0
19520708,0
19520709,0
19520710,0
19520711,0
19520712,9
19520713,0
