Date,Precipitation
19610101,79
19610102,21
19610103,0
19610104,5
19610105,62
19610106,0
19610107,0
19610108,838
19610109,41
19610110,0
19610111,581
19610112,51
19610113,96
19610114,23
19610115,214
19610116,6
19610117,0
19610118,22
19610119,17
19610120,0
19610121,7
19610122,101
19610123,200
19610124,0
19610125,14
19610126,0
19610127,0
19610128,13
19610129,0
19610130,0
19610131,0
19610201,0
19610202,15
19610203,301
19610204,0
19610205,71
19610206,10
19610207,102
19610208,298
19610209,43
19610210,0
19610211,0
19610212,0
19610213,86
19610214,68
19610215,0
19610216,0
19610217,0
19610218,120
19610219,20
19610220,8
19610221,0
19610222,13
19610223,29
19610224,0
19610225,55
19610226,1
19610227,0
19610228,5
19610301,0
19610302,0
19610303,0
19610304,0
19610305,74
19610306,0
19610307,0
19610308,0
19610309,0
19610310,0
19610311,9
19610312,40
19610313,0
19610314,0
19610315,7
19610316,46
19610317,58
19610318,1
19610319,3
19610320,169
19610321,0
19610322,108
19610323,32
19610324,80
19610325,19
19610326,5
19610327,0
19610328,0
19610329,104
19610330,8
19610331,0
19610401,0
19610402,2
19610403,1
19610404,0
19610405,0
19610406,0
19610407,1
19610408,0
19610409,1
19610410,43
19610411,11
19610412,0
19610413,36
19610414,0
19610415,0
19610416,0
19610417,18
19610418,2
19610419,5
19610420,0
19610421,1
19610422,0
19610423,3
19610424,98
19610425,18
19610426,10
19610427,38
19610428,0
19610429,0
19610430,1
19610501,0
19610502,0
19610503,0
19610504,24
19610505,0
19610506,0
19610507,0
19610508,4
19610509,6
19610510,33
19610511,112
19610512,0
19610513,0
19610514,33
19610515,9
19610516,16
19610517,6
19610518,37
19610519,0
19610520,30
19610521,1
19610522,0
19610523,0
19610524,0
19610525,0
19610526,37
19610527,0
19610528,0
19610529,0
19610530,0
19610531,0
19610601,63
19610602,0
19610603,0
19610604,1
19610605,24
19610606,5
19610607,0
19610608,0
19610609,0
19610610,235
19610611,5
19610612,0
19610613,0
19610614,0
19610615,0
19610616,0
19610617,0
19610618,311
19610619,24
19610620,0
19610621,0
19610622,2
19610623,2
19610624,2
19610625,11
19610626,37
19610627,71
19610628,0
19610629,21
19610630,53
19610701,19
19610702,21
19610703,24
19610704,43
19610705,203
19610706,4
19610707,0
19610708,15
19610709,0
19610710,5
19610711,0
19610712,2
19610713,8
19610714,22
19610715,0
19610716,0
19610717,9
19610718,3
19610719,107
19610720,69
19610721,29
19610722,1
19610723,0
19610724,0
19610725,13
19610726,12
19610727,39
19610728,2
19610729,33
19610730,5
19610731,0
19610801,1
19610802,0
19610803,42
19610804,0
19610805,1
19610806,0
19610807,1
19610808,5
19610809,1
19610810,0
19610811,4
19610812,45
19610813,18
19610814,0
19610815,2
19610816,63
19610817,59
19610818,1
19610819,9
19610820,5
19610821,42
19610822,4
19610823,10
19610824,0
19610825,0
19610826,0
19610827,6
19610828,9
19610829,1
19610830,7
19610831,5
19610901,1
19610902,1
19610903,4
19610904,4
19610905,0
19610906,39
19610907,0
19610908,1
19610909,0
19610910,0
19610911,3
19610912,3
19610913,0
19610914,0
19610915,1
19610916,0
19610917,0
19610918,2
19610919,214
19610920,0
19610921,0
19610922,38
19610923,2
19610924,5
19610925,5
19610926,0
19610927,1
19610928,5
19610929,156
19610930,129
19611001,0
19611002,0
19611003,35
19611004,62
19611005,0
19611006,124
19611007,378
19611008,9
19611009,0
19611010,2
19611011,72
19611012,91
19611013,10
19611014,0
19611015,19
19611016,10
19611017,2
19611018,13
19611019,8
19611020,32
19611021,0
19611022,0
19611023,0
19611024,13
19611025,22
19611026,4
19611027,0
19611028,0
19611029,0
19611030,0
19611031,5
19611101,103
19611102,297
19611103,406
19611104,0
19611105,11
19611106,25
19611107,49
19611108,10
19611109,18
19611110,316
19611111,28
19611112,0
19611113,2
19611114,0
19611115,1
19611116,67
19611117,42
19611118,67
19611119,92
19611120,0
19611121,0
19611122,0
19611123,2
19611124,1
19611125,115
19611126,53
19611127,56
19611128,0
19611129,27
19611130,111
19611201,49
19611202,0
19611203,29
19611204,78
19611205,161
19611206,0
19611207,0
19611208,33
19611209,15
19611210,202
19611211,0
19611212,2
19611213,56
19611214,41
19611215,12
19611216,159
19611217,34
19611218,142
19611219,287
19611220,2
19611221,0
19611222,0
19611223,107
19611224,7
19611225,12
19611226,223
19611227,124
19611228,984
19611229,412
19611230,363
19611231,6
19620101,42
19620102,19
19620103,62
19620104,183
19620105,26
19620106,172
19620107,0
19620108,8
19620109,4
19620110,31
19620111,12
19620112,29
19620113,6
19620114,7
19620115,42
19620116,2
19620117,98
19620118,24
19620119,0
19620120,0
19620121,0
19620122,0
19620123,9
19620124,0
19620125,0
19620126,6
19620127,16
19620128,13
19620129,30
19620130,166
19620131,46
19620201,0
19620202,1
19620203,329
19620204,3
19620205,0
19620206,26
19620207,15
19620208,12
19620209,0
19620210,2
19620211,0
19620212,0
19620213,179
19620214,423
19620215,7
19620216,82
19620217,6
19620218,229
19620219,1
19620220,0
19620221,0
19620222,1
19620223,0
19620224,0
19620225,17
19620226,17
19620227,0
19620228,0
19620301,66
19620302,2
19620303,6
19620304,6
19620305,0
19620306,0
19620307,7
19620308,679
19620309,29
19620310,0
19620311,0
19620312,60
19620313,53
19620314,93
19620315,18
19620316,0
19620317,0
19620318,0
19620319,0
19620320,0
19620321,0
19620322,151
19620323,2
19620324,11
19620325,2
19620326,0
19620327,0
19620328,8
19620329,11
19620330,5
19620331,45
19620401,27
19620402,24
19620403,90
19620404,0
19620405,23
19620406,0
19620407,11
19620408,11
19620409,0
19620410,0
19620411,0
19620412,0
19620413,24
19620414,26
19620415,24
19620416,57
19620417,133
19620418,37
19620419,10
19620420,0
19620421,0
19620422,0
19620423,0
19620424,0
19620425,21
19620426,31
19620427,13
19620428,194
19620429,349
19620430,0
19620501,5
19620502,5
19620503,24
19620504,87
19620505,0
19620506,0
19620507,0
19620508,0
19620509,0
19620510,0
19620511,16
19620512,0
19620513,7
19620514,0
19620515,1
19620516,0
19620517,41
19620518,53
19620519,354
19620520,8
19620521,0
19620522,2
19620523,0
19620524,0
19620525,1
19620526,4
19620527,95
19620528,0
19620529,17
19620530,0
19620531,50
19620601,51
19620602,57
19620603,16
19620604,0
19620605,0
19620606,4
19620607,0
19620608,31
19620609,65
19620610,4
19620611,8
19620612,0
19620613,3
19620614,0
19620615,0
19620616,20
19620617,42
19620618,43
19620619,20
19620620,17
19620621,0
19620622,3
19620623,143
19620624,2
19620625,21
19620626,66
19620627,32
19620628,42
19620629,106
19620630,621
19620701,0
19620702,0
19620703,0
19620704,0
19620705,28
19620706,108
19620707,21
19620708,30
19620709,36
19620710,192
19620711,22
19620712,44
19620713,40
19620714,3
19620715,13
19620716,50
19620717,224
19620718,158
19620719,60
19620720,16
19620721,108
19620722,34
19620723,0
19620724,43
19620725,10
19620726,20
19620727,1
19620728,49
19620729,0
19620730,12
19620731,0
19620801,2
19620802,11
19620803,0
19620804,9
19620805,25
19620806,0
19620807,0
19620808,0
19620809,0
19620810,65
19620811,2
19620812,0
19620813,0
19620814,87
19620815,1
19620816,0
19620817,40
19620818,0
19620819,18
