Date,Precipitation
19610101,0
19610102,0
19610103,0
19610104,0
19610105,4
19610106,0
19610107,10
19610108,0
19610109,0
19610110,18
19610111,0
19610112,0
19610113,56
19610114,0
19610115,0
19610116,0
19610117,0
19610118,0
19610119,0
19610120,0
19610121,0
19610122,0
19610123,0
19610124,28
19610125,26
19610126,11
19610127,0
19610128,0
19610129,0
19610130,0
19610131,0
19610201,30
19610202,119
19610203,0
19610204,0
19610205,0
19610206,0
19610207,0
19610208,16
19610209,0
19610210,0
19610211,0
19610212,4
19610213,6
19610214,44
19610215,0
19610216,0
19610217,0
19610218,0
19610219,0
19610220,0
19610221,0
19610222,0
19610223,0
19610224,0
19610225,0
19610226,0
19610227,0
19610228,0
19610301,4
19610302,0
19610303,0
19610304,0
19610305,0
19610306,0
19610307,0
19610308,0
19610309,0
19610310,0
19610311,0
19610312,0
19610313,90
19610314,6
19610315,1
19610316,0
19610317,0
19610318,0
19610319,0
19610320,42
19610321,0
19610322,0
19610323,0
19610324,12
19610325,0
19610326,0
19610327,0
19610328,11
19610329,12
19610330,0
19610331,8
19610401,18
19610402,0
19610403,12
19610404,0
19610405,0
19610406,0
19610407,0
19610408,0
19610409,11
19610410,0
19610411,0
19610412,0
19610413,0
19610414,0
19610415,0
19610416,5
19610417,11
19610418,0
19610419,0
19610420,57
19610421,0
19610422,0
19610423,0
19610424,4
19610425,49
19610426,53
19610427,6
19610428,14
19610429,0
19610430,67
19610501,104
19610502,133
19610503,0
19610504,5
19610505,0
19610506,0
19610507,85
19610508,1
19610509,0
19610510,0
19610511,11
19610512,85
19610513,46
19610514,0
19610515,40
19610516,66
19610517,96
19610518,6
19610519,0
19610520,53
19610521,71
19610522,73
19610523,8
19610524,0
19610525,0
19610526,0
19610527,0
19610528,16
19610529,78
19610530,51
19610531,0
19610601,0
19610602,132
19610603,6
19610604,143
19610605,132
19610606,0
19610607,38
19610608,0
19610609,0
19610610,0
19610611,149
19610612,7
19610613,0
19610614,5
19610615,0
19610616,0
19610617,0
19610618,0
19610619,0
19610620,0
19610621,0
19610622,0
19610623,108
19610624,0
19610625,0
19610626,0
19610627,0
19610628,6
19610629,0
19610630,0
19610701,0
19610702,0
19610703,0
19610704,0
19610705,1
19610706,0
19610707,0
19610708,0
19610709,65
19610710,0
19610711,5
19610712,114
19610713,0
19610714,115
19610715,0
19610716,0
19610717,40
19610718,13
19610719,0
19610720,0
19610721,31
19610722,0
19610723,77
19610724,16
19610725,0
19610726,0
19610727,0
19610728,0
19610729,0
19610730,141
19610731,0
19610801,0
19610802,0
19610803,0
19610804,0
19610805,0
19610806,0
19610807,0
19610808,0
19610809,0
19610810,0
19610811,0
19610812,0
19610813,0
19610814,0
19610815,9
19610816,0
19610817,55
19610818,142
19610819,14
19610820,0
19610821,0
19610822,0
19610823,22
19610824,0
19610825,0
19610826,0
19610827,0
19610828,0
19610829,0
19610830,0
19610831,0
19610901,0
19610902,0
19610903,0
19610904,0
19610905,0
19610906,0
19610907,0
19610908,0
19610909,0
19610910,24
19610911,0
19610912,0
19610913,0
19610914,0
19610915,0
19610916,0
19610917,0
19610918,0
19610919,0
19610920,0
19610921,0
19610922,0
19610923,0
19610924,0
19610925,0
19610926,0
19610927,0
19610928,0
19610929,0
19610930,0
19611001,0
19611002,1
19611003,0
19611004,0
19611005,0
19611006,0
19611007,0
19611008,0
19611009,0
19611010,0
19611011,0
19611012,0
19611013,0
19611014,0
19611015,0
19611016,0
19611017,0
19611018,0
19611019,0
19611020,0
19611021,74
19611022,9
19611023,0
19611024,0
19611025,0
19611026,0
19611027,0
19611028,0
19611029,0
19611030,0
19611031,18
19611101,0
19611102,0
19611103,0
19611104,0
19611105,0
19611106,76
19611107,178
19611108,29
19611109,4
19611110,0
19611111,13
19611112,0
19611113,0
19611114,28
19611115,139
19611116,0
19611117,0
19611118,2
19611119,14
19611120,2
19611121,0
19611122,0
19611123,0
19611124,0
19611125,0
19611126,12
19611127,0
19611128,65
19611129,5
19611130,118
19611201,0
19611202,0
19611203,0
19611204,0
19611205,0
19611206,0
19611207,78
19611208,83
19611209,18
19611210,0
19611211,2
19611212,30
19611213,155
19611214,0
19611215,0
19611216,0
19611217,9
19611218,0
19611219,0
19611220,0
19611221,74
19611222,0
19611223,65
19611224,34
19611225,52
19611226,0
19611227,40
19611228,67
19611229,0
19611230,0
19611231,0
19620101,11
19620102,3
19620103,144
19620104,0
19620105,0
19620106,0
19620107,2
19620108,0
19620109,0
19620110,0
19620111,0
19620112,14
19620113,0
19620114,34
19620115,0
19620116,34
19620117,0
19620118,0
19620119,0
19620120,0
19620121,0
19620122,0
19620123,0
19620124,2
19620125,0
19620126,22
19620127,23
19620128,76
19620129,0
19620130,0
19620131,16
19620201,41
19620202,12
19620203,34
19620204,28
19620205,0
19620206,37
19620207,0
19620208,0
19620209,0
19620210,9
19620211,2
19620212,0
19620213,0
19620214,3
19620215,38
19620216,0
19620217,66
19620218,8
19620219,10
19620220,16
19620221,14
19620222,0
19620223,0
19620224,4
19620225,23
19620226,0
19620227,0
19620228,0
19620301,8
19620302,37
19620303,0
19620304,6
19620305,0
19620306,13
19620307,80
19620308,93
19620309,4
19620310,0
19620311,4
19620312,108
19620313,31
19620314,63
19620315,165
19620316,99
19620317,89
19620318,16
19620319,0
19620320,0
19620321,0
19620322,0
19620323,12
19620324,23
19620325,63
19620326,56
19620327,26
19620328,60
19620329,16
19620330,0
19620331,21
19620401,161
19620402,0
19620403,0
19620404,0
19620405,16
19620406,3
19620407,250
19620408,0
19620409,0
19620410,0
19620411,0
19620412,0
19620413,138
19620414,26
19620415,16
19620416,0
19620417,0
19620418,0
19620419,0
19620420,0
19620421,0
19620422,0
19620423,0
19620424,0
19620425,0
19620426,0
19620427,0
19620428,29
19620429,0
19620430,68
19620501,16
19620502,0
19620503,0
19620504,10
19620505,0
19620506,0
19620507,0
19620508,0
19620509,0
19620510,11
19620511,0
19620512,10
19620513,0
19620514,24
19620515,2
19620516,0
19620517,0
19620518,0
19620519,0
19620520,0
19620521,44
19620522,0
19620523,0
19620524,0
19620525,0
19620526,0
19620527,0
19620528,8
19620529,63
19620530,0
19620531,0
19620601,0
19620602,0
19620603,12
19620604,17
19620605,0
19620606,13
19620607,13
19620608,8
19620609,0
19620610,0
19620611,114
19620612,179
19620613,7
19620614,0
19620615,0
19620616,0
19620617,0
19620618,0
19620619,0
19620620,0
19620621,0
19620622,12
19620623,0
19620624,0
19620625,0
19620626,50
19620627,26
19620628,20
19620629,0
19620630,2
19620701,0
19620702,0
19620703,0
19620704,0
19620705,24
19620706,14
19620707,1
19620708,0
19620709,0
19620710,0
19620711,0
19620712,185
19620713,10
19620714,0
19620715,0
19620716,43
19620717,35
19620718,30
19620719,17
19620720,44
19620721,0
19620722,0
19620723,0
19620724,0
19620725,0
19620726,0
19620727,0
19620728,0
19620729,26
19620730,9
19620731,12
19620801,0
19620802,0
19620803,0
19620804,0
19620805,13
19620806,0
19620807,0
19620808,0
19620809,0
19620810,2
19620811,104
19620812,0
19620813,0
19620814,0
19620815,0
19620816,20
19620817,3
19620818,2
19620819,0
19620820,0
19620821,0
19620822,0
19620823,0
19620824,0
19620825,0
19620826,0
19620827,0
19620828,0
19620829,0
19620830,0
19620831,0
19620901,0
19620902,0
19620903,0
19620904,0
19620905,0
19620906,0
19620907,0
19620908,0
19620909,58
19620910,0
19620911,0
19620912,0
19620913,0
19620914,1
19620915,0
19620916,0
19620917,0
19620918,0
19620919,28
19620920,20
19620921,156
19620922,10
19620923,52
19620924,13
19620925,0
19620926,0
19620927,0
19620928,59
19620929,40
19620930,50
19621001,0
19621002,0
19621003,0
19621004,0
19621005,0
19621006,0
19621007,0
19621008,0
19621009,0
19621010,0
19621011,0
19621012,0
19621013,0
19621014,14
19621015,0
19621016,0
19621017,0
19621018,0
19621019,0
19621020,0
19621021,0
19621022,0
19621023,0
19621024,0
19621025,0
19621026,0
19621027,0
19621028,0
19621029,5
19621030,3
19621031,0
19621101,0
19621102,48
19621103,40
19621104,0
19621105,0
19621106,1
19621107,0
19621108,0
19621109,2
19621110,108
19621111,24
19621112,0
19621113,0
19621114,0
19621115,0
19621116,15
19621117,6
19621118,0
19621119,0
19621120,0
19621121,138
19621122,6
19621123,0
19621124,0
19621125,170
19621126,73
19621127,0
19621128,24
19621129,12
19621130,82
19621201,77
19621202,0
19621203,0
19621204,0
19621205,0
19621206,0
19621207,0
19621208,0
19621209,0
19621210,0
19621211,11
19621212,0
19621213,0
19621214,6
19621215,0
19621216,292
19621217,44
19621218,0
19621219,0
19621220,10
19621221,0
19621222,5
19621223,19
19621224,7
19621225,0
19621226,8
19621227,65
19621228,0
19621229,0
19621230,46
19621231,27
19630101,2
19630102,0
19630103,0
19630104,56
19630105,23
19630106,67
19630107,67
19630108,388
19630109,78
19630110,0
19630111,32
19630112,122
19630113,67
19630114,45
19630115,5
19630116,0
19630117,0
19630118,0
19630119,0
19630120,78
19630121,40
19630122,25
19630123,3
19630124,0
19630125,0
19630126,4
19630127,0
19630128,0
19630129,0
19630130,23
19630131,52
19630201,25
19630202,26
19630203,14
19630204,10
19630205,19
19630206,34
19630207,2
19630208,0
19630209,0
19630210,0
19630211,0
19630212,0
19630213,6
19630214,60
19630215,0
19630216,0
19630217,10
19630218,10
19630219,0
19630220,26
19630221,4
19630222,0
19630223,15
19630224,0
19630225,0
19630226,0
19630227,0
19630228,0
19630301,0
19630302,0
19630303,0
19630304,0
19630305,0
19630306,0
19630307,0
19630308,0
19630309,0
19630310,0
19630311,84
19630312,6
19630313,36
19630314,29
19630315,0
19630316,0
19630317,0
19630318,0
19630319,14
19630320,10
19630321,30
19630322,83
19630323,133
19630324,34
19630325,0
19630326,0
19630327,0
19630328,14
19630329,116
19630330,0
19630331,0
19630401,7
19630402,141
19630403,14
19630404,0
19630405,0
19630406,0
19630407,0
19630408,81
19630409,0
19630410,0
19630411,0
19630412,105
19630413,82
19630414,0
19630415,7
19630416,0
19630417,0
19630418,0
19630419,0
19630420,0
19630421,0
19630422,0
19630423,0
19630424,0
19630425,0
19630426,0
19630427,0
19630428,0
19630429,0
19630430,0
19630501,0
19630502,0
19630503,0
19630504,12
19630505,256
19630506,100
19630507,0
19630508,10
19630509,1
19630510,0
19630511,0
19630512,0
19630513,0
19630514,0
19630515,0
19630516,0
19630517,0
19630518,38
19630519,164
19630520,2
19630521,67
19630522,7
19630523,38
19630524,2
19630525,0
19630526,13
19630527,0
19630528,4
19630529,38
19630530,0
19630531,0
19630601,55
19630602,118
19630603,0
19630604,0
19630605,0
19630606,0
19630607,0
19630608,0
19630609,0
19630610,2
19630611,45
19630612,215
19630613,16
19630614,0
19630615,34
19630616,14
19630617,0
19630618,0
19630619,0
19630620,22
19630621,0
19630622,0
19630623,0
19630624,0
19630625,154
19630626,38
19630627,0
19630628,0
19630629,0
19630630,0
19630701,0
19630702,10
19630703,0
19630704,0
19630705,0
19630706,0
19630707,0
19630708,0
19630709,130
19630710,0
19630711,0
19630712,8
19630713,26
19630714,0
19630715,383
19630716,27
19630717,0
19630718,0
19630719,0
19630720,0
19630721,0
19630722,11
19630723,0
19630724,0
19630725,0
19630726,0
19630727,132
19630728,4
19630729,94
19630730,0
19630731,0
19630801,0
19630802,3
19630803,6
19630804,0
19630805,0
19630806,0
19630807,0
19630808,0
19630809,66
19630810,130
19630811,0
19630812,0
19630813,27
19630814,0
19630815,0
19630816,2
19630817,0
19630818,0
19630819,26
19630820,0
19630821,0
19630822,37
19630823,0
19630824,0
19630825,0
19630826,0
19630827,0
19630828,0
19630829,0
19630830,0
19630831,168
19630901,126
19630902,0
19630903,0
19630904,25
19630905,0
19630906,83
19630907,137
19630908,0
19630909,130
19630910,33
19630911,0
19630912,0
19630913,0
19630914,0
19630915,0
19630916,0
19630917,0
19630918,0
19630919,0
19630920,0
19630921,0
19630922,0
19630923,0
19630924,0
19630925,0
19630926,26
19630927,2
19630928,24
19630929,9
19630930,0
19631001,0
19631002,0
19631003,0
19631004,0
19631005,129
19631006,105
19631007,0
19631008,0
19631009,0
19631010,0
19631011,66
19631012,0
19631013,0
19631014,0
19631015,0
19631016,0
19631017,0
19631018,0
19631019,0
19631020,0
19631021,0
19631022,0
19631023,5
19631024,24
19631025,0
19631026,2
19631027,0
19631028,0
19631029,0
19631030,0
19631031,0
19631101,0
19631102,0
19631103,0
19631104,0
19631105,0
19631106,0
19631107,3
19631108,109
19631109,0
19631110,0
19631111,0
19631112,0
19631113,26
19631114,7
19631115,4
19631116,12
19631117,0
19631118,0
19631119,0
19631120,0
19631121,81
19631122,0
19631123,0
19631124,0
19631125,0
19631126,0
19631127,0
19631128,0
19631129,0
19631130,0
19631201,0
19631202,0
19631203,0
19631204,4
19631205,161
19631206,24
19631207,1
19631208,0
19631209,2
19631210,0
19631211,0
19631212,14
19631213,99
19631214,0
19631215,22
19631216,54
19631217,14
19631218,0
19631219,0
19631220,0
19631221,98
19631222,36
19631223,49
19631224,0
19631225,0
19631226,25
19631227,10
19631228,1
19631229,0
19631230,0
19631231,0
19640101,0
19640102,5
19640103,0
19640104,0
19640105,0
19640106,0
19640107,0
19640108,0
19640109,0
19640110,0
19640111,0
19640112,0
19640113,0
19640114,0
19640115,7
19640116,0
19640117,0
19640118,0
19640119,0
19640120,0
19640121,0
19640122,0
19640123,7
19640124,0
19640125,8
19640126,4
19640127,20
19640128,0
19640129,0
19640130,0
19640131,25
19640201,6
19640202,23
19640203,34
19640204,24
19640205,14
19640206,0
19640207,6
19640208,10
19640209,218
19640210,49
19640211,21
19640212,12
19640213,22
19640214,0
19640215,0
19640216,0
19640217,0
19640218,66
19640219,14
19640220,61
19640221,18
19640222,0
19640223,0
19640224,0
19640225,0
19640226,0
19640227,0
19640228,19
19640229,5
19640301,6
19640302,0
19640303,0
19640304,0
19640305,0
19640306,0
19640307,0
19640308,0
19640309,0
19640310,0
19640311,0
19640312,0
19640313,0
19640314,4
19640315,8
19640316,123
19640317,35
19640318,19
19640319,46
19640320,1
19640321,2
19640322,47
19640323,97
19640324,10
19640325,0
19640326,0
19640327,0
19640328,10
19640329,0
19640330,0
19640331,0
19640401,69
19640402,0
19640403,0
19640404,0
19640405,171
19640406,182
19640407,13
19640408,4
19640409,149
19640410,17
19640411,0
19640412,0
19640413,0
19640414,0
19640415,34
19640416,0
19640417,0
19640418,0
19640419,0
19640420,0
19640421,0
19640422,0
19640423,0
19640424,87
19640425,58
19640426,38
19640427,102
19640428,0
19640429,0
19640430,17
19640501,5
19640502,19
19640503,3
19640504,18
19640505,234
19640506,59
19640507,4
19640508,0
19640509,0
19640510,4
19640511,0
19640512,0
19640513,0
19640514,0
19640515,19
19640516,8
19640517,0
19640518,0
19640519,0
19640520,0
19640521,57
19640522,0
19640523,13
19640524,2
19640525,0
19640526,10
19640527,524
19640528,12
19640529,0
19640530,8
19640531,224
19640601,0
19640602,0
19640603,0
19640604,14
19640605,0
19640606,0
19640607,0
19640608,0
19640609,66
19640610,14
19640611,54
19640612,0
19640613,0
19640614,10
19640615,0
19640616,0
19640617,0
19640618,0
19640619,0
19640620,16
19640621,0
19640622,0
19640623,0
19640624,3
19640625,1
19640626,6
19640627,80
19640628,0
19640629,5
19640630,49
19640701,0
19640702,236
19640703,218
19640704,0
19640705,0
19640706,37
19640707,0
19640708,0
19640709,0
19640710,0
19640711,2
19640712,0
19640713,0
19640714,0
19640715,0
19640716,0
19640717,120
19640718,3
19640719,0
19640720,0
19640721,0
19640722,5
19640723,0
19640724,373
19640725,0
19640726,0
19640727,0
19640728,0
19640729,2
19640730,125
19640731,0
19640801,0
19640802,86
19640803,121
19640804,13
19640805,3
19640806,0
19640807,0
19640808,0
19640809,107
19640810,370
19640811,126
19640812,7
19640813,0
19640814,5
19640815,0
19640816,0
19640817,0
19640818,0
19640819,128
19640820,0
19640821,0
19640822,0
19640823,25
19640824,5
19640825,0
19640826,0
19640827,0
19640828,0
19640829,0
19640830,0
19640831,0
19640901,5
19640902,35
19640903,0
19640904,0
19640905,0
19640906,0
19640907,61
19640908,172
19640909,0
19640910,0
19640911,0
19640912,0
19640913,0
19640914,0
19640915,0
19640916,0
19640917,0
19640918,95
19640919,0
19640920,0
19640921,18
19640922,20
19640923,31
19640924,0
19640925,0
19640926,0
19640927,0
19640928,0
19640929,0
19640930,0
19641001,0
19641002,0
19641003,0
19641004,0
19641005,0
19641006,0
19641007,0
19641008,0
19641009,2
19641010,28
19641011,48
19641012,47
19641013,127
19641014,3
19641015,8
19641016,37
19641017,63
19641018,70
19641019,71
19641020,116
19641021,219
19641022,20
19641023,0
19641024,0
19641025,0
19641026,0
19641027,0
19641028,0
19641029,0
19641030,0
19641031,0
19641101,0
19641102,58
19641103,53
19641104,19
19641105,0
19641106,4
19641107,0
19641108,0
19641109,54
19641110,2
19641111,0
19641112,33
19641113,92
19641114,29
19641115,0
19641116,0
19641117,0
19641118,69
19641119,7
19641120,2
19641121,88
19641122,138
19641123,0
19641124,0
19641125,23
19641126,0
19641127,0
19641128,6
19641129,0
19641130,0
19641201,27
19641202,51
19641203,0
19641204,108
19641205,60
19641206,14
19641207,0
19641208,0
19641209,0
19641210,0
19641211,0
19641212,0
19641213,0
19641214,0
19641215,0
19641216,0
19641217,0
19641218,0
19641219,0
19641220,46
19641221,0
19641222,0
19641223,4
19641224,0
19641225,0
19641226,4
19641227,30
19641228,3
19641229,0
19641230,56
19641231,1
19650101,0
19650102,0
19650103,0
19650104,214
19650105,142
19650106,6
19650107,41
19650108,0
19650109,0
19650110,13
19650111,8
19650112,0
19650113,0
19650114,0
19650115,0
19650116,0
19650117,0
19650118,3
19650119,13
19650120,81
19650121,56
19650122,21
19650123,12
19650124,79
19650125,9
19650126,0
19650127,0
19650128,0
19650129,0
19650130,0
19650131,0
19650201,148
19650202,18
19650203,1
19650204,0
19650205,28
19650206,0
19650207,0
19650208,9
19650209,9
19650210,0
19650211,0
19650212,0
19650213,0
19650214,0
19650215,0
19650216,31
19650217,43
19650218,80
19650219,2
19650220,0
19650221,41
19650222,5
19650223,8
19650224,0
19650225,0
19650226,0
19650227,20
19650228,18
19650301,0
19650302,29
19650303,0
19650304,47
19650305,0
19650306,3
19650307,54
19650308,22
19650309,11
19650310,14
19650311,0
19650312,0
19650313,0
19650314,0
19650315,0
19650316,0
19650317,0
19650318,0
19650319,0
19650320,0
19650321,26
19650322,0
19650323,18
19650324,0
19650325,79
19650326,0
19650327,18
19650328,6
19650329,0
19650330,0
19650331,26
19650401,8
19650402,0
19650403,0
19650404,0
19650405,0
19650406,0
19650407,0
19650408,0
19650409,24
19650410,53
19650411,30
19650412,1
19650413,0
19650414,0
19650415,11
19650416,17
19650417,27
19650418,0
19650419,0
19650420,47
19650421,108
19650422,3
19650423,7
19650424,172
19650425,0
19650426,27
19650427,16
19650428,59
19650429,30
19650430,121
19650501,96
19650502,3
19650503,5
19650504,0
19650505,0
19650506,31
19650507,91
19650508,11
19650509,2
19650510,91
19650511,13
19650512,24
19650513,27
19650514,0
19650515,0
19650516,0
19650517,170
19650518,0
19650519,0
19650520,0
19650521,0
19650522,7
19650523,0
19650524,23
19650525,66
19650526,0
19650527,0
19650528,3
19650529,21
19650530,21
19650531,0
19650601,0
19650602,26
19650603,0
19650604,0
19650605,0
19650606,255
19650607,47
19650608,48
19650609,155
19650610,112
19650611,19
19650612,286
19650613,3
19650614,71
19650615,42
19650616,0
19650617,0
19650618,22
19650619,5
19650620,0
19650621,0
19650622,0
19650623,0
19650624,0
19650625,0
19650626,0
19650627,0
19650628,36
19650629,20
19650630,0
19650701,0
19650702,20
19650703,0
19650704,0
19650705,494
19650706,7
19650707,0
19650708,0
19650709,6
19650710,0
19650711,0
19650712,0
19650713,0
19650714,0
19650715,0
19650716,0
19650717,32
19650718,59
19650719,0
19650720,0
19650721,0
19650722,0
19650723,82
19650724,0
19650725,0
19650726,0
19650727,0
19650728,0
19650729,0
19650730,0
19650731,0
19650801,0
19650802,17
19650803,0
19650804,0
19650805,0
19650806,0
19650807,0
19650808,0
19650809,0
19650810,0
19650811,27
19650812,14
19650813,0
19650814,0
19650815,0
19650816,0
19650817,0
19650818,0
19650819,0
19650820,0
19650821,0
19650822,0
19650823,0
19650824,0
19650825,187
19650826,264
19650827,0
19650828,1
19650829,32
19650830,7
19650831,0
19650901,0
19650902,0
19650903,0
19650904,6
19650905,0
19650906,0
19650907,38
19650908,0
19650909,0
19650910,0
19650911,15
19650912,12
19650913,137
19650914,0
19650915,0
19650916,0
19650917,0
19650918,0
19650919,0
19650920,0
19650921,0
19650922,0
19650923,0
19650924,0
19650925,0
19650926,0
19650927,0
19650928,0
19650929,4
19650930,0
19651001,0
19651002,0
19651003,0
19651004,0
19651005,0
19651006,0
19651007,0
19651008,0
19651009,0
19651010,17
19651011,0
19651012,0
19651013,0
