Date,Precipitation
19610101,1
19610102,6
19610103,16
19610104,0
19610105,10
19610106,13
19610107,8
19610108,0
19610109,0
19610110,50
19610111,30
19610112,0
19610113,51
19610114,6
19610115,0
19610116,0
19610117,28
19610118,36
19610119,0
19610120,2
19610121,9
19610122,0
19610123,9
19610124,0
19610125,43
19610126,44
19610127,0
19610128,0
19610129,0
19610130,0
19610131,0
19610201,33
19610202,44
19610203,86
19610204,60
19610205,73
19610206,12
19610207,2
19610208,8
19610209,41
19610210,0
19610211,20
19610212,0
19610213,38
19610214,69
19610215,8
19610216,0
19610217,46
19610218,46
19610219,0
19610220,0
19610221,0
19610222,0
19610223,0
19610224,0
19610225,0
19610226,0
19610227,0
19610228,0
19610301,10
19610302,58
19610303,0
19610304,19
19610305,19
19610306,82
19610307,0
19610308,0
19610309,0
19610310,30
19610311,0
19610312,0
19610313,6
19610314,24
19610315,14
19610316,66
19610317,96
19610318,0
19610319,0
19610320,38
19610321,0
19610322,16
19610323,74
19610324,11
19610325,6
19610326,76
19610327,16
19610328,78
19610329,149
19610330,16
19610331,6
19610401,0
19610402,0
19610403,0
19610404,6
19610405,0
19610406,0
19610407,0
19610408,0
19610409,6
19610410,0
19610411,0
19610412,50
19610413,60
19610414,0
19610415,0
19610416,0
19610417,4
19610418,0
19610419,2
19610420,42
19610421,61
19610422,2
19610423,0
19610424,4
19610425,210
19610426,36
19610427,1
19610428,70
19610429,78
19610430,82
19610501,46
19610502,6
19610503,0
19610504,14
19610505,72
19610506,0
19610507,0
19610508,6
19610509,0
19610510,8
19610511,47
19610512,170
19610513,34
19610514,0
19610515,26
19610516,2
19610517,76
19610518,109
19610519,3
19610520,114
19610521,46
19610522,79
19610523,13
19610524,18
19610525,33
19610526,100
19610527,0
19610528,184
19610529,142
19610530,155
19610531,0
19610601,0
19610602,904
19610603,135
19610604,133
19610605,0
19610606,46
19610607,0
19610608,0
19610609,3
19610610,72
19610611,46
19610612,64
19610613,6
19610614,122
19610615,0
19610616,12
19610617,9
19610618,9
19610619,0
19610620,0
19610621,0
19610622,0
19610623,189
19610624,80
19610625,0
19610626,0
19610627,0
19610628,34
19610629,44
19610630,0
19610701,0
19610702,16
19610703,0
19610704,0
19610705,232
19610706,50
19610707,0
19610708,47
19610709,122
19610710,246
19610711,0
19610712,0
19610713,0
19610714,184
19610715,0
19610716,0
19610717,52
19610718,211
19610719,30
19610720,0
19610721,47
19610722,26
19610723,6
19610724,191
19610725,0
19610726,54
19610727,0
19610728,0
19610729,0
19610730,0
19610731,125
19610801,0
19610802,0
19610803,0
19610804,20
19610805,3
19610806,0
19610807,0
19610808,0
19610809,0
19610810,4
19610811,0
19610812,0
19610813,0
19610814,158
19610815,246
19610816,0
19610817,42
19610818,360
19610819,6
19610820,0
19610821,0
19610822,0
19610823,376
19610824,0
19610825,0
19610826,0
19610827,0
19610828,0
19610829,0
19610830,0
19610831,0
19610901,3
19610902,0
19610903,0
19610904,0
19610905,0
19610906,0
19610907,0
19610908,0
19610909,100
19610910,3
19610911,8
19610912,0
19610913,0
19610914,0
19610915,0
19610916,0
19610917,0
19610918,0
19610919,0
19610920,0
19610921,0
19610922,0
19610923,0
19610924,0
19610925,0
19610926,0
19610927,0
19610928,0
19610929,0
19610930,90
19611001,302
19611002,132
19611003,7
19611004,0
19611005,0
19611006,0
19611007,0
19611008,0
19611009,0
19611010,0
19611011,0
19611012,76
19611013,24
19611014,18
19611015,294
19611016,0
19611017,0
19611018,0
19611019,0
19611020,2
19611021,82
19611022,23
19611023,0
19611024,0
19611025,0
19611026,0
19611027,0
19611028,0
19611029,0
19611030,0
19611031,2
19611101,0
19611102,0
19611103,0
19611104,0
19611105,6
19611106,143
19611107,90
19611108,51
19611109,0
19611110,0
19611111,0
19611112,18
19611113,0
19611114,0
19611115,241
19611116,146
19611117,14
19611118,1
19611119,39
19611120,213
19611121,51
19611122,0
19611123,0
19611124,0
19611125,0
19611126,0
19611127,0
19611128,1
19611129,0
19611130,30
19611201,0
19611202,0
19611203,2
19611204,1
19611205,0
19611206,0
19611207,0
19611208,36
19611209,17
19611210,15
19611211,0
19611212,83
19611213,218
19611214,48
19611215,0
19611216,39
19611217,203
19611218,253
19611219,21
19611220,0
19611221,98
19611222,73
19611223,94
19611224,239
19611225,123
19611226,0
19611227,8
19611228,77
19611229,0
19611230,0
19611231,0
19620101,0
19620102,25
19620103,95
19620104,16
19620105,0
19620106,0
19620107,4
19620108,84
19620109,0
19620110,0
19620111,0
19620112,0
19620113,4
19620114,46
19620115,62
19620116,64
19620117,0
19620118,0
19620119,0
19620120,0
19620121,0
19620122,0
19620123,0
19620124,0
19620125,0
19620126,38
19620127,84
19620128,148
19620129,122
19620130,335
19620131,93
19620201,78
19620202,44
19620203,36
19620204,63
19620205,0
19620206,83
19620207,120
19620208,63
19620209,0
19620210,193
19620211,84
19620212,0
19620213,0
19620214,297
19620215,160
19620216,44
19620217,117
19620218,210
19620219,80
19620220,201
19620221,195
19620222,167
19620223,24
19620224,65
19620225,56
19620226,0
19620227,0
19620228,0
19620301,34
19620302,26
19620303,0
19620304,0
19620305,0
19620306,8
19620307,108
19620308,108
19620309,46
19620310,0
19620311,0
19620312,8
19620313,0
19620314,86
19620315,132
19620316,94
19620317,42
19620318,0
19620319,0
19620320,0
19620321,0
19620322,3
19620323,26
19620324,0
19620325,47
19620326,36
19620327,78
19620328,56
19620329,168
19620330,0
19620331,0
19620401,7
19620402,0
19620403,38
19620404,0
19620405,137
19620406,139
19620407,109
19620408,174
19620409,3
19620410,0
19620411,0
19620412,54
19620413,112
19620414,64
19620415,236
19620416,44
19620417,22
19620418,0
19620419,0
19620420,0
19620421,0
19620422,0
19620423,0
19620424,0
19620425,1
19620426,4
19620427,3
19620428,80
19620429,113
19620430,60
19620501,119
19620502,34
19620503,105
19620504,34
19620505,8
19620506,75
19620507,8
19620508,0
19620509,0
19620510,3
19620511,91
19620512,9
19620513,0
19620514,0
19620515,54
19620516,2
19620517,0
19620518,0
19620519,0
19620520,4
19620521,10
19620522,0
19620523,0
19620524,25
19620525,7
19620526,23
19620527,0
19620528,222
19620529,0
19620530,33
19620531,0
19620601,0
19620602,0
19620603,340
19620604,356
19620605,0
19620606,53
19620607,66
19620608,257
19620609,0
19620610,28
19620611,6
19620612,88
19620613,82
19620614,0
19620615,0
19620616,0
19620617,14
19620618,0
19620619,0
19620620,29
19620621,18
19620622,17
19620623,0
19620624,0
19620625,6
19620626,42
19620627,8
19620628,14
19620629,1
19620630,29
19620701,83
19620702,136
19620703,68
19620704,0
19620705,0
19620706,0
19620707,52
19620708,0
19620709,0
19620710,0
19620711,0
19620712,6
19620713,64
19620714,14
19620715,0
19620716,0
19620717,152
19620718,323
19620719,5
19620720,83
19620721,2
19620722,0
19620723,0
19620724,133
19620725,8
19620726,0
19620727,0
19620728,0
19620729,92
19620730,16
19620731,645
19620801,32
19620802,0
19620803,0
19620804,0
19620805,0
19620806,91
19620807,0
19620808,0
19620809,0
19620810,24
19620811,34
19620812,68
19620813,0
19620814,0
19620815,52
19620816,0
19620817,24
19620818,70
19620819,0
19620820,0
19620821,0
19620822,0
19620823,0
19620824,0
19620825,0
19620826,0
19620827,0
19620828,23
19620829,0
19620830,0
19620831,0
19620901,4
19620902,0
19620903,0
19620904,0
19620905,0
19620906,4
19620907,0
19620908,0
19620909,73
19620910,8
19620911,0
19620912,0
19620913,0
19620914,204
19620915,0
19620916,0
19620917,0
19620918,0
19620919,6
19620920,75
19620921,47
19620922,75
19620923,38
19620924,11
19620925,0
19620926,0
19620927,0
19620928,4
19620929,23
19620930,28
19621001,0
19621002,0
19621003,3
19621004,0
19621005,0
19621006,0
19621007,0
19621008,0
19621009,0
19621010,0
19621011,0
19621012,0
19621013,0
19621014,3
19621015,66
19621016,10
19621017,56
19621018,0
19621019,0
19621020,0
19621021,0
19621022,0
19621023,0
19621024,0
19621025,0
19621026,0
19621027,0
19621028,0
19621029,35
19621030,0
19621031,20
19621101,40
19621102,32
19621103,0
19621104,6
19621105,0
19621106,0
19621107,0
19621108,3
19621109,0
19621110,34
19621111,0
19621112,94
19621113,0
19621114,0
19621115,0
19621116,84
19621117,49
19621118,44
19621119,0
19621120,3
19621121,148
19621122,103
19621123,0
19621124,0
19621125,32
19621126,40
19621127,0
19621128,0
19621129,12
19621130,31
19621201,27
19621202,18
19621203,13
19621204,8
19621205,0
19621206,13
19621207,0
19621208,0
19621209,0
19621210,0
19621211,0
19621212,0
19621213,0
19621214,0
19621215,97
19621216,89
19621217,26
19621218,47
19621219,0
19621220,24
19621221,22
19621222,171
19621223,68
19621224,128
19621225,61
19621226,16
19621227,94
19621228,36
19621229,0
19621230,3
19621231,17
19630101,0
19630102,35
19630103,6
19630104,104
19630105,30
19630106,179
19630107,24
19630108,110
19630109,106
19630110,29
19630111,95
19630112,162
19630113,82
19630114,20
19630115,0
19630116,0
19630117,0
19630118,0
19630119,0
19630120,161
19630121,148
19630122,13
19630123,0
19630124,5
19630125,0
19630126,0
19630127,0
19630128,0
19630129,69
19630130,30
19630131,36
19630201,10
19630202,17
19630203,0
19630204,0
19630205,0
19630206,23
19630207,0
19630208,14
19630209,3
19630210,0
19630211,0
19630212,0
19630213,8
19630214,0
19630215,112
19630216,0
19630217,66
19630218,121
19630219,22
19630220,24
19630221,3
19630222,0
19630223,3
19630224,0
19630225,0
19630226,0
19630227,14
19630228,0
19630301,0
19630302,0
19630303,25
19630304,12
19630305,4
19630306,0
19630307,0
19630308,0
19630309,0
19630310,12
19630311,118
19630312,0
19630313,0
19630314,80
19630315,43
19630316,15
19630317,0
19630318,0
19630319,13
19630320,17
19630321,31
19630322,83
19630323,0
19630324,163
19630325,62
19630326,0
19630327,0
19630328,92
19630329,83
19630330,17
19630331,3
19630401,7
19630402,30
19630403,7
19630404,78
19630405,0
19630406,0
19630407,0
19630408,39
19630409,11
19630410,0
19630411,0
19630412,151
19630413,101
19630414,0
19630415,41
19630416,72
19630417,0
19630418,0
19630419,0
19630420,0
19630421,0
19630422,0
19630423,0
19630424,0
19630425,0
19630426,2
19630427,20
19630428,33
19630429,110
19630430,43
19630501,13
19630502,0
19630503,0
19630504,6
19630505,7
19630506,103
19630507,25
19630508,24
19630509,23
19630510,36
19630511,13
19630512,0
19630513,0
19630514,0
19630515,1
19630516,16
19630517,10
19630518,24
19630519,41
19630520,8
19630521,79
19630522,32
19630523,0
19630524,54
19630525,38
19630526,9
19630527,5
19630528,128
19630529,54
19630530,19
19630531,59
19630601,20
19630602,102
19630603,52
19630604,1
19630605,1
19630606,0
19630607,0
19630608,2
19630609,96
19630610,112
19630611,54
19630612,164
19630613,98
19630614,2
19630615,58
19630616,12
19630617,6
19630618,0
19630619,0
19630620,139
19630621,36
19630622,0
19630623,0
19630624,50
19630625,238
19630626,0
19630627,0
19630628,0
19630629,0
19630630,6
19630701,2
19630702,61
19630703,1
19630704,319
19630705,0
19630706,0
19630707,0
19630708,24
19630709,58
19630710,0
19630711,0
19630712,12
19630713,193
19630714,0
19630715,14
19630716,0
19630717,1
19630718,8
19630719,18
19630720,6
19630721,6
19630722,77
19630723,0
19630724,0
19630725,0
19630726,1
19630727,58
19630728,71
19630729,44
19630730,2
19630731,0
19630801,33
19630802,132
19630803,0
19630804,236
19630805,0
19630806,0
19630807,0
19630808,0
19630809,2
19630810,222
19630811,148
19630812,0
19630813,72
19630814,2
19630815,0
19630816,0
19630817,0
19630818,0
19630819,310
19630820,0
19630821,0
19630822,250
19630823,18
19630824,6
19630825,0
19630826,1
19630827,0
19630828,0
19630829,0
19630830,0
19630831,1
19630901,132
19630902,0
19630903,0
19630904,6
19630905,0
19630906,0
19630907,188
19630908,126
19630909,0
19630910,91
19630911,0
19630912,0
19630913,0
19630914,51
19630915,0
19630916,0
19630917,0
19630918,0
19630919,0
19630920,0
19630921,0
19630922,0
19630923,0
19630924,0
19630925,0
19630926,0
19630927,25
19630928,6
19630929,76
19630930,0
19631001,0
19631002,0
19631003,0
19631004,0
19631005,148
19631006,6
19631007,0
19631008,6
19631009,0
19631010,0
19631011,52
19631012,0
19631013,0
19631014,0
19631015,0
19631016,0
19631017,0
19631018,11
19631019,6
19631020,0
19631021,0
19631022,0
19631023,0
19631024,60
19631025,0
19631026,38
19631027,0
19631028,0
19631029,0
19631030,0
19631031,0
19631101,0
19631102,0
19631103,0
19631104,0
19631105,0
19631106,0
19631107,0
19631108,131
19631109,16
19631110,0
19631111,0
19631112,0
19631113,16
19631114,0
19631115,0
19631116,12
19631117,0
19631118,6
19631119,0
19631120,0
19631121,50
19631122,20
19631123,10
19631124,0
19631125,0
19631126,1
19631127,0
19631128,30
19631129,0
19631130,0
19631201,0
19631202,0
19631203,0
19631204,0
19631205,106
19631206,121
19631207,0
19631208,20
19631209,70
19631210,18
19631211,0
19631212,36
19631213,15
19631214,0
19631215,25
19631216,28
19631217,172
19631218,0
19631219,0
19631220,34
19631221,24
19631222,26
19631223,24
19631224,0
19631225,0
19631226,43
19631227,1
19631228,68
19631229,78
19631230,0
19631231,0
19640101,0
19640102,2
19640103,133
19640104,0
19640105,0
19640106,0
19640107,0
19640108,0
19640109,0
19640110,0
19640111,0
19640112,0
19640113,0
19640114,0
19640115,11
19640116,0
19640117,0
19640118,0
19640119,1
19640120,0
19640121,0
19640122,0
19640123,59
19640124,2
19640125,0
19640126,63
19640127,34
19640128,42
19640129,0
19640130,4
19640131,0
19640201,39
19640202,0
19640203,162
19640204,51
19640205,12
19640206,0
19640207,0
19640208,115
19640209,20
19640210,182
19640211,101
19640212,11
19640213,42
19640214,8
19640215,0
19640216,32
19640217,0
19640218,0
19640219,0
19640220,42
19640221,15
19640222,0
19640223,0
19640224,0
19640225,0
19640226,0
19640227,0
19640228,61
19640229,19
19640301,0
19640302,8
19640303,6
19640304,0
19640305,4
19640306,4
19640307,0
19640308,7
19640309,0
19640310,0
19640311,0
19640312,4
19640313,0
19640314,6
19640315,125
19640316,67
19640317,68
19640318,14
19640319,38
19640320,7
19640321,1
19640322,18
19640323,0
19640324,0
19640325,0
19640326,0
19640327,0
19640328,8
19640329,36
19640330,0
19640331,0
19640401,23
19640402,8
19640403,0
19640404,1
19640405,56
19640406,47
19640407,4
19640408,70
19640409,64
19640410,56
19640411,67
19640412,0
19640413,0
19640414,0
19640415,33
19640416,40
19640417,0
19640418,34
19640419,0
19640420,0
19640421,0
19640422,0
19640423,0
19640424,1
19640425,42
19640426,104
19640427,36
19640428,0
19640429,0
19640430,0
19640501,33
19640502,34
19640503,83
19640504,110
19640505,47
19640506,206
19640507,316
19640508,1
19640509,0
19640510,21
19640511,29
19640512,14
19640513,8
19640514,18
19640515,88
19640516,40
19640517,139
19640518,0
19640519,82
19640520,0
19640521,240
19640522,0
19640523,278
19640524,2
19640525,14
19640526,1
19640527,61
19640528,12
19640529,0
19640530,1
19640531,48
19640601,2
19640602,1
19640603,0
19640604,24
19640605,11
19640606,0
19640607,0
19640608,0
19640609,79
19640610,52
19640611,45
19640612,57
19640613,131
19640614,17
19640615,0
19640616,0
19640617,0
19640618,0
19640619,0
19640620,16
19640621,56
19640622,6
19640623,0
19640624,101
19640625,4
19640626,0
19640627,8
19640628,85
19640629,0
19640630,188
19640701,72
19640702,34
19640703,63
19640704,98
19640705,0
19640706,2
19640707,1
19640708,0
19640709,0
19640710,0
19640711,0
19640712,0
19640713,10
19640714,0
19640715,2
19640716,54
19640717,42
19640718,125
19640719,0
19640720,0
19640721,0
19640722,0
19640723,0
19640724,29
19640725,193
19640726,10
19640727,286
19640728,95
19640729,28
19640730,102
19640731,48
19640801,0
19640802,4
19640803,23
19640804,0
19640805,0
19640806,0
19640807,0
19640808,0
19640809,0
19640810,137
19640811,78
19640812,142
19640813,10
19640814,23
19640815,2
19640816,4
19640817,39
19640818,0
19640819,23
19640820,0
19640821,20
19640822,0
19640823,93
19640824,41
19640825,0
19640826,0
19640827,2
19640828,0
19640829,0
19640830,0
19640831,80
19640901,2
19640902,0
19640903,0
19640904,0
19640905,0
19640906,0
19640907,6
19640908,120
19640909,82
19640910,2
19640911,27
19640912,0
19640913,0
19640914,0
19640915,0
19640916,0
19640917,0
19640918,68
19640919,17
19640920,0
19640921,8
19640922,165
19640923,68
19640924,315
19640925,111
19640926,88
19640927,26
19640928,0
19640929,0
19640930,0
19641001,46
19641002,0
19641003,0
19641004,0
19641005,0
19641006,0
19641007,0
19641008,0
19641009,40
19641010,133
19641011,6
19641012,4
19641013,0
19641014,36
19641015,30
19641016,0
19641017,0
19641018,27
19641019,340
19641020,168
19641021,176
19641022,18
19641023,0
19641024,0
19641025,0
19641026,0
19641027,0
19641028,0
19641029,0
19641030,0
19641031,0
19641101,0
19641102,0
19641103,2
19641104,16
19641105,4
19641106,20
19641107,66
19641108,0
19641109,85
19641110,3
19641111,0
19641112,0
19641113,43
19641114,34
19641115,0
19641116,0
19641117,0
19641118,52
19641119,2
19641120,0
19641121,2
19641122,229
19641123,32
19641124,0
19641125,0
19641126,0
19641127,0
19641128,10
19641129,0
19641130,0
19641201,28
19641202,138
19641203,0
19641204,54
19641205,26
19641206,21
19641207,0
19641208,0
19641209,0
19641210,0
19641211,0
19641212,0
19641213,0
19641214,0
19641215,0
19641216,0
19641217,0
19641218,0
19641219,0
19641220,108
19641221,27
19641222,0
19641223,0
19641224,0
19641225,0
19641226,0
19641227,16
19641228,215
19641229,0
19641230,0
19641231,28
19650101,0
19650102,0
19650103,0
19650104,107
19650105,0
19650106,0
19650107,0
19650108,0
19650109,0
19650110,43
19650111,172
19650112,26
19650113,0
19650114,0
19650115,0
19650116,0
19650117,0
19650118,0
19650119,0
19650120,8
19650121,293
19650122,0
19650123,24
19650124,21
19650125,0
19650126,6
19650127,22
19650128,0
19650129,0
19650130,0
19650131,0
19650201,0
19650202,192
19650203,62
19650204,66
19650205,98
19650206,10
19650207,0
19650208,0
19650209,0
19650210,0
19650211,0
19650212,0
19650213,0
19650214,0
19650215,23
19650216,7
19650217,110
19650218,12
19650219,0
19650220,20
19650221,148
19650222,0
19650223,0
19650224,0
19650225,0
19650226,0
19650227,38
19650228,36
19650301,0
19650302,0
19650303,1
19650304,0
19650305,0
19650306,3
19650307,93
19650308,32
19650309,8
19650310,31
19650311,2
19650312,0
19650313,0
19650314,0
19650315,0
19650316,0
19650317,0
19650318,0
19650319,0
19650320,0
19650321,0
19650322,0
19650323,43
19650324,0
19650325,111
19650326,12
19650327,37
19650328,5
19650329,0
19650330,0
19650331,46
19650401,139
19650402,58
19650403,0
19650404,0
19650405,90
19650406,10
19650407,0
19650408,0
19650409,4
