Date,Precipitation
19790101,0
19790102,0
19790103,0
19790104,0
19790105,0
19790106,0
19790107,0
19790108,0
19790109,0
19790110,0
19790111,0
19790112,0
19790113,0
19790114,0
19790115,9999
19790116,0
19790117,0
19790118,0
19790119,0
19790120,0
19790121,0
19790122,0
19790123,0
19790124,0
19790125,0
19790126,0
19790127,0
19790128,0
19790129,0
19790130,0
19790131,0
19790201,0
19790202,0
19790203,0
19790204,0
19790205,0
19790206,0
19790207,0
19790208,0
19790209,0
19790210,0
19790211,0
19790212,0
19790213,0
19790214,0
19790215,0
19790216,0
19790217,0
19790218,0
19790219,0
19790220,0
19790221,0
19790222,0
19790223,0
19790224,0
19790225,0
19790226,0
19790227,0
19790228,0
19790301,0
19790302,0
19790303,0
19790304,0
19790305,0
19790306,0
19790307,0
19790308,0
19790309,0
19790310,0
19790311,0
19790312,0
19790313,0
19790314,0
19790315,0
19790316,0
19790317,0
19790318,0
19790319,0
19790320,0
19790321,0
19790322,0
19790323,0
19790324,0
19790325,0
19790326,0
19790327,0
19790328,0
19790329,0
19790330,0
19790331,0
19790401,0
19790402,0
19790403,0
19790404,0
19790405,0
19790406,0
19790407,0
19790408,0
19790409,0
19790410,0
19790411,0
19790412,0
19790413,0
19790414,0
19790415,140
19790416,0
19790417,361
19790418,0
19790419,0
19790420,0
19790421,0
19790422,0
19790423,0
19790424,0
19790425,2029
19790426,0
19790427,0
19790428,0
19790429,0
19790430,0
19790501,0
19790502,0
19790503,0
19790504,0
19790505,0
19790506,0
19790507,0
19790508,0
19790509,0
19790510,0
19790511,0
19790512,0
19790513,0
19790514,0
19790515,71
19790516,0
19790517,30
19790518,30
19790519,0
19790520,0
19790521,9999
19790522,0
19790523,0
19790524,9999
19790525,0
19790526,0
19790527,0
19790528,0
19790529,9999
19790530,9999
19790531,0
19790601,0
19790602,0
19790603,0
19790604,0
19790605,0
19790606,0
19790607,0
19790608,0
19790609,0
19790610,9999
19790611,0
19790612,0
19790613,0
19790614,0
19790615,71
19790616,2601
19790617,0
19790618,0
19790619,0
19790620,0
19790621,0
19790622,0
19790623,0
19790624,0
19790625,0
19790626,0
19790627,0
19790628,0
19790629,10
19790630,0
19790701,0
19790702,0
19790703,9999
19790704,9999
19790705,0
19790706,61
19790707,0
19790708,361
19790709,0
19790710,0
19790711,0
19790712,0
19790713,0
19790714,0
19790715,2591
19790716,0
19790717,0
19790718,1999
19790719,0
19790720,0
19790721,0
19790722,0
19790723,10
19790724,0
19790725,0
19790726,0
19790727,0
19790728,20
19790729,30
19790730,0
19790731,160
19790801,51
19790802,0
19790803,0
19790804,0
19790805,0
19790806,140
19790807,10
19790808,41
19790809,0
19790810,0
19790811,30
19790812,511
19790813,0
19790814,160
19790815,150
19790816,140
19790817,0
19790818,0
19790819,0
19790820,0
19790821,10
19790822,0
19790823,0
19790824,0
19790825,9999
19790826,0
19790827,0
19790828,0
19790829,9999
19790830,0
19790831,1999
19790901,0
19790902,0
19790903,0
19790904,41
19790905,0
19790906,0
19790907,0
19790908,0
19790909,0
19790910,0
19790911,0
19790912,0
19790913,0
19790914,41
19790915,10
19790916,0
19790917,0
19790918,0
19790919,10
19790920,10
19790921,0
19790922,0
19790923,0
19790924,0
19790925,0
19790926,0
19790927,0
19790928,0
19790929,79
19790930,0
19791001,0
19791002,221
19791003,20
19791004,0
19791005,9999
19791006,0
19791007,0
19791008,0
19791009,0
19791010,0
19791011,0
19791012,0
19791013,0
19791014,0
19791015,0
19791016,0
19791017,0
19791018,0
19791019,0
19791020,0
19791021,0
19791022,0
19791023,0
19791024,0
19791025,0
19791026,0
19791027,0
19791028,0
19791029,0
19791030,0
19791031,0
19791101,0
19791102,0
19791103,0
19791104,0
19791105,0
19791106,0
19791107,0
19791108,0
19791109,0
19791110,0
19791111,0
19791112,9999
19791113,0
19791114,0
19791115,0
19791116,51
19791117,0
19791118,0
19791119,9999
19791120,0
19791121,0
19791122,0
19791123,0
19791124,0
19791125,0
19791126,0
19791127,0
19791128,0
19791129,0
19791130,9999
19791201,0
19791202,0
19791203,0
19791204,0
19791205,0
19791206,0
19791207,0
19791208,0
19791209,0
19791210,0
19791211,0
19791212,0
19791213,0
19791214,0
19791215,9999
19791216,0
19791217,0
19791218,0
19791219,0
19791220,0
19791221,0
19791222,0
19791223,10
19791224,0
19791225,9999
19791226,0
19791227,0
19791228,0
19791229,0
19791230,0
19791231,0
19800101,0
19800102,0
19800103,0
19800104,9999
19800105,0
19800106,0
19800107,0
19800108,0
19800109,0
19800110,0
19800111,0
19800112,0
19800113,0
19800114,9999
19800115,0
19800116,0
19800117,0
19800118,0
19800119,0
19800120,0
19800121,0
19800122,0
19800123,0
19800124,0
19800125,0
19800126,0
19800127,0
19800128,0
19800129,0
19800130,0
19800131,9999
19800201,0
19800202,0
19800203,0
19800205,0
19800206,0
19800207,0
19800208,0
19800209,0
19800210,0
19800211,0
19800212,0
19800213,0
19800214,0
19800215,0
19800216,0
19800217,0
19800218,0
19800219,0
19800220,0
19800221,0
19800222,0
19800223,0
19800224,0
19800225,0
19800226,0
19800227,0
19800228,0
19800229,0
19800301,0
19800302,0
19800303,0
19800304,0
19800305,0
19800306,0
19800307,0
19800308,0
19800309,0
19800310,0
19800311,20
19800312,0
19800313,0
19800314,0
19800315,0
19800316,0
19800319,0
19800320,0
19800321,0
19800322,0
19800323,0
19800325,9999
19800326,61
19800327,10
19800328,0
19800329,0
19800330,0
19800331,0
19800401,0
19800402,0
19800403,0
19800404,0
19800405,0
19800406,0
19800407,0
19800408,0
19800409,0
19800410,0
19800411,0
19800412,0
19800413,0
19800414,0
19800415,79
19800416,0
19800417,0
19800418,0
19800419,0
19800420,0
19800421,0
19800422,0
19800423,0
19800424,0
19800425,0
19800426,0
19800427,0
19800428,0
19800429,0
19800430,0
19800501,0
19800502,0
19800503,0
19800504,0
19800505,0
19800506,0
19800507,0
19800508,0
19800509,0
19800510,0
19800511,0
19800512,0
19800513,0
19800514,0
19800515,0
19800516,0
19800517,0
19800518,0
19800519,0
19800520,9999
19800521,0
19800522,0
19800523,0
19800524,259
19800525,0
19800526,0
19800527,0
19800528,0
19800529,0
19800530,0
19800601,0
19800602,0
19800603,0
19800604,0
19800605,0
19800606,0
19800607,0
19800608,9999
19800609,0
19800610,10
19800611,0
19800612,0
19800613,0
19800614,0
19800615,0
19800616,0
19800617,0
19800618,0
19800619,0
19800620,0
19800621,0
19800622,0
19800623,30
19800624,30
19800625,0
19800626,0
19800627,0
19800628,0
19800629,0
19800630,10
19800701,5
19800702,0
19800703,0
19800704,51
19800705,51
19800706,0
19800707,0
19800708,0
19800709,20
19800710,89
19800711,0
19800712,0
19800713,0
19800714,0
19800715,0
19800716,30
19800717,0
19800718,0
19800719,249
19800720,239
19800721,310
19800722,0
19800723,0
19800724,0
19800725,41
19800726,51
19800727,0
19800728,0
19800729,0
19800730,0
19800731,0
19800801,0
19800802,0
19800803,0
19800804,9999
19800805,0
19800806,0
19800807,9999
19800808,0
19800809,0
19800810,320
19800811,0
19800812,0
19800813,0
19800814,0
19800815,9999
19800816,259
19800817,10
19800818,0
19800819,0
19800820,30
19800821,0
19800822,0
19800823,0
19800824,10
19800825,41
19800826,89
19800827,0
19800828,10
19800829,0
19800830,0
19800831,0
19800901,0
19800902,0
19800903,79
19800904,0
19800905,0
19800906,0
19800907,0
19800908,0
19800909,0
19800910,30
19800911,30
19800912,20
19800913,79
19800914,79
19800915,0
19800916,9999
19800917,0
19800918,0
19800919,0
19800920,0
19800921,0
19800922,0
19800923,0
19800924,0
19800925,0
19800926,0
19800927,0
19800928,0
19800929,0
19800930,3
19801001,0
19801002,0
19801003,0
19801004,0
19801005,0
19801006,0
19801007,0
19801008,0
19801009,0
19801010,0
19801011,0
19801012,0
19801013,0
19801014,5
19801015,0
19801016,0
19801017,0
19801018,0
19801019,0
19801020,9999
19801021,0
19801022,30
19801023,10
19801024,0
19801025,0
19801026,0
19801027,0
19801028,0
19801029,391
19801030,2400
19801031,0
19801101,0
19801102,10
19801103,0
19801104,10
19801105,500
19801106,51
19801107,0
19801108,0
19801109,0
19801110,0
19801111,0
19801112,9999
19801113,0
19801114,0
19801115,0
19801116,0
19801117,0
19801118,0
19801119,0
19801120,0
19801121,0
19801122,0
19801123,0
19801124,0
19801125,0
19801126,0
19801127,0
19801128,0
19801129,0
19801130,0
19801201,0
19801202,0
19801203,0
19801204,0
19801205,0
19801206,0
19801207,0
19801208,0
19801209,0
19801210,0
19801211,0
19801212,0
19801213,0
19801214,0
19801215,0
19801216,0
19801217,0
19801218,0
19801219,0
19801220,0
19801221,0
19801222,0
19801223,0
19801224,0
19801225,0
19801226,0
19801227,0
19801228,0
19801229,0
19801230,9999
19801231,0
19810101,0
19810102,0
19810103,0
19810104,0
19810105,0
19810106,0
19810107,0
19810108,0
19810109,0
19810110,0
19810111,0
19810112,0
19810113,0
19810114,0
19810115,0
19810116,0
19810117,0
19810118,0
19810119,0
19810120,0
19810121,0
19810122,0
19810123,0
19810124,0
19810125,0
19810127,0
19810128,0
19810129,0
19810130,0
19810131,0
19810201,0
19810202,0
19810203,0
19810204,0
19810205,0
19810206,0
19810207,0
19810208,0
19810209,0
19810210,0
19810211,0
19810212,0
19810213,0
19810214,0
19810215,0
19810216,0
19810217,0
19810218,0
19810219,0
19810220,0
19810221,0
19810222,0
19810223,0
19810224,0
19810225,0
19810226,0
19810227,0
19810228,0
19810301,0
19810302,0
19810303,0
19810304,0
19810305,0
19810306,0
19810307,0
19810308,0
19810309,0
19810310,0
19810311,0
19810312,0
19810313,0
19810314,0
19810315,0
19810316,0
19810317,0
19810318,0
19810319,0
19810320,0
19810321,0
19810322,0
19810323,0
19810324,0
19810325,0
19810326,0
19810327,0
19810328,0
19810329,0
19810330,0
19810331,0
19810401,0
19810402,0
19810403,0
19810404,0
19810405,0
19810406,0
19810407,0
19810408,0
19810409,0
19810410,0
19810411,0
19810412,0
19810413,0
19810414,0
19810415,0
19810416,0
19810417,0
19810418,0
19810419,0
19810420,0
19810421,0
19810422,0
19810423,0
19810424,30
19810425,0
19810426,0
19810427,0
19810428,0
19810429,0
19810430,0
19810501,0
19810502,0
19810503,0
19810504,0
19810505,0
19810506,0
19810507,0
19810508,0
19810509,0
19810510,0
19810511,0
19810512,10
19810513,0
19810514,0
19810515,0
19810516,0
19810517,0
19810518,0
19810519,0
19810520,0
19810521,0
19810522,0
19810523,0
19810524,0
19810525,0
19810526,5
19810527,0
19810528,0
19810529,0
19810530,0
19810531,0
19810601,0
19810602,0
19810603,0
19810604,0
19810605,0
19810606,0
19810607,0
19810608,249
19810609,0
19810610,0
19810611,381
19810612,0
19810613,259
19810614,119
19810615,89
19810616,0
19810617,0
19810618,0
19810619,0
19810620,0
19810621,41
19810622,30
19810623,0
19810624,0
19810625,0
19810626,0
19810627,0
19810628,0
19810629,0
19810630,0
19810701,89
19810702,61
19810703,0
19810704,191
19810705,41
19810706,0
19810707,0
19810708,0
19810709,9999
19810710,9999
19810711,30
19810712,0
19810713,0
19810714,9999
19810715,109
19810716,10
19810717,0
19810718,599
19810719,30
19810720,61
19810721,0
19810722,0
19810723,0
19810724,9999
19810725,9999
19810726,0
19810727,0
19810729,0
19810730,160
19810731,0
19810801,0
19810802,0
19810803,0
19810804,0
19810805,20
19810806,0
19810807,279
19810808,10
19810809,150
19810810,30
19810811,20
19810812,0
19810813,109
19810814,41
19810815,0
19810816,41
19810817,0
19810818,20
19810819,20
19810820,0
19810821,9999
19810822,0
19810823,0
19810824,0
19810825,0
19810826,0
19810827,0
19810828,0
19810829,0
19810830,0
19810831,0
19810901,0
19810902,0
19810903,0
19810904,0
19810905,0
19810906,0
19810907,0
19810908,0
19810909,0
19810910,0
19810911,0
19810912,9999
19810913,0
19810914,0
19810915,0
19810916,0
19810917,231
19810918,0
19810919,0
19810920,191
19810921,51
19810922,0
19810923,51
19810924,0
19810925,0
19810926,10
19810927,0
19810928,0
19810929,0
19810930,170
19811001,231
19811002,20
19811003,460
19811004,10
19811005,0
19811006,30
19811007,0
19811008,0
19811009,0
19811010,0
19811011,0
19811012,249
19811013,119
19811014,41
19811015,0
19811016,0
19811017,0
19811018,0
19811019,0
19811020,10
19811021,0
19811022,0
