Date,Precipitation
18620101,0
18620102,0
18620103,300
18620104,3
18620105,0
18620106,12
18620107,0
18620108,9
18620109,6
18620110,0
18620111,3
18620112,0
18620113,0
18620114,0
18620115,0
18620116,0
18620117,0
18620118,0
18620119,6
18620120,6
18620121,0
18620122,3
18620123,15
18620124,18
18620125,9
18620126,3
18620127,0
18620128,21
18620129,74
18620130,50
18620131,0
18620201,0
18620202,0
18620203,9
18620204,0
18620205,0
18620206,0
18620207,0
18620208,0
18620209,0
18620210,3
18620211,0
18620212,9
18620213,0
18620214,0
18620215,0
18620216,15
18620217,0
18620218,0
18620219,0
18620220,0
18620221,0
18620222,0
18620223,0
18620224,0
18620225,0
18620226,0
18620227,0
18620228,0
18620301,0
18620302,0
18620303,0
18620304,0
18620305,0
18620306,39
18620307,0
18620308,0
18620309,0
18620310,24
18620311,0
18620312,0
18620313,0
18620314,0
18620315,0
18620316,0
18620317,0
18620318,3
18620319,0
18620320,0
18620321,0
18620322,0
18620323,0
18620324,3
18620325,0
18620326,0
18620327,0
18620328,0
18620329,0
18620330,0
18620331,0
18620401,0
18620402,0
18620403,0
18620404,6
18620405,0
18620406,0
18620407,0
18620408,0
18620409,0
18620410,18
18620411,6
18620412,3
18620413,12
18620414,9
18620415,0
18620416,0
18620417,0
18620418,0
18620419,0
18620420,0
18620421,3
18620422,6
18620423,3
18620424,0
18620425,59
18620426,9
18620427,0
18620428,59
18620429,0
18620430,0
18620501,0
18620502,0
18620503,0
18620504,0
18620505,0
18620506,36
18620507,0
18620508,0
18620509,3
18620510,0
18620511,3
18620512,0
18620513,0
18620514,0
18620515,0
18620516,0
18620517,0
18620518,0
18620519,0
18620520,0
18620521,0
18620522,0
18620523,30
18620524,0
18620525,0
18620526,0
18620527,0
18620528,0
18620529,0
18620530,0
18620531,0
18620601,0
18620602,0
18620603,0
18620604,0
18620605,3
18620606,0
18620607,50
18620608,9
18620609,0
18620610,0
18620611,0
18620612,0
18620613,0
18620614,0
18620615,0
18620616,0
18620617,0
18620618,0
18620619,0
18620620,0
18620621,0
18620622,0
18620623,0
18620624,0
18620625,0
18620626,0
18620627,0
18620628,0
18620629,6
18620630,24
18620701,3
