Date,Precipitation
19010101,0
19010102,0
19010103,0
19010104,0
19010105,0
19010106,0
19010107,0
19010108,0
19010109,0
19010110,0
19010111,0
19010112,0
19010113,0
19010114,0
19010115,0
19010116,0
19010117,0
19010118,0
19010119,0
19010120,0
19010121,0
19010122,0
19010123,0
19010124,0
19010125,0
19010126,0
19010127,0
19010128,0
19010129,0
19010130,2
19010131,1
19010201,0
19010202,92
19010203,32
19010204,124
19010205,133
19010206,0
19010207,0
19010208,0
19010209,0
19010210,0
19010211,0
19010212,0
19010213,0
19010214,0
19010215,0
19010216,0
19010217,13
19010218,0
19010219,0
19010220,0
19010221,0
19010222,0
19010223,0
19010224,0
19010225,0
19010226,0
19010227,0
19010228,0
19010301,48
19010302,76
19010303,2
19010304,0
19010305,0
19010306,73
19010307,0
19010308,0
19010309,18
19010310,376
19010311,127
19010312,10
19010313,16
19010314,117
19010315,482
19010316,32
19010317,289
19010318,269
19010319,499
19010320,193
19010321,0
19010322,0
19010323,0
19010324,0
19010325,0
19010326,0
19010327,0
19010328,0
19010329,0
19010330,14
19010331,309
19010401,114
19010402,22
19010403,7
19010404,0
19010405,15
19010406,0
19010407,0
19010408,0
19010409,114
19010410,120
19010411,2
19010412,516
19010413,0
19010414,0
19010415,6
19010416,0
19010417,0
19010418,0
19010419,0
19010420,0
19010421,0
19010422,0
19010423,0
19010424,0
19010425,0
19010426,396
19010427,344
19010428,146
19010429,104
19010430,102
19010501,0
19010502,0
19010503,0
19010504,0
19010505,3
19010506,177
19010507,47
19010508,155
19010509,31
19010510,2
19010511,59
19010512,4
19010513,0
19010514,0
19010515,0
19010516,93
19010517,4
19010518,34
19010519,3
19010520,0
19010521,1
19010522,0
19010523,42
19010524,0
19010525,24
19010526,23
19010527,0
19010528,0
19010529,0
19010530,0
19010531,0
19010601,0
19010602,14
19010603,0
19010604,48
19010605,0
19010606,0
19010607,21
19010608,11
19010609,10
19010610,0
19010611,0
19010612,17
19010613,35
19010614,402
19010615,1138
19010616,0
19010617,0
19010618,189
19010619,0
19010620,0
19010621,0
19010622,0
19010623,0
19010624,17
19010625,0
19010626,0
19010627,0
19010628,0
19010629,0
19010630,416
19010701,221
19010702,628
19010703,23
19010704,4
19010705,25
19010706,0
19010707,0
19010708,0
19010709,0
19010710,0
19010711,0
19010712,0
19010713,0
19010714,30
19010715,0
19010716,0
19010717,0
19010718,0
19010719,0
19010720,255
19010721,0
19010722,43
19010723,36
19010724,0
19010725,279
19010726,381
19010727,165
19010728,454
19010729,245
19010730,96
19010731,876
19010801,3
19010802,0
19010803,0
19010804,0
19010805,0
19010806,0
19010807,0
19010808,0
19010809,0
19010810,0
19010811,0
19010812,0
19010813,0
19010814,0
19010815,122
19010816,0
19010817,0
19010818,0
19010819,0
19010820,0
19010821,51
19010822,0
19010823,0
19010824,0
19010825,383
19010826,436
19010827,0
19010828,0
19010829,0
19010830,0
19010831,0
19010901,0
19010902,0
19010903,224
19010904,41
19010905,31
19010906,21
19010907,0
19010908,0
19010909,0
19010910,27
19010911,131
19010912,405
19010913,1
19010914,0
19010915,62
19010916,0
19010917,22
19010918,0
19010919,0
19010920,0
19010921,21
19010922,46
19010923,7
19010924,167
19010925,48
19010926,16
19010927,0
19010928,0
19010929,53
19010930,8
19011001,56
19011002,115
19011003,347
19011004,175
19011005,0
19011006,39
19011007,0
19011008,0
19011009,0
19011010,0
19011011,0
19011012,0
19011013,0
19011014,0
19011015,113
19011016,3
19011017,36
19011018,0
19011019,148
19011020,694
19011021,190
19011022,568
19011023,67
19011024,0
19011025,0
19011026,0
19011027,0
19011028,0
19011029,0
19011030,15
19011031,85
19011101,0
19011102,0
19011103,0
19011104,0
19011105,0
19011106,0
19011107,0
19011108,0
19011109,0
19011110,0
19011111,0
19011112,0
19011113,148
19011114,91
19011115,26
19011116,22
19011117,0
19011118,0
19011119,0
19011120,0
19011121,0
19011122,0
19011123,0
19011124,1
19011125,8
19011126,0
19011127,0
19011128,0
19011129,0
19011130,0
19011201,0
19011202,0
19011203,0
19011204,0
19011205,0
19011206,0
19011207,0
19011208,0
19011209,0
19011210,0
19011211,0
19011212,60
19011213,198
19011214,0
19011215,0
19011216,68
19011217,228
19011218,113
19011219,402
19011220,256
19011221,2
19011222,50
19011223,10
19011224,0
19011225,343
19011226,0
19011227,0
19011228,0
19011229,11
19011230,0
19011231,0
19020101,0
19020102,0
19020103,0
19020104,0
19020105,0
19020106,0
19020107,0
19020108,0
19020109,0
19020110,0
19020111,0
19020112,0
19020113,0
19020114,0
19020115,0
19020116,0
19020117,0
19020118,0
19020119,0
19020120,0
19020121,0
19020122,0
19020123,0
19020124,0
19020125,166
19020126,0
19020127,0
19020128,0
19020129,0
19020130,60
19020131,131
19020201,165
19020202,166
19020203,24
19020204,35
19020205,0
19020206,1
19020207,43
19020208,1
19020209,0
19020210,0
19020211,41
19020212,96
19020213,176
19020214,4
19020215,116
19020216,108
19020217,35
19020218,0
19020219,0
19020220,0
19020221,1
19020222,0
19020223,0
19020224,0
19020225,0
19020226,0
19020227,144
19020228,250
19020301,73
19020302,0
19020303,0
19020304,0
19020305,0
19020306,0
19020307,0
19020308,0
19020309,0
19020310,0
19020311,0
19020312,0
19020313,0
19020314,0
19020315,1
19020316,0
19020317,0
19020318,0
19020319,0
19020320,0
19020321,225
19020322,373
19020323,107
19020324,0
19020325,22
19020326,0
19020327,0
19020328,0
19020329,0
19020330,0
19020331,0
19020401,0
19020402,80
19020403,0
19020404,0
19020405,81
19020406,49
19020407,0
19020408,0
19020409,0
19020410,46
19020411,60
19020412,42
19020413,0
19020414,15
19020415,0
19020416,307
19020417,130
19020418,51
19020419,0
19020420,14
19020421,0
19020422,0
19020423,87
19020424,37
19020425,3
19020426,267
19020427,196
19020428,239
19020429,2
19020430,0
19020501,0
19020502,0
19020503,4
19020504,199
19020505,0
19020506,0
19020507,209
19020508,278
19020509,0
19020510,6
19020511,44
19020512,99
19020513,257
19020514,20
19020515,0
19020516,0
19020517,1
19020518,0
19020519,9
19020520,0
19020521,0
19020522,0
19020523,0
19020524,0
19020525,0
19020526,0
19020527,0
19020528,0
19020529,0
19020530,33
19020531,98
19020601,0
19020602,0
19020603,115
19020604,205
19020605,12
19020606,0
19020607,200
19020608,44
19020609,216
19020610,15
19020611,0
19020612,56
19020613,560
19020614,0
19020615,233
19020616,0
19020617,0
19020618,0
