Date,Precipitation
19270101,0
19270102,0
19270103,0
19270104,0
19270105,0
19270106,200
19270107,0
19270108,0
19270109,0
19270110,0
19270111,0
19270112,0
19270113,0
19270114,95
19270115,64
19270116,113
19270117,0
19270118,138
19270119,44
19270120,3
19270121,0
19270122,3
19270123,0
19270124,0
19270125,0
19270126,0
19270127,0
19270128,49
19270129,150
19270130,52
19270131,0
19270201,0
19270202,0
19270203,0
19270204,0
19270205,0
19270206,0
19270207,2
19270208,73
19270209,28
19270210,0
19270211,12
19270212,7
19270213,9
19270214,24
19270215,3
19270216,74
19270217,19
19270218,0
19270219,0
19270220,0
19270221,19
19270222,5
19270223,1
19270224,0
19270225,6
19270226,0
19270227,2
19270228,7
19270301,0
19270302,0
19270303,0
19270304,1
19270305,0
19270306,0
19270307,0
19270308,0
19270309,0
19270310,0
19270311,0
19270312,0
19270313,0
19270314,0
19270315,46
19270316,0
19270317,0
19270318,8
19270319,3
19270320,0
19270321,0
19270322,0
19270323,0
19270324,0
19270325,0
19270326,35
19270327,0
19270328,5
19270329,10
19270330,184
19270331,8
19270501,14
19270502,4
19270503,89
19270504,0
19270505,158
19270506,346
19270507,0
19270508,1
19270509,0
19270510,0
19270511,0
19270512,0
19270513,0
19270514,0
19270515,136
19270516,0
19270517,0
19270518,0
19270519,0
19270520,0
19270521,0
19270522,0
19270523,0
19270524,0
19270525,0
19270526,0
19270527,0
19270528,0
19270529,0
19270530,0
19270531,0
19270601,0
19270602,0
19270603,0
19270604,0
19270605,0
19270606,0
19270607,0
19270608,0
19270609,0
19270610,0
19270611,0
19270612,1
19270613,0
19270614,0
19270615,0
19270616,0
19270617,0
19270618,0
19270619,0
19270620,0
19270621,0
19270622,0
19270623,0
19270624,0
19270625,0
19270626,0
19270627,0
19270628,0
19270629,0
19270630,0
19270701,0
19270702,0
19270703,0
19270704,0
19270705,0
19270706,0
19270707,0
19270708,0
19270709,0
19270710,0
19270711,0
19270712,0
19270713,0
19270714,0
19270715,0
19270716,0
19270717,0
19270718,0
19270719,0
19270720,0
19270721,0
19270722,0
19270723,0
19270724,0
19270725,0
19270726,0
19270727,0
19270728,0
19270729,0
19270730,0
19270731,0
19270801,0
19270802,0
19270803,0
19270804,0
19270805,0
19270806,0
19270807,0
19270808,0
19270809,0
19270810,0
19270811,0
19270812,0
19270813,0
19270814,0
19270815,0
19270816,0
19270817,0
19270818,0
19270819,0
19270820,0
19270821,0
19270822,0
19270823,0
19270824,0
19270825,0
19270826,0
19270827,0
19270828,0
19270829,0
19270830,0
19270831,0
19270901,0
19270902,0
19270903,0
19270904,0
19270905,0
19270906,0
19270907,0
19270908,0
19270909,0
19270910,0
19270911,0
19270912,0
19270913,0
19270914,0
19270915,0
19270916,0
19270917,0
19270918,0
19270919,0
19270920,0
19270921,0
19270922,0
19270923,0
19270924,0
19270925,0
19270926,0
19270927,0
19270928,0
19270929,0
19270930,0
19271001,0
19271002,0
19271003,0
19271004,0
19271005,0
19271006,0
19271007,0
19271008,0
