Date,Precipitation
19730101,0
19730102,0
19730103,8
19730104,0
19730105,0
19730106,0
19730107,0
19730108,0
19730109,0
19730110,0
19730111,0
19730112,0
19730113,0
19730114,61
19730115,9999
19730116,30
19730117,0
19730118,0
19730119,9999
19730120,89
19730121,10
19730122,9999
19730123,25
19730124,3
19730125,0
19730126,71
19730127,10
19730128,13
19730129,0
19730130,20
19730131,20
19730201,3
19730202,8
19730203,0
19730204,0
19730205,0
19730206,0
19730207,10
19730208,180
19730209,20
19730210,0
19730211,0
19730212,61
19730213,0
19730214,8
19730215,0
19730216,0
19730217,0
19730218,9999
19730219,3
19730220,0
19730221,43
19730222,3
19730223,9999
19730225,51
19730226,10
19730227,0
19730228,23
19730301,104
19730302,0
19730303,41
19730304,9999
19730305,41
19730306,10
19730307,0
19730308,0
19730309,9999
19730310,0
19730311,0
19730312,0
19730313,0
19730314,0
19730316,0
19730317,0
19730318,0
19730319,0
19730320,9999
19730322,0
19730323,0
19730325,41
19730326,10
19730327,9999
19730328,30
19730329,0
19730331,9999
19730401,43
19730402,155
19730403,61
19730404,36
19730405,20
19730406,3
19730407,0
19730408,9999
19730409,10
19730410,0
19730411,3
19730412,5
19730413,5
19730414,9999
19730415,0
19730416,0
19730417,0
19730418,0
19730419,0
19730420,10
19730421,0
19730422,13
19730423,5
19730424,9999
19730425,0
19730426,9999
19730427,0
19730428,0
19730429,0
19730430,41
19730501,0
19730502,0
19730503,81
19730504,109
19730505,9999
19730506,41
19730507,3
19730508,3
19730509,20
19730510,51
19730511,9999
19730512,0
19730513,104
19730514,9999
19730515,0
19730516,0
19730517,0
19730518,0
19730520,20
19730521,0
19730522,9999
19730523,79
19730524,0
19730525,9999
19730526,0
19730527,10
19730528,5
19730529,20
19730530,10
19730531,79
19730601,0
19730602,51
19730603,20
19730604,0
19730605,0
19730606,0
19730607,0
19730608,0
19730609,3
19730610,0
19730611,0
19730612,3
19730613,3
19730614,9999
19730615,0
19730616,0
19730617,3
19730618,9999
19730619,61
19730620,0
19730621,0
19730622,0
19730623,0
19730624,0
19730625,3
19730626,0
19730627,5
19730628,61
19730629,9999
19730630,0
19730701,0
19730702,9999
19730703,0
19730704,0
19730705,9999
19730706,10
19730707,10
19730708,0
19730709,0
19730710,0
19730711,0
19730712,5
19730713,5
19730714,140
19730715,9999
19730716,130
19730717,3
19730718,0
19730719,41
19730720,9999
19730721,9999
