Date,Precipitation
18930101,0
18930102,0
18930103,0
18930104,0
18930105,0
18930106,0
18930107,0
18930108,0
18930109,0
18930110,0
18930111,0
18930112,0
18930113,0
18930114,0
18930115,0
18930116,0
18930117,0
18930118,0
18930119,0
18930120,0
18930121,0
18930122,0
18930123,0
18930124,25
18930125,0
18930126,0
18930127,0
18930128,0
18930129,25
18930130,0
18930131,0
18930201,0
18930202,0
18930203,0
18930204,0
18930205,0
18930206,0
18930207,0
18930208,0
18930209,0
18930210,0
18930211,0
18930212,0
18930213,0
18930214,0
18930215,0
18930216,0
18930217,0
18930218,0
18930219,0
18930220,0
18930221,0
18930222,0
18930223,0
18930224,0
18930225,0
18930226,0
18930227,0
18930228,0
18930301,9999
18930302,9999
18930303,9999
18930304,9999
18930305,9999
18930306,9999
18930307,9999
18930308,9999
18930309,9999
18930310,9999
18930311,9999
18930312,9999
18930313,9999
18930314,9999
18930315,9999
18930316,9999
18930317,9999
18930318,9999
18930319,9999
18930320,9999
18930321,9999
18930322,9999
18930323,9999
18930324,9999
18930325,9999
18930326,9999
18930327,9999
18930328,9999
18930329,9999
18930330,9999
18930331,9999
18930401,0
18930402,0
18930403,0
18930404,0
18930405,0
18930406,0
18930407,25
18930408,0
18930409,0
18930410,0
18930411,0
18930412,0
18930413,0
18930414,0
18930415,0
18930416,0
18930417,0
18930418,0
18930419,0
18930420,0
18930421,0
18930422,0
18930423,0
18930424,9999
18930425,9999
18930426,9999
18930427,9999
18930428,9999
18930429,0
18930430,0
18930501,0
18930502,0
18930503,0
18930504,0
18930505,0
18930506,0
18930507,0
18930508,0
18930509,0
18930510,0
18930511,0
18930512,0
18930513,0
18930514,0
18930515,0
18930516,0
18930517,0
18930518,0
18930519,152
18930520,0
18930521,0
18930522,58
18930523,0
18930524,0
18930525,0
18930526,0
18930527,5
18930528,0
18930529,10
18930530,0
18930531,0
18930601,178
18930602,51
18930603,10
18930604,8
18930605,5
18930606,0
18930607,0
18930608,114
18930609,0
18930610,0
18930611,0
18930612,0
18930613,0
18930614,178
18930615,5
18930616,0
18930617,25
18930618,0
18930619,0
18930620,0
18930621,0
18930622,0
18930623,0
18930624,140
18930625,0
18930626,41
18930627,0
18930628,97
18930629,0
18930630,254
18930701,0
18930702,0
18930703,0
18930704,191
18930705,25
18930706,0
18930707,0
18930708,0
18930709,0
18930710,0
18930711,0
18930712,0
18930713,0
18930714,5
18930715,28
18930716,0
18930717,0
18930718,0
18930719,0
18930720,0
18930721,0
18930722,0
18930723,127
18930724,0
18930725,0
18930726,0
18930727,0
18930728,0
18930729,0
18930730,0
18930731,0
18930801,0
18930802,0
18930803,0
18930804,0
18930805,0
18930806,0
18930807,0
18930808,0
18930809,0
18930810,0
18930811,0
18930812,0
18930813,0
18930814,0
18930815,0
18930816,0
18930817,0
18930818,0
18930819,0
18930820,0
18930821,0
18930822,140
18930823,0
18930824,0
18930825,0
18930826,0
18930827,0
18930828,0
18930829,0
18930830,0
18930831,0
18930901,0
18930902,0
18930903,0
18930904,0
18930905,0
18930906,0
18930907,0
18930908,38
18930909,0
18930910,0
18930911,0
18930912,0
18930913,0
18930914,28
18930915,25
18930916,0
18930917,0
18930918,0
18930919,0
18930920,0
18930921,0
18930922,0
18930923,0
18930924,0
18930925,0
18930926,0
18930927,0
18930928,0
18930929,165
18930930,36
18931001,188
18931002,0
18931003,51
18931004,0
18931005,0
18931006,0
18931007,38
18931008,0
18931009,0
18931010,0
18931011,0
18931012,0
18931013,0
18931014,0
18931015,0
18931016,0
18931017,0
18931018,0
18931019,0
18931020,0
18931021,0
18931022,0
18931023,0
18931024,0
18931025,0
18931026,25
18931027,0
18931028,0
18931029,0
18931030,0
18931031,0
18931101,38
18931102,0
18931103,0
18931104,0
18931105,0
18931106,0
18931107,0
18931108,0
18931109,0
18931110,0
18931111,0
18931112,0
18931113,0
18931114,0
18931115,0
18931116,0
18931117,0
18931118,0
18931119,0
18931120,0
18931121,0
18931122,0
18931123,0
18931124,0
18931125,0
18931126,51
18931127,0
18931128,0
18931129,0
18931130,0
18931201,0
18931202,0
18931203,0
18931204,0
18931205,0
18931206,0
18931207,0
18931208,0
18931209,0
18931210,0
18931211,3
18931212,0
18931213,0
18931214,0
18931215,3
18931216,0
18931217,0
18931218,0
18931219,0
18931220,0
18931221,0
18931222,0
18931223,0
18931224,0
18931225,0
18931226,0
18931227,0
18931228,0
18931229,0
18931230,3
18931231,3
18940101,0
18940102,0
18940103,0
18940104,0
18940105,0
18940106,0
18940107,0
18940108,0
18940109,0
18940110,0
18940111,0
18940112,0
18940113,0
18940114,0
18940115,0
18940116,25
18940117,0
18940118,0
18940119,0
18940120,0
18940121,0
18940122,0
18940123,0
18940124,0
18940125,0
18940126,0
18940127,0
18940128,0
18940129,3
18940130,0
18940131,0
18940201,0
18940202,0
18940203,0
18940204,0
18940205,0
18940206,0
18940207,0
18940208,0
18940209,3
18940210,3
18940211,0
18940212,0
18940213,0
18940214,0
18940215,0
18940216,0
18940217,0
18940218,0
18940219,0
18940220,0
18940221,0
18940222,0
18940223,0
18940224,0
18940225,0
18940226,0
18940227,0
18940228,0
18940401,0
18940402,0
18940403,64
18940404,0
18940405,0
18940406,0
18940407,127
18940408,0
18940409,0
18940410,0
18940411,0
18940412,0
18940413,0
18940414,0
18940415,56
18940416,0
18940417,20
18940418,56
18940419,64
18940420,5
18940421,0
18940422,0
18940423,0
18940424,0
18940425,0
18940426,0
18940427,117
18940428,0
18940429,0
18940430,0
18940501,0
18940502,9999
18940503,0
18940504,0
18940505,0
18940506,0
18940507,0
18940508,0
18940509,112
18940510,10
18940511,0
18940512,0
18940513,0
18940514,0
18940515,0
18940516,0
18940517,0
18940518,0
18940519,0
18940520,0
18940521,0
18940522,0
18940523,0
18940524,0
18940525,0
18940526,38
18940527,0
18940528,0
18940529,0
18940530,0
18940531,0
18940601,0
18940602,0
18940603,0
18940604,0
18940605,0
18940606,0
18940607,0
18940608,0
18940609,0
18940610,0
18940611,0
18940612,0
18940613,0
18940614,0
18940615,0
18940616,0
18940617,0
18940618,38
18940619,13
18940620,127
18940621,0
18940622,0
18940623,130
18940624,0
18940625,0
18940626,0
18940627,0
18940628,0
18940629,0
18940630,0
18940701,0
18940702,0
18940703,0
18940704,0
18940705,0
18940706,0
18940707,0
18940708,0
18940709,0
18940710,0
18940711,0
18940712,0
18940713,0
18940714,0
18940715,0
18940716,0
18940717,0
18940718,0
18940719,0
18940720,0
18940721,0
18940722,0
18940723,0
18940724,51
18940725,0
18940726,0
18940727,0
18940728,0
18940729,0
18940730,0
18940731,0
18940801,0
18940802,0
18940803,0
18940804,0
18940805,0
18940806,0
18940807,0
18940808,0
18940809,0
18940810,0
18940811,0
18940812,0
18940813,0
18940814,0
18940815,152
18940816,0
18940817,0
18940818,0
18940819,0
18940820,0
18940821,0
18940822,0
18940823,0
18940824,0
18940825,0
18940826,0
18940827,0
18940828,0
18940829,0
18940830,0
18940831,0
18940901,0
18940902,0
18940903,0
18940904,0
18940905,0
18940906,0
18940907,38
18940908,3
18940909,0
18940910,0
18940911,0
18940912,0
18940913,0
18940914,0
18940915,0
18940916,0
18940917,0
18940918,0
18940919,0
18940920,0
18940921,0
18940922,495
18940923,0
18940924,0
18940925,0
18940926,0
18940927,0
18940928,198
18940929,0
18940930,0
18941001,89
18941002,356
18941003,64
18941004,0
18941005,0
18941006,0
18941007,0
18941008,0
18941009,0
18941010,0
18941011,0
18941012,0
18941013,0
18941014,0
18941015,0
18941016,0
18941017,0
18941018,0
18941019,0
18941020,114
18941021,0
18941022,0
18941023,0
18941024,0
18941025,0
18941026,0
18941027,0
18941028,0
18941029,0
18941030,0
18941031,0
18941101,51
18941102,0
18941103,0
18941104,0
18941105,0
18941106,0
18941107,0
18941108,0
18941109,0
18941110,0
18941111,8
18941112,0
18941113,0
18941114,0
18941115,0
18941116,0
18941117,0
18941118,0
18941119,51
18941120,0
18941121,0
18941122,0
18941123,0
18941124,51
18941125,5
18941126,0
18941127,0
18941128,0
18941129,0
18941130,0
18941201,0
18941202,0
18941203,0
18941204,0
18941205,0
18941206,13
18941207,0
18941208,0
18941209,0
18941210,0
18941211,0
18941212,0
18941213,0
18941214,0
18941215,0
18941216,0
18941217,0
18941218,0
18941219,0
18941220,0
18941221,0
18941222,0
18941223,0
18941224,0
18941225,5
18941226,0
18941227,0
18941228,0
18941229,0
18941230,13
18941231,0
18980201,0
18980202,0
18980203,0
18980204,0
18980205,0
18980206,0
18980207,0
18980208,0
18980209,0
18980210,0
18980211,0
18980212,0
18980213,0
18980214,102
18980215,0
18980216,51
18980217,0
18980218,0
18980219,0
18980220,0
18980221,0
18980222,0
18980223,25
18980224,0
18980225,0
18980226,0
18980227,0
18980228,0
18980301,0
18980302,0
18980303,0
18980304,0
18980305,0
18980306,0
18980307,0
18980308,51
18980309,0
18980310,0
18980311,0
18980312,0
18980313,0
18980314,0
18980315,25
18980316,51
18980317,0
18980318,0
18980319,0
18980320,38
18980321,0
18980322,0
18980323,0
18980324,0
18980325,0
18980326,0
18980327,0
18980328,0
18980329,0
18980330,0
18980331,25
18980401,0
18980402,0
18980403,0
18980404,0
18980405,0
18980406,0
18980407,0
18980408,0
18980409,25
18980410,0
18980411,0
18980412,0
18980413,0
18980414,0
18980415,0
18980416,0
18980417,0
18980418,0
18980419,0
18980420,0
18980421,0
18980422,0
18980423,51
18980424,0
18980425,0
18980426,0
18980427,64
18980428,0
18980429,0
18980430,0
18980501,0
18980502,0
18980503,0
18980504,0
18980505,0
18980506,0
18980507,0
18980508,13
18980509,0
18980510,0
18980511,0
18980512,0
18980513,0
18980514,0
18980515,0
18980516,0
18980517,0
18980518,0
18980519,0
18980520,0
18980521,0
18980522,0
18980523,0
18980524,0
18980525,0
18980526,0
18980527,0
18980528,0
18980529,0
18980530,0
18980531,0
18980601,0
18980602,0
18980603,0
18980604,0
18980605,81
18980606,0
18980607,25
18980608,0
18980609,0
18980610,0
18980611,0
18980612,25
18980613,0
18980614,0
18980615,48
18980616,0
18980617,0
18980618,0
18980619,0
18980620,0
18980621,152
18980622,0
18980623,338
18980624,0
18980625,81
18980626,0
18980627,0
18980628,25
18980629,13
18980630,0
18980701,203
18980702,0
18980703,0
18980704,0
18980705,13
18980706,8
18980707,13
18980708,0
18980709,0
18980710,0
18980711,0
18980712,0
18980713,201
18980714,102
18980715,0
18980716,0
18980717,0
18980718,0
18980719,0
18980720,0
18980721,0
18980722,0
18980723,0
18980724,0
18980725,0
18980726,13
18980727,33
18980728,0
18980729,10
18980730,0
18980731,0
18980801,30
18980802,23
18980803,0
18980804,25
18980805,0
18980806,0
18980807,0
18980808,0
18980809,0
18980810,0
18980811,0
18980812,0
18980813,152
18980814,0
18980815,0
18980816,0
18980817,0
18980818,0
18980819,216
18980820,0
18980821,0
18980822,89
18980823,0
18980824,0
18980825,0
18980826,0
18980827,0
18980828,0
18980829,0
18980830,0
18980831,0
18980901,20
18980902,218
18980903,66
18980904,25
18980905,0
18980906,0
18980907,0
18980908,0
18980909,0
18980910,0
18980911,0
18980912,0
18980913,0
18980914,0
18980915,0
18980916,0
18980917,0
18980918,0
18980919,0
18980920,0
18980921,0
18980922,0
18980923,25
18980924,0
18980925,0
18980926,0
18980927,0
18980928,0
18980929,13
18980930,0
18981001,0
18981002,0
18981003,572
18981004,25
18981005,0
18981006,0
18981007,0
18981008,0
18981009,0
18981010,356
18981011,0
18981012,0
18981013,13
18981014,0
18981015,0
18981016,0
18981017,0
18981018,0
18981019,0
18981020,0
18981021,0
18981022,0
18981023,0
18981024,0
18981025,0
18981026,0
18981027,0
18981028,0
18981029,0
18981030,0
18981031,0
18981101,0
18981102,0
18981103,0
18981104,0
18981105,0
18981106,25
18981107,0
18981108,0
18981109,0
18981110,0
18981111,0
18981112,0
18981113,0
18981114,0
18981115,0
18981116,0
18981117,0
18981118,0
18981119,0
18981120,64
18981121,0
18981122,0
18981123,0
18981124,25
18981125,0
18981126,0
18981127,0
18981128,64
18981129,0
18981130,0
18981201,0
18981202,0
18981203,0
18981204,25
18981205,0
18981206,25
18981207,0
18981208,0
18981209,0
18981210,0
18981211,0
18981212,25
18981213,0
18981214,0
18981215,0
18981216,0
18981217,0
18981218,0
18981219,0
18981220,0
18981221,0
18981222,51
18981223,0
18981224,0
18981225,0
18981226,0
18981227,0
18981228,0
18981229,0
18981230,0
18981231,0
19050101,0
19050102,0
19050103,0
19050104,0
19050105,0
19050106,0
19050107,0
19050108,0
19050109,0
19050110,0
19050111,0
19050112,0
19050113,0
19050114,0
19050115,0
19050116,0
19050117,0
19050118,0
19050119,0
19050120,0
19050121,0
19050122,0
19050123,0
19050124,0
19050125,0
19050126,0
19050127,0
19050128,0
19050129,0
19050130,0
19050131,0
19050201,0
19050202,0
19050203,0
19050204,0
19050205,0
19050206,0
19050207,0
19050208,0
19050209,0
19050210,0
19050211,0
19050212,0
19050213,13
19050214,0
19050215,0
19050216,0
19050217,0
19050218,0
19050219,0
19050220,0
19050221,0
19050222,0
19050223,0
19050224,0
19050225,0
19050226,0
19050227,0
19050228,0
19050301,0
19050302,0
19050303,0
19050304,0
19050305,0
19050306,25
19050307,0
19050308,0
19050309,0
19050310,0
19050311,0
19050312,0
19050313,0
19050314,0
19050315,0
19050316,0
19050317,0
19050318,0
19050319,0
19050320,0
19050321,0
19050322,130
19050323,53
19050324,0
19050325,0
19050326,0
19050327,0
19050328,58
19050329,0
19050330,0
19050331,0
19050401,0
19050402,0
19050403,0
19050404,0
19050405,0
19050406,0
19050407,0
19050408,0
19050409,0
