Date,Precipitation
19390101,0
19390102,0
19390103,0
19390104,0
19390105,53
19390106,0
19390107,0
19390108,0
19390109,0
19390110,0
19390111,8
19390112,0
19390113,180
19390114,0
19390115,0
19390116,0
19390117,0
19390118,0
19390119,0
19390120,0
19390121,0
19390122,0
19390123,0
19390124,20
19390125,0
19390126,0
19390127,0
19390128,15
19390129,142
19390130,0
19390131,0
19390201,0
19390202,69
19390203,84
19390204,0
19390205,10
19390206,76
19390207,0
19390208,97
19390209,56
19390210,15
19390211,18
19390212,0
19390213,0
19390214,0
19390215,216
19390216,0
19390217,0
19390218,0
19390219,0
19390220,0
19390221,117
19390222,0
19390223,0
19390224,0
19390225,0
19390226,76
19390227,335
19390228,284
19390301,25
19390302,43
19390303,0
19390304,0
19390305,0
19390306,5
19390307,0
19390308,0
19390309,0
19390310,0
19390311,0
19390312,0
19390313,0
19390314,0
19390315,0
19390316,0
19390317,0
19390318,0
19390319,0
19390320,0
19390321,0
19390322,0
19390323,0
19390324,0
19390325,0
19390326,0
19390327,127
19390328,0
19390329,0
19390330,41
19390331,0
19390401,0
19390402,0
19390403,0
19390404,0
19390405,0
19390406,208
19390407,165
19390408,0
19390409,0
19390410,0
19390411,10
19390412,0
19390413,0
19390414,0
19390415,0
19390416,0
19390417,41
19390418,0
19390419,0
19390420,0
19390421,0
19390422,0
19390423,0
19390424,20
19390425,0
19390426,0
19390427,0
19390428,58
19390429,0
19390430,0
19390501,0
19390502,0
19390503,0
19390504,0
19390505,0
19390506,0
19390507,18
19390508,8
19390509,165
19390510,0
19390511,0
19390512,0
19390513,0
19390514,239
19390515,18
19390516,0
19390517,0
19390518,0
19390519,0
19390520,0
19390521,0
19390522,0
19390523,0
19390524,0
19390525,0
19390526,20
19390527,8
19390528,3
19390529,175
19390530,0
19390531,0
19390601,406
19390602,28
19390603,46
19390604,0
19390605,173
19390606,0
19390607,0
19390608,0
19390609,0
19390610,66
19390611,5
19390612,10
19390613,48
19390614,20
19390615,33
19390616,71
19390617,13
19390618,0
19390619,15
19390620,208
19390621,0
19390622,185
19390623,0
19390624,0
19390625,0
19390626,3
19390627,0
19390628,18
19390629,0
19390630,0
19390701,13
19390702,5
19390703,0
19390704,0
19390705,0
19390706,99
19390707,91
19390708,36
19390709,3
19390710,0
19390711,0
19390712,8
19390713,0
19390714,0
19390715,0
19390716,0
19390717,79
19390718,0
19390719,0
19390720,10
19390721,43
19390722,117
19390723,0
19390724,3
19390725,0
19390726,0
19390727,0
19390728,8
19390729,5
19390730,0
19390731,0
19390801,0
19390802,0
19390803,363
19390804,0
19390805,130
19390806,0
19390807,0
19390808,0
19390809,0
19390810,58
19390811,5
19390812,99
19390813,38
19390814,51
19390815,97
19390816,0
19390817,224
19390818,25
19390819,3
19390820,0
19390821,18
19390822,97
19390823,284
19390824,251
19390825,0
19390826,241
19390827,3
