Date,Precipitation
19310101,56
19310102,0
19310103,0
19310104,0
19310105,10
19310106,23
19310107,0
19310108,0
19310109,0
19310110,0
19310111,0
19310112,0
19310113,0
19310114,0
19310115,0
19310116,0
19310117,0
19310118,0
19310119,0
19310120,0
19310121,0
19310122,560
19310123,490
19310124,0
19310125,950
19310126,0
19310127,0
19310128,0
19310129,0
19310130,0
19310131,0
19310201,0
19310202,0
19310203,0
19310204,0
19310205,0
19310206,0
19310207,0
19310208,0
19310209,0
19310210,0
19310211,0
19310212,0
19310213,0
19310214,0
19310215,0
19310216,0
19310217,0
19310218,0
19310219,0
19310220,0
19310221,0
19310222,0
19310223,0
19310224,0
19310225,60
19310226,0
19310227,0
19310228,0
19310301,0
19310302,0
19310303,0
19310304,0
19310305,0
19310306,0
19310307,0
19310308,0
19310309,0
19310310,0
19310311,0
19310312,0
19310313,0
19310314,0
19310315,0
19310316,0
19310317,0
19310318,0
19310319,0
19310320,130
19310321,0
19310322,0
19310323,110
19310324,0
19310325,0
19310326,0
19310327,0
19310328,0
19310329,0
19310330,0
19310331,0
19310401,40
19310402,0
19310403,0
19310404,0
19310405,0
19310406,0
19310407,0
19310408,0
19310409,20
19310410,140
19310411,0
19310412,0
19310413,0
19310414,0
19310415,35
19310416,200
19310417,0
19310418,0
19310419,0
19310420,0
19310421,110
19310422,0
19310423,0
19310424,0
19310425,0
19310426,0
19310427,0
19310428,0
19310429,0
19310430,0
19310501,0
19310502,0
19310503,0
19310504,0
19310505,0
19310506,0
19310507,0
19310508,0
19310509,0
19310510,0
19310511,44
19310512,0
19310513,0
19310514,0
19310515,0
19310516,0
19310517,0
19310518,0
19310519,0
19310520,0
19310521,0
19310522,0
19310523,0
19310524,0
19310525,0
19310526,0
19310527,0
19310528,0
19310529,14
19310530,160
19310531,0
19310601,0
19310602,0
19310603,0
19310604,0
19310605,0
19310606,0
19310607,0
19310608,0
19310609,0
19310610,0
19310611,0
19310612,0
19310613,0
19310614,0
19310615,0
19310616,0
19310617,0
19310618,0
19310619,0
19310620,0
19310621,20
19310622,0
19310623,0
19310624,0
19310625,0
19310626,0
19310627,0
19310628,0
19310629,0
19310630,0
19310701,0
19310702,0
19310703,0
19310704,0
19310705,0
19310706,0
19310707,0
19310708,0
19310709,0
19310710,0
19310711,0
19310712,0
19310713,0
19310714,0
19310715,0
19310716,0
19310717,10
19310718,0
19310719,0
19310720,0
19310721,100
19310722,1190
19310723,280
19310724,140
19310725,0
19310726,0
19310727,0
19310728,0
19310729,0
19310730,0
19310731,0
19310801,0
19310802,0
19310803,170
19310804,100
19310805,0
19310806,0
19310807,0
19310808,0
19310809,0
19310810,0
19310811,0
19310812,0
19310813,24
19310814,0
19310815,0
19310816,0
19310817,0
19310818,0
19310819,45
19310820,0
19310821,0
19310822,0
19310823,240
19310824,120
19310825,290
19310826,0
19310827,0
19310828,0
19310829,0
19310830,0
19310831,0
19310901,0
19310902,0
19310903,0
19310904,0
19310905,0
19310906,0
19310907,0
19310908,0
19310909,0
19310910,170
19310911,0
19310912,0
19310913,0
19310914,0
19310915,0
19310916,0
19310917,0
19310918,0
19310919,0
19310920,0
19310921,0
19310922,0
19310923,0
19310924,0
19310925,0
19310926,0
19310927,0
19310928,0
19310929,0
19310930,0
19311001,30
19311002,0
19311003,170
19311004,0
19311005,0
19311006,0
19311007,0
19311008,0
19311009,0
19311010,0
19311011,0
19311012,0
19311013,140
19311014,0
19311015,0
19311016,0
19311017,0
19311018,0
19311019,0
19311020,0
19311021,0
19311022,0
19311023,0
19311024,0
19311025,0
19311026,0
19311027,0
19311028,0
19311029,80
19311030,0
19311031,0
19311101,0
19311102,0
19311103,150
19311104,0
19311105,0
19311106,40
19311107,620
19311108,0
19311109,0
19311110,0
19311111,0
19311112,0
19311113,0
19311114,430
19311115,0
19311116,0
19311117,0
19311118,0
19311119,0
19311120,0
19311121,0
19311122,110
19311123,0
19311124,0
19311125,0
19311126,0
19311127,0
19311128,0
19311129,0
19311130,230
19311201,230
19311202,0
19311203,0
19311204,0
19311205,0
19311206,0
19311207,0
19311208,0
19311209,0
19311210,0
19311211,0
19311212,0
19311213,0
19311214,0
19311215,0
19311216,0
19311217,0
19311218,0
19311219,0
19311220,130
19311221,0
19311222,180
19311223,0
19311224,0
19311225,0
19311226,0
19311227,0
19311228,0
19311229,0
19311230,0
19311231,0
19320101,0
19320102,0
19320103,0
19320104,0
19320105,0
19320106,0
19320107,0
19320108,0
19320109,0
19320110,0
19320111,0
19320112,0
19320113,68
19320114,0
19320115,0
19320116,0
19320117,0
19320118,0
19320119,0
19320120,0
19320121,0
19320122,0
19320123,0
19320124,0
19320125,110
19320126,0
19320127,0
19320128,490
19320129,150
19320130,0
19320131,0
19320201,0
19320202,0
19320203,40
19320204,270
19320205,0
19320206,0
19320207,0
19320208,0
19320209,0
19320210,0
19320211,0
19320212,0
19320213,0
19320214,0
19320215,0
19320216,0
19320217,0
19320218,0
19320219,0
19320220,0
19320221,0
19320222,0
19320223,0
19320224,140
19320225,28
19320226,28
19320227,0
19320228,0
19320229,0
19320301,0
19320302,0
19320303,0
19320304,40
19320305,310
19320306,0
19320307,0
19320308,0
19320309,0
19320310,0
19320311,0
19320312,0
19320313,0
19320314,0
19320315,0
19320316,0
19320317,0
19320318,0
19320319,0
19320320,0
19320321,0
19320322,0
19320323,0
19320324,0
19320325,0
19320326,0
19320327,470
19320328,0
19320329,0
19320330,0
19320331,0
19320406,0
19320407,0
19320408,82
19320409,0
19320410,0
19320411,0
19320412,0
19320413,0
19320414,0
19320415,0
19320416,0
19320417,41
19320418,0
19320419,0
19320420,0
19320421,0
19320422,0
19320423,0
19320424,0
19320425,0
19320426,0
19320427,0
19320428,0
19320429,0
19320430,0
19320501,0
19320502,0
19320503,0
19320504,300
19320505,0
19320506,0
19320507,0
19320508,0
19320509,0
19320510,0
19320511,0
19320512,0
19320513,0
19320514,0
19320515,0
19320516,0
19320517,0
19320518,0
19320519,0
19320520,70
19320521,30
19320522,0
19320523,0
19320524,0
19320525,0
19320526,0
19320527,0
19320528,0
19320529,0
19320530,0
19320531,0
19320601,0
19320602,0
19320603,0
19320604,0
19320605,0
19320606,0
19320607,0
19320608,0
19320609,0
19320610,0
19320611,0
19320612,0
19320613,620
19320614,0
19320615,0
19320616,0
19320617,0
19320618,0
19320619,99
19320620,0
19320621,0
19320622,0
19320623,0
19320624,57
19320625,630
19320626,0
19320627,0
19320628,0
19320629,0
19320630,52
19320701,63
19320702,170
19320703,0
19320704,0
19320705,0
19320706,0
19320707,0
19320708,0
19320709,0
19320710,0
19320711,0
19320712,0
19320713,110
19320714,50
19320715,24
19320716,420
19320717,0
19320718,80
19320719,0
19320720,0
19320721,0
19320722,31
19320723,0
19320724,0
19320725,0
19320726,0
19320727,0
19320728,34
19320729,0
19320730,0
19320731,0
19320801,0
19320802,0
19320803,67
19320804,0
19320805,620
19320806,0
19320807,0
19320808,0
19320809,0
19320810,370
19320811,0
19320812,0
19320813,0
19320814,0
19320815,0
19320816,0
19320817,0
19320818,0
19320819,0
19320820,0
19320821,0
19320822,390
19320823,0
19320824,0
19320825,0
19320826,0
19320827,0
19320828,0
19320829,0
19320830,0
19320831,0
19320901,0
19320902,0
19320903,0
19320904,0
19320905,230
19320906,0
19320907,0
19320908,0
19320909,0
19320910,0
19320911,0
19320912,0
19320913,0
19320914,0
19320915,0
19320916,0
19320917,0
19320918,0
19320919,0
19320920,0
19320921,0
19320922,0
19320923,0
19320924,0
19320925,0
19320926,0
19320927,0
19320928,0
19320929,0
19320930,160
19321001,0
19321002,0
19321003,0
19321004,0
19321005,0
19321006,0
19321007,0
19321008,0
19321009,0
19321010,0
19321021,0
19321022,0
19321023,0
19321024,0
19321025,0
19321026,0
19321027,440
19321028,290
19321104,0
19321105,0
19321106,0
19321107,0
19321108,0
19321109,0
19321110,0
19321111,0
19321112,0
19321113,0
19321114,0
19321115,60
19321116,0
19321117,0
19321118,0
19321119,250
19321120,70
19321121,200
19321122,0
19321123,0
19321124,0
19321125,0
19321126,0
19321127,0
19321128,0
19321129,0
19321130,0
19321201,0
19321202,0
19321203,0
19321204,10
19321205,0
19321206,0
19321207,0
19321208,0
19321209,0
19321210,0
19321211,0
19321212,0
19321213,0
19321214,0
19321215,0
19321216,0
19321217,0
19321218,0
19321219,0
19321220,0
19321221,0
19321222,0
19321223,0
19321224,75
19321225,0
19321226,0
19321227,0
19321228,0
19321229,0
19321230,0
19321231,0
19330101,0
19330102,0
19330103,0
19330104,0
19330105,0
19330106,0
19330107,0
19330108,0
19330109,0
19330110,0
19330111,0
19330112,0
19330113,0
19330114,0
19330115,920
19330116,0
19330117,0
19330118,0
19330119,0
19330120,0
19330121,0
19330122,0
19330123,0
19330124,0
19330125,0
19330126,0
19330127,0
19330128,0
