Date,Precipitation,TMax,TMin
19240513,0,139,64
19240514,0,180,78
19240515,0,201,78
19240516,73,170,64
19240517,0,94,67
19240518,0,106,62
19240519,0,128,69
19240520,0,105,52
19240521,0,105,48
19240522,0,98,65
19240523,23,134,45
19240524,105,170,97
19240525,0,147,83
19240526,0,147,112
19240527,0,170,87
19240528,0,192,122
19240529,0,180,109
19240530,0,142,98
19240531,0,191,23
19240601,0,168,95
19240602,0,172,80
19240603,2,122,82
19240604,0,138,80
19240605,0,133,75
19240606,0,130,78
19240607,0,149,79
19240608,0,143,100
19240609,0,157,96
19240610,0,177,96
19240611,0,170,136
19240612,32,143,105
19240613,0,123,90
19240614,45,103,85
19240615,189,88,70
19240616,0,143,70
19240617,0,193,90
19240618,0,163,113
19240619,0,146,104
19240620,0,182,120
19240621,0,163,129
19240622,0,136,85
19240623,0,213,113
19240624,0,180,125
19240625,0,169,123
19240626,13,198,117
19240627,34,181,144
19240628,0,178,127
19240629,0,158,105
19240630,0,197,133
19240701,0,177,115
19240702,0,192,115
19240703,22,156,125
19240704,14,172,125
19240705,3,150,98
19240706,3,185,120
19240707,15,167,127
19240708,24,178,125
19240709,5,191,121
19240710,0,192,125
19240711,0,197,127
19240712,4,196,132
19240713,53,216,136
19240714,55,177,140
19240715,0,184,134
19240716,0,202,145
19240717,0,213,152
19240718,32,193,152
19240719,49,166,147
19240720,0,180,140
19240721,0,200,136
19240722,0,220,151
19240723,70,184,148
19240724,26,184,150
19240725,0,199,134
19240726,0,192,134
19240727,38,194,145
19240728,0,186,156
19240729,0,200,163
19240730,30,192,162
19240731,18,213,159
19240801,0,210,170
19240802,0,215,170
19240803,0,210,176
19240804,0,220,165
19240805,0,223,154
19240806,0,204,154
19240807,0,203,145
19240808,0,180,155
19240809,0,204,150
19240810,0,235,155
19240811,0,237,145
19240812,0,220,150
19240813,0,224,168
19240814,12,233,182
19240815,0,230,187
19240816,0,200,174
19240817,0,212,142
19240818,42,200,154
19240819,0,180,140
19240820,10,200,130
19240821,0,186,130
19240822,7,190,140
19240823,0,193,150
19240824,0,172,147
19240825,0,162,132
19240826,0,190,127
19240827,0,185,122
19240828,10,183,140
19240829,0,190,120
19240830,30,184,125
19240831,0,190,152
19240901,61,161,143
19240902,0,156,126
19240903,0,179,141
19240904,0,175,130
19240905,0,190,124
19240906,0,190,125
19240907,0,201,136
19240908,56,164,125
19240909,167,190,152
19240910,35,156,120
19240911,25,139,104
19240912,0,165,114
19240913,0,180,124
19240914,9,160,119
19240915,0,158,115
19240916,0,145,108
19240917,13,141,121
19240918,0,170,122
19240919,0,155,124
19240920,28,128,105
19240921,32,169,118
19240922,13,149,101
19240923,0,150,94
19240924,70,136,90
19240925,140,120,100
19240926,0,110,95
19240927,0,103,62
19240928,0,132,89
19240929,0,138,70
19240930,0,117,87
19241001,27,118,104
19241002,0,155,105
19241003,0,139,105
19241004,53,120,105
19241005,0,143,104
19241006,0,146,104
19241007,7,137,95
19241008,0,140,89
19241009,14,139,98
19241010,0,124,90
19241011,0,138,59
19241012,0,125,100
19241013,0,125,88
19241014,0,135,85
19241015,0,107,75
19241016,0,111,66
19241017,7,112,56
19241018,17,93,70
19241019,0,72,41
19241020,7,90,38
19241021,6,99,54
19241022,0,67,27
19241023,0,60,19
19241024,0,78,18
19241025,0,85,34
19241026,0,95,38
19241027,5,93,53
19241028,0,111,48
19241029,5,100,70
19241030,0,90,50
19241031,6,88,74
19241101,0,90,79
19241102,97,87,57
19241103,26,66,45
19241104,16,66,14
19241105,0,69,10
19241106,0,70,54
19241107,0,64,50
19241108,0,70,41
19241109,0,65,32
19241110,0,56,18
19241111,0,63,30
19241112,0,60,40
19241113,0,57,25
19241114,0,56,15
19241115,30,66,41
19241116,24,50,24
19241117,0,36,23
19241118,5,42,32
19241119,0,50,27
19241120,0,45,15
19241121,0,72,4
19241122,0,85,49
19241123,9,82,35
19241124,0,95,70
19241125,0,84,53
19241126,0,56,43
19241127,0,50,40
19241128,0,54,26
19241129,0,58,36
19241130,3,62,44
19241201,0,73,50
19241202,0,69,43
19241203,0,55,4
19241204,0,11,-29
19241205,20,12,-25
19241206,10,33,-16
19241207,0,38,-10
19241208,0,43,30
19241209,0,47,28
19241210,0,46,17
19241211,0,30,2
19241212,0,33,-6
19241213,0,34,-6
19241214,0,38,7
19241215,0,27,5
19241216,0,29,17
19241217,5,50,24
19241218,0,77,42
19241219,0,82,53
19241220,0,75,45
19241221,0,73,49
19241222,0,62,40
19241223,0,61,14
19241224,0,50,7
19241225,14,50,23
19241226,0,55,18
19241227,0,56,20
19241228,0,64,40
19241229,0,65,30
19241230,15,41,25
19241231,3,50,29
19250101,3,43,19
19250102,23,63,18
19250103,0,71,41
19250104,42,57,30
19250105,0,53,14
19250106,0,34,10
19250107,0,50,5
19250108,2,70,30
19250109,49,57,10
19250110,0,40,14
19250111,0,65,21
19250112,0,50,17
19250113,0,36,20
19250114,6,39,10
19250115,4,49,30
19250116,0,59,39
19250117,0,64,42
19250118,0,70,40
19250119,0,68,27
19250120,0,32,0
19250121,0,10,-15
19250122,0,1,-65
19250123,0,0,-76
19250124,0,0,-16
19250125,0,29,9
19250126,0,27,-10
19250127,0,0,-43
19250128,15,9,-46
19250129,13,13,-15
19250130,17,40,5
19250131,0,65,15
19250201,0,52,20
19250202,0,32,4
19250203,0,53,15
19250204,0,51,26
19250205,0,55,15
19250206,0,66,30
19250207,0,33,5
19250208,21,23,-5
19250209,0,56,8
19250210,0,52,25
19250211,0,81,48
19250212,0,80,40
19250213,0,63,20
19250214,0,50,-18
19250215,0,40,-21
19250216,13,56,-28
19250217,40,46,-15
19250218,19,33,-27
19250219,2,29,-22
19250220,0,5,-26
19250221,0,-10,-36
19250222,0,12,-45
19250223,18,9,-14
19250224,62,32,-15
19250225,0,38,-8
19250226,3,29,13
19250227,0,30,15
19250228,17,30,-14
19250301,0,30,-18
19250302,0,31,15
19250303,0,27,-15
19250304,0,32,-15
19250305,0,39,5
19250306,15,64,25
19250307,11,35,-24
19250308,0,15,-21
19250309,2,14,-1
19250310,6,10,-36
19250311,6,-10,-68
19250312,0,-36,-94
19250313,0,-35,-65
19250314,2,-37,-65
19250315,0,-35,-65
19250316,8,-10,-60
19250317,5,0,-70
19250318,0,46,-15
19250319,0,85,-5
19250320,0,66,14
19250321,0,36,-15
19250322,0,24,-8
19250323,0,46,-16
19250324,0,21,-18
19250325,0,50,-5
19250326,48,31,-6
19250327,45,20,5
19250328,0,20,3
19250329,0,13,-9
19250330,0,47,-23
19250331,0,86,16
19250401,0,90,-15
19250402,0,72,4
19250403,0,68,23
19250404,0,60,-6
19250405,0,80,-7
19250406,0,74,-13
19250407,0,85,-9
19250408,0,116,7
19250409,0,96,12
19250410,0,73,20
19250411,0,90,19
19250412,0,96,20
19250413,0,145,38
19250414,2,70,35
19250415,36,95,40
19250416,42,70,35
19250417,0,90,32
19250418,0,104,19
19250419,0,88,40
19250420,0,76,29
19250421,0,63,28
19250422,0,123,34
19250423,0,103,64
19250424,0,119,62
19250425,0,78,45
19250426,0,92,45
19250427,12,62,45
19250428,0,85,35
19250429,320,50,-34
19250430,49,30,13
19250501,24,102,15
19250502,26,102,45
19250503,0,104,55
19250504,0,131,39
19250505,0,135,46
19250506,56,71,54
19250507,15,87,50
19250508,25,88,25
19250509,0,116,50
19250510,53,99,38
19250511,0,136,-15
19250512,0,142,86
19250513,0,182,85
19250514,0,143,87
19250515,0,105,65
19250516,0,100,55
19250517,0,117,55
19250518,0,170,77
19250519,0,196,86
19250520,0,222,105
19250521,0,152,80
19250522,0,145,75
19250523,0,125,66
19250524,0,90,62
19250525,95,93,73
19250526,56,88,65
19250527,0,133,72
19250528,0,136,75
19250529,0,160,103
19250530,0,178,95
19250531,10,164,105
19250601,0,170,105
19250602,0,173,96
19250603,0,174,95
19250604,0,167,90
19250605,0,182,103
19250606,0,170,106
19250607,0,184,116
19250608,0,176,116
19250609,0,193,106
19250610,0,181,128
19250611,0,262,125
19250612,0,182,116
19250613,50,181,111
19250614,87,167,102
19250615,0,130,96
19250616,0,182,105
19250617,43,158,107
19250618,0,140,89
19250619,6,171,96
19250620,0,201,116
19250621,45,167,123
19250622,3,155,115
19250623,65,152,102
19250624,107,137,110
19250625,0,184,119
19250626,0,180,130
19250627,0,178,115
19250628,0,191,125
19250629,0,184,130
19250630,0,189,138
19250701,0,174,137
19250702,0,164,135
19250703,0,150,135
19250704,0,170,135
19250705,38,179,136
19250706,24,168,125
19250707,24,205,125
19250708,70,194,146
19250709,61,191,157
19250710,0,183,130
19250711,26,173,135
19250712,0,188,140
19250713,0,243,135
19250714,0,210,153
19250715,0,225,152
19250716,0,230,155
19250717,0,251,166
19250718,0,252,176
19250719,0,238,176
19250720,0,270,173
19250721,0,257,198
19250722,0,265,195
19250723,0,285,185
19250724,0,270,193
19250725,0,270,199
19250726,0,280,209
19250727,42,257,207
19250728,25,227,175
19250729,0,203,153
19250730,48,200,146
19250731,0,206,145
19250801,0,219,146
19250802,0,212,157
19250803,0,212,142
19250804,0,225,145
19250805,0,220,167
19250806,0,220,166
19250807,0,230,148
19250808,0,210,158
19250809,0,220,166
19250810,0,218,162
19250811,0,253,156
19250812,0,200,163
19250813,0,200,164
19250814,0,224,170
19250815,0,200,141
19250816,0,218,142
19250817,0,170,141
19250818,30,180,139
19250819,0,180,132
19250820,0,222,143
19250821,0,240,145
19250822,0,215,149
19250823,0,199,156
19250824,0,233,165
19250825,0,201,168
19250826,0,180,154
19250827,0,174,153
19250828,0,180,136
19250829,15,189,123
19250830,10,203,135
19250831,29,210,138
19250901,0,191,135
19250902,11,176,121
19250903,0,176,115
19250904,0,183,116
19250905,0,148,95
19250906,45,150,86
19250907,105,170,57
19250908,47,160,106
19250909,379,138,59
19250910,22,156,119
19250911,95,143,118
19250912,110,134,103
19250913,5,140,99
19250914,0,169,95
19250915,4,139,105
19250916,0,157,115
19250917,0,165,106
19250918,0,168,125
19250919,0,156,106
19250920,10,144,115
19250921,30,150,105
19250922,0,152,113
19250923,69,158,113
19250924,74,152,126
19250925,3,165,120
19250926,0,151,106
19250927,19,151,100
19250928,5,141,110
19250929,5,144,85
19250930,0,140,117
19251001,0,162,95
19251002,0,151,114
19251003,0,143,117
19251004,0,127,73
19251005,0,113,70
19251006,40,115,50
19251007,0,115,76
19251008,0,95,55
19251009,0,117,55
19251010,0,146,66
19251011,0,83,35
19251012,0,76,36
19251013,173,70,35
19251014,72,54,26
19251015,0,58,12
19251016,0,46,8
19251017,0,60,17
19251018,12,58,10
19251019,0,47,15
19251020,0,61,6
19251021,0,80,18
19251022,96,70,40
19251023,10,97,37
19251024,50,101,46
19251025,130,95,30
19251026,0,96,75
19251027,0,98,65
19251028,0,118,85
19251029,0,102,78
19251030,42,104,82
19251031,0,101,40
19251101,0,50,35
19251102,0,46,25
19251103,53,60,35
19251104,15,95,19
19251105,0,66,26
19251106,0,72,15
19251107,0,23,-13
19251108,0,34,-13
19251109,107,36,16
19251110,31,60,5
19251111,0,25,-29
19251112,0,34,-22
19251113,35,41,-13
19251114,10,56,28
19251115,0,36,17
19251116,56,43,-3
19251117,0,43,-5
19251118,0,46,15
19251119,0,51,16
19251120,0,80,42
19251121,0,65,32
19251122,8,52,16
19251123,0,54,4
19251124,0,26,-16
19251125,0,2,-22
19251126,6,5,-30
19251127,20,20,-50
19251128,2,21,-26
19251129,137,0,-28
19251130,30,-18,-70
19251201,16,-6,-51
19251202,136,-27,-84
19251203,5,-10,-83
19251204,0,-10,-84
19251205,0,14,-25
19251206,0,45,0
19251207,0,45,-25
19251208,0,20,-30
19251209,3,16,-4
19251210,25,22,-17
19251211,35,27,10
19251212,5,30,-1
19251213,0,10,-42
19251214,0,-16,-65
19251215,21,-22,-61
19251216,5,-8,-92
19251217,1,34,-45
19251218,0,-10,-94
19251219,2,-21,-85
19251220,6,-10,-98
19251221,67,27,-81
19251222,34,30,-10
19251223,42,29,-12
19251224,0,23,-70
19251225,0,10,-25
19251226,0,20,-15
19251227,46,10,-24
19251228,0,17,-17
19251229,14,23,-14
19251230,6,62,-48
19251231,7,48,11
19260101,0,30,-9
19260102,0,11,-35
19260103,20,20,6
19260104,5,17,5
19260105,3,23,11
19260106,36,28,6
19260107,8,28,10
19260108,0,20,15
19260109,0,20,6
19260110,0,11,-35
19260111,0,-32,-43
19260112,0,-20,-41
19260113,0,-20,-48
19260114,0,-10,-40
19260115,0,2,-26
19260116,3,4,-29
19260117,8,1,-16
19260118,1,-6,-41
19260119,0,-10,-38
19260120,11,-10,-39
19260121,2,-10,-32
19260122,0,-24,-65
19260123,63,-6,-74
19260124,0,39,-8
19260125,38,39,11
19260126,0,46,22
19260127,0,23,-50
19260128,5,38,-30
19260129,5,33,-40
19260130,26,12,-16
