Date,Precipitation,TMax,TMin
19540613,0,298,235
19540614,0,314,241
19540615,0,334,236
19540616,31,339,244
19540617,0,315,238
19540618,0,329,243
19540619,0,330,237
19540620,10,342,244
19540621,0,342,238
19540622,0,334,237
19540623,0,330,233
19540624,0,335,244
19540625,0,332,251
19540626,0,335,243
19540627,0,336,255
19540628,0,326,254
19540629,0,321,252
19540630,10,305,234
19540701,17,308,232
19540702,36,292,235
19540703,0,297,233
19540704,27,309,237
19540705,136,318,227
19540706,0,313,228
19540707,390,330,244
19540708,0,332,221
19540709,73,321,242
19540710,10,310,232
19540711,87,307,230
19540712,71,285,228
19540713,84,276,224
19540714,61,302,220
19540715,6,320,232
19540716,12,315,240
19540717,0,330,236
19540718,0,327,240
19540719,0,317,246
19540720,0,320,245
19540721,633,323,255
19540722,0,333,229
19540723,26,315,251
19540724,0,312,243
19540725,0,310,244
19540726,29,293,239
19540727,0,294,224
19540728,0,315,244
19540729,0,325,247
19540730,0,315,246
19540731,59,327,250
19540801,0,335,230
19540802,0,316,235
19540803,0,322,240
19540804,0,345,236
19540805,53,341,244
19540806,30,330,240
19540807,122,295,244
19540808,25,283,230
19540809,38,310,232
19540810,533,285,225
19540811,50,290,220
19540812,36,300,228
19540813,118,294,230
19540814,91,315,232
19540815,65,317,229
19540816,5,310,230
19540817,226,300,241
19540818,11,290,230
19540819,55,299,235
19540820,176,297,235
19540821,38,294,225
19540822,67,302,235
19540823,154,296,228
19540824,12,310,233
19540825,0,297,232
19540826,18,310,244
19540827,156,315,236
19540828,146,275,229
19540829,57,320,227
19540830,0,330,236
19540831,0,315,242
19540901,97,320,236
19540902,0,325,227
19540903,0,335,245
19540904,0,320,237
19540905,157,324,246
19540906,16,300,225
19540907,0,325,225
19540908,0,325,235
19540909,392,335,239
19540910,234,272,225
19540911,126,305,229
19540912,21,295,224
19540913,0,317,234
19540914,0,327,242
19540915,59,297,235
19540916,0,320,226
19540917,30,265,240
19540918,30,315,229
19540919,38,300,245
19540920,190,295,240
19540921,0,315,230
19540922,0,337,235
19540923,21,300,232
19540924,6,312,235
19540925,0,337,230
19540926,0,336,234
19540927,0,340,238
19540928,0,346,238
19540929,0,340,234
19540930,0,330,240
19541001,0,330,234
19541002,47,307,234
19541003,0,300,226
19541004,90,290,220
19541005,16,300,225
19541006,0,320,225
19541007,0,325,225
19541008,758,295,234
19541009,108,245,220
19541010,0,324,220
19541011,52,319,230
19541012,0,322,224
19541013,5,285,213
19541014,36,303,220
19541015,64,326,208
19541016,0,329,217
19541017,0,321,212
19541018,0,330,215
19541019,0,336,205
19541020,0,337,211
19541021,62,326,216
19541022,0,319,222
19541023,270,310,216
19541024,52,317,212
19541025,0,312,205
19541026,0,306,197
19541027,0,313,206
19541028,0,324,216
19541029,0,334,214
19541030,0,336,211
19541031,0,337,212
19541101,148,342,211
19541102,0,314,227
19541103,237,333,230
19541104,0,322,202
19541105,0,313,217
19541106,0,326,213
19541107,0,332,211
19541108,0,334,187
19541109,0,326,191
19541110,61,325,207
19541111,0,324,204
19541112,0,316,204
19541113,0,320,210
19541114,0,321,174
19541115,0,327,174
19541116,0,321,167
19541117,0,292,177
19541118,0,306,178
19541119,18,226,201
19541120,0,290,189
19541121,0,295,179
19541122,0,300,165
19541123,0,295,152
19541124,0,299,161
19541125,0,297,168
19541126,0,301,157
19541127,0,306,162
19541128,0,305,157
19541129,0,306,165
19541130,0,305,168
19541201,0,303,167
19541202,0,296,166
19541203,0,264,174
19541204,0,295,208
19541205,0,310,184
19541206,0,317,181
19541207,0,310,178
19541208,0,311,166
19541209,0,324,170
19541210,0,317,170
19541211,0,288,173
19541212,0,300,178
19541213,8,297,182
19541214,0,304,187
19541215,0,285,184
19541216,0,255,108
19541217,0,262,101
19541218,0,276,117
19541219,0,272,115
19541220,0,275,112
19541221,0,285,132
19541222,0,296,142
19541223,0,302,152
19541224,0,303,162
19541225,0,306,151
19541226,0,299,165
19541227,0,314,174
19541228,0,310,185
19541229,0,312,160
19541230,0,303,145
19541231,0,302,140
19550101,0,308,152
19550102,0,305,140
19550103,0,310,143
19550104,0,307,132
19550105,0,305,138
19550106,0,315,160
19550107,0,305,146
19550108,0,296,150
19550109,0,285,123
19550110,0,275,155
19550111,0,266,102
19550112,0,263,85
19550113,0,276,86
19550114,0,285,82
19550115,0,297,112
19550116,0,300,133
19550117,0,302,126
19550118,0,290,128
19550119,0,302,132
19550120,0,300,120
19550121,0,300,130
19550122,0,300,120
19550123,0,302,119
19550124,0,303,127
19550125,0,321,134
19550126,0,328,115
19550127,0,327,115
19550128,0,320,116
19550129,0,320,118
19550130,0,327,119
19550131,0,329,114
19550201,0,333,116
19550202,0,333,138
19550203,0,330,129
19550204,0,334,125
19550205,0,336,140
19550206,0,328,126
19550207,0,337,123
19550208,0,335,118
19550209,0,335,114
19550210,0,338,108
19550211,0,320,97
19550212,0,345,122
19550213,0,345,138
19550214,0,349,138
19550215,0,348,136
19550216,0,340,144
19550217,0,340,135
19550218,0,341,116
19550219,0,350,122
19550220,0,348,146
19550221,0,310,197
19550222,0,310,188
19550223,0,325,163
19550224,0,342,152
19550225,0,345,149
19550226,0,345,140
19550227,0,350,143
19550228,0,352,135
19550301,0,347,135
19550302,0,348,138
19550303,0,350,138
19550304,0,350,130
19550305,0,344,124
19550306,0,347,145
19550307,0,329,134
19550308,0,335,149
19550309,0,352,133
19550310,0,354,126
19550311,0,355,123
19550312,0,360,129
19550313,0,351,145
19550314,0,346,159
19550315,0,354,183
19550316,9,356,188
19550317,0,370,190
19550318,0,368,180
19550319,0,372,156
19550320,0,380,153
19550321,0,380,159
19550322,0,382,165
19550323,0,390,162
19550324,0,384,186
19550325,0,390,202
19550326,0,385,219
19550327,0,350,235
19550328,0,362,186
19550329,176,335,182
19550330,0,342,196
19550331,0,360,207
19550401,0,362,247
19550402,0,340,248
19550403,0,382,200
19550404,0,387,211
19550405,334,332,225
19550406,74,300,203
19550407,0,357,199
19550408,0,360,191
19550409,0,360,187
19550410,0,350,215
19550411,0,365,225
19550412,0,360,210
19550413,0,376,182
19550414,0,379,221
19550415,0,386,225
19550416,0,386,203
19550417,0,393,215
19550418,0,394,225
19550419,504,395,206
19550420,34,255,209
19550421,6,333,224
19550422,0,355,225
19550423,0,365,219
19550424,0,347,221
19550425,154,245,197
19550426,0,325,187
19550427,0,355,210
19550428,0,357,225
19550429,0,367,247
19550430,0,370,232
19550501,0,350,227
19550502,0,365,216
19550503,0,373,227
19550504,0,366,232
19550505,0,360,234
19550506,0,347,234
19550507,0,370,242
19550508,0,379,263
19550509,0,382,257
19550510,0,380,245
