Date,Precipitation,TMax,TMin
19730618,5,300,190
19730715,0,280,190
19730907,30,290,160
19740519,0,310,170
19740709,0,290,190
19760722,99,250,200
19770814,0,310,150
19770909,0,310,190
19770928,30,290,200
19771002,0,310,200
19771015,0,310,200
19771204,150,290,220
19771218,109,310,220
19780721,0,290,210
19780729,0,290,190
19780818,0,290,190
19780827,0,300,190
19780911,0,300,190
19780919,0,300,200
19790330,0,320,240
19790422,0,310,250
19790426,20,310,230
19790516,0,300,240
19790522,1999,270,230
19790526,330,280,230
19790527,371,290,230
19790605,0,290,230
19790606,0,280,210
19790608,56,270,220
19790610,0,300,210
19790622,0,290,220
19790626,0,290,220
19790715,0,280,190
19790907,30,290,200
19791116,0,300,220
19800128,10,320,230
19800206,0,320,230
19800212,0,330,230
19800215,180,320,220
19800217,10,310,240
19800228,0,340,240
19800318,0,320,210
19800402,0,320,230
19800523,0,300,230
19800524,0,300,240
19800615,0,300,230
19810422,30,290,240
19810507,99,290,230
19810915,0,300,200
19820621,51,263,219
19830122,0,331,240
19830814,0,285,226
19830903,3,301,206
19830915,0,312,192
19831121,20,329,239
19831202,0,331,221
19831211,0,345,255
19840612,15,288,220
19840613,71,281,212
19840707,61,274,206
19840723,10,278,192
19840729,0,270,191
19840807,0,272,210
19840903,0,298,183
19840906,0,293,177
19841005,0,295,196
19841009,10,301,217
19841011,0,303,189
19841106,130,293,217
19841206,0,320,251
19841221,3,313,237
19841223,0,296,227
19841224,0,312,229
19850102,79,306,236
19850105,10,289,239
19850109,30,305,231
19850122,0,332,228
19850301,0,322,173
19850328,201,304,240
19850503,140,267,240
19850505,130,282,228
19850516,269,296,225
19850612,0,292,212
19850617,0,298,219
19851120,0,307,205
19851209,5,305,223
19851211,0,316,228
19860321,41,292,235
19860324,0,285,172
19860404,460,304,234
19860405,0,283,235
19860407,711,263,239
19860417,119,314,232
19860418,419,295,229
19860419,20,297,236
19860420,150,298,224
19860517,0,287,243
19860519,61,267,231
19860522,739,264,221
19860526,109,288,227
19860531,170,286,216
19860629,0,287,226
19860717,0,287,174
19860930,0,286,230
19861023,330,301,203
19861026,10,297,222
19861027,351,305,214
19861029,41,304,222
19861111,119,294,218
19861125,0,285,233
19861203,0,312,236
19861204,109,316,245
19861222,211,303,228
19870104,10,321,235
19870117,20,317,235
19870125,0,315,227
19870126,0,332,225
19870127,0,315,208
19870131,30,315,233
19870201,0,322,226
19870215,0,337,236
19870216,0,320,232
19870218,0,340,229
19870220,0,338,227
19870223,0,332,216
19870225,0,334,220
19870227,0,326,225
19870301,10,335,229
19870303,0,339,231
19870307,0,335,242
19870323,0,323,230
19870324,0,317,215
19870325,0,335,220
19870330,41,340,239
19870406,0,338,256
19870408,41,311,252
19870411,0,312,249
19870416,0,320,234
19870421,0,320,229
19870423,99,296,218
19870426,170,308,243
19870430,0,316,254
19870505,259,256,229
19870506,20,274,229
19870507,89,290,226
19870510,119,299,226
19870514,0,316,240
19870515,99,299,250
19870516,980,291,226
19870523,0,300,235
19870524,0,300,242
19870527,3,296,246
19870529,0,296,243
19870530,0,296,236
19870604,0,296,225
19870606,0,294,201
19870613,0,289,240
19870617,5,291,225
19870620,0,290,198
19870702,0,291,180
19870706,0,293,220
19870707,0,287,232
19870709,0,288,220
19870710,0,289,196
19870715,5,294,226
19870716,0,290,231
19870718,0,284,197
19870723,221,291,217
19870724,0,292,221
19870727,0,295,195
19870801,0,295,232
19870803,71,293,205
19870804,130,294,139
19870805,30,289,225
19870811,130,283,190
19870812,0,279,212
19870813,0,280,186
19870815,150,286,221
19870816,0,288,219
19870919,0,308,124
19870924,0,308,210
19870925,0,303,184
19870927,0,314,176
19871003,0,317,200
19871006,150,310,222
19871011,0,322,194
19871013,0,322,201
19871014,0,305,240
19871015,10,308,202
19871017,0,314,200
19871018,30,320,180
19871019,0,310,224
19871021,0,322,231
19871025,239,321,213
19871029,0,320,213
19871031,0,327,212
19871102,0,331,216
19871105,0,310,217
19871108,0,322,203
19871109,0,323,200
19871110,0,331,212
19871113,0,320,224
19871119,71,324,228
19871120,0,308,222
19871122,20,324,217
19871128,0,345,231
19871207,99,311,225
19871211,239,302,232
19871212,521,324,230
19871217,0,325,219
19871218,0,321,220
19871220,0,320,236
19871225,0,321,214
19871227,119,320,235
19871228,109,323,235
19880101,130,311,237
19880104,10,330,228
19880105,0,340,230
19880106,0,331,231
19880107,0,327,223
19880108,89,311,204
19880110,0,313,231
19880111,310,304,248
19880113,30,313,237
19880118,0,337,254
19880121,0,335,243
19880124,0,334,241
19880127,10,336,254
19880128,0,326,255
19880129,0,334,253
19880130,0,348,251
19880201,130,327,216
19880202,0,312,237
