Date,TMax,TMin
19590101,250,195
19590102,295,195
19590103,266,185
19590104,274,190
19590105,270,203
19590106,278,199
19590107,249,201
19590108,246,185
19590109,260,191
19590110,255,195
19590111,265,195
19590112,310,190
19590113,300,180
19590114,280,170
19590115,295,145
19590116,320,176
19590117,340,195
19590118,230,202
19590119,320,195
19590120,339,194
19590121,320,184
19590122,295,186
19590123,284,203
19590124,310,187
19590125,284,190
19590126,308,166
19590127,317,193
19590128,316,180
19590129,330,204
19590130,262,201
19590131,270,177
19590201,316,165
19590202,302,179
19590203,320,159
19590204,301,176
19590205,309,159
19590206,315,195
19590207,303,204
19590208,240,198
19590209,308,196
19590210,233,180
19590211,269,179
19590212,262,163
19590213,266,168
19590214,299,172
19590215,310,205
19590216,334,195
19590217,325,186
19590218,326,189
19590219,291,186
19590220,322,205
19590221,219,189
19590222,257,150
19590223,274,135
19590224,278,123
19590225,291,121
19590226,300,120
19590227,316,137
19590228,304,156
19590301,306,165
19590302,296,190
19590303,310,173
19590304,330,175
19590305,342,195
19590306,331,195
19590307,310,194
19590308,328,192
19590309,305,205
19590310,275,200
19590311,210,176
19590312,194,177
19590313,210,169
19590314,261,156
19590315,272,134
19590316,286,137
19590317,316,135
19590318,324,174
19590319,244,172
19590320,9999,153
19590321,276,119
19590322,288,124
19590323,294,113
19590324,312,149
19590325,280,154
19590326,252,168
19590327,265,196
19590328,284,156
19590329,213,124
19590330,303,146
19590331,270,147
19590401,288,148
19590402,286,125
19590403,313,139
19590404,331,122
19590405,330,151
19590406,294,161
19590407,323,144
19590408,319,166
19590409,293,182
19590410,291,181
19590411,291,160
19590412,301,134
19590413,306,134
19590414,296,151
19590415,281,135
19590416,270,121
19590417,221,149
19590418,239,107
19590419,274,92
19590420,287,100
19590421,307,100
19590422,315,131
19590423,294,157
19590424,316,156
19590425,316,169
19590426,266,139
19590427,242,160
19590428,293,111
19590429,298,144
19590430,25,143
19590501,263,81
19590502,296,52
19590503,300,90
19590504,256,67
19590505,268,38
19590506,299,45
19590507,326,100
19590508,318,140
19590509,320,103
