Date,TMax,TMin
19480101,310,235
19480102,312,235
19480103,310,218
19480104,313,215
19480105,306,224
19480106,312,220
19480107,312,230
19480108,317,207
19480109,319,208
19480110,313,222
19480111,319,232
19480112,314,238
19480113,310,242
19480114,313,238
19480115,310,238
19480116,300,240
19480117,309,236
19480118,313,228
19480119,305,232
19480120,296,234
19480121,300,234
19480122,310,236
19480123,310,229
19480124,311,237
19480125,315,231
19480126,270,238
19480127,292,222
19480128,310,224
19480129,321,235
19480130,321,242
19480131,310,245
19480201,315,242
19480202,310,234
19480203,309,222
19480204,317,208
19480205,310,230
19480206,320,217
19480207,316,223
19480208,317,221
19480209,313,238
19480210,322,226
19480211,320,236
19480212,318,238
19480213,315,240
19480214,320,245
19480215,321,235
19480216,318,244
19480217,318,244
19480218,320,248
19480219,312,224
19480220,320,220
19480221,255,218
19480222,317,218
19480223,312,226
19480224,325,244
19480225,326,248
19480226,325,220
19480227,319,248
19480228,272,228
19480229,282,223
19480301,325,224
19480302,290,246
19480303,268,210
19480304,325,219
19480305,303,232
19480306,308,220
19480307,315,226
19480308,325,220
19480309,330,236
19480310,322,251
19480311,319,246
19480312,317,235
19480313,330,232
19480314,336,246
19480315,328,228
19480316,330,244
19480317,307,243
19480318,320,242
19480319,328,238
19480320,335,246
19480321,330,250
19480322,314,251
19480323,304,250
19480324,311,250
19480325,321,249
19480326,292,216
19480327,317,235
19480328,307,240
19480329,323,224
19480330,268,226
19480331,323,224
19480401,315,243
19480402,268,222
19480403,325,233
19480404,308,242
19480405,324,232
19480406,312,242
19480407,312,219
19480408,317,230
19480409,311,214
19480410,327,225
19480411,330,242
19480412,339,218
19480413,312,224
19480414,322,234
19480415,317,243
19480416,305,197
19480417,320,225
19480418,320,228
19480419,328,225
19480420,328,222
19480421,325,233
19480422,301,223
19480423,320,231
19480424,295,247
19480425,262,223
19480426,311,222
19480427,312,227
19480428,325,226
19480429,323,243
19480430,320,244
19480501,300,246
19480502,305,215
19480503,310,242
19480504,316,243
19480505,314,243
19480506,312,243
19480507,324,222
19480508,315,243
19480509,315,229
19480510,316,234
19480511,280,246
19480512,314,218
19480513,320,232
19480514,297,215
19480515,325,218
19480516,313,246
19480517,305,247
19480518,313,243
19480519,325,245
19480520,307,232
19480521,321,238
19480522,310,246
19480523,282,226
19480524,320,219
19480525,299,245
19480526,301,214
19480527,306,232
19480528,264,226
19480529,314,217
19480530,320,240
19480531,320,244
19480601,278,238
19480602,288,216
19480603,286,232
19480604,292,236
19480605,297,224
19480606,275,237
19480607,287,222
19480608,300,212
19480609,286,225
19480610,280,228
19480611,303,222
19480612,306,228
19480613,307,228
19480614,312,235
19480615,295,239
19480616,295,241
19480617,285,228
19480618,295,222
19480619,284,234
19480620,279,226
19480621,272,231
19480622,304,231
19480623,274,226
19480624,292,215
19480625,304,219
19480626,300,224
19480627,289,232
19480628,283,233
19480629,291,228
19480630,292,233
19480701,276,238
19480702,282,231
19480703,267,232
19480704,248,223
19480705,280,227
19480706,279,229
19480707,287,233
19480708,288,226
19480709,300,220
19480710,289,231
19480711,300,229
19480712,266,231
19480713,274,228
19480714,291,221
19480715,262,227
19480716,265,228
19480717,271,224
19480718,260,224
19480719,265,222
19480720,242,219
19480721,253,215
19480722,272,220
19480723,275,234
19480724,275,230
19480725,266,231
19480726,246,220
19480727,252,222
19480728,253,220
19480729,268,217
19480730,265,222
19480731,254,226
19480801,246,224
19480802,267,226
19480803,260,225
19480804,270,222
19480805,262,230
19480806,265,224
19480807,274,223
19480808,270,227
19480809,265,230
19480810,245,223
19480811,273,221
19480812,264,222
19480813,274,225
19480814,265,224
19480815,248,230
19480816,267,226
19480817,242,228
19480818,251,224
19480819,265,224
19480820,252,226
19480821,255,228
19480822,258,227
19480823,268,220
19480824,276,224
19480825,254,223
19480826,280,222
19480827,273,231
19480828,268,229
19480829,279,232
19480830,279,232
19480831,275,214
19480901,251,222
19480902,258,222
19480903,282,224
19480904,275,228
19480905,275,229
19480906,298,222
19480907,281,227
19480908,270,228
19480909,274,232
19480910,279,232
19480911,272,230
19480912,281,230
19480913,252,228
19480914,255,228
19480915,289,218
19480916,291,221
19480917,296,228
19480918,292,230
19480919,288,234
19480920,279,233
19480921,292,224
19480922,268,214
19480923,299,226
19480924,276,230
19480925,267,229
19480926,264,217
19480927,295,225
19480928,293,234
19480929,285,228
19480930,313,217
19481001,314,224
19481002,312,227
19481003,290,208
19481004,297,219
19481005,308,226
19481006,270,209
19481007,303,219
19481008,297,218
19481009,315,196
19481010,310,240
19481011,287,219
19481012,310,210
19481013,293,216
19481014,307,225
19481015,282,218
19481016,310,216
19481017,305,218
19481018,273,220
19481019,285,227
19481020,300,226
19481021,289,236
19481022,298,211
19481023,272,212
19481024,280,223
19481025,288,229
19481026,285,220
19481027,299,230
19481028,295,235
19481029,286,243
19481030,270,217
19481031,282,233
19481101,272,214
19481102,304,208
19481103,310,222
19481104,295,236
19481105,265,210
19481106,293,226
19481107,296,220
19481108,260,229
