Date,TMax,TMin
20120101,315,186
20120103,305,175
20120104,305,179
20120105,305,172
20120106,305,170
20120107,304,164
20120108,310,165
20120109,310,167
20120110,319,170
20120111,302,153
20120112,305,162
20120113,285,147
20120114,290,139
20120115,296,142
20120116,297,156
20120117,329,169
20120118,325,186
20120119,328,205
20120120,324,199
20120121,320,197
20120122,318,186
20120123,323,192
20120124,335,200
20120125,330,200
20120126,320,196
20120127,335,188
20120128,339,205
20120129,340,9999
20120130,335,204
20120131,330,196
20120201,324,185
20120202,320,192
20120203,330,190
20120204,340,221
20120205,350,210
20120206,325,212
20120207,330,205
20120208,308,190
20120209,305,205
20120210,334,202
20120211,325,188
20120212,326,200
20120213,342,202
20120214,334,208
20120215,316,210
20120216,300,179
20120217,295,182
20120218,310,180
20120219,305,191
20120220,292,185
20120222,295,186
20120223,340,204
20120224,310,202
20120228,305,193
20120301,335,210
20120302,336,214
20120303,305,203
20120304,317,202
20120305,300,212
20120307,335,212
20120308,324,197
20120309,316,200
20120310,319,206
20120311,335,9999
20120312,338,219
20120313,330,190
20120314,337,202
20120315,355,9999
20120316,345,202
20120317,343,235
20120318,340,228
20120319,330,205
20120320,340,212
20120321,350,196
20120322,345,225
20120323,353,225
20120324,330,210
20120326,301,206
20120327,350,197
20120328,345,227
20120329,300,9999
20120330,345,198
20120331,316,9999
20120401,319,210
20120402,326,210
20120403,327,222
20120404,351,203
20120405,312,205
20120406,306,210
20120407,230,198
20120408,316,188
20120409,317,204
20120410,9999,211
20120411,324,199
20120412,315,211
20120413,218,9999
20120414,9999,181
20120415,303,193
20120416,286,9999
20120417,268,176
20120418,305,205
20120419,300,9999
20120420,216,182
20120421,270,9999
20120422,271,199
20120423,294,199
20120424,310,209
20120425,301,206
20120426,340,218
20120427,305,212
20120428,310,212
20120429,325,201
20120430,331,216
20120501,312,219
20120502,300,195
20120503,290,9999
20120504,286,195
20120505,286,189
20120506,251,180
20120507,9999,194
20120508,290,202
20120509,295,200
20120510,290,9999
20120511,270,185
20120512,281,198
20120513,270,9999
20120514,231,179
20120515,275,184
20120516,267,174
20120517,295,200
20120518,260,9999
20120519,272,176
20120520,285,205
20120521,294,190
20120522,296,205
20120523,295,212
20120524,281,210
20120525,255,170
20120526,9999,179
20120527,279,9999
20120529,275,190
20120530,276,197
20120531,271,203
20120601,285,190
20120602,275,9999
20120603,286,198
20120604,256,9999
20120605,254,9999
20120606,241,180
20120608,290,194
20120609,295,204
20120611,291,205
20120612,387,217
20120614,265,180
20120615,9999,165
20120616,266,196
20120617,244,175
20120618,275,190
20120619,9999,189
20120620,260,185
20120621,268,183
20120622,9999,180
20120623,270,200
20120624,220,182
20120625,261,185
20120626,256,9999
20120627,246,9999
20120628,265,180
20120629,274,193
20120630,234,181
20120701,271,185
20120702,264,9999
20120703,216,195
20120704,261,181
20120705,9999,180
20120706,273,178
20120707,246,189
20120708,260,9999
20120709,266,190
20120710,230,185
20120711,256,186
20120712,266,196
20120713,251,184
20120714,236,188
20120715,256,187
20120716,250,187
20120717,271,187
20120718,266,190
20120719,225,170
20120720,224,190
20120721,260,185
20120722,261,195
20120723,255,190
20120724,265,194
20120725,240,193
20120726,260,191
20120727,246,191
20120728,9999,194
20120729,255,180
20120730,230,9999
20120731,237,171
20120801,250,190
20120802,261,180
20120803,255,190
20120804,260,191
20120805,217,200
20120806,227,9999
20120807,250,180
20120808,255,185
20120809,226,180
20120810,9999,9999
20120811,256,177
20120812,251,186
20120813,256,187
20120815,256,182
20120816,255,191
20120817,9999,174
20120818,255,186
20120819,249,190
20120820,230,179
20120821,245,176
20120822,270,186
20120823,265,176
20120824,9999,172
20120825,250,180
20120826,260,170
20120827,264,182
20120828,260,190
20120829,265,9999
20120830,265,177
20120831,256,190
20120901,255,192
20120902,262,195
20120903,240,195
20120904,257,195
20120905,229,9999
20120906,251,178
20120907,252,188
20120908,270,188
20120909,216,182
20120910,266,184
20120911,276,187
20120912,255,185
20120913,226,169
20120914,268,9999
20120915,270,185
20120916,255,181
20120917,260,188
20120918,265,189
20120919,264,187
20120920,260,181
20120921,260,184
20120922,250,182
20120923,274,183
20120924,270,181
20120925,264,184
20120926,260,190
20120927,262,189
20120928,290,198
20120929,236,184
20120930,272,180
20121001,276,198
20121002,275,180
20121003,280,195
20121004,268,181
20121005,251,199
20121006,263,182
20121007,289,190
20121008,261,9999
20121009,274,170
20121010,277,185
20121011,260,197
20121012,275,9999
20121013,269,178
20121015,275,176
20121016,280,9999
20121017,286,185
20121018,236,185
20121019,270,190
20121020,279,190
20121021,236,192
20121022,270,185
20121023,285,186
20121024,226,9999
20121025,253,179
20121026,270,182
20121027,295,190
20121028,300,199
20121029,303,192
20121030,285,190
20121031,272,191
20121101,305,185
20121102,295,180
20121103,300,180
20121104,206,175
20121105,280,179
20121106,258,191
20121107,222,180
20121108,260,182
20121109,280,191
20121110,285,190
20121111,282,195
20121112,286,188
20121113,302,188
20121114,306,185
20121115,304,196
20121116,295,185
20121117,317,192
20121118,318,195
20121119,308,194
20121120,9999,190
20121121,305,200
20121122,309,200
20121123,9999,208
20121124,308,188
20121125,298,195
20121126,290,187
20121127,304,194
20121128,300,185
20121129,300,180
20121130,300,170
20121201,306,180
20121202,316,180
20121203,320,194
20121204,315,192
20121205,286,199
20121206,295,184
20121207,310,204
20121208,310,199
20121209,320,192
20121210,315,190
20121211,309,9999
20121212,310,9999
20121213,315,180
20121214,313,192
20121215,9999,190
20121216,305,180
20121217,9999,180
20121218,300,178
20121219,299,165
20121220,295,9999
20121222,305,177
20121223,310,172
20121224,300,160
20121225,306,160
20121226,300,145
20121227,300,137
20121228,302,167
20121229,300,160
20121230,304,169
20121231,305,178
