Date,TMax,TMin
19520101,294,244
19520102,289,250
19520103,294,244
19520104,294,250
19520105,294,239
19520106,289,244
19520107,300,228
19520108,294,239
19520109,294,239
19520110,289,244
19520111,300,250
19520112,289,250
19520113,294,250
19520114,294,233
19520115,294,244
19520116,294,239
19520117,294,250
19520118,289,228
19520119,289,228
19520120,289,233
19520121,283,250
19520122,294,256
19520123,300,256
19520124,300,244
19520125,306,244
19520126,306,250
19520127,294,250
19520128,300,244
19520129,300,239
19520130,294,261
19520131,278,233
19520201,267,233
19520202,289,239
19520203,300,250
19520204,294,256
19520205,300,250
19520206,294,244
19520207,289,239
19520208,289,233
19520209,294,256
19520210,294,244
19520211,289,244
19520212,294,256
19520213,294,250
19520214,289,250
19520215,294,256
19520216,300,256
19520217,294,256
19520218,283,239
19520219,294,233
19520220,289,239
19520221,289,250
19520222,294,233
19520223,294,239
19520224,294,233
19520225,294,233
19520226,289,256
19520227,294,250
19520228,294,239
19520229,300,239
19520301,283,244
19520302,267,222
19520303,283,239
19520304,289,250
19520305,294,250
19520306,294,250
19520307,294,244
19520308,294,244
19520309,300,250
19520310,300,250
19520311,300,244
19520312,306,239
19520313,300,256
19520314,294,256
19520315,294,256
19520316,294,239
19520317,306,250
19520318,300,233
19520319,317,228
19520320,311,228
19520321,306,261
19520322,311,250
19520323,311,256
19520324,306,261
19520325,317,261
19520326,306,256
19520327,311,239
19520328,322,256
19520329,306,239
19520330,311,244
19520331,311,256
19520401,317,239
19520402,322,233
19520403,300,239
19520404,317,239
19520405,311,261
19520406,311,261
19520407,317,244
19520408,322,256
19520409,311,261
19520410,317,256
19520411,317,256
19520412,322,250
19520413,317,250
19520414,311,244
19520415,317,261
19520416,317,256
19520417,311,261
19520418,317,261
19520419,317,261
19520420,294,250
19520421,306,250
19520422,317,267
19520423,322,261
19520424,322,256
19520425,322,244
19520426,311,239
19520427,317,250
19520428,306,239
19520429,294,239
19520430,300,233
19520501,306,244
19520502,317,250
19520503,322,244
19520504,283,228
19520505,328,233
19520506,322,244
19520507,311,250
19520508,300,233
19520509,311,233
