Date,TMax,TMin
20110101,282,225
20110102,295,260
20110103,297,232
20110104,305,259
20110105,311,257
20110106,306,221
20110107,303,238
20110108,301,245
20110109,304,258
20110110,312,240
20110111,307,239
20110112,304,243
20110113,307,258
20110114,308,249
20110115,9999,243
20110116,307,244
20110117,305,231
20110118,297,218
20110119,9999,229
20110120,303,228
20110121,288,229
20110122,272,220
20110123,9999,222
20110124,9999,232
20110125,307,254
20110126,299,257
20110127,301,251
20110128,307,253
20110129,308,247
20110130,307,243
20110131,308,251
20110201,303,229
20110202,303,250
20110203,304,239
20110204,302,253
20110205,311,257
20110206,311,236
20110207,301,227
20110208,271,229
20110209,285,221
20110210,9999,214
20110211,299,249
20110212,305,253
20110213,305,250
20110214,309,242
20110215,296,234
20110216,303,261
20110217,308,250
20110218,309,241
20110219,307,254
20110220,311,249
20110221,311,247
20110222,303,239
20110223,303,241
20110224,291,235
20110225,291,229
20110226,300,241
20110227,9999,257
20110228,308,248
20110301,308,261
20110302,310,254
20110303,308,260
20110304,313,255
20110305,311,262
20110306,307,254
20110307,308,258
20110308,303,245
20110309,305,258
20110310,307,255
20110311,309,243
20110312,302,250
20110313,305,266
20110314,310,247
20110315,313,242
20110316,315,245
20110317,310,9999
20110318,308,213
20110319,276,226
20110320,9999,234
20110321,298,250
20110322,302,238
20110323,298,225
20110324,295,261
20110325,300,259
20110326,305,257
20110327,306,263
20110328,308,263
20110329,314,268
20110331,311,263
20110401,309,259
20110402,309,260
20110403,311,250
20110404,308,252
20110405,307,251
20110406,304,264
20110407,309,258
20110408,307,256
20110409,308,250
20110410,303,254
20110411,297,251
20110412,302,258
20110413,303,264
20110414,306,254
20110415,9999,254
20110416,312,247
20110417,308,265
20110418,310,254
20110419,302,263
20110420,300,242
20110421,306,265
20110422,306,243
20110423,303,254
20110424,299,246
20110425,301,243
20110426,295,224
20110427,297,234
20110428,295,252
20110429,298,260
20110430,300,262
20110501,298,257
20110503,305,236
20110504,288,247
20110505,295,9999
20110506,276,222
20110507,272,220
20110508,9999,224
20110509,9999,230
20110510,294,266
20110511,299,263
20110512,298,256
20110513,296,260
20110514,298,243
20110515,298,244
20110516,299,249
20110517,289,246
20110518,295,236
20110519,290,241
20110520,294,255
20110521,295,244
20110522,296,229
20110523,296,260
20110524,296,240
20110525,298,259
20110526,300,248
20110527,300,250
20110528,298,247
20110529,296,252
20110530,9999,236
20110531,294,9999
20110601,292,241
20110602,299,248
20110603,293,237
20110604,288,225
20110605,292,236
20110606,277,245
20110607,285,237
20110608,287,245
20110609,289,205
20110610,9999,244
20110611,293,254
20110612,9999,241
20110613,292,253
20110614,293,241
20110615,289,230
20110616,290,221
20110617,292,227
20110618,9999,249
20110619,295,251
20110620,293,230
20110621,290,257
20110622,290,246
20110623,289,251
20110624,291,9999
20110625,291,236
20110626,285,228
20110627,285,241
20110628,283,239
20110629,288,241
20110630,290,245
20110701,286,215
20110702,288,223
20110703,283,238
20110704,283,230
20110705,287,234
20110706,283,238
20110707,275,235
20110708,285,238
20110709,288,250
20110710,292,240
20110711,286,225
20110712,290,242
20110713,284,219
20110714,283,242
20110715,285,245
20110716,290,228
20110717,9999,234
20110718,288,236
20110719,285,234
20110720,283,238
20110721,286,254
20110722,286,245
20110723,293,246
20110724,290,246
20110725,292,247
20110726,288,243
20110727,282,233
20110728,287,229
20110729,267,222
20110730,280,236
20110731,283,241
20110801,281,242
20110802,289,238
20110803,290,241
20110804,291,241
20110805,291,248
20110807,9999,242
20110808,293,238
20110809,291,242
20110810,289,242
20110811,290,247
20110812,289,246
20110813,284,212
20110814,286,217
20110815,283,228
20110816,290,227
20110817,288,239
20110818,291,236
20110819,291,244
20110820,290,237
20110821,293,223
20110822,295,230
20110823,291,210
20110824,296,214
20110825,285,211
20110826,280,223
20110827,9999,243
20110828,292,247
20110829,292,230
20110830,289,240
20110831,287,236
20110901,9999,239
20110902,294,233
20110903,293,219
20110904,292,243
20110905,295,237
20110906,9999,227
20110907,287,228
20110908,9999,228
20110909,296,250
20110910,297,253
20110911,297,250
20110912,298,236
20110913,291,248
20110914,290,207
20110915,289,207
20110916,297,227
20110917,297,245
20110918,298,242
20110919,299,249
20110920,299,248
20110921,301,247
20110922,300,246
20110923,298,255
20110924,295,242
20110925,297,249
20110926,301,248
20110927,300,242
20110928,303,249
20110929,303,9999
20110930,296,242
20111001,297,249
20111002,299,227
20111003,9999,226
20111004,280,223
20111005,9999,234
20111006,295,228
20111007,290,220
20111008,297,207
20111009,285,231
20111010,293,225
20111011,294,240
20111012,292,231
20111013,295,238
20111014,293,233
20111015,291,223
20111016,268,228
20111017,288,241
20111018,295,246
20111019,292,229
20111020,9999,229
20111021,295,249
20111022,297,241
20111023,299,248
20111024,298,242
20111025,304,251
20111026,297,248
20111027,301,251
20111028,300,235
20111029,290,221
20111030,293,228
20111031,291,239
20111101,285,251
20111102,274,229
20111103,9999,229
20111104,283,233
20111105,290,241
20111106,293,253
20111107,298,249
20111108,301,242
20111109,303,249
20111110,302,248
20111111,9999,254
20111112,292,252
20111113,301,261
20111114,303,260
20111115,9999,248
20111116,297,247
20111117,301,241
20111118,302,245
20111119,304,248
20111120,303,257
20111121,308,255
20111122,311,262
20111123,310,9999
20111124,288,228
20111125,9999,226
20111126,9999,255
20111127,9999,258
20111128,305,259
20111129,305,231
20111130,285,236
20111201,297,247
20111202,300,248
20111203,301,264
20111204,302,258
20111205,302,250
20111206,304,258
20111207,308,246
20111208,306,236
20111209,9999,231
20111210,318,242
20111211,308,238
20111212,305,255
20111213,312,249
20111214,314,263
20111215,315,259
20111216,311,253
20111217,313,252
20111218,310,261
20111219,314,261
20111220,318,250
20111221,313,225
20111222,278,9999
20111223,268,217
20111224,296,246
20111225,304,248
20111226,299,242
20111227,9999,258
20111228,301,260
20111229,302,251
20111230,298,250
20111231,298,232
20120101,9999,249
20120102,292,246
20120103,304,256
20120104,301,238
20120105,306,262
20120106,294,236
20120107,265,226
20120108,259,221
20120109,262,224
20120110,258,224
20120111,9999,230
20120112,296,251
20120113,296,238
20120114,298,265
20120115,299,232
20120116,303,239
20120117,9999,248
20120118,303,246
20120119,9999,216
20120120,301,255
20120121,310,253
20120122,303,255
20120123,304,244
20120124,304,263
20120125,307,259
20120126,308,253
20120127,313,259
20120128,311,252
20120129,308,263
20120130,309,264
20120131,316,261
20120201,292,256
20120202,304,268
20120203,316,9999
20120204,305,246
20120205,314,264
20120206,311,266
20120207,9999,252
20120208,322,258
20120209,313,252
20120210,313,248
20120211,300,235
20120212,306,245
20120213,311,268
20120214,317,252
20120215,315,262
20120216,314,244
20120217,311,267
20120218,308,255
20120219,311,264
20120220,315,257
20120221,321,267
20120222,321,266
20120223,320,246
20120224,313,256
20120225,318,265
20120226,315,244
20120227,318,272
20120228,320,263
20120229,323,264
20120301,320,260
20120302,312,263
20120303,314,247
20120304,9999,269
20120305,321,269
20120306,322,262
20120307,315,245
20120308,315,245
20120309,315,255
20120310,320,243
20120311,314,264
20120312,9999,274
20120313,325,233
20120314,281,233
20120315,9999,239
20120316,322,241
20120317,311,248
20120318,312,239
20120319,9999,244
20120320,311,231
20120321,9999,233
20120322,9999,235
20120323,9999,251
20120324,309,260
20120325,312,262
20120326,312,263
20120327,316,265
20120328,313,260
20120329,319,272
20120330,314,251
20120331,313,243
20120401,313,257
20120402,313,247
20120403,314,259
20120404,9999,251
20120405,315,247
20120406,304,249
20120407,306,221
20120408,310,244
20120409,312,240
20120410,308,9999
20120411,305,251
20120412,314,239
20120413,9999,242
20120414,305,264
20120415,9999,257
20120416,309,248
20120417,318,246
20120418,9999,269
20120419,315,259
20120420,318,255
20120421,312,268
