Date,TMax,TMin
19740101,30,20
19740102,40,20
19740103,50,20
19740104,70,20
19740105,60,0
19740106,50,-20
19740107,10,-10
19740108,20,9999
19740109,10,9999
19740110,20,-30
19740111,0,-20
19740112,50,-30
19740113,10,9999
19740114,10,-60
19740115,20,-70
19740116,-20,-50
19740117,9999,-30
19740118,50,9999
19740119,20,-40
19740120,110,10
19740121,9999,30
19740122,80,0
19740123,40,-20
19740124,70,9999
19740125,50,-10
19740126,80,-10
19740127,60,0
19740128,40,10
19740129,50,9999
19740130,70,-20
19740131,60,-20
19740201,90,0
19740202,80,40
19740203,130,0
19740204,110,9999
19740205,80,20
19740206,110,0
19740207,9999,9999
19740208,60,0
19740209,50,-30
19740210,150,0
19740211,150,-10
19740212,170,0
19740213,160,0
19740214,130,60
19740215,130,20
19740216,170,20
19740217,170,20
19740218,140,9999
19740219,140,9999
19740220,120,0
19740221,90,10
19740222,90,0
19740223,60,9999
19740224,70,9999
19740225,50,-10
19740226,50,0
19740227,9999,-10
19740228,60,-40
19740301,70,9999
19740302,90,-20
19740303,80,-40
19740304,120,-10
19740305,110,30
19740306,70,30
19740307,70,30
19740308,9999,0
19740309,40,0
19740310,50,0
19740311,20,0
19740312,90,10
19740313,110,-20
19740314,130,-30
19740315,140,-10
19740316,9999,20
19740317,180,0
19740318,210,60
19740319,230,70
19740320,220,40
19740321,260,70
19740322,250,60
19740323,250,40
19740324,240,80
19740325,190,9999
19740326,180,30
19740327,220,30
19740328,210,30
19740329,200,60
19740330,140,50
19740331,150,30
19740401,120,50
19740402,130,9999
19740403,160,0
19740404,170,-20
19740405,180,-20
19740406,180,0
19740407,160,0
19740408,160,40
19740409,180,0
19740410,220,20
19740411,200,40
19740412,180,70
19740413,150,9999
19740414,150,10
19740415,110,40
19740416,110,10
19740417,80,30
19740418,9999,30
19740419,130,40
19740420,160,-10
19740421,140,40
19740422,160,20
19740423,170,20
19740424,200,10
19740425,180,9999
19740426,140,9999
19740427,170,60
19740428,240,80
19740429,210,9999
19740430,240,80
19740501,180,110
19740502,150,110
19740503,200,80
19740504,190,100
19740505,180,60
19740506,130,90
19740507,150,80
19740508,180,80
19740509,180,60
19740510,200,40
19740511,230,60
19740512,170,120
19740513,200,80
19740514,230,80
19740515,170,100
19740516,140,90
19740517,130,90
19740518,200,100
19740519,230,90
19740520,250,9999
19740521,220,120
19740522,190,90
19740523,160,9999
19740524,180,50
19740525,160,120
19740526,210,70
19740527,240,90
19740528,250,100
19740529,250,140
19740530,260,160
19740531,280,140
19740601,240,180
19740602,180,9999
19740603,240,110
19740604,280,100
19740605,240,150
19740606,280,130
19740607,180,9999
19740608,200,80
19740609,250,90
19740610,150,120
19740611,150,9999
19740612,170,100
19740613,130,90
19740614,160,100
19740615,200,80
19740616,220,9999
19740617,250,110
19740618,260,130
19740619,250,130
19740620,230,120
19740621,240,100
19740622,240,120
19740623,270,110
19740624,240,150
19740625,240,150
19740626,270,120
19740627,300,170
19740628,240,160
19740629,220,160
19740630,220,9999
19740701,240,120
19740702,230,9999
19740703,240,110
19740704,240,9999
19740705,250,100
19740706,290,130
19740707,200,9999
19740708,210,100
19740709,240,80
19740710,230,140
19740711,220,100
19740712,280,150
19740713,310,180
19740714,330,9999
19740715,290,190
19740716,300,140
19740717,330,180
19740718,300,190
19740719,210,130
19740720,180,130
19740721,190,120
19740722,200,140
19740723,220,140
19740724,280,140
19740725,230,160
19740726,220,130
19740727,250,80
19740728,290,110
19740729,320,120
19740730,310,140
19740731,320,150
19740801,340,170
19740802,330,170
19740803,350,180
19740804,340,190
19740805,320,190
19740806,240,9999
19740807,250,100
19740808,280,100
19740809,220,160
19740810,250,120
19740811,220,9999
19740812,150,120
19740813,240,140
19740814,270,120
19740815,310,140
19740816,320,180
19740817,320,160
19740818,330,170
19740819,340,200
19740820,320,190
19740821,330,200
19740822,270,190
19740823,290,160
19740824,280,180
19740825,270,190
19740826,280,9999
19740827,270,170
19740828,290,170
19740829,270,140
19740830,260,120
19740831,260,110
19740901,260,110
19740902,280,160
19740903,300,140
19740904,260,9999
19740905,230,110
19740906,250,90
19740907,250,140
19740908,250,9999
19740909,270,90
19740910,280,120
19740911,230,130
19740912,9999,100
19740913,260,100
19740914,270,110
19740915,250,140
19740916,240,120
19740917,240,100
19740918,250,90
19740919,250,90
19740920,260,90
19740921,200,150
19740922,240,130
19740923,180,100
19740924,260,70
19740925,210,9999
19740926,130,70
19740927,160,9999
19740929,220,60
19740930,200,9999
19741001,140,9999
19741002,110,40
19741003,150,70
19741004,170,40
19741005,110,80
19741006,90,9999
19741007,100,50
19741008,160,70
19741009,120,40
19741010,150,9999
19741011,170,0
19741012,180,60
19741013,140,9999
19741014,90,9999
19741015,100,60
19741016,110,9999
19741017,130,10
19741018,140,-10
19741019,150,-10
19741020,150,40
19741021,140,9999
19741022,130,50
19741023,90,50
19741024,140,30
19741025,120,40
19741026,90,30
19741027,110,0
19741028,70,30
19741029,50,9999
19741030,50,0
19741031,70,-20
19741101,80,40
19741102,100,20
19741103,90,40
19741104,110,0
19741105,120,40
19741106,130,40
19741107,90,40
19741108,60,30
19741109,80,0
19741110,30,-40
19741111,110,-10
19741112,80,0
19741113,110,-20
19741114,140,-40
19741115,9999,30
19741116,170,9999
19741117,170,20
19741118,160,20
19741119,130,30
19741120,120,9999
19741121,9999,0
19741122,110,20
19741123,90,50
19741124,80,9999
19741125,70,20
19741126,80,9999
19741127,60,-10
19741128,40,-30
19741129,90,10
19741130,70,-10
19741201,40,-20
19741202,9999,30
