Date,TMax,TMin
20060101,210,110
20060102,210,70
20060103,220,120
20060104,200,110
20060105,190,120
20060106,200,130
20060107,220,130
20060108,180,160
20060109,220,140
20060110,210,140
20060111,220,150
20060112,230,160
20060113,190,170
20060114,180,140
20060115,170,120
20060116,170,110
20060117,160,100
20060118,150,80
20060119,150,60
20060120,170,70
20060121,170,70
20060122,150,110
20060123,160,80
20060124,190,100
20060125,200,100
20060126,220,150
20060127,240,160
20060128,180,150
20060129,170,120
20060130,180,100
20060131,150,80
20060201,190,90
20060202,240,140
20060203,250,150
20060204,210,160
20060205,190,170
20060206,190,160
20060207,260,150
20060208,280,190
20060209,260,210
20060210,170,140
20060211,170,150
20060212,190,140
20060213,210,140
20060214,240,190
20060215,220,180
20060216,200,170
20060217,170,150
20060218,170,70
20060219,160,100
20060220,170,110
20060221,180,100
20060222,210,130
20060223,180,140
20060224,190,130
20060225,210,140
20060226,200,130
20060227,200,130
20060228,210,130
20060301,230,100
20060302,250,140
20060303,210,170
20060304,240,140
20060305,220,150
20060306,210,160
20060307,230,150
20060308,270,150
20060309,250,170
20060310,280,170
20060311,190,170
20060312,220,150
20060313,220,140
20060314,210,140
20060315,250,140
20060316,230,160
20060317,220,170
20060318,250,150
20060319,250,150
20060320,240,160
20060321,220,160
20060322,220,150
20060323,230,170
20060324,220,160
20060325,240,150
20060326,270,160
20060327,260,190
20060328,300,190
20060329,280,230
20060330,250,220
20060331,240,180
20060401,240,180
20060402,250,180
20060403,260,180
20060404,270,200
20060405,350,190
20060406,310,220
20060407,300,240
20060408,230,180
20060409,260,180
20060410,250,190
20060411,270,190
20060412,320,220
20060413,260,220
20060414,250,200
20060415,290,200
20060416,280,210
20060417,320,220
20060418,320,240
20060419,270,230
20060420,270,240
20060421,270,220
20060422,300,220
20060423,330,230
20060424,360,200
20060425,340,210
20060426,340,250
20060427,320,230
20060428,290,210
20060429,290,210
20060430,370,240
20060501,330,250
20060502,380,250
20060503,320,250
20060504,330,260
20060505,300,270
20060506,320,270
20060507,310,270
20060508,310,270
20060509,310,250
20060510,320,250
20060511,330,280
20060512,310,270
20060513,290,250
20060514,300,240
20060515,310,250
20060516,310,260
20060517,320,260
20060518,340,270
20060519,350,290
20060520,320,280
20060521,310,280
20060522,310,250
20060523,300,270
20060524,310,250
20060525,320,250
20060526,390,260
20060527,400,280
20060528,360,270
20060529,330,280
20060530,340,280
20060531,330,270
20060601,320,270
20060602,360,270
20060603,360,270
20060604,350,280
20060605,360,280
20060606,360,270
20060607,360,270
20060608,340,270
20060609,360,270
20060610,350,280
20060611,350,280
20060612,350,280
20060613,330,280
20060614,340,300
20060615,330,280
20060616,350,270
20060617,340,280
20060618,380,280
20060619,350,300
20060620,350,280
20060621,380,290
20060622,350,280
20060623,340,280
20060624,360,310
20060625,370,300
20060626,380,300
20060627,350,300
20060628,360,290
20060629,360,290
20060630,350,300
20060701,360,320
20060702,340,300
20060703,340,290
20060704,340,300
20060705,340,310
20060706,350,300
20060707,340,310
20060708,350,300
20060709,330,250
20060710,350,290
20060711,330,290
20060712,340,270
20060713,330,270
20060714,340,280
20060715,350,290
20060716,340,320
20060717,350,300
20060718,330,300
20060719,340,310
20060720,410,300
20060721,350,280
20060722,360,280
20060723,360,280
20060724,350,290
20060725,370,280
20060726,360,290
20060727,380,280
20060728,360,320
20060729,360,320
20060730,370,300
20060731,350,310
20060801,340,300
20060802,350,300
20060803,350,300
20060804,350,310
20060805,360,310
20060806,350,290
20060807,360,290
20060808,360,300
20060809,360,280
20060810,360,310
20060811,370,310
20060812,370,310
20060813,370,300
20060814,380,320
20060815,370,300
20060816,9999,9999
20060817,390,300
20060818,370,320
20060819,380,310
20060820,370,310
20060821,370,300
20060822,390,340
20060823,370,300
20060824,370,300
20060825,370,310
20060826,390,320
20060827,370,300
20060828,370,300
20060829,370,300
20060830,370,300
20060831,360,290
20060901,380,310
20060902,370,300
20060903,370,310
20060904,370,290
20060905,380,300
20060906,360,290
20060907,370,300
20060908,350,300
20060909,360,270
20060910,360,280
20060911,360,280
20060912,360,280
20060913,370,310
20060914,360,280
20060915,360,300
20060916,350,280
20060917,360,280
20060918,350,260
20060919,350,260
20060920,340,250
20060921,9999,9999
20060922,340,270
20060923,340,260
20060924,340,270
20060925,350,270
20060926,350,270
20060927,340,270
20060928,340,290
20060929,330,270
20060930,330,250
20061001,320,240
20061002,330,240
20061003,320,240
20061004,330,240
20061005,320,250
20061006,330,280
20061007,320,250
20061008,320,240
20061009,320,230
20061010,310,240
20061011,320,240
20061012,330,240
20061013,310,240
20061014,310,250
20061015,330,240
20061016,330,270
20061017,330,260
20061018,350,240
20061019,320,240
20061020,320,240
20061021,320,200
20061022,330,250
20061023,330,240
20061024,320,240
20061025,320,240
20061026,330,240
20061027,330,250
20061028,330,240
20061029,340,270
20061030,210,220
20061031,320,240
20061101,320,240
20061102,330,230
20061103,310,230
20061104,320,240
20061105,290,220
20061106,320,250
20061107,310,230
20061108,300,220
20061109,280,190
20061110,250,180
20061111,250,170
20061112,290,190
20061113,300,230
20061114,290,210
20061115,290,200
20061116,240,180
20061117,240,200
20061118,240,150
20061119,220,140
20061120,220,140
20061121,250,130
20061122,200,130
20061123,220,120
20061124,220,110
20061125,240,150
20061126,250,160
20061127,210,150
20061128,230,140
20061129,220,140
20061130,220,140
20061201,230,150
20061202,190,110
20061203,210,120
20061204,190,100
20061205,210,100
20061206,230,160
20061207,9999,9999
20061208,180,150
20061209,200,120
20061210,180,100
20061211,220,130
20061212,190,120
20061213,180,100
20061214,170,100
20061215,170,90
20061216,170,90
20061217,180,130
20061218,160,100
20061219,170,100
20061220,160,70
20061221,170,100
20061222,160,80
20061223,160,110
20061224,190,120
20061225,140,100
20061226,160,90
20061227,170,110
20061228,190,160
20061229,190,100
20061230,130,80
20061231,110,80
20070101,120,50
20070102,130,70
20070103,140,70
20070104,140,70
20070105,160,70
20070106,170,110
20070107,190,130
20070108,170,100
20070109,160,100
20070110,170,80
20070111,140,80
20070112,160,120
20070113,190,130
20070114,160,140
20070115,150,110
20070116,140,100
20070117,130,100
20070118,140,80
20070119,140,70
20070120,140,60
20070121,150,100
20070122,170,150
20070123,190,110
20070124,150,80
20070125,170,110
20070126,180,100
20070127,170,120
20070128,170,120
20070129,170,110
20070130,190,140
20070131,210,160
20070201,210,160
20070202,210,150
20070203,180,140
20070204,200,160
20070205,200,140
20070206,180,100
20070207,190,150
20070208,210,150
20070209,160,110
20070210,160,110
20070211,180,120
20070212,180,140
20070213,180,110
20070214,220,150
20070215,210,140
20070216,200,120
20070217,210,140
20070218,180,120
20070219,200,160
20070220,210,160
20070221,190,140
20070222,190,130
20070223,210,150
20070224,9999,9999
20070225,200,140
20070226,220,180
20070227,210,160
20070228,200,150
20070301,200,130
20070302,240,180
20070303,200,140
20070304,190,150
20070305,200,140
20070306,210,130
20070307,220,170
20070308,210,150
20070309,210,140
20070310,240,150
20070311,230,170
20070312,9999,9999
20070313,9999,9999
20070315,290,200
20070316,9999,9999
20070317,9999,9999
20070318,190,130
20070319,200,140
20070320,190,110
20070321,210,140
20070322,230,160
20070323,270,170
20070324,290,180
20070325,240,160
20070326,260,210
20070327,300,190
20070328,280,200
20070329,250,180
20070330,230,160
20070331,220,160
20070401,254,164
20070402,268,190
20070403,226,196
20070404,296,186
20070405,288,9999
20070406,254,200
20070407,268,195
20070408,290,214
20070409,304,9999
20070410,320,9999
20070411,284,9999
20070412,312,196
20070413,284,200
20070414,9999,9999
20070415,250,9999
20070416,276,180
20070417,270,170
20070418,316,230
20070420,280,234
20070421,310,225
20070422,326,228
20070423,310,226
20070424,346,230
20070425,352,244
20070426,372,252
20070427,342,260
20070428,360,9999
20070429,310,240
20070430,408,265
20070501,396,266
20070502,308,255
20070503,306,9999
20070504,328,262
20070505,334,264
20070506,360,256
20070507,300,260
20070508,310,260
20070509,310,246
20070510,324,250
20070511,9999,250
20070512,400,270
20070513,392,288
20070514,9999,278
20070515,372,300
20070516,324,9999
20070517,340,260
20070518,320,268
20070519,314,270
20070520,326,268
20070521,9999,9999
20070522,348,260
20070523,326,256
20070524,356,216
20070525,372,285
20070526,340,270
20070527,356,274
20070528,354,290
20070529,364,296
20070530,352,9999
20070531,342,294
20070601,372,280
20070602,378,9999
20070603,370,310
20070604,344,310
20070605,334,9999
20070606,324,260
20070607,9999,268
20070608,9999,300
20070609,330,280
20070610,356,286
20070611,334,300
20070612,352,290
20070613,364,300
20070614,356,9999
20070615,338,300
20070616,330,300
20070617,350,290
20070618,346,294
20070619,374,9999
20070620,342,288
20070621,342,9999
20070622,350,288
20070623,354,302
20070624,334,307
20070625,354,286
20070626,352,282
20070627,342,300
20070628,370,290
20070629,378,9999
20070630,360,300
20070701,358,316
20070702,358,316
20070703,356,320
20070704,350,9999
20070705,340,304
20070706,358,9999
20070707,340,306
20070708,364,302
20070709,340,310
20070710,350,305
20070711,9999,300
20070712,364,300
20070713,360,320
20070714,352,310
20070715,344,9999
20070716,348,308
20070717,330,308
20070718,338,298
20070719,334,290
20070720,340,290
20070721,352,308
20070722,9999,310
20070723,360,9999
20070724,358,286
20070725,360,295
20070726,356,290
20070727,368,304
20070728,368,300
20070729,370,314
20070730,358,9999
20070731,9999,9999
20070801,394,9999
20070802,386,310
20070803,376,335
20070804,370,9999
20070805,388,320
20070806,372,320
20070807,384,308
20070808,370,330
20070809,9999,9999
20070810,358,324
20070811,368,296
20070812,364,300
20070813,378,316
20070814,9999,320
20070815,364,9999
20070816,372,9999
20070817,366,286
20070818,360,9999
20070819,370,295
20070820,372,290
20070821,378,302
20070822,360,306
20070823,9999,310
20070824,380,300
20070825,384,294
20070826,374,285
20070827,384,286
20070829,368,290
20070830,370,290
20070831,9999,300
20070901,380,9999
20070902,380,285
20070903,378,285
20070904,9999,9999
20070905,428,310
20070906,380,300
20070907,392,290
20070908,374,298
20070909,362,9999
20070910,364,292
20070911,350,9999
20070912,364,285
20070913,364,275
20070914,354,292
20070915,370,284
20070916,356,285
20070917,368,300
20070918,362,284
20070919,364,276
20070920,352,270
20070921,370,9999
20070922,350,276
20070923,350,260
20070924,9999,270
20070926,360,274
20070927,332,9999
20070928,330,250
20070929,346,244
20070930,336,240
20071001,9999,255
20071002,360,260
20071003,346,270
20071004,342,270
20071005,348,258
20071006,342,240
20071007,344,254
20071008,330,260
20071009,342,272
20071010,320,250
20071011,342,232
20071012,334,9999
20071013,318,246
20071014,322,250
20071015,322,256
20071016,328,9999
20071017,326,246
20071018,330,240
20071019,332,240
20071020,330,254
20071021,312,250
20071022,330,248
20071023,326,250
20071024,336,238
20071025,322,238
20071026,326,230
20071027,340,244
20071028,316,232
20071029,330,224
20071030,330,230
20071031,320,212
20071101,306,9999
20071102,272,9999
20071103,276,198
20071104,286,190
20071105,294,192
20071106,286,204
20071107,290,184
20071108,290,9999
20071109,298,176
20071110,294,190
20071111,282,208
20071112,276,9999
20071113,284,194
20071114,284,210
20071115,282,210
20071116,282,184
20071117,280,186
20071118,9999,186
20071119,288,204
20071120,296,208
20071121,296,216
20071122,290,216
20071123,290,9999
20071124,266,194
