Date,TMax,TMin
19510101,250,50
19510102,228,72
19510103,211,9999
19510104,222,61
19510105,239,61
19510106,172,100
19510107,139,89
19510108,172,78
19510109,178,89
19510110,200,78
19510111,211,72
19510112,189,61
19510113,222,50
19510114,222,9999
19510115,178,89
19510116,178,9999
19510117,211,72
19510118,178,50
19510119,178,72
19510120,189,89
19510121,172,89
19510122,178,89
19510123,150,100
19510124,161,72
19510125,178,39
19510126,211,22
19510127,189,22
19510128,189,28
19510129,211,50
19510130,239,22
19510131,272,39
19510201,200,78
19510202,189,61
19510203,200,50
19510204,200,78
19510205,172,72
19510206,178,78
19510207,189,61
19510208,222,61
19510209,189,78
19510210,178,61
19510211,172,50
19510212,139,89
19510213,178,39
19510214,200,61
19510215,211,50
19510216,189,72
19510217,222,89
19510218,178,9999
19510219,178,100
19510220,150,100
19510221,200,100
19510222,189,89
19510223,200,50
19510224,200,61
19510225,200,78
19510226,211,50
19510227,250,50
19510228,228,50
19510301,222,100
19510302,261,89
19510303,239,111
19510304,200,72
19510305,211,50
19510306,278,72
19510307,289,89
19510308,311,89
19510309,250,9999
19510310,228,61
19510311,228,78
19510312,200,89
19510313,211,61
19510314,261,22
19510315,272,61
19510316,261,39
19510317,239,89
19510318,261,72
19510319,250,122
19510320,228,100
19510321,261,100
19510322,261,111
19510323,300,78
19510324,339,122
19510325,189,111
19510326,200,100
19510327,261,61
19510328,178,111
19510329,200,100
19510330,200,100
19510331,211,89
19510401,239,122
19510402,239,100
19510403,261,139
19510404,322,78
19510405,350,122
19510406,211,9999
19510407,222,78
19510408,228,89
19510409,222,89
19510410,228,89
19510411,228,89
19510412,261,72
19510413,322,100
19510414,350,128
19510415,278,139
19510416,261,172
19510417,250,161
19510418,200,9999
19510419,228,122
19510420,211,9999
19510421,228,100
19510422,300,72
19510423,261,150
19510424,228,9999
19510425,200,111
19510426,228,100
19510427,261,61
19510428,272,111
19510429,311,78
19510430,311,100
19510501,272,122
19510502,250,139
19510503,250,128
19510504,289,100
19510505,300,100
19510506,261,111
19510507,278,111
19510508,300,128
19510509,278,111
19510510,339,122
19510511,372,178
19510512,322,161
19510513,311,9999
19510514,328,139
19510515,278,150
19510516,261,150
19510517,400,178
19510518,261,9999
19510519,250,128
19510520,278,122
19510521,389,150
19510522,250,9999
19510523,250,139
19510524,272,128
19510525,278,150
19510526,289,139
19510527,289,150
19510528,322,128
19510529,311,172
19510530,311,161
19510531,311,139
19510601,322,150
19510602,300,150
19510603,311,139
19510604,278,178
19510605,289,189
19510606,300,9999
19510607,361,172
19510608,339,178
19510609,300,189
19510610,311,172
19510611,328,172
19510612,322,172
19510613,289,172
19510614,278,189
19510615,278,172
19510616,278,172
19510617,300,172
19510618,278,172
19510619,289,172
19510620,311,150
19510621,322,161
19510622,300,172
19510623,300,178
19510624,300,189
19510625,300,200
19510626,300,200
19510627,322,178
19510628,322,178
19510629,328,161
19510630,328,189
19510701,322,189
19510702,322,172
19510703,328,178
19510704,322,189
19510705,300,211
19510706,322,189
19510707,311,211
19510708,311,200
19510709,322,178
19510710,339,178
19510711,350,178
19510712,339,222
19510713,328,222
19510714,311,211
19510715,322,228
19510716,328,222
19510717,328,200
19510718,339,211
19510719,328,200
19510720,311,222
19510721,311,211
19510722,322,200
19510723,322,200
19510724,322,222
19510725,328,9999
19510726,339,200
19510727,339,200
19510728,322,200
19510729,322,200
19510730,322,200
19510731,322,200
19510801,322,200
19510802,328,228
19510803,339,211
19510804,328,211
19510805,328,222
19510806,322,222
19510807,322,222
19510808,350,189
19510809,339,172
19510810,339,189
19510811,350,178
19510812,361,172
19510813,361,172
19510814,339,189
19510815,339,200
19510816,339,189
19510817,328,178
19510818,339,222
19510819,350,200
19510820,339,189
19510821,328,222
19510822,328,211
19510823,322,228
19510824,328,211
19510825,339,200
19510826,350,200
19510827,328,222
19510828,322,211
19510829,328,222
19510830,328,211
19510831,339,222
19510901,328,211
19510902,328,222
19510903,322,200
19510904,328,189
19510905,322,178
19510906,328,211
19510907,322,222
19510908,339,222
19510909,361,178
19510910,361,189
19510911,339,211
19510912,322,211
19510913,322,222
19510914,322,222
19510915,322,200
19510916,322,189
19510917,9999,189
19510918,339,189
19510919,339,222
19510920,322,211
19510921,339,211
19510922,322,228
19510923,311,9999
19510924,300,189
19510925,322,172
19510926,372,172
19510927,328,211
19510928,311,9999
19510929,300,200
19510930,300,178
19511001,300,178
19511002,300,189
19511003,322,178
19511004,311,189
19511005,300,189
19511006,361,178
19511007,311,9999
19511008,300,9999
19511009,339,172
19511010,289,189
19511011,289,178
19511012,378,161
19511013,272,9999
19511014,250,9999
19511015,278,139
19511016,272,161
19511017,272,150
19511018,272,128
19511019,261,139
19511020,272,161
19511021,278,150
19511022,272,172
19511023,289,139
19511024,289,122
19511025,278,122
19511026,322,111
19511027,350,150
19511028,278,9999
19511029,261,139
19511030,261,139
19511031,261,150
19511101,261,139
19511102,261,100
19511103,261,100
19511104,9999,111
19511105,261,139
19511106,239,9999
19511107,200,128
19511108,228,128
19511109,222,111
19511110,272,89
19511111,278,89
19511112,261,72
19511113,261,89
19511114,261,100
19511115,311,100
19511116,328,150
19511117,239,139
19511118,228,139
19511119,222,9999
19511120,228,122
19511121,239,111
19511122,239,89
19511123,250,100
19511124,239,111
19511125,9999,111
19511126,211,122
19511127,222,128
19511128,228,111
19511129,222,100
19511130,189,122
19511201,189,89
19511202,178,89
19511203,200,100
19511204,200,122
19511205,211,111
19511206,239,72
19511207,211,111
19511208,200,89
19511209,211,78
19511210,211,111
19511211,211,89
19511212,211,72
19511213,189,111
19511214,150,89
19511215,150,78
19511216,139,78
19511217,139,78
19511218,150,9999
19511219,128,72
19511220,122,78
19511221,9999,9999
19511222,122,39
19511223,111,78
19511224,161,9999
19511225,178,39
19511226,161,39
19511227,178,72
19511228,178,50
19511229,172,100
19511230,178,100
19511231,178,111
19520101,189,61
19520102,172,72
19520103,178,78
19520104,172,89
19520105,189,89
19520106,172,72
19520107,150,111
19520108,161,78
19520109,111,9999
19520110,100,61
19520111,161,72
19520112,150,9999
19520113,189,72
19520114,189,50
19520115,172,72
19520116,139,89
19520117,172,50
19520118,211,78
19520119,189,89
19520120,211,61
19520121,172,72
19520122,161,50
19520123,178,72
19520124,200,50
19520125,200,9999
19520126,211,39
19520127,211,78
19520128,222,61
19520129,200,78
19520130,189,111
19520131,228,89
19520201,211,150
19520202,211,9999
19520203,178,150
19520204,189,128
19520205,211,9999
19520206,250,78
19520207,239,78
19520208,239,89
19520209,150,9999
19520210,161,50
19520211,150,78
19520212,150,78
19520213,150,78
19520214,189,89
19520215,200,50
19520216,200,39
19520217,200,39
19520218,250,61
19520219,189,89
19520220,239,39
19520221,200,78
19520222,9999,100
19520223,172,61
19520224,172,78
19520225,178,72
19520226,178,61
19520227,189,61
19520228,222,100
19520229,178,122
19520301,172,111
19520302,128,89
19520303,161,78
19520304,172,61
19520305,200,61
19520306,178,61
19520307,228,50
19520308,222,72
19520309,189,100
19520310,189,9999
19520311,161,111
19520312,139,100
19520313,189,89
19520314,261,72
19520315,200,9999
19520316,211,78
19520317,172,78
19520318,172,72
19520319,189,72
19520320,278,111
19520321,200,9999
19520322,172,78
19520323,211,50
19520324,211,89
19520325,211,72
19520326,228,50
19520327,222,78
19520328,222,111
19520329,239,78
19520330,261,89
19520331,289,78
19520401,278,89
19520402,261,100
19520403,272,122
19520404,339,100
19520405,361,122
19520406,311,111
19520407,272,139
19520408,228,111
19520409,200,100
19520410,200,78
19520411,200,78
19520412,200,89
19520413,189,61
19520414,161,72
19520415,9999,39
19520416,222,61
19520417,239,50
19520418,322,122
19520419,261,128
19520420,211,9999
19520421,228,78
19520422,228,89
19520423,222,122
19520424,239,89
19520425,272,61
19520426,328,128
19520427,9999,172
19520428,239,9999
19520429,228,111
19520430,250,111
19520501,239,111
19520502,250,100
19520503,239,122
19520504,239,122
19520505,250,122
19520506,261,100
19520507,261,128
19520508,272,100
19520509,300,111
19520510,300,111
19520511,322,139
19520512,378,139
19520513,339,178
19520514,311,161
19520515,300,139
19520516,311,139
19520517,339,9999
19520518,250,9999
19520519,261,122
19520520,261,100
19520521,361,9999
19520522,322,9999
19520523,289,128
19520524,300,139
19520525,422,139
19520526,272,9999
19520527,250,111
19520528,250,139
19520529,250,122
19520530,272,111
19520531,322,89
19520601,400,178
19520602,422,9999
19520603,311,9999
19520604,289,161
19520605,289,150
19520606,278,150
19520607,272,139
19520608,261,9999
19520609,278,150
19520610,278,139
19520611,278,139
19520612,278,150
19520613,278,161
19520614,278,139
19520615,289,139
19520616,311,128
19520617,300,150
19520618,311,150
19520619,328,172
19520620,328,172
19520621,328,178
19520622,322,189
19520623,322,178
19520624,300,200
19520625,300,189
19520626,300,189
19520627,300,172
19520628,300,150
19520629,300,161
19520630,300,161
19520701,300,172
19520702,300,161
19520703,300,172
19520704,300,189
19520705,300,172
19520706,300,178
19520707,300,178
19520708,300,161
19520709,300,172
19520710,322,178
19520711,322,172
19520712,328,172
19520713,322,189
19520714,311,189
19520715,311,211
19520716,322,189
19520717,322,161
19520718,339,178
19520719,322,178
19520720,311,200
19520721,311,200
19520722,328,200
19520723,328,178
19520724,311,211
19520725,311,211
19520726,311,222
19520727,311,211
19520728,322,211
19520729,328,200
19520730,328,200
19520731,350,178
19520801,311,178
19520802,322,200
19520803,350,178
19520804,339,189
19520805,322,200
19520806,322,200
19520807,322,189
19520808,322,178
19520809,322,189
19520810,328,228
19520811,328,200
19520812,328,189
19520813,328,200
19520814,339,211
19520815,350,200
19520816,350,161
19520817,328,211
19520818,328,200
19520819,328,222
19520820,328,211
19520821,328,222
19520822,339,211
19520823,361,222
19520824,361,222
19520825,372,211
19520826,372,189
19520827,339,222
19520828,328,211
19520829,328,228
19520830,328,211
19520831,322,200
19520901,328,178
19520902,328,189
19520903,328,211
19520904,328,200
19520905,339,211
19520906,350,222
19520907,328,222
19520908,328,211
19520909,339,222
19520910,339,200
19520911,328,211
19520912,328,211
19520913,328,211
19520914,339,239
19520915,350,222
19520916,350,211
19520917,361,228
19520918,350,222
19520919,350,178
19520920,339,211
19520921,328,200
19520922,328,189
19520923,339,211
19520924,339,211
19520925,322,189
19520926,311,189
19520927,322,178
19520928,322,178
19520929,328,200
19520930,328,222
19521001,328,9999
19521002,328,178
19521003,328,139
19521004,328,172
19521005,322,172
19521006,322,161
19521007,300,178
19521008,300,172
19521009,300,172
19521010,311,150
19521011,300,161
19521012,311,161
19521013,328,150
19521014,300,172
19521015,311,161
19521016,300,200
19521017,289,9999
19521018,300,161
19521019,300,211
19521020,300,178
19521021,278,150
19521022,278,139
19521023,289,139
19521024,311,139
19521025,300,161
19521026,311,139
19521027,372,122
19521028,278,9999
19521029,261,150
19521030,278,139
19521031,261,161
19521101,272,128
19521102,289,122
19521103,278,139
19521104,250,139
19521105,272,139
19521106,278,100
19521107,239,139
19521108,278,9999
19521109,289,111
19521110,272,139
19521111,250,128
19521112,222,128
19521113,261,100
19521114,278,100
19521115,278,89
19521116,272,122
19521117,222,72
19521118,222,28
19521119,228,150
19521120,228,9999
19521121,222,61
19521122,228,72
19521123,239,89
19521124,222,78
19521125,178,122
19521126,222,128
19521127,239,128
19521128,228,111
19521129,239,100
19521130,239,89
19521201,272,89
19521202,250,100
19521203,250,100
19521204,278,100
19521205,300,200
19521206,300,139
19521207,339,178
19521208,339,9999
19521209,300,111
19521210,272,161
19521211,211,9999
19521212,200,78
19521213,211,100
19521214,189,100
19521215,211,89
19521216,228,72
19521217,222,50
19521218,211,72
19521219,228,9999
19521220,228,111
19521221,172,100
19521222,178,72
19521223,211,100
19521224,211,89
19521225,189,89
19521226,178,89
19521227,178,111
19521228,189,9999
19521229,200,39
19521230,211,50
19521231,211,72
19530101,228,72
19530102,261,111
19530103,261,111
19530104,239,9999
19530105,200,9999
19530106,222,39
19530107,239,50
19530108,161,89
19530109,189,61
19530110,200,72
19530111,150,89
19530112,161,72
19530113,178,50
19530114,178,11
19530115,111,22
19530116,150,72
19530117,150,78
19530118,189,61
19530119,161,78
19530120,172,61
19530121,222,50
19530122,150,9999
19530123,150,78
19530124,139,72
19530125,139,78
19530126,178,50
19530127,189,9999
19530128,200,39
19530129,211,50
19530130,178,39
19530131,172,61
19530201,200,78
19530202,189,72
19530203,211,50
19530204,200,89
19530205,200,61
19530206,161,89
19530207,211,72
19530208,239,78
19530209,200,122
19530210,139,78
19530211,178,89
19530212,178,61
19530213,211,28
19530214,261,72
19530215,289,122
19530216,272,189
19530217,9999,9999
19530218,200,9999
19530219,178,100
19530220,178,9999
19530221,178,78
19530222,172,61
19530223,150,89
19530224,178,9999
19530225,178,72
19530226,189,50
19530227,161,78
19530228,139,78
19530301,139,72
19530302,139,72
19530303,150,78
19530304,139,78
19530305,161,72
19530306,178,72
19530307,128,78
19530308,139,72
19530309,222,39
19530310,261,122
19530311,239,9999
19530312,161,100
19530313,161,72
19530314,178,39
19530315,172,72
19530316,161,28
19530317,189,22
19530318,178,72
19530319,161,72
19530320,161,78
19530321,128,78
19530322,161,89
19530323,139,61
19530324,161,50
19530325,172,11
19530326,178,28
19530327,261,22
19530328,272,100
19530329,272,122
19530330,250,150
19530331,289,9999
19530401,178,9999
19530402,189,111
19530403,189,100
19530404,200,89
19530405,189,9999
19530406,200,78
19530407,200,78
19530408,211,78
19530409,200,111
19530410,211,111
19530411,278,89
19530412,278,111
19530413,278,100
19530414,200,100
19530415,211,78
19530416,300,78
19530417,289,111
19530418,300,122
19530419,222,111
19530420,211,89
19530421,239,78
19530422,239,89
19530423,261,72
19530424,261,78
19530425,261,89
19530426,228,72
19530427,222,100
19530428,261,72
19530429,278,100
19530430,278,111
19530501,261,161
19530502,239,128
19530503,250,100
19530504,261,122
19530505,361,100
19530506,311,172
19530507,228,128
19530508,239,111
19530509,272,78
19530510,278,9999
19530511,261,122
19530512,261,100
19530513,300,100
19530514,361,139
19530515,289,9999
19530516,328,122
19530517,272,161
19530518,261,139
19530519,272,100
19530520,272,111
19530521,272,139
19530522,272,100
19530523,300,100
19530524,378,122
19530525,322,172
19530526,322,128
19530527,289,150
19530528,278,122
19530529,9999,139
19530530,272,150
19530531,311,128
19530601,378,150
19530602,361,161
19530603,278,161
19530604,272,139
19530605,289,150
19530606,311,150
19530607,311,139
19530608,328,139
19530609,300,161
19530610,311,178
19530611,328,161
19530612,289,161
19530613,328,161
19530614,289,178
19530615,289,161
19530616,411,128
19530617,289,9999
19530618,289,161
19530619,289,161
19530620,300,161
19530621,300,161
19530622,300,178
19530623,300,211
19530624,311,178
19530625,300,172
19530626,311,161
19530627,300,172
19530628,289,200
19530629,300,189
19530630,300,189
19530701,322,189
19530702,322,189
19530703,311,172
19530704,311,178
19530705,311,200
19530706,322,178
19530707,300,200
19530708,311,200
19530709,322,172
19530710,322,178
19530711,322,178
19530712,311,211
19530713,311,200
19530714,322,178
19530715,322,211
19530716,339,189
19530717,350,189
19530718,361,178
