Date,TMax,TMin
19670101,122,0
19670102,139,11
19670103,128,9999
19670104,89,9999
19670105,9999,-22
19670108,28,9999
19670109,61,9999
19670110,50,9999
19670111,28,9999
19670112,9999,11
19670114,122,-22
19670115,128,9999
19670117,111,9999
19670118,89,0
19670119,100,9999
19670120,122,61
19670122,122,72
19670124,128,9999
19670125,9999,50
19670129,9999,89
19670131,139,39
19670201,128,78
19670202,161,72
19670203,139,61
19670204,139,61
19670205,100,89
19670206,122,78
19670207,128,61
19670208,128,50
19670209,9999,28
19670210,61,-11
19670211,61,-28
19670212,78,0
19670213,78,22
19670214,78,9999
19670215,100,-22
19670216,89,-11
19670217,122,9999
19670218,9999,39
19670219,150,39
19670220,150,61
19670221,172,100
19670222,200,61
19670223,139,100
19670224,172,9999
19670225,9999,61
19670226,139,111
19670227,178,100
19670228,161,111
19670301,200,89
19670302,200,111
19670303,189,39
19670304,161,39
19670305,150,50
19670306,161,72
19670307,161,72
19670308,139,111
19670309,139,122
19670310,161,111
19670311,150,9999
19670312,189,61
19670313,178,72
19670314,150,72
19670315,9999,50
19670316,172,0
19670317,150,28
19670318,122,0
19670319,150,22
19670320,161,-11
19670321,139,11
19670322,200,28
19670323,9999,39
19670324,189,50
19670325,161,28
19670326,161,61
19670327,172,100
19670328,161,111
19670329,9999,100
19670330,161,50
19670331,122,9999
19670401,122,28
19670402,139,28
19670403,150,22
19670404,178,61
19670405,172,28
19670406,172,78
19670407,172,89
19670408,211,100
19670409,178,9999
19670410,189,9999
19670411,178,50
19670412,222,61
19670413,239,100
19670414,200,9999
19670415,222,89
19670416,228,100
19670417,211,100
19670418,200,78
19670419,9999,72
19670420,178,50
19670421,189,100
19670422,161,9999
19670423,161,28
19670424,200,28
19670425,139,50
19670426,139,11
19670427,161,22
19670428,150,100
19670429,211,78
19670430,200,61
19670501,189,61
19670502,200,122
19670503,178,9999
19670504,172,61
19670505,178,72
19670506,178,100
19670507,211,122
19670508,222,78
19670509,228,78
19670510,211,122
19670511,239,89
19670512,239,100
19670513,261,100
19670514,250,100
19670515,211,9999
19670516,200,150
19670517,200,139
19670518,189,9999
19670519,211,100
19670520,228,122
19670521,250,122
19670522,250,89
19670523,211,100
19670524,228,128
19670525,211,9999
19670526,239,150
19670527,250,122
19670528,272,111
19670529,250,122
19670530,222,122
19670531,222,128
19670601,222,122
19670602,250,100
19670603,239,100
19670604,250,122
19670605,278,128
19670606,272,128
19670607,272,128
19670608,228,172
19670609,228,128
19670610,189,150
19670611,222,111
19670612,211,139
19670613,200,111
19670614,200,100
19670615,222,89
19670616,228,128
19670617,239,139
19670618,250,172
19670619,250,172
19670620,261,161
19670621,272,128
19670622,278,128
19670623,278,161
19670624,278,161
19670625,272,139
19670626,289,139
19670627,289,161
19670628,289,139
19670629,278,178
19670630,322,150
19670701,350,178
19670702,322,172
19670703,289,150
19670704,289,172
19670705,322,172
19670706,300,128
19670707,289,172
19670708,261,178
19670709,278,161
19670710,261,128
19670711,300,161
