Date,TMax,TMin
20140101,69,9999
20140102,79,-5
20140103,83,9999
20140104,15,-19
20140105,32,9999
20140106,31,-46
20140107,74,-8
20140108,61,9999
20140109,-21,-79
20140110,0,-79
20140111,41,-44
20140112,26,9999
20140113,5,-77
20140114,0,-82
20140115,36,-76
20140116,46,-47
20140117,18,-54
20140118,20,9999
20140119,-3,-79
20140120,-5,-40
20140121,3,9999
20140122,31,-64
20140123,77,-31
20140124,97,-1
20140125,31,9999
20140126,37,-35
20140127,87,-40
20140128,59,9999
20140129,99,-45
20140130,94,9999
20140131,88,-38
20140201,35,9999
20140202,123,-7
20140203,5,-90
20140204,-24,-94
20140205,-11,-97
20140206,5,-67
20140207,-15,-51
20140208,-15,-44
20140209,-26,-56
20140210,-22,-82
20140211,-3,-82
20140212,6,-56
20140213,-1,-50
20140214,15,-56
20140215,57,-58
20140216,77,-36
20140217,9,-15
20140218,23,-35
20140219,28,-40
20140220,7,-54
20140221,23,-57
20140222,35,-50
20140223,26,-45
20140224,107,-31
20140225,130,7
20140226,73,-6
20140227,148,-7
20140228,52,18
20140301,37,5
20140302,42,-21
20140303,56,-26
20140304,133,-8
20140305,37,-40
20140306,40,-40
20140307,47,-40
20140308,87,-14
20140309,56,-22
20140310,76,-26
20140311,97,5
20140312,118,16
20140313,47,-5
20140314,79,-6
20140315,145,-13
20140316,133,12
20140317,9999,12
20140318,161,45
20140319,63,13
20140320,77,0
20140321,128,0
20140322,181,32
20140323,215,55
20140324,190,84
20140325,226,107
20140326,176,62
20140327,179,62
20140328,256,123
20140329,156,9999
20140330,129,64
20140331,181,64
20140401,142,68
20140402,242,67
20140403,76,3
20140404,84,-1
20140405,98,6
20140406,175,36
20140407,220,87
20140408,205,79
20140409,261,79
20140410,143,45
20140411,145,43
20140412,158,72
20140413,150,64
20140414,262,64
20140415,283,103
20140416,168,72
20140417,159,67
20140418,144,67
20140419,128,67
20140420,159,93
20140421,230,91
20140422,247,101
20140423,265,109
20140424,271,122
20140425,265,122
20140426,280,138
20140427,220,134
20140428,143,113
20140429,157,89
20140430,187,77
20140501,286,77
20140502,275,105
20140503,222,105
20140504,215,82
20140505,162,75
20140506,216,75
20140507,217,94
20140508,225,91
20140509,229,90
20140510,215,89
20140511,163,93
20140512,9999,103
20140513,286,150
20140514,285,186
20140515,239,9999
20140516,277,115
20140517,225,115
20140518,200,116
20140519,205,119
20140520,260,142
20140521,245,140
20140522,215,126
20140523,9999,126
20140524,320,141
20140525,255,161
20140526,270,161
20140527,323,9999
20140528,216,138
20140529,330,158
20140530,315,158
20140531,335,158
20140601,348,185
20140602,233,162
20140603,197,162
20140604,215,164
20140605,208,153
20140606,230,153
20140607,209,161
20140608,200,159
20140609,210,159
20140610,215,165
20140611,217,140
20140612,234,140
20140613,235,154
20140614,335,154
20140615,334,198
20140616,310,181
20140617,192,164
20140618,205,164
20140619,201,158
20140620,187,156
20140621,189,157
20140622,220,165
20140623,238,165
20140624,252,167
20140625,265,176
20140626,278,187
20140627,278,191
20140628,255,196
20140629,245,185
20140630,275,185
20140701,272,203
20140702,275,204
20140703,235,196
20140704,259,192
20140705,269,192
20140706,262,186
20140707,266,186
20140708,277,196
20140709,310,224
20140710,335,228
20140711,353,225
20140712,335,225
20140713,330,225
20140714,345,226
20140715,335,229
20140716,325,229
20140717,330,232
20140718,353,233
20140719,345,236
20140720,295,236
20140721,345,231
20140722,305,252
20140723,333,247
20140724,332,204
20140725,223,192
20140726,235,184
20140727,269,174
20140728,280,174
20140729,274,203
20140730,277,204
20140731,293,230
20140801,337,234
20140802,303,234
20140803,256,233
20140804,294,233
20140805,305,240
20140806,305,223
20140807,285,223
20140808,280,210
20140809,270,210
20140810,233,187
20140811,301,187
20140812,325,209
20140813,275,206
20140814,266,206
20140815,276,208
20140816,279,208
20140817,263,206
20140818,245,189
20140819,236,182
20140820,265,182
20140821,235,189
20140822,305,189
20140823,315,211
20140824,311,206
20140825,245,206
20140826,226,160
20140827,245,160
20140828,264,168
20140829,265,182
20140830,264,170
20140831,263,170
20140901,260,176
20140902,245,176
20140903,192,163
20140904,296,163
20140905,300,197
20140906,260,193
20140907,272,194
20140908,300,180
20140909,256,173
20140910,250,173
20140911,250,175
20140912,244,173
20140913,250,149
20140914,253,149
20140915,269,127
20140916,234,127
20140917,234,127
20140918,272,125
20140919,252,131
20140920,236,155
20140921,210,136
20140922,235,134
20140923,234,137
20140924,235,164
20140925,233,158
20140926,230,149
20140927,257,149
20140928,248,153
20140929,285,153
20140930,160,118
20141001,198,116
20141002,225,138
20141003,225,138
20141004,190,110
20141005,204,110
20141006,185,91
20141007,224,89
20141008,220,99
20141009,275,97
20141010,195,136
20141011,190,121
20141012,208,116
20141013,142,68
20141014,179,57
20141015,192,57
20141016,193,74
20141017,224,74
20141018,250,107
20141019,237,117
20141020,205,134
20141021,157,81
20141022,138,46
20141023,175,46
20141024,245,99
20141025,254,138
20141026,221,54
20141027,197,34
20141028,164,34
20141029,165,49
20141030,168,58
20141031,166,108
20141101,195,122
20141102,159,54
20141103,148,54
20141104,210,66
20141105,195,68
20141106,197,95
20141107,128,61
20141108,125,58
20141109,174,43
20141110,161,39
20141111,178,43
20141112,103,-34
20141113,43,-37
20141114,104,10
20141115,123,15
20141116,136,15
20141117,122,10
20141118,140,5
20141119,118,7
20141120,169,25
20141121,165,84
20141122,138,57
20141123,122,57
20141124,128,57
20141125,97,46
20141126,105,25
20141127,154,24
20141128,72,41
20141129,112,35
20141130,89,32
20141201,16,-96
20141202,-29,-96
20141203,16,-64
20141204,-10,-85
20141205,5,-85
20141206,-3,-81
20141207,15,-80
20141208,46,-60
20141209,37,-63
20141210,84,-39
20141211,25,-59
20141212,17,-64
20141213,-15,-73
20141214,20,-70
20141215,0,-64
20141216,-13,-114
20141217,-79,-115
20141218,15,-119
20141219,51,-70
20141220,39,-69
20141221,-24,-73
20141222,9999,-74
20141223,87,-15
20141224,82,-23
20141225,31,-56
20141226,53,-59
20141227,45,-59
20141228,75,0
20141229,71,9
20141230,56,-19
20141231,41,-83
20150101,-19,-83
20150102,-4,-69
20150103,55,-59
20150104,92,-23
20150105,66,-23
20150106,14,-52
20150107,31,-59
20150108,65,-64
20150109,51,-56
20150110,56,-16
20150111,46,-72
20150112,28,-77
20150113,39,-70
20150114,52,-20
20150115,51,-23
20150116,51,-40
20150117,46,-46
20150118,54,-40
20150119,48,-52
20150120,20,-63
20150121,37,-20
20150122,23,-34
20150123,46,-42
20150124,90,-11
20150125,40,0
20150126,61,-8
20150127,33,-45
20150128,7,-57
20150129,12,-57
20150130,26,9999
20150131,28,-79
20150201,26,-64
20150202,36,-64
20150203,38,-55
20150204,51,-30
20150205,47,-26
20150206,96,-28
20150207,66,-106
20150208,-42,-114
20150209,18,-98
20150210,64,-27
20150211,77,-22
20150212,13,9999
20150213,48,-43
20150214,96,-26
20150215,41,5
20150216,25,0
20150217,19,-16
20150218,55,-25
20150219,32,-40
20150220,52,-43
20150221,28,-10
20150222,103,-9
20150223,69,-23
20150224,83,-23
20150225,53,-15
20150226,52,-54
20150227,51,-54
20150228,50,-26
20150301,61,3
20150302,107,-6
20150303,71,-34
20150304,31,-36
20150305,34,-49
20150306,55,-49
20150307,130,-36
20150308,77,5
20150309,66,-59
20150310,12,-61
20150311,46,-30
20150312,71,-23
20150313,102,-18
20150314,71,-18
20150315,145,0
20150316,107,7
20150317,167,34
20150318,67,6
20150319,9999,6
20150320,87,10
20150321,205,8
20150322,175,13
20150323,108,-16
20150324,97,-21
20150325,118,-15
20150326,213,48
20150327,207,86
20150328,195,70
20150329,190,51
20150330,220,51
20150331,225,64
20150401,108,20
20150402,66,20
20150403,193,35
20150404,97,35
20150405,88,41
20150406,138,27
20150407,55,15
20150408,77,10
20150409,120,9
20150410,184,41
20150411,88,41
20150412,63,42
20150413,111,47
20150414,102,60
20150415,230,49
20150416,112,49
20150417,218,71
20150418,253,87
20150419,145,65
20150420,135,43
20150421,238,40
20150422,232,95
20150423,255,107
20150424,240,97
20150425,265,95
20150426,320,162
20150427,305,149
20150428,281,79
