Date,TMax,TMin
19510101,-90,-120
19510102,-35,-115
19510103,-29,-135
19510104,-80,-130
19510105,-20,-112
19510106,-1,-65
19510107,10,-30
19510108,-20,-80
19510109,-50,-102
19510110,-6,-80
19510111,-18,-58
19510112,-15,-67
19510113,-67,-160
19510114,-90,-163
19510115,-25,-135
19510116,-40,-72
19510117,-45,-100
19510118,-40,-117
19510119,-75,-139
19510120,-12,-80
19510121,-8,-50
19510122,-25,-103
19510123,-84,-115
19510124,-95,-140
19510125,10,-100
19510126,10,-38
19510127,-15,-75
19510128,-52,-90
19510129,-70,-90
19510130,-20,-115
19510131,28,-40
19510201,22,-63
19510202,-52,-105
19510203,-10,-90
19510204,-3,-32
19510205,-30,-80
19510206,-75,-90
19510207,-4,-86
19510208,5,-35
19510209,-18,-40
19510210,-10,-39
19510211,-15,-40
19510212,-1,-22
19510213,-5,-73
19510214,-60,-100
19510215,-51,-100
19510216,-80,-131
19510217,-45,-110
19510218,-48,-124
19510219,-60,-120
19510220,-50,-99
19510221,-50,-105
19510222,-65,-102
19510223,-34,-85
19510224,-40,-76
19510225,-68,-92
19510226,-60,-95
19510227,-30,-80
19510228,-30,-52
19510301,-20,-52
19510302,1,-30
19510303,16,-15
19510304,14,-8
19510305,22,-70
19510306,-30,-60
19510307,-15,-50
19510308,-8,-26
19510309,2,-50
19510310,-40,-60
19510311,-30,-76
19510312,-40,-70
19510313,-30,-93
19510314,-50,-82
19510315,-50,-100
19510316,-75,-90
19510317,-50,-88
19510318,-50,-85
19510319,-64,-86
19510320,-48,-89
19510321,-56,-100
19510322,-30,-65
19510323,-24,-60
19510324,-42,-90
19510325,8,-42
19510326,-14,-65
19510327,5,-35
19510328,-10,-60
19510329,12,-60
19510330,15,-30
19510331,-8,-48
19510401,5,-40
19510402,3,-43
19510403,-3,-32
19510404,-15,-44
19510405,-3,-20
19510406,-1,-23
19510407,-1,-55
19510408,20,-30
19510409,10,-18
19510410,45,5
19510411,30,10
19510412,23,-26
19510413,-4,-36
19510414,23,-10
19510415,20,-10
19510416,32,2
19510417,40,5
19510418,40,12
19510419,28,10
19510420,16,-14
19510421,20,5
19510422,18,6
19510423,23,-4
19510424,20,-4
19510425,40,15
19510426,40,18
19510427,37,12
19510428,40,10
19510429,32,10
19510430,26,10
19510501,35,6
19510502,40,-11
19510503,12,-15
19510504,8,-18
19510505,12,-18
19510506,6,-26
19510507,17,-12
19510508,10,-22
19510509,5,-30
19510510,15,-34
19510511,33,2
19510512,65,28
19510513,60,26
19510514,55,30
19510515,49,5
19510516,25,-4
19510517,60,12
19510518,55,10
19510519,44,10
19510520,50,1
19510521,38,1
19510522,7,-18
19510523,15,-12
19510524,20,9999
19510525,19,9
19510526,18,9999
19510527,26,-10
19510528,20,2
19510529,20,8
19510530,25,10
19510531,34,9
19510601,46,28
19510602,60,40
19510603,53,23
19510604,70,30
19510605,75,20
19510606,62,20
19510607,62,12
19510608,69,20
19510609,70,28
19510610,90,53
19510611,82,46
19510612,90,50
19510613,65,26
19510614,98,44
19510615,73,51
19510616,84,35
19510617,78,37
19510618,82,45
19510619,74,45
19510620,60,45
19510621,54,31
19510622,70,35
19510623,93,57
19510624,89,55
19510625,92,55
19510626,122,52
19510627,94,46
19510628,66,50
19510629,62,50
19510630,73,48
19510701,80,55
19510702,100,58
19510703,98,58
19510704,73,50
19510705,70,56
19510706,75,60
19510707,70,54
19510708,63,50
19510709,73,53
19510710,84,60
19510711,72,43
19510712,94,50
19510713,122,80
19510714,132,58
19510715,105,58
19510716,118,71
19510717,80,54
19510718,80,56
19510719,65,40
19510720,70,48
19510721,68,50
19510722,68,54
19510723,61,40
19510724,65,50
19510725,75,54
19510726,65,45
19510727,75,50
19510728,82,64
19510729,122,80
19510730,130,68
19510731,145,65
19510801,118,68
19510802,93,73
19510803,135,73
19510804,152,102
19510805,122,70
19510806,135,70
19510807,205,100
19510808,230,94
19510809,160,100
19510810,200,85
19510811,236,85
19510812,98,69
19510813,74,60
19510814,103,60
19510815,132,100
19510816,170,79
19510817,94,63
19510818,118,63
19510819,120,78
19510820,106,80
19510821,150,102
19510822,171,105
19510823,153,95
19510824,145,110
19510825,167,93
19510826,130,70
19510827,150,90
19510828,132,88
19510829,102,92
19510830,150,90
19510831,90,70
