Date,TMax,TMin
19660101,14,-19
19660102,55,-6
19660103,52,14
19660104,34,-43
19660105,-40,-90
19660106,-42,-119
19660107,-54,-115
19660108,-48,-95
19660109,-29,-56
19660110,-38,-61
19660111,-58,-92
19660112,-46,-97
19660113,-44,-58
19660114,-19,-52
19660115,-18,-73
19660116,-68,-91
19660117,-77,-111
19660118,-99,-185
19660119,-94,-140
19660120,-68,-136
19660121,-37,-73
19660122,-31,-47
19660123,-13,-69
19660124,-16,-36
19660125,-8,-65
19660126,-38,-96
19660127,-86,-111
19660128,-53,-101
19660129,-35,-64
19660130,16,-59
19660131,33,-2
19660201,21,6
19660202,10,-85
19660203,-72,-107
19660204,-98,-152
19660205,22,-152
19660206,69,14
19660207,58,19
19660208,46,-73
19660209,-62,-144
19660210,-92,-226
19660211,-76,-147
19660212,-56,-91
19660213,13,-62
19660214,6,-13
19660215,8,-8
19660216,2,-24
19660217,4,-34
19660218,-6,-86
19660219,6,-177
19660220,48,-37
19660221,84,9
19660222,134,25
19660223,108,11
19660224,58,7
19660225,68,9
19660226,78,4
19660227,105,18
19660228,123,15
19660301,86,49
19660302,54,9
19660303,27,-5
19660304,37,-10
19660305,27,-17
19660306,17,-9
19660307,53,3
19660308,81,44
19660309,73,42
19660310,63,3
19660311,88,2
19660312,52,2
19660313,40,-9
19660314,19,-15
19660315,9,-52
19660316,4,-24
19660317,18,-43
19660318,52,13
19660319,36,-18
19660320,33,-51
19660321,78,-2
19660322,68,27
19660323,72,15
19660324,114,18
19660325,69,-7
19660326,32,-17
19660327,67,-38
19660328,103,38
19660329,54,15
19660330,51,-24
19660331,81,-34
19660401,70,-33
19660402,86,26
19660403,66,11
19660404,72,24
19660405,139,3
19660406,164,20
19660407,189,46
19660408,134,72
19660409,129,41
19660410,193,65
19660411,184,58
19660412,112,27
19660413,31,-12
19660414,90,-11
19660415,98,38
19660416,61,13
19660417,61,-4
19660418,107,44
19660419,143,5
19660420,164,58
19660421,176,44
19660422,124,34
19660423,113,-17
19660424,200,43
19660425,224,89
19660426,184,102
19660427,166,79
19660428,215,75
19660429,219,70
19660430,199,79
19660501,206,46
19660502,209,65
19660503,236,23
19660504,269,101
19660505,245,119
19660506,220,114
19660507,155,90
19660508,180,76
19660509,242,116
19660510,195,107
19660511,139,58
19660512,141,83
19660513,157,88
19660514,230,62
19660515,250,115
19660516,238,120
19660517,241,73
19660518,246,92
19660519,244,85
19660520,234,92
19660521,174,80
19660522,188,33
19660523,248,93
19660524,210,89
19660525,173,33
19660526,160,51
19660527,151,103
19660528,141,92
19660529,104,63
19660530,124,80
19660531,102,70
19660601,159,61
19660602,195,70
19660603,159,72
19660604,207,49
19660605,240,73
19660606,253,82
19660607,268,112
19660608,244,93
19660609,256,97
19660610,256,139
19660611,247,100
19660612,262,77
19660613,264,85
19660614,241,104
19660615,253,60
19660616,277,78
19660617,277,105
19660618,244,81
19660619,243,100
19660620,256,117
19660621,222,147
19660622,190,150
19660623,239,118
19660624,263,98
19660625,238,124
19660626,155,120
19660627,175,123
19660628,188,125
19660629,176,91
19660630,193,100
19660701,225,124
19660702,225,109
19660703,243,109
19660704,269,114
19660705,255,161
19660706,229,164
19660707,230,129
19660708,184,120
19660709,206,124
19660710,205,118
19660711,245,134
19660712,219,143
19660713,238,80
19660714,239,150
19660715,235,148
19660716,218,92
19660717,244,132
19660718,275,133
19660719,301,176
19660720,302,175
19660721,285,164
19660722,278,144
19660723,284,149
19660724,283,174
19660725,253,170
19660726,200,149
19660727,208,92
19660728,256,108
19660729,221,149
19660730,228,140
19660731,203,123
19660801,233,75
19660802,253,126
19660803,217,111
19660804,238,156
19660805,214,146
19660806,188,129
19660807,201,93
19660808,232,112
19660809,261,126
19660810,212,124
19660811,260,91
19660812,245,142
19660813,282,114
19660814,293,159
19660815,244,158
19660816,167,111
19660817,234,76
19660818,236,102
19660819,260,92
19660820,291,113
19660821,269,157
19660822,241,163
19660823,226,133
19660824,184,130
19660825,188,75
19660826,195,110
19660827,189,131
19660828,203,54
19660829,153,29
19660830,178,10
19660831,205,73
19660901,158,105
19660902,187,122
19660903,214,100
19660904,194,118
19660905,217,96
19660906,176,112
19660907,186,97
19660908,173,95
19660909,165,64
19660910,171,46
19660911,208,99
19660912,238,95
19660913,262,142
19660914,212,132
19660915,206,102
19660916,192,101
19660917,149,45
19660918,132,86
19660919,141,3
19660920,173,33
19660921,218,59
19660922,149,83
19660923,134,18
19660924,119,29
19660925,139,83
19660926,145,-4
19660927,125,84
19660928,129,12
19660929,123,-42
19660930,175,19
19661001,206,60
19661002,199,135
19661003,234,73
19661004,249,115
19661005,260,114
19661006,260,88
19661007,259,91
19661008,212,119
19661009,235,98
19661010,168,91
19661011,135,101
19661012,152,96
19661013,132,87
19661014,102,37
19661015,79,-4
19661016,183,45
19661017,187,110
19661018,181,81
19661019,193,87
19661020,205,101
19661021,143,49
19661022,131,84
19661023,143,44
19661024,136,80
19661025,80,67
19661026,76,60
19661027,74,58
19661028,71,45
19661029,46,-12
19661030,24,-22
19661031,-13,-59
19661101,-6,-43
19661102,-6,-22
19661103,39,-20
19661104,75,6
19661105,98,38
19661106,131,60
19661107,83,47
19661108,48,27
19661109,76,19
19661110,109,20
19661111,82,2
19661112,32,-15
19661113,26,-3
19661114,23,-3
19661115,2,-15
19661116,19,-17
19661117,22,-20
19661118,20,1
19661119,50,9
19661120,50,33
19661121,50,4
19661122,51,15
19661123,40,-17
19661124,69,20
19661125,69,1
19661126,11,-2
19661127,8,-18
19661128,14,-15
19661129,23,-18
19661130,6,-36
19661201,19,-25
19661202,53,-22
19661203,82,41
19661204,46,2
19661205,12,1
19661206,6,-10
19661207,-5,-31
19661208,-28,-63
19661209,3,-60
19661210,18,-9
19661211,12,-10
19661212,10,-29
19661213,-4,-39
19661214,12,-8
19661215,2,-35
19661216,-12,-62
19661217,-30,-70
19661218,13,-71
19661219,32,4
19661220,24,2
19661221,7,-16
19661222,-3,-24
19661223,-20,-82
19661224,8,-82
19661225,18,-34
19661226,10,-23
19661227,-2,-73
19661228,-49,-87
