Date,TMax,TMin
19580101,372,200
19580102,372,200
19580103,361,189
19580104,339,189
19580105,300,161
19580106,272,139
19580107,250,139
19580108,278,122
19580109,300,128
19580110,311,139
19580111,339,150
19580112,350,178
19580113,372,172
19580114,378,178
19580115,389,200
19580116,339,189
19580117,350,189
19580118,339,200
19580119,350,189
19580120,361,178
19580121,328,189
19580122,300,150
19580123,322,128
19580124,339,172
19580125,339,150
19580126,328,178
19580127,328,161
19580128,350,172
19580129,361,189
19580130,339,178
19580131,311,161
19580201,311,150
19580202,322,150
19580203,328,150
19580204,322,172
19580205,300,172
19580206,272,139
19580207,289,150
19580208,322,150
19580209,328,150
19580210,328,161
19580211,328,150
19580212,311,139
19580213,289,150
19580214,278,150
19580215,289,122
19580216,311,128
19580217,311,128
19580218,328,150
19580219,339,172
19580220,350,172
19580221,350,172
19580222,350,161
19580223,350,172
19580224,361,178
19580225,361,189
19580226,400,189
19580227,411,211
19580228,422,211
19580301,411,211
19580302,422,189
19580303,400,228
19580304,411,222
19580305,411,228
19580306,411,228
19580307,422,222
19580308,428,228
19580309,400,222
19580310,428,228
19580311,422,239
19580312,411,222
19580313,372,222
19580314,389,200
19580315,372,200
19580316,361,178
19580317,361,178
19580318,372,172
19580319,378,178
19580320,389,189
19580321,400,189
19580322,400,211
19580323,400,189
19580324,378,200
19580325,372,189
19580326,378,161
19580327,389,189
19580328,411,200
19580329,411,200
19580330,411,211
19580331,422,211
19580401,422,228
19580402,422,261
19580403,422,228
19580404,422,228
19580405,428,261
19580406,428,228
19580407,428,228
19580408,439,250
19580409,450,261
19580410,450,272
19580411,422,289
19580412,411,289
19580413,411,239
19580414,411,278
19580415,428,261
19580416,428,272
19580417,428,272
19580418,439,272
19580419,411,272
19580420,439,272
19580421,372,289
19580422,378,250
19580423,411,239
19580424,428,239
19580425,428,261
19580426,428,278
19580427,428,250
19580428,439,272
19580429,411,272
19580430,400,272
19580501,378,250
19580502,400,239
19580503,428,261
19580504,400,272
19580505,411,289
19580506,428,272
19580507,372,278
19580508,378,250
19580509,411,189
19580510,411,228
19580511,411,9999
19580512,411,228
19580513,411,228
19580514,422,228
19580515,439,228
19580516,450,261
19580517,428,272
19580518,428,289
19580519,439,311
19580520,389,272
19580521,411,289
19580522,378,250
19580523,411,239
19580524,378,272
19580525,378,228
19580526,378,272
19580527,389,272
19580528,422,272
19580529,372,250
19580530,400,228
19580531,422,222
19580601,389,272
19580602,339,9999
19580603,350,239
19580604,361,261
19580605,328,250
19580606,350,228
19580607,372,250
19580608,361,261
19580609,378,250
19580610,361,272
19580611,378,228
19580612,389,250
19580613,411,261
19580614,422,261
19580615,411,272
19580616,372,278
19580617,378,239
19580618,389,261
19580619,400,272
19580620,350,211
19580621,372,250
19580622,328,222
19580623,339,228
19580624,350,250
19580625,350,261
19580626,328,239
19580627,328,228
19580628,300,211
19580629,350,222
19580630,361,228
19580701,361,228
19580702,350,239
19580703,350,250
19580704,322,222
19580705,350,239
19580706,361,250
19580707,9999,228
19580708,328,228
19580709,350,239
19580710,289,250
19580711,322,9999
19580712,328,228
19580713,289,228
19580714,272,200
19580715,289,211
19580716,328,228
19580717,322,228
19580718,322,239
19580719,311,239
19580720,339,250
19580721,328,222
19580722,311,222
19580723,328,228
19580724,300,239
19580725,322,228
19580726,328,228
19580727,289,189
19580728,311,222
19580729,9999,211
19580730,289,211
19580731,328,228
19580801,289,228
19580802,322,228
19580803,289,189
19580804,300,228
19580805,339,228
19580806,9999,250
19580807,328,228
19580808,311,228
19580809,322,228
19580810,328,228
19580811,300,211
19580812,311,222
19580813,322,228
19580814,261,222
19580815,311,9999
19580816,328,222
19580817,311,211
19580818,328,222
19580819,311,228
19580820,311,228
19580821,350,222
19580822,328,200
19580823,322,211
19580824,322,228
19580825,339,222
19580826,361,228
19580827,289,200
19580828,328,222
19580829,339,228
19580830,339,222
19580831,339,239
19580901,350,228
19580902,372,228
19580903,328,250
19580904,350,228
19580905,311,189
19580906,350,222
19580907,350,239
19580908,350,222
19580909,361,228
19580910,350,211
19580911,361,211
19580912,361,222
19580913,350,250
19580914,289,211
19580915,350,211
19580916,350,228
19580917,372,222
19580918,322,222
19580919,328,228
19580920,350,239
19580921,372,239
19580922,361,228
19580923,389,239
19580924,339,228
19580925,361,239
19580926,361,222
19580927,372,211
19580928,372,228
19580929,350,228
19580930,372,222
19581001,378,222
19581002,378,228
19581003,378,239
19581004,372,239
19581005,361,228
19581006,378,9999
19581007,339,211
19581008,372,211
19581009,378,211
19581010,372,211
19581011,378,211
19581012,372,211
19581013,389,200
19581014,389,222
19581015,378,228
19581016,350,239
19581017,378,200
19581018,400,228
19581019,400,250
19581020,400,250
19581021,389,222
19581022,411,250
19581023,400,228
19581024,389,272
19581025,372,272
19581026,389,239
19581027,400,250
19581028,389,228
19581029,378,250
19581030,378,239
19581031,372,228
19581101,389,250
19581102,372,239
19581103,372,211
19581104,350,228
19581105,328,211
19581106,361,200
19581107,372,222
19581108,372,228
19581109,378,222
19581110,378,222
19581111,400,239
19581112,389,228
19581113,378,250
19581114,378,211
19581115,389,228
19581116,372,239
19581117,372,222
19581118,378,222
19581119,389,250
19581120,389,222
19581121,378,228
19581122,372,211
19581123,372,211
19581124,361,211
19581125,361,211
19581126,361,211
19581127,372,222
19581128,372,228
19581129,361,222
19581130,350,222
19581201,339,200
19581202,328,189
19581203,328,178
19581204,328,178
19581205,361,200
19581206,372,222
19581207,372,228
19581208,372,211
19581209,378,211
19581210,378,211
19581211,372,200
19581212,361,200
19581213,389,211
19581214,339,222
19581215,328,200
19581216,322,161
19581217,311,172
19581218,300,172
19581219,322,161
19581220,328,161
19581221,322,172
19581222,311,178
19581223,328,161
19581224,350,189
19581225,339,172
19581226,372,178
19581227,350,178
19581228,350,189
19581229,350,189
19581230,361,211
19581231,350,200
19590101,350,189
19590102,350,200
19590103,372,200
19590104,372,200
19590106,350,200
19590107,350,200
19590108,339,189
19590109,328,172
19590110,322,172
19590111,322,178
19590112,322,172
19590113,322,150
19590114,328,161
19590115,328,172
19590116,322,161
19590117,328,161
19590118,339,172
19590119,339,172
19590120,322,150
19590121,261,128
19590122,250,111
19590123,289,111
19590124,289,128
19590125,289,128
19590126,300,128
19590127,322,128
19590128,339,150
19590129,339,161
19590130,339,161
19590131,339,161
19590201,322,161
19590202,328,150
19590203,328,161
19590204,328,161
19590205,328,172
19590206,328,161
19590207,339,161
19590208,339,178
19590209,322,161
19590210,350,161
19590211,350,161
19590212,361,172
19590213,361,172
19590214,339,172
19590215,322,150
19590216,289,128
19590217,272,122
19590218,278,122
19590219,322,139
19590220,350,178
19590221,350,172
19590222,328,150
19590223,311,139
19590224,311,150
19590225,300,128
19590226,289,128
19590227,300,128
19590228,328,128
19590301,328,150
19590302,322,122
19590303,350,139
19590304,350,172
19590305,350,161
19590306,339,150
19590307,322,139
19590308,350,150
19590309,361,189
19590310,378,172
19590311,389,178
19590312,389,211
19590313,400,211
19590314,411,211
19590315,428,228
19590316,428,228
19590317,439,228
19590318,439,250
19590319,428,222
19590320,411,211
19590321,378,211
19590322,378,200
19590323,389,211
19590324,389,200
19590325,389,222
19590326,389,222
19590327,378,161
19590328,372,172
19590329,378,200
19590330,400,200
19590331,400,211
19590401,400,211
19590402,422,222
19590403,428,228
19590404,450,239
19590405,450,9999
19590406,439,172
19590407,378,211
19590408,400,222
19590409,411,250
19590410,422,228
19590411,422,228
19590412,422,211
19590413,411,200
19590414,400,189
19590417,400,211
19590418,400,189
19590419,411,189
19590420,428,211
19590421,428,211
19590422,439,211
19590423,439,250
19590424,439,289
19590425,422,272
19590426,400,289
19590427,389,9999
19590428,389,261
19590429,389,289
19590430,411,250
19590501,411,278
19590502,400,278
19590503,428,272
19590504,428,261
19590505,422,239
19590506,428,228
19590507,439,272
19590508,439,272
19590509,439,261
19590510,428,250
19590511,411,211
19590512,422,261
19590513,428,239
19590514,428,261
19590515,411,272
19590516,411,272
19590517,411,278
19590518,411,228
19590519,400,250
19590520,428,261
19590521,428,250
19590522,411,250
19590523,422,272
19590524,428,261
19590525,428,239
19590526,422,239
19590527,422,278
19590528,422,261
19590529,411,272
19590530,411,272
19590531,400,261
19590601,389,278
19590602,422,289
19590603,422,239
19590604,411,272
19590605,400,9999
19590606,400,9999
19590607,400,272
19590608,400,211
19590609,389,250
19590610,389,239
19590611,411,261
19590612,411,261
19590613,389,250
19590614,389,272
19590615,389,250
19590616,389,239
19590617,389,228
19590618,389,250
19590619,389,228
19590620,400,250
19590621,400,272
19590622,9999,200
19590623,400,228
19590624,400,272
19590625,372,228
19590626,389,250
19590627,400,250
19590628,400,250
19590629,389,261
19590630,372,261
19590701,372,239
