Date,TMax,TMin
19510101,324,196
19510102,334,199
19510103,343,204
19510104,340,200
19510105,309,227
19510106,350,228
19510107,354,227
19510108,355,237
19510109,377,241
19510110,344,238
19510111,346,243
19510112,356,246
19510113,357,240
19510114,328,200
19510115,325,188
19510116,316,198
19510117,310,189
19510118,327,207
19510119,345,215
19510120,325,228
19510121,345,234
19510122,342,223
19510123,351,234
19510124,351,241
19510125,317,232
19510126,288,239
19510127,278,223
19510128,336,235
19510129,319,240
19510130,330,235
19510131,326,230
19510201,340,234
19510202,323,234
19510203,350,230
19510204,343,227
19510205,340,233
19510206,342,220
19510207,345,233
19510208,354,226
19510209,352,251
19510210,344,254
19510211,352,220
19510212,355,258
19510213,343,258
19510214,345,257
19510215,336,262
19510216,353,261
19510217,285,240
19510218,322,209
19510219,350,221
19510220,335,246
19510221,337,260
19510222,329,258
19510223,355,252
19510224,355,257
19510225,337,249
19510226,342,256
19510227,337,262
19510228,347,262
19510301,332,266
19510302,325,249
19510303,345,232
19510304,358,239
19510305,346,245
19510306,352,264
19510307,343,261
19510308,312,263
19510309,346,262
19510310,349,261
19510311,350,265
19510312,341,266
19510313,325,268
19510314,358,265
19510315,352,266
19510316,348,259
19510317,347,270
19510318,362,270
19510319,367,273
19510320,352,270
19510321,339,271
19510322,370,271
19510323,343,272
19510324,333,270
19510325,364,268
19510326,349,274
19510327,368,265
19510328,351,269
19510329,340,272
19510330,338,269
19510331,340,274
19510401,374,264
19510402,353,269
19510403,363,277
19510404,339,276
19510405,342,280
19510406,350,277
19510407,356,282
19510408,363,281
19510409,367,285
19510410,358,288
19510411,358,286
19510412,363,282
19510413,349,284
19510414,345,254
19510415,337,266
19510416,350,269
19510417,356,280
19510418,356,281
19510419,350,279
19510420,355,279
19510421,363,282
19510422,371,268
19510423,348,247
19510424,322,242
19510425,363,261
19510426,376,283
19510427,369,278
19510428,375,287
19510429,376,284
19510430,355,286
19510501,310,278
19510502,345,271
19510503,326,248
19510504,313,230
19510505,337,255
19510506,339,270
19510507,342,270
19510508,273,256
19510509,346,249
19510510,349,258
19510511,363,255
19510512,324,221
19510513,328,278
19510514,345,280
19510515,344,278
19510516,341,280
19510517,326,275
19510518,326,282
19510519,331,281
19510520,329,271
19510521,356,276
19510522,330,240
19510523,281,244
19510524,282,243
19510525,318,241
